price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng,Lộ giới
"3,55 tỷ VNĐ",Cầu Đơ- Hà Đông, 35m2, 5,"Bán nhà Cầu Đơ, Hà Đông, ô tô ngõ thông 35mx5 tầng nhỉnh 3 tỷ - Vị trí: Nhà thuộc khu vực Trung tâm Cầu Đơ, Hà Đông giáp với Chợ lớn Hà Đông diện tích rộng 37m nhà lô góc 5 tầng hiện đại ánh sáng ngập tràn, gần phố phù hợp kinh doanh nhiều loại hình giáp kinh đô thời trang Lê Hồng Phong gần siêu thị Metro. - Giao thông vô cùng thuận lợi ra Quang Trung cắt Lê Lợi qua Tản Đà thông Hoàng Diệu sang Tô Hiệu xuống Bà Triệu - Chủ nhà cần bán nhanh trong tháng 8 giá tốt nhất thị trường cơ hội cho khách mua ở và các nhà đầu tư. - Sổ đỏ vuông, sẵn sàng giao dịch. - Giá chỉ có 3.55 tỷ ( có gia lộc). - Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804522.5059967,,,,,
"6,5 tỷ VNĐ",Khương Đình, 51m2, 5,"Bán nhà Phố Khương Đình, Thanh Xuân, 51m2x5T, Ô TÔ qua nhà, Ở, KINH DOANH bất chấp, 6.5 Tỷ.+ Trung tâm Phố Khương Đình, gần Ngã Tư Sở, tiện ích bạt ngàn.+ Ô tô qua nhà, phù hợp vừa ở vừa cho thuê kinh doanh. Thông sang Thượng Đình, Nguyễn Nguyễn, Vũ Tông Phan.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.   LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804524.4358337,,,,,
"4,9 tỷ VNĐ",Vạn Phúc- Hà Đông, 40m2, 5,"Bán nhà Vạn Phúc, Hà Đông 40mx5T ô tô lô góc kinh doanh hơn 4 tỷ + Chính chủ cần bán nhà đẹp kinh doanh Vạn Phúc, Hà Đông, diện tích 37m thiết kế 5 tầng hiện đại ngõ ô tô thông lô góc các tầng thoáng sáng phù hợp kinh doanh đa dạng, xung quanh nhà dân cư đông đúc nhiều trường học và các văn phòng toà chung cư. + Nhà bán thông thương các phố Ngô Quyền xuống Đại Mỗ cắt ngang Tố Hữu ra Yết Kiêu đối diện Quang Trung sang Văn Quán. + Chủ nhà cần bán trong tháng 8 để mở rộng kinh doanh, gia chủ thành đạt nhà có lộc. + Sổ đỏ vuông sẵn sàng giao dịch. + Giá chỉ 4.9 tỷ ( có gia lộc). -Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804526.3507106,,,,,
300 tỷ VNĐ,Lương Ngọc Quyến Hoàn Kiếm Hà Nội, 306m2, 6," -  Tọa lạc tại mặt phố cổ trung tâm lõi sang xịn bậc nhất của Thủ Đô Hà Nội. Khách sạn duy nhất, hiếm nhất, vị trí đắc địa nhất Hà Thành. - Khách sạn mặt phố cổ Diện tích 306m2, mặt tiền 9m, 6 tầng. Sở hữu 40 phòng VIP tiện nghi, sang trọng, đẳng cấp.- Nội thất ngoại nhập cực kỳ sang trọng, đẳng cấp HOÀNG GIA.Lượng khách thuê phòng luôn full. . Tất cả giấy phép kinh doanh, giấy phép xây dựng, PCCC và các giấy tờ pháp lý liên quan đến hoạt động của Khách sạn đầy đủ, rõ ràng. - Sổ đỏ chính chủ, pháp lý chuẩn sẵn sàng giao dịch!Giá bán 300 tỷ ( có thương lượng )Alo cho em để được tư vấn rõ hơn về căn nhà! Miễn ( TG Quảng Cáo ) ",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804528.2237, 9,,,,
"2,65 tỷ VNĐ","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội", 33m2, 5,"Chủ Cần Tiền Bán Ngay Nhà Phúc Lợi, Long Biên 5T, 33m2 giá 2,65 tỷ (LH : 0965 722 358) Thiết kế : + Tầng 1 : Phòng khách, bếp, wc + Tầng 2,3,4 : Mỗi tầng 1 phòng, wc + Tầng 5 : Phòng thờ, sân phơi - Nhà thiết kế đẹp, xây dựng chắc chắn. - Ngõ thông thoáng, cách đường ô tô vài bước chân.- Vị trí đẹp ở Phúc Lợi - Long Biên, đang mở đường to ngay gần nhà, gần Ecohome, gần hồ. - Từ nhà ra đường lớn thuận tiện, thuận lợi đi các hướng như sang KĐT Việt Hưng, Giang Biên…xung quanh gần chợ, trường học cấp 1,2 Phúc Lợi..- Sổ cất két sẵn sàng giao dịch. - LH ngay cho Mr Tùng : 0965 722 358",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804529.8713553, 4, 3,,,
"3,8 tỷ VNĐ","Hoa Lâm, Việt Hưng", 44.5m2,,"- DT sử dụng chung 78m2 + riêng 44.5 m2. + Trước nhà ngõ xe ba gác tránh. + Ngõ nông, Gần ngay ô tô tránh, xe oto tải con vào được. + Khu vực dân cư phát triển đồng bộ, tiện ích xung quanh không thiếu gì. Trường học, nhà văn hoá, bãi để ô tô cách nhà mấy bước chân. - Cầu thang giữa. Tổng 4PN, 1 phòng thờ, sân phơi. - DTXD tầng 1 là 38m2, từ Tầng 2 là 40m2 + Sổ đỏ chính chủ, sẵn sàng giao dịch. - Lh em Trác: 0965492571 ( xem nhà và tư vấn miễn phí )   ",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804531.303526, 3,,,,
,Khương Hạ, 50m2, 5,"+ Trung tâm Phố Khương Hạ, gần Ngã Tư Sở, trường học Cấp 1,2,3 Khương Đình. Gần chợ, gần Ủy ban Phường, bãi xe ô tô 25m.+ Đường thông rộng, ô tô qua nhà, phù hợp để ở hoặc kinh doanh đều được.+ Nhà mới đẹp, nội thất toàn gỗ xịn, chủ tặng lại hết cho khách.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.   LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804533.123172,,,,,
"9,5 tỷ VNĐ",x6/8x Đàm Quang Trung, 62m2, 6,"BÁN NHÀ Đàm Quang Trung - Long Biên - Ô TÔ VÀO NHÀ * Mô tả :+ Ngõ nông rộng, ô tô vào nhà.+ Gần siêu thị Aeon, các tiện tích xã hội không thiếu.+ Sổ đỏ hoa hậu chính chủ sẵn sàng giao dịch.+ Chuyên mua bán nhà đất, vui lòng liên hệ : TRẦN QUYẾT BĐS LONG BIÊN, điện thoại/ Zalo: 0374148382.",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804534.4755592, 6, 4, 4,,
"4,7 tỷ VNĐ","vũ trọng phụng, thanh xuân, hà nội.", 60m2, 4,"+ Bán Nhà Phố Phũ Trọng Phụng, Quận Thanh Xuân- Ngõ Thông Rộng-Kinh Danh. 60m2 4Tầng 4.7Tỷ. Giao với các đường; Ngụy Như kon Tum, Nhân Hòa, Quân Nhân, Chính Kinh, Nhân Chính, Nguyễn Trãi…Ngõ thông thoáng 3 gác phi. Khu vực có nhiều cán bộ ở, an ninh cực tốt. Gần nhiều trường Đại Học như; Khoa Học Tự Nhiên, Thủy Lợi, Công Đoàn và nhiền trường Cao Đẳng,Cấp 1,2,3….. + Chủ nhà xây tâm huyết để ở, bán để sang nước ngoài định cư với con, khách mua về ở ngay. Phù hợp cho gia đình 4 đến 5 người ở. Di chuyển 10 phút Pico, 12 phút đến Royal City, trong đó có nhiều khu vui chơi và cơ chế hưởng thụ dẳng cấp. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Liên hệ; 0911303899 - Mr Quân. Tư vấn miễn phí 24/24.",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804535.7351856,, 4, 3,,
"5,2 tỷ VNĐ","hoàng mai, hà nội", 60m2,,"6Bán nhà Hoàng Mai, Phố Mai Động, 60m, 3t, mt 4, 5,2 tỷ.+ Nhà thiết kế hiện đại, 3 ngủ + 3wc, chủ làm ăn có lộc mua nhà mới nên tặng toàn bộ nội thất trị giá 200-300tr, ngõ 3 gác, 100m ra đường ô tô tránh.+ Đi bộ ra hồ Đền Lừ, Gần Bến Xe Giáp Bát, Giáp Minh Khai, Tam Trinh, Tân Mai, Trương Định, Giải Phóng,  trường Đại Học Kinh Tế Quốc Dân, Xây Dựng, Bách khoa...,Bệnh viện Bạch Mai, hưởng trọn tiện ích của các chung cư lân cận.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Lh: 0346363362 : Phú Gia chuyên nhà phố Hà Nội.",03/09/2022,Tin thường,batdongsan_so_com_vn_1673804536.9728742,,,,,
