price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Hướng
"9,5 tỷ VNĐ",Đường Đình Thôn phường Mỹ Đình 1, 47m2, 5, 8, 6, 7,"quá đỉnh người Hàn Quốc ở và kinh doanh tấp nập.+ Tương lai gần sắp mở đường sát cửa nhà ra mặt phố to. Cam kết nhà KO VÀO QUY HOẠCH. Đã cắm mốc giới làm đường. Đầu tư ngay chỉ 1-2 năm nữa lãi to   - Tầng 1: Khách + Bếp + WC. - Tầng 6: Tầng mái.  Sổ đỏ pháp lý chuẩn, + LH;Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7
",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797541.844204,,
"21,98 tỷ VNĐ",Nguyễn Huy Tưởng - Thanh Xuân, 68m2, 5,, 5, 4,"PHÂN LÔ 96 NGUYỄN HUY TƯỞNG, 5 TẦNG THANG MÁY 68M2 – 21.98 TỶ  - Toạ lạc ngay giữa đoạn phố Nguyễn Huy Tưởng, nằm trong khu biệt thự liền kề Bộ Công An, ngoài cổng là bảo vệ 24/24, an toàn tuyệt đối.  - Nhà đẹp, vị trí đẹp, thông số đẹp, vỉa hè tiêu chuẩn, đường trước nhà trải nhựa đẹp, hai ô tô tránh, tiện ích xung quanh hoàn hảo.  - Nhà xây 5 tầng thang máy trên diện tích 68m2 mặt tiền 5m. Thiết kế hiện đại, thoáng sáng. Khách mua đầu tư hoặc làm văn phòng, trung tâm các loại, hoặc vừa ở vừa cho thuê đều được.  - Liên hệ: K.S Phương – 0918120568 để được tư vấn về ngôi nhà và gặp trực tiếp chủ nhà thương lượng giá.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797543.1029568, 5,
"4,95 tỷ VNĐ",Đường Hào Nam phường Ô Chợ Dừa, 35m2, 4, 2, 4, 4,"
    ✅Thông số- Diện tích 35M2 X 5T- Mặt tiền 4m - Giá chào 4.95 tỷ ( có thương lượng )✅Vị trí đẹp, phố trung tâm, ngõ thông giữa Hào Nam - Đê La Thành - Vũ Thạnh, giao thông cực kì thuận lợi✅Bán kính 500m quanh nhà tập trung đầy đủ các tiện ích như trường học các cấp, chợ dân sinh, bệnh viện, sát nhà là trường Nhạc Viện Hà Nội, trường Đại học Mỹ Thuật Công Nghiệp ngay kế bên✅Hiện trạng nhà siêu đẹp, đầy đủ nội thất cao cấp tặng lại khách gồm tivi 65 inh, 2 điều hoà + 2 nóng lạnh✅Nhà có giếng trời phòng nào cũng thoáng sáng, không gian sống đẳng cấp, dưới 5 tỷ cực hiếm có căn nhà nào như vậy👉Thiết kế:❤️ Tầng 1: Khách bếp❤️ Tầng 2,3: 4 ngủ❤️ Tầng 4: phòng thờ + sân phơi✅Sổ đỏ vuông tờ A4, giao dịch trong ngày Liên hệ Mr Tú ( Call.Sms.Zalo ) - cam kết thông tin và hình ảnh là thật
",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797544.3035471, 3,
"3,5 tỷ VNĐ","Đường Hoàng Mai, Phường Hoàng Văn Thụ", 37m2, 4, 3, 5, 4,"NHÀ MỚI, SIÊU ĐẸP, GẦN PHỐ, TIỆN ÍCH VÔ VÀN.- Diện tích 37m x 5T.- Sổ đỏ chính chủ, cất két.- Giá chào 3.5 tỷ, có thương lượng.- Thiết kế tinh tế từng đường nét.- Với 4 phòng ngủ rộng, sáng thoáng, phòng nào cũng có cửa sổ to rộng.- Đầy đủ công năng, cho cuộc sống tiện nghi, thoải mái.- Gần nhiều chợ dân sinh, gần TTTM lớn.- 10 phút ra Bệnh viện Bạch Mai, Việt pháp...- 10 phút ra Các trường đại học Xây Dựng, Bách Khoa, KTQD...- Anh chị quan tâm liên hệ NGUYỄN DƯƠNG: 0825920555.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797545.4202316, 4,
"26,6 tỷ VNĐ",Đường Núi Trúc phường Kim Mã, 72m2, 5, 15, 5, 4,"
    
+ MẶT PHỐ VỈA HÈ, KINH DOANH TẤP NẬP, THÔNG SỐ ĐẸP, MẶT TIỀN RỘNG .

+ Nhà mặt phố Ba Đình đường 2 chiều sầm uất, kinh doanh tấp nập đêm ngày.

+ Gần ngã ba Nam Cao và ngã ba Ngõ Núi Trúc mật độ lưu thông dày đặc, giao cắt các tuyến chính của quận Ba Đình.

+ Nhà xây 4 tầng 1 tum vẫn còn rất chắc chắn, khách thích thì về ở luôn không thì đập đi xây toà thang máy 7 tầng thì mê ly.
+ giá trên là sác định bán đất tặng nhà, đất cũng rẻ hơn thị trường rất nhiều.

+ Thông số đẹp, MT rộng là 1 lợi thế không cần bàn cãi
- Tầng 1: Thông sàn (có lối đi phụ lên trên) cho thuê kinh doanh 30 triệu/ tháng.
- Tầng 2: Bếp + Khách + Ngủ + Vệ sinh.
- Tầng 3: 1 ngủ rộng, vệ sinh.
- Tầng 4: 2 ngủ, vệ sinh.
- Tầng 5: Phòng thờ sân phơi.

+ Khách mua về vừa ở vừa kinh doanh hoặc cho thuê đều víp và đảng cấp.

+ Sổ đỏ vuông vắn , pháp lý rõ ràng.
+ AC quan tâm zalo em đỗ hạnh 0845 790 555 hoặc 0911 206 189 thanks AC.
",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797546.759548, 5,
"1,3 tỷ VNĐ",135 Trần Phú, 98m2, 10, 10, 1, 2,Bán căn hộ Grand Sunlake 2(+1)N2VS 98m2 view hồ Văn Quán từ 1tỷ3 (30% Giá trị căn hộ)+Vị trí: Ngã 3 Trần Phú giao Nguyễn Khuyến+ Hướng: Đông Nam+View: Hồ Văn Quán+ Nội thất cao cấpLưu ý: +Thuận lợi cho đầu tư và để gia đình ở lâu dài (do đang xây dựng nên giá thành < giá trị sử dụng) +Không thuận lợi cho kinh doanh dịch vụ thuê căn hộ (vì chưa nhận nhà ngay) Chi tiết liên hệ trực tiếp qua sđt 0346không29không85 để được em Trưởng tư vấn và hỗ trợ nhiệt tình ,03/10/2022,Tin thường,batdongsan_so_com_vn_1673797549.2246273, 2, Tây bắc
"1,65 tỷ VNĐ",Đường Quốc lộ 6 phường Phụng Châu, 72m2, 4,,,,"Bán đất tặng nhà 2 tầng đẹp tại Phượng Đồng Xã Phụng Châu. Chương Mỹ + Cần tiền bán nhanh gọn mảnh đất 72m²ở Phụng Châu Chương Mỹ.+ có 30m thổ cư và 42m đất vưởn trên đất đã có nhà 2 tầng đẹp chắc chắn + Giá bán nhanh  1,65  tỷ ô tô vào đến đất.- khu dân cư đông đúc sầm uất .ngay gần trường TDTT . gần ủy ban xã, gần chợ Phượng Nghĩa, trạm y tế.+ Vị trí lõi của huyện, giáp ranh quận Hà Đông và quận Hoài Đức, Quốc Oai. Giao thương nhiều phố lớn: Phố Trúc Sơn, Yên Nghĩa, Đông La cách 100m ra bến xe buýt, 500m ra ga tàu điện, gần các đường lớn như đường Lê Văn Lương Tố Hữu kéo dài, đường Liên Huyện, Quốc Lộ 6... Nói chung hội tụ mọi tiện ích sống.+ sổ đỏ chính chủ.+ Liên hệ : 0362264625 hoặc 0972342876 ( zalo )  ",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797551.196338,,
"6,2 tỷ VNĐ",Đường Thái Hà phường Trung Liệt, 60m2, 5, 6,,,"
    Bán Đất Thái Hà Cách Phố 10 Bước Chân - Sổ Đỏ Chính Chủ. Diện tích 60m2 tha hồ xây dựng. 
Nhà đẹp tương lai. Máy kiếm tiền tự động.Chủ cực kỳ dễ tính.
 Giao dịch trong nốt nhạc. Chỉ cần gặp chủ trả giá.
 Khu vực trung tâm Đống Đa. Kinh doanh ngập tràn. lời lãi khỏi bàn vì không còn chõ nào tốt hơn chỗ này.
 
 Tùng Thổ Cư - 0973661066
NHẬN KÝ GỬI NHÀ ĐẤT HÀ NỘI 
TƯ VẤN MIỄN PHÍ 100% 
TƯ VẤN THIẾT KẾ, PHONG THỦY. 
NHANH CHÓNG - UY TÍN
",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797555.986652,,
"3,7 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 41m2, 3,,,,"Bán lô đất Ngọc Thụy - Long Biên, lô góc, mặt ngõ thông, ô tô vào đất, 42m2, giá : 3.7 tỷ  + Mảnh đất nằm ở khu vực gần chung cư Quân Đội, ngõ thông các ngả, đi lại thuận tiện, dân trí cao, tiện ích khu vực bạt ngàn, cách cầu Đông Trù chỉ vài trăm mét...  + Ô tô vào đất, gần đường Lý Sơn. Ngay cạnh khu đô thị Khai sơn tương lai rất sáng.  + Mảnh đất vuông vắn, mặt tiền 10m, ngang 4.2m.  + Vị trí nằm trên mặt ngõ, thông các ngả, xây nhà hoặc đầu tư quá lợi.  + Diện tích: 42m2, mặt tiền: 11m, giá: 3.7 tỷ (giá đầu tư).  Sổ đỏ vuông vắn, sẵn sàng giao dịch.  Liên hệ: Mr Khanh.  Để được tư vấn pháp lý & xem chi tiết căn nhà.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797558.1919894,,
"9,3 tỷ VNĐ",Đường Phan Văn Trường phường Xuân Thủy, 45m2, 4, 5, 5, 4,"
    
Bán nhà ngõ ôtô tránh Kinh doanh 45m2 5tầng MT4m 9.3tỷ Phố VIP 130 Xuân Thủy Cầu Giấy.
SIÊU PHẨM PHÂN LÔ PHỐ PHAN VĂN TRƯỜNG - CHỢ NHÀ XANH - KINH DOANH - Ô TÔ 

- Nhà nằm trong phố VIP Phan Văn Trường thông phố Xuân Thủy, Chợ Nhà Xanh, gần các trường ĐH kinh doanh siêu đỉnh đa ngành nghề, ngõ trước, sau nhà rộng 5m ôtô qua lại thoải mái. 
- Nhà dân xây KCBT chắc chắn 2 mặt thoáng trước sau:
- Tầng 1 : Kinh Doanh . 
- Tầng 2 : Phòng khách bếp. 
- Tầng 3,4 : Mỗi tầng 2 phòng ngủ. 
- Tầng 5 : Phòng thờ sân phơi. 
- Nhà trước chủ cho thuê tầng 1 10 triệu/ tháng.
- Sổ đỏ chính chủ sẵn sàng giao dịch.
Chú ý: 
1. LH: A. Hoàng Anh 0934266313
2. Link kho nhà đẹp: https://www.facebook.com/356939308270722
3. Hỗ trợ tài chính cho vay mua nhà đến 80% giá trị căn nhà, lãi suất thấp nhất thị trường.
4. ACE Môi giới kết hợp làm việc tại: https://www.facebook.com/108917115160629 ",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797559.9598005, 5,
