price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
"13,1 tỷ VNĐ","thanh nhàn, hai bà trưng, hà nội", 65m2,"Mô tả: Chính chủ cần tiền cho con định cư tại nước ngoài nên bán nhà ở Phố Thanh Nhàn, Hai Bà Trưng. Nhà 65m2, xây 5 tầng, có sân thượng rộng rãi.  Nhà gần các trường đại học lớn: Bách Khoa, Kinh tế, Xây dựng, Kinh doanh và Công nghệ,….Thích hợp cho hộ gia đình ở với thiết kế sang trọng hoặc vừa ở vừa kinh doanh. Nhà khung cột bê tông chắc chắn theo phong cách hiện đại, xem là thích liền, có giấy tờ đầy đủ, không tranh chấp. Đối diện nhà có bãi xe rất rộng, khách đến chơi tha hồ để xe. Gần các trung tâm thương mại lớn Time City, Đai Truyền hình kỹ thuật số VTC…Đặc biệt vị trí này được đánh giá an toàn, an ninh được quản lý chặt chẻ, hiếm xảy ra tệ nạn. Ví trị thuận lợi di chuyển ra mọi hướng vào trung tâm ra ngoài thành nhanh chóng, không kẹt xe, đường thoáng… Gần các trường học trọng điểm của Quận, môi trường học giáo dục rất tốt. Nhà phân lô đẹp, đường trước nhà rộng oto tránh nhau thoải mái, để được oto trong nhà tiết kiệm tiền thuê bãi xe. Giá: 13.1 tỷ Liên hệ: 0868181683 (Anh Nghĩa – Dẫn xem miễn phí đến khi mua được nhà thì thôi)",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819211.2902615,,,,,
47 tỷ VNĐ,"Trần Thủ Độ, Hoàng Liệt, Hoàng Mai", 340m2,"+ Biệt thự lô góc, vị trí đẹp, 2 mặt đường, cách đường Trần Thủ Độ to vài bước chân, đường nhánh vào cũng to ngang Trần Thủ Độ + Mặt trước là vườn hoa rộng, đẹp nhất khu. + Khu vực xây dựng ổn định, sạch sẽ, dân cư đông đúc, dân trí cao, xung quanh toàn biệt thự, khu vực có siêu thị, nhà hàng, tiện ích đầy đủ, gần bến xe, gần vành đại 3.5, đi lại vô cùng thuận tiện. + Thiết kế 4 tầng, kiến trúc Âu, có sân, vườn, hồ cá xung quanh nhà, ga ra để xe + Diện tích: 340m + Sổ đỏ vuông đẹp pháp lý sạch, sẵn sàng giao dịch. + Gía bán: 47 tỷ có thương lượng. + Liên hệ: 0362368485; 0964399436",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819212.6166964,,,,,
"1,75 tỷ VNĐ","Thôn Mộc, Minh Quang, Ba Vì, Hà Nội", 303m2,"- Lô đất giáp chợ Mộc 10 mét mặt tiền.- Dt: 303 m2, sẵn 1 sổ đỏ, công chứng trong ngày.- Địa chỉ: Chợ Mộc, Minh Quang, Ba Vì, Hà Nội.- Vị trí đẹp, hiếm, khu vực kinh doanh sầm uất, đường ô tô tránh nhau.- Cách chợ Mộc, trường THCS Minh Quang, bệnh viện Minh Quang, trường mầm non Minh Quang, nhà văn hóa thôn Mộc: Bán kính 30 - 50m. Cách cây xăng và Tỉnh Lộ 414: 300m.- Xung quanh đất các bác Hà Nội đã về xây nhà nghỉ dưỡng cuối tuần cho gia đình.- View đẹp. Khu đông dân cư. Kinh doanh buôn bán được luôn.- Lh chính chủ: 0975349726, để đàm phán trực tiếp.- Giá ban đầu: 1.75 tỷ.",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819213.8474033, 10,,,,
"2,75 tỷ VNĐ",Trương Định, 30m2,"+ Diện tích xây dựng 40 m2. + Sổ đỏ chuẩn bị sẵn, giao dịch ngay và luôn. + Nhà Mới, về ở luôn. +Ngõ thông, ba gác chạy. + Khu vực đã quy hoạch ổn định. + Nằm giữa Giải Phóng và Minh Khai, giao thông vô cùng thuận tiện. + Đại Học Kinh Tế Quốc Dân, Bách Khoa, Xây Dựng chỉ 10 phút di chuyển.  🤝 LH: Mr Quý: 0986560636 ( Zalo)🏠 Xem nhà miễn phí 24/7. 🏦 Hỗ trợ thủ tục pháp lý, ngân hàng.",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819215.0621526,, 4, 4,,
"12,9 tỷ VNĐ","mạc thị bưởi, hai bà trưng, hà nội", 58m2,"Mô tả: Do hiện nay cần tiền nên tôi cần bán gấp nhà tại Mạc Thị Bưởi, Hai Bà Trưng. Nhà 58m2, xây 4 tầng, có sân thượng rộng rãi. Thích hợp cho hộ gia đình ở với thiết kế sang trọng hoặc vừa ở vừa kinh doanh. Nhà khung cột bê tông chắc chắn theo phong cách hiện đại, xem là thích liền, có giấy tờ đầy đủ, không tranh chấp. Nhà gần các trường đại học lớn: Bách Khoa, Kinh tế, Xây dựng, Kinh doanh và Công nghệ,…. Gần các trung tâm thương mại lớn Time City, Đai Truyền hình kỹ thuật số VTC…Đặc biệt vị trí này được đánh giá an toàn, an ninh được quản lý chặt chẻ, hiếm xảy ra tệ nạn. Nhà phân lô đẹp, đường trước nhà rộng oto tránh nhau thoải mái, để được oto trong nhà tiết kiệm tiền thuê bãi xe. Ví trị thuận lợi di chuyển ra mọi hướng vào trung tâm ra ngoài thành nhanh chóng, không kẹt xe, đường thoáng… Gần các trường học trọng điểm của Quận, môi trường học giáo dục rất tốt. Giá: 12.9 tỷ Liên hệ: 0868181683 (Anh Nghĩa – Dẫn xem miễn phí đến khi mua được nhà thì thôi)",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819216.3237789,,,,,
"14,6 triệu VNĐ",Đường Thái Thịnh phường Thịnh Quang, 67m2,"
    + Nhà lô góc kinh doanh khỏi bàn cãi, ngõ ô tô, kinh doanh bất chấp mọi loại hình.+ Sổ chính chủ cất két.
",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819217.581843, 4, 3, 3, 5, 3
42 tỷ VNĐ,Đường Liễu Giai phường Liễu Giai, 120m2,"Bán tòa nhà văn phòng quận Ba Đình, MT 10 m, giá 42 tỷ. Tòa nhà văn phòng mới xây được vài năm còn rất đẹp và sử dụng được ngay. Thích hợp mua làm văn phòng công ty hay cho thuê giữ tiền. Đường trước nhà rộng có vỉa hè, ô tô tránh nhau thoải mái. Tòa nhà cho thuê 120 tr/ tháng, hợp đồng còn hạn 3 năm. Sổ đỏ lâu dài, giao dịch ngay. Mặt tiền 10 m, nhà xây 8 tầng thang máy. Nhà 8 tầng thang máy thiết kế thông sàn, có tầng hầm để được nhiều ô tô và xe máy. Gía bán 42 tỷ. Không chín bốn ba. 313. Sáu tám sáu. Liên hệ: call, zalo. ",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819219.3159711, 10, 8, 10, 20, 10
"4,65 tỷ VNĐ",Đường Trường Chinh phường Khương Thượng, 40m2,"-Nãm ngay cạnh ngã Tý Sở tỏa ði các khu vực trung tâm Hà Nội-5p tới Trýờng ÐH Thủy Lợi, HV Ngân Hàng, DH Công Ðoàn...-20m ra ngõ ô tô chạy - Nhà thiết kế và xây dựng theo phong cách hiện ðạitận dụng tối ða công nãng sử dụng của cãn nhà với 5 tầng với 3PN-DT:40m2  LH: 0927140173-Mr.Phúc",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819223.8010228, 4, 4, 3, 4, 3
,Đường Xa La phường Phúc La,,"+ diện tích 55m, mặt tiền 4.7m ",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819225.0988219,,,,,
3 tỷ VNĐ,"Đường La THành, Đống Đa", 30m2,"Chính chủ cần bán nhà Phố La Thành, Đống Đa, nhà chủ tự xây rất mới,cực thoáng, vài bước ra hồ Hoàng Cầu, diện tích 30m2, mặt tiền 4m, nhà 5 tầng. Nhà Trung tâm quận Đống Đa,  thông phố Hào Nam, cách phố Đê La Thành 30m, 200m  ra ngã 5 Ô Chợ Dừa, đi đâu cũng tiện. Gần chợ, siêu thị tiện ích, bệnh viện, hồ sinh thái, khu vui chơi, giải trí, thuận lợi kinh doanh online, cách trường học các cấp chỉ vài phút đi bộ. Sổ đỏ đẹp, sẵn sàng giao dịch Giá thoả thuận Liên hệ Anh Minh, chuyên nhà đất thổ cư, Đống Đa, Thanh Xuân, sẵn sàng tư vấn miễn phí 24/7. ĐT: 0913 220 691.",18/06/2022,Tin thường,batdongsan_so_com_vn_1673819226.4800215, 4, 5, 3, 2, 4
