price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id
39 tỷ VNĐ,"Việt Hưng, Long Biên , Hà Nội", 200m2, Bắc, 12, 12, 4, 4, 5,"BIỆT THỰ VIP - KHU ĐÔ THỊ VIỆT HƯNG - ĐẲNG CẤP THƯỢNG LƯU - PHONG CÁCH CHÂU ÂU - THANG MÁY NHẬP KHẨU - KINH DOANH BẤT CHẤP - VỊ TRÍ VÀNG ĐÁNG SỐNG - AN SINH TUYỆT ĐỈNH - TẶNG TOÀN BỘ NỘI THẤT CHÂU ÂU – LH 0363848024Mô tả :-  Khu đô thị Việt Hưng Long Biên mang đến một mục tiêu mới là xây dựng và phát triển lâu dài , xây dựng hình thành một đô thị thương mại hấp dẫn kết hợp với thực hiện giãn dân phố cổ ở quận Hoàn Kiếm. Việt Hưng đảm bảo sẽ là 1 nơi lý tưởng của Hà Nội để kinh doanh,buôn bán cũng như hình thành 1 môi trường sống thoải mái ,an yên và tiện nghi nhất. -  Môi trường hệ sinh thái, không gian sống lý tưởng của giới thượng lưu . Hạ tầng giao thông - quy hoạch ổn định .- Nhà được xây dựng trên với diện tích 200m2, DTXD 120m2. Kinh phí xây dựng + nội thất khoảng gần 10 tỷ - Nội thất được nhập khẩu 90% từ Đức : Tủ quần áo, Tủ rượu, Tủ Bếp, Thang máy, Thiết bị cách âm ...- Thiết kế sang trọng của giới thượng lưu, vị trí đắc địa kinh doanh Nhà hàng, Cafe, Karaoke, Công ty ... Nằm ngay sau Big C và những dự án đất ĐG sắp triển khai .- Thiết kế :+ Tầng 1 : • Hầm nổi Gara, Sân tiểu cảnh, Bếp ngoài, Khu ăn uống bên ngoài, Khu thưởng trà.• Phòng Khách sang trọng, Nhà ăn, Khu Bếp, WC .+ Tầng 2 : 1 PN cho người giúp việc, 1 Kho, 3 PN Master Khép Kín .+ Tầng 3 : 1 PK lớn, Gian thờ, 1 Phòng Karaoke lớn (Đã lắp hệ thống cách âm tuyệt đối), 1 Khu để máy giặt - Phơi đồ . + Tầng 4 : Thông sàn có thể làm khu tập thể dục siêu rộng .- Chủ cần bán nhanh  , gía thương lượng linh hoạt .- Liên hệ em Đức : 0363848024 để xem nhà ngay ! ",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822604.0212219
"5,5 tỷ VNĐ",Đường Võng Thị phường Bưởi, 60m2,, 6, 3, 5, 6, 4,"Bán nhà đẹp 5tầng 60m2 mặt tiền 6m 5,5 tỷ gần phố gần ô tô, 3 bước ra Hồ Tây, điện nước quy hoạch siêu ổn định. Khu vự cao ráo thoáng mát, tiện ích phong phú, giao thông thuận tiện không úng ngập bao giờ. Dân trí cao, an ninh ở cực sướng.. Thiết kế :Tầng 1 : Khách + bếpTầng 2-3-4 : 6 ngủ + vs giữaTầng 5: phòng thờ+ sân phơiSổ đỏ chính chủ, vuông vắn nở hậu, giá cả thương lượng cho khách thiện chí Lh: Hoàng Anh (MG tận tâm) 0934266313 các bạn môi giới đọc thêm phần sau nhé :) Công ty CPXD SODOLAND đang đẩy mạnh phát triển Hạng mục Kinh doanh Môi giới Bất động sản. (Đc: số 14 Đặng Thùy Trâm, Cầu Giấy, Hà Nội - hotline 0934266313) Công ty CPXD SODOLAND mời sáp nhập các phòng kinh doanh nhỏ lẻ và tuyển dụng:- 05 Trưởng phòng Kinh Doanh (có thể kèm theo đội nhóm đang hoạt động đơn lẻ);- 20 Đầu Chủ;- 300 Chuyên viên kinh doanh Môi giới tư vấn BĐS.Quyền lợi:- Đối với Trưởng phòng, Đầu chủ:+ Tuyển dụng trực tiếp Trưởng Phòng, Đầu Chủ có kinh nghiệm thực chiến sau khi phỏng vấn.- Đối với Chuyên viên Kinh Doanh:+ Thu nhập hấp dẫn: Lương cứng 4-15tr/tháng (hoặc Hoa hồng 40-50%/vụ chốt) + % Cầu nguồn + % giới thiệu CV + Thưởng nóng + ...+ Thưởng nóng: tiền mặt, ô tô, xe máy, vàng,.. (từ công ty, từ chủ nhà,…)+ Cơ chế xét duyệt rõ ràng, thăng tiến nhanh chóng lên Ứng viên Đầu chủ và Trưởng phòng (chỉ từ 1-3 vụ chốt dựa theo kinh nghiệm thực chiến đang có sau phỏng vấn).+ Hỗ trợ đào tạo bài bản, liên tục, hỗ trợ chi phí đăng tin, tiếp cận khách hàng, hỗ trợ xăng xe đi lại, ăn trưa tại Công ty.₋ Tiếp cận trực tiếp nguồn hàng của các cổ đông (chủ đầu tư) trong Công ty và hơn 100.000 căn nhà đất khác tại Hà Nội.- Đầy đủ chế độ phúc lợi theo quy định: Bảo hiểm, thăm hỏi ốm đau, sinh nhật, hiếu hỉ, 8/3, thưởng Tết…- Các hoạt động của Công ty: + Bóng đá hàng tuần, du lịch ,Team Building hàng tháng, quý, Miss Bikini, Year End Party…Liên hệ:  Đt - zalo CV. Hoàng Anh 0934266313Gmail: anh201085@gmail.com",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822605.1960788
4 tỷ VNĐ,Quan Nhân, 51m2,, 5,, 5, 5,,"+Trung tâm Quận Thanh Xuân, tiện ích miễn bàn.+Vị trí đắc địa, 5 phút ra Royal City, đường trước nhà rộng 3m, thoáng thông tứ tung.+Nhà chủ xây tâm huyết để ở, chủ tặng toàn bộ nội thất, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822606.4716678
5 tỷ VNĐ,Đường Vân Hồ III phường Lê Đại Hành, 45m2,, 4, 4, 4, 3, 4," ""times="""" new="""" roman"";="""" mso-bidi-font-family:="""" ""segoe="""" ui="""" historic"";="""" mso-ansi-language:="""" vi'diện="""" tích="""" hơn="""" 45m2="""" xây="""" 4="""" tầng,="""" full="""" nội="""" thất="""" y="""" ảnh.="""" span="""" p="""" class=""MsoNormalSPAN"" vi'3="""" ngủ="""" rộng="""" khép="""" kín,="""" không="""" gian="""" sinh="""" hoạt="""" cực="""" kì="""" sang="""" chảnh.="""" historic""'="""">Sổ chính chủ đẹp. Nở hậu.  0889.7999.68
",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822609.8253696
4 tỷ VNĐ,Tây Sơn, 53m2,, 5,, 5, 6,,"+Trung tâm Quận Đống Đa, tiện ích miễn bàn.+Vị trí đắc địa, cách Royal City 50m, đường trước nhà rộng 3m, thoáng thông các ngõ.+Nhà chủ xây tâm huyết để ở, tặng toàn bộ nội thất cho khách.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822613.0957713
,lê trọng tấn, 50m2,,,, 4, 4, 3,"+ Bán nhà. Lê Trọng Tấn, Hà Đông. Ô tô Kinh Doanh 50m2 x 4 tầng. Giá 5.98 tỷ.  ÔTÔ, KINH DOANH - NHÀ ĐẸP – TIỆN ÍCH NGẬP TRÀN  +Ô tô tránh, ô tô vào nhà, cách Lê Trọng Tấn 20m. - Ngay ngã tư Lê Trọng Tấn Văn Phú, thuận tiện đi lại. Nhà gần tuyến xe buýt nhanh và ga tàu điện trên cao. Nhà gần trường học cấp 1, cấp 2. Gần uỷ ban và công an phường La Khê. Gần siêu thị AON, gần chợ và rất nhiều các tiện ích xung quanh. - Kinh doanh văn phòng. - Chủ xây đẹp, tâm huyết, thông sàn kinh doanh. - T2,3 tầng 2 phòng, cầu thang thông gió, t4 phòng thờ sân phơi.   + Thiết kế nhà 4 tầng: - Tầng 1: Thông sàn, kinh doanh - Tầng 2,3: Mỗi tầng 2 phòng ngủ và wc - Tầng 4: Phòng thờ và sân chơi.  + Sổ đỏ vuông đẹp, sẵn sàng giao dịch,  LH: E KHÁNH: 0988960891  ",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822614.1978548
"2,4 tỷ VNĐ",Đường Bạch Mai phường Bạch Mai, 28m2,, 4, 5, 3, 2, 2,"Diện tích 28m2, mặt tiền 6m rất thuận tiện kinh doanh Nhà ngay đầu ngõ nên thoải mái đi lại, kinh doanh gì cũng ra tiền Ngõ thông khắp ngả, nhà vuông vắn, SĐCC Liên hệ: 0889.7999.68",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822615.212142
4 tỷ VNĐ,Thượng Đình, 53m2,, 5,, 5, 6,,"+Bán nhà Phố Thượng Đình - Thanh Xuân, 53m2, 5 Tầng, Mặt tiền 5m, Ô TÔ, KINH DOANH, Nhỉnh 4 tỷ. +Trung tâm Thanh Xuân, tiện ích miễn bàn.+Vị trí đắc địa, cách Royal City 50m, đường trước nhà rộng 3m, thoáng thông các ngõ.+Nhà chủ xây tâm huyết để ở, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822616.4698162
"3,9 tỷ VNĐ","Hà Trì, Hà Đông, Hà Nội.", 37m2,, 5, 3, 4, 4,," # Cần bán gấp nhà riêng đường Hà Trì, Hà Đông, Hà Nội. Nhà mới, thiết kế đẹp, Full trang thiết bị + nội thất, khu dân trí cao, về ở ngay, an ninh an sinh đỉnh, . DT 37m, 4T, MT 5.6m, giá chỉ 3.9 tỷ. + Vị Trí: tiếp giáp Đa Sỹ và phường Nguyễn Trãi, tọa lạc sát ngã 5 Hà Trì đường Bà Triệu quận Hà Đông. + Tiện ích: gần Chợ Lớn Hà Đông, Sân Vận Động Hà Đông, nhiều TTTM, Ngân hàng, trường C1,2,3, khu vui chơi, trung tâm phố tiện ích. + Giao thông: vài bước chân ra mặt đường chính Bà Triệu di chuyển Tô Hiêu, Lê Hồng Phong, Chưng Nhị, Lê Lợi, Quang Trung, Phùng Hưng, 19/5, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà mới 4T khung cột chắc, thiết kế hiện đại các phòng thoáng sáng, đầy đủ công năng. + Giá chỉ 3.9 tỷ. + Sổ đỏ đẹp chính chủ pháp lý chuẩn, sẵn sàng giao dịch. # HotLine: 0983858722 Tình nhà phố ( chuyên mua bán, nhận ký gửi nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822617.7054727
"3,2 tỷ VNĐ","Lạc Long Quân, Tây Hồ, Hà Nội", 46m2,,,,, 1,,"Chuyển nhượng căn hộ tòa E1, cc cao cấp D’El Dorado Lạc Long Quân, 46m2, full nội thất, view triệu đô ôm trọn hồ Tây Thông tin căn hộ bán: + Diện tích: 46m2 + Căn hộ có 1 phòng ngủ, 1wc, 1 loggia, tầng đẹp, thoáng mát đón gió tự nhiên + Nhà thiết kế đẹp, full nội thất ngoại xịn chuẩn châu Âu, hiện đang cho người nước ngoài thuê + Giá bán 3,2 tỷ bao chọn phí (Giá rất tốt) Liên hệ xem nhà: Em Thắm 0868266138 Thanks!",29/05/2022,Tin thường,batdongsan_so_com_vn_1673822618.7746124
