price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Mặt tiền,Số tầng
15 tỷ VNĐ,Hà Nội, 76m2,"Bán nhà sổ đỏ phố Phạm Huy Thông - SĐT: 0366 555 258.Nhà cách phố vài chục mét, nằm trong khu phân lô, ô tô vào nhà.Ngõ thông thoáng sạch sẽ, Will Smith Chris Rock an ninh dân trí, nhiều tiện ích, kinh doanh đắc địa.Diện tích 76 m2.Mặt tiền 5.4 m.Nhà 6 tầng thang máy, ở luôn. T1 Gara để xe phòng khách bếp vệ sinh.T2, 3, 4, 5 Các phòng, vệ sinh.T6 phòng thờ sân phơi.Sổ phân ô vuông đẹp - sẵn sàng giao dịch ngay.Giá chào chỉ 15 tỷ thương lượng mạnh.Liên hệ 24/7 Ms Thanh để xem nhà - 0366 555 258.Hỗ trợ khách đàm phán - thủ tục pháp lý - quy hoạch.",03/04/2022,Tin thường,batdongsan_so_com_vn_1673828584.3201973,,,,,
"5,577 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 168m2,"- Bán căn hộ chung cư Udic Westlake Tây Hồ Hà Nội - S = 168,1m2 - Hướng ban công Tây Bắc - Vị trí căn hộ thiết kế gồm có 3 phòng ngủ 2 vệ sinh phòng khách bếp, tầng cao nội cơ bản của chủ đầu tư, thích hợp cho khách mua để ở hoặc cho thuê VP, rất thuận tiện cho việc đi lại. - Giá bán : 5,5 tỷ - Ai có nhu cầu liên hệ trực tiếp 0977568223",03/04/2022,Tin thường,batdongsan_so_com_vn_1673828585.7015018, Đông bắc, 3, 2,,
15 tỷ VNĐ,Hà Nội, 72m2,"Bán nhà phố Phạm Huy Thông Ba Đình - LH: 0856 968 656.Vị trí trung tâm kết nối giao thông với Kim Mã, trịnh văn quyết g63 Linh Lang,Văn Cao, Nguyễn Chí Thanh, Đào Tấn...Tuyến phố đẹp rất hiếm nhà bán!Diện tích 72m2, 7 tầng, mặt tiền 5m.* Tiện ích ngập tràn.Dân trí cao, an ninh tốt.Kinh doanh, an sinh tuyệt đỉnh.Mô tả: - Tầng 1 Đang cho thuê cafe và wc. - Tầng 2 + 3 + 4 + 5 + 6 Các phòng và wc. - Tầng 7 phòng thờ, sân chơi, tiểu cảnh. - Sổ đỏ chính chủ, vuông vắn. - Giá chào chỉ 15 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Ngoài ra tôi còn rất nhiều bất động sản và nhà mặt phố, ở nhiều phân khúc khác nhau.Quý khách quan tâm và có nhu cầu, xin vui lòng liên hệ ngay với tôi để được tư vấn và hỗ trợ.Chi tiết xin vui lòng liên hệ 24/7.Thanh Bình nhà phố - 0856 968 656.Xin cảm ơn quý khách đã xem tin, bài đăng.",03/04/2022,Tin thường,batdongsan_so_com_vn_1673828586.9880605,,,,,
15 tỷ VNĐ,Hà Nội, 72m2,"Bán nhà phố Kim Mã quận Ba Đình - LH: 0856 968 656. - Diện tích 72 m2 x 7 tầng thang máy. - Mặt tiền 6 m. - Vị trí nhà rất đẹp thoáng, kinh doanh tốt, đường ô tô tránh, đỗ cửa 24/24. - Nhà xây chắc chắn, tối ưu công năng, full nội thất cao cấp. - Khách mua chỉ việc về ở luôn. - Khu dân trí cao, an ninh tốt. - Tiện ích đầy đủ gần sân chơi thể dục, chợ, bệnh viện, công viên... - Sổ đỏ chính chủ, vuông vắn. - Giá chào chỉ 15 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7 Thanh Bình: 0856 968 656.Miễn trung gian và môi giới.",03/04/2022,Tin thường,batdongsan_so_com_vn_1673828588.1130908,,,,,
"4,5 tỷ VNĐ",Thụy Khuê, 37m2,"
    
- Nhà Thụy Khuê - Tây Hồ , diện tích vừa đủ 37m2 , 5 tầng như khách sạn trời Âu , mặt tiền 3m , giá yêu thương 4.5 tỷ
NHÀ MỚI COONG CHÀO HÈ HÓNG GIÓ TÂY HỒ - NHÀ ĐẸP NHƯ KHÁCH SẠN TRỜI ÂU - VÔ VÀN TIỆN ÍCH _ DÂN TRÍ CAO 
* Mô tả:
+ Nhà xây mới, chắc chắn, thiết kế hiện đại, đầy đủ công năng . Khách mua chỉ việc xách vali về ở.
+ Nhà trung tâm Tây Hồ, ngõ rộng gần Hồ Tây lộng gió. Khu dân trí cao, an ninh đảm bảo.
 Chủ đầu tư lâu năm, xây rất tâm huyết và đảm bảo chất lượng, rất tôn trọng nhu cầu khách hàng 
+ Thiết kế:
- Tầng 1: Bếp, phòng khách, bếp, wc.
- Tầng 2-3-4: Mỗi tầng 1 Pn và wc.
- Tầng 5: Phòng thờ và sân phơi.
+ Sổ đẹp, vuông vắn, sẵn sàng giao dịch.


-24/7 Em Phương .

",03/04/2022,Tin thường,batdongsan_so_com_vn_1673828589.2699552,, 4,, 3, 5
"4,7 tỷ VNĐ",Đường Trung Văn, 33m2,"-Siêu phẩm Trung Văn - Từ Liêm diện tích xinh xắn 33m2, 5 tầng , mặt tiền thông số đẹp 3.3m , giá chào 4.7 tỷ -LÔ GÓC - NGÕ RỘNG - TẶNG LẠI GẦN HẾT ĐỒ. - Mô tả. +Nhà 5 tầng chủ tự xây rất tâm huyết. +Sở hữu lô góc nên các phòng đều rất thoáng sáng. +Tầng 1 thông sàn, vệ sinh. +Tầng 2 gồm 2 phòng ngủ, 1 vệ sinh. +Tầng 3 phòng khách, vệ sinh. phòng ngủ. +Tầng 4 phòng bếp, phòng ngủ. +Tầng 5 sân vườn với không gian thoáng 4 bề rất phù hợp tổ chức các buồi tiệc nướng BBQ, hay thường trà ngắm hoa quá tuyệt. - Quá đẹp dành cho mọi người ! - 24/7 Em Phương ",03/04/2022,Tin thường,batdongsan_so_com_vn_1673828590.4148922,, 4,, 3, 5
"8,8 tỷ VNĐ",Đường Trần Vỹ, 41m2,"-Nhà nằm ở Trần Vỹ diện tích 41m2 , 4 tầng , mặt tiền 4.1m , giá kinh doanh 8.8 tỷ -PHÂN LÔ Ô TÔ TRÁNH GARA KINH DOANH - THOÁNG TRƯỚC SAU - KHU VỰC HIẾM NHÀ BÁN - CÁCH MẶT PHỐ 50m - Ở SƯỚNG PHẢI BIẾT !!! + Nhà vị trí đẹp gần phố, ngõ ô tô tránh gara ô tô, kinh doanh văn phòng. + Khu vực dân trí cao nhà thuộc khu phân lô quân đội, sau nhà khe thoáng 1.2m. + Nhà thiết kế tầng hai phòng cầu thang giữa tổng 4 ngủ. + Tầng 4 phòng thờ sân phơi. + Sổ đỏ vuông đẹp cất két sẵn sàng giao dịch. -24/7 Em Phương 0969836315 !",03/04/2022,Tin thường,batdongsan_so_com_vn_1673828591.4860268,, 6,, 4, 4
"6,8 tỷ VNĐ","Nguyễn Lân, Phương Liệt", 47m2,"+ Nhà nằm khu dân trí cao, ngõ thông kinh doanh nhỏ, ô tô qua nhà. + Nhà cạnh khu quân đội nên a ninh tuyệt đối đảm bảo, xung quanh là khu vực thể dục thể thao hiện đại, đi thêm vài bước là đến siêu thị Atermis với nhiều tiện nghi. +Nhà thiết kế đẹp 4 tầng, vững chãi,mua về chỉ việc ở luôn không phải lo nghĩ. +Sổ đỏ luôn sẵn sàng, giao dịch nhanh gọn và chuyên nghiệp.  Liên hệ: Em Nguyễn Đại - 0963883403 để được tư vấn và xem nhà miễn phí.",03/04/2022,Tin thường,batdongsan_so_com_vn_1673828592.6040711,, 3, 2, 4, 4
"3,14 tỷ VNĐ",Văn Phú- Hà Đông, 41m2,"Nhỉnh 3 tỷ, 41m, 5 tầng, ngõ thông, dân xây, ô tô gần, Văn Phú, Hà Đông - Vị trí: Nhà thuộc phố Văn Phú trung tâm quận Hà Đông, giao thông vô cùng thuận lợi Có thể đi từ các tuyến phố chính như Lê Trọng Tấn, Văn La, Lý Thường Kiệt, Trần Đăng Ninh, Hoàng Đôn Hòa, Hà Càu, Quang Trung,... - Nhà giáp Khu đô thị Văn Phú hưởng trọn nhiều lợi ích: bãi xe, chợdan sinh, siêu thị, trường học các cấp, ngân hàng,.... Nhà thiết kế siêu sang chảnh ánh sáng ngập tràn, ngõ thoáng rộng , vài bước ra ô tô tránh, nhà đẹp xách vali đến ở ngay. - Giá chỉ có 3.14 tỷ cho một căn nhà 5 tầng siêu đẹp 41m2 trung tâm quận Hà Đông. - Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24h/7 ( zalo, fb). Tư vấn Pháp lý, vay vốn.",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828593.6332824,,,,, 5
"3,19 tỷ VNĐ",Vạn Phúc- Hà Đông, 41m2,"Bán nhà đẹp gần chợ Vạn Phúc, Hà Đông, 41m, 5 tầng, ngõ thoáng, dân xây + Quận Hà Đông đang phát triển hiện đại, một nơi lý tưởng để an cư lập nghiệp, quỹ đất ở hạn hẹp dần, sở hữu một căn nhà trung tâm Quận Hà Đông là bắt kịp xu thế đầu tư lợi nhuận, ở đẳng cấp và tiện nghi, di chuyển đi đâu cũng vô cùng thuận lợi được coi là cửa ngõ thủ đô. + Nhà phố Vạn Phúc, 41m vuông vắn, nhà thiết kế hiện đại các phòng ngập tràn ánh sáng tự nhiên là sự lựa chọn số 1 cho anh chị đang tìm nhà trên 3 tỷ . Căn nhà tại vị trí vô cùng đắc địa, thuận lợi di chuyển các tuyến phố trung tâm: Ngô Quyền, Tố Hữu, Thanh Bình, Yết Kiêu, Văn Quán, Mỗ Lao, Phúc La, Quang Trung, Nguyễn Tãi,... + Tôi và anh chị có thể tham khảo so sánh thêm một số căn nhà rất đẹp đang chào bán khoảng hơn 3 tỷ: - Nhà Mậu Lương 30m, 4 tầng mới đẹp. - Nhà Đa Sỹ 32m, ngõ thoáng. - Đất Hà Trì 41m sổ đỏ vuông vức, ngõ thông. - Sổ đỏ vuông, sẵn sàng giao dịch. - Giá: 3.19 tỷ ( có thương lượng). - Liên hệ ngay với em Huyền Thổ cư Hà Đông- KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24h/7 ( zalo, fb). Tư vấn Pháp lý, vay vốn",02/04/2022,Tin thường,batdongsan_so_com_vn_1673828594.6575432,,,,, 5
