price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Lộ giới,Số phòng ngủ,Số toilet
"15,65 tỷ VNĐ",Xuân thủy, 85m2,"CẦN BÁN CCMN CẦU GIẤY 85M 8T THANG MÁY Ô TÔ NHỈNH 15 TỶ + Trung tâm Cầu giấy nhiều trường Đại học lớn như: Đại học Quốc Gia, Sư Phạm, Thương Mại, Báo chí Tuyên truyền.. + Đường chính lớn Cầu giấy, Láng, Trần Thái Tông, Khúc Thừa Dụ, Nguyễn Văn Huyên... + Rất đông sinh viên, người đi làm, Công ty, Văn phòng.. + Giá thương lượng + Sổ đẹp sẵn sang tên, pháp lý sạch, Sang tên nhanh gọn. + Gọi Em Đức để chốt giá tốt. 0812212525",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811464.967836,,,,,
5 tỷ VNĐ,Vạn Phúc- Hà Đông, 46m2,"Bán nhà Vạn Phúc, Hà Đông, 46m, mặt tiền 5m, ô tô, gần phố chỉ 5 tỷ Bán nhà riêng tại Vạn Phúc, Hà Đông vị trí trung tâm chỉ 5 tỷ có diện tích rộng 46m, các phòng thoáng sáng mát mẻ đầy đủ công năng sử dụng, mặt tiền siêu khủng, ngõ ô tô, cách phố vài bước chân, chỉ việc đến ở. Xung quanh nhà đầy đủ tiện ích: trường học, chợ, ngân hàng, siêu thị, bệnh viện, bưu điện. Hàng xóm hiền hoà, khu phố văn minh, ở rất sướng. Giao thông đi các phố ra Quang Trung, hàng xóm Ngô Quyền, Lên Văn Quán cắt ngang Mỗ Lao ra Phúc La. Chủ nhà cần tiền cho con đi du học cần bán nhanh trong tháng 7 âm. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 5 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Cháu gái chủ nhà ( miễn trung gian, môi giới).",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811466.6872356, 5,,,,
"5,1 tỷ VNĐ",Mỗ Lao- Hà Đông, 46m2,"Hơn 5 tỷ nhà Mỗ Lao, Hà Đông, 46m, 5 tầng, ô tô, ở ngay, 5m ra phố Bán nhà khu vực vip Mỗ Lao, Hà Đông. Nhà có vị trí đắc địa chỉ vài bước chân ra phố, dân xây đẹp vô cùng thoáng sáng, các phòng rộng, ngõ ô tô nông, chỉ việ đến ở. Giao thông tuyệt vời hàng xóm Văn Quán, cạnh Vạn Phúc thông Quang Trung đối diện Phúc La ra Trần Phú. Xung quanh đầy đủ tiện ích, hàng xóm văn minh, an ninh tuyệt đối. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 5.1 tỷ ( có gia lộc). Liên hệ ngay em Huyền ( 0363703491- 0965472910). Sở hữu hơn 10.000 căn nhà đẹp trong khu vực phân khúc từ 3- 100 tỷ",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811467.991247,, 5,,,
"5,1 tỷ VNĐ",Mỗ Lao- Hà Đông, 46m2,"Hơn 5 tỷ nhà Mỗ Lao, Hà Đông, 46m, 5 tầng, ô tô, ở ngay, 5m ra phố Bán nhà khu vực vip Mỗ Lao, Hà Đông. Nhà có vị trí đắc địa chỉ vài bước chân ra phố, dân xây đẹp vô cùng thoáng sáng, các phòng rộng, ngõ ô tô nông, chỉ việ đến ở. Giao thông tuyệt vời hàng xóm Văn Quán, cạnh Vạn Phúc thông Quang Trung đối diện Phúc La ra Trần Phú. Xung quanh đầy đủ tiện ích, hàng xóm văn minh, an ninh tuyệt đối. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 5.1 tỷ ( có gia lộc). Liên hệ ngay em Huyền ( 0363703491- 0965472910). Sở hữu hơn 10.000 căn nhà đẹp trong khu vực phân khúc từ 3- 100 tỷ",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811469.339599,, 5,,,
5 tỷ VNĐ,Vạn Phúc- Hà Đông, 46m2,"Bán nhà Vạn Phúc, Hà Đông, 46m, mặt tiền 5m, ô tô, gần phố chỉ 5 tỷ Bán nhà riêng tại Vạn Phúc, Hà Đông vị trí trung tâm chỉ 5 tỷ có diện tích rộng 46m, các phòng thoáng sáng mát mẻ đầy đủ công năng sử dụng, mặt tiền siêu khủng, ngõ ô tô, cách phố vài bước chân, chỉ việc đến ở. Xung quanh nhà đầy đủ tiện ích: trường học, chợ, ngân hàng, siêu thị, bệnh viện, bưu điện. Hàng xóm hiền hoà, khu phố văn minh, ở rất sướng. Giao thông đi các phố ra Quang Trung, hàng xóm Ngô Quyền, Lên Văn Quán cắt ngang Mỗ Lao ra Phúc La. Chủ nhà cần tiền cho con đi du học cần bán nhanh trong tháng 7 âm. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 5 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Cháu gái chủ nhà ( miễn trung gian, môi giới). ",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811470.4915168, 5,,,,
"3,6 tỷ VNĐ",Đường Vũ Tông Phan phường Khương Đình, 48m2,"Chủ cần bán gấp nhà phố Vũ Tông Phan – Ngã tư sở, diện tích 48m, 4 tầng, ngõ thông, rộng thoáng, thuận tiện đi lại. Vị trí: Cách ô tô tránh 30m, gần hồ, chợ, trường cấp 1, 2, 3. Mô tảTầng 1: phòng khách, để xe, bếp,wc. Pháp lý: sổ đỏ chính chủ ",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811471.9037395, 3, 4, 2, 4, 4
"2,35 tỷ VNĐ",Đường Bát Khối phường Thạch Bàn, 32m2,"+ Vị trí. Nhà thuộc tổ 8 phường Thạch Bàn, + Thiết kế. Nhà dân tự xây để ở. Hiện có 3 tầng, 2 phòng ngủ có thể sử dụng được ngay hoặc xây thêm được 1,5 tầng nữa. Các tầng hiện tại đầy đủ trang thiết bị. ",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811473.2856646, 4, 3, 2, 2,
"3,9 tỷ VNĐ","Tứ Hiệp, Thanh Trì HN", 45m2,"+ Vị trí nhà rất đẹp, ngõ ngay sát Trung tâm thương mại và bệnh viện đa khoa Thanh Trì, 2 mặt ngõ trước sau nhà ô tô ra vào thoải mái, gần mặt phố, mặt chợ, tiện ích đầy đủ. 10m ra đường ô tô tránh. + Nhà khung cột chắc chắn, mỗi tầng 2 phòng rộng, đang có sẵn 4 ngủ ở luôn, trước sau đều mở cửa thoáng. + Sổ vuông đẹp, giao dịch nhanh.",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811474.7308452,,,,,
"3,8 tỷ VNĐ","Tứ Hiệp, Thanh Trì, HN", 56m2,"Nhà 5 tầng, 3 ngủ, sạch đẹp ở luôn, sân rộng, gần mặt phố to.  + Vị trí nhà rất đẹp, sát Trung tâm thương mại, bệnh viện đa khoa Thanh Trì, gần đường Ngọc Hồi, gần mặt phố, tiện ích đầy đủ. + Nhà khung cột còn chắc chắn, mỗi tầng 1 phòng rộng, đang có sẵn 3 ngủ, trước sau đều mở cửa. + Sân to rộng. + Sổ vuông đẹp, giao dịch ngay. ",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811476.0383477,,,,,
"3,3 tỷ VNĐ","xuân đỉnh, bắc từ liêm", 59m2,"Xuân Đỉnh, giá sốc, 59m2, 3 tầng, 3.3 tỷ + Vị trí nằm ở phường Xuân Đỉnh, Bắc Từ Liêm, ngõ rộng thông thoáng, khu dân cư đông đúc, tiện ích xung quanh đầy đủ + Nhà 3 tầng dân tự xây, chắc chắn, khách mua về ở ngay, giá sốc nhà rộng + Chủ nhà thiện chí bán Sổ đỏ chính chủ, sẵn sàng giao dịch Lh Mr Tùng 0969541111( Chuyên Thổ Cư Hà Nội)",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811477.223178,,,,,
"2,8 tỷ VNĐ","trần cung, cổ nhuế 1, bắc từ liêm", 35m2,"Trần Cung, giá rẻ, 30m2 x 3 tầng, giá 2.8 tỷ + Vị trí đẹp, nằm ở phường Cổ Nhuế 1, Bắc Từ Liêm, ngõ nông, đi lại thuận tiện, căn duy nhất có giá rẻ trong khu vực + Nhà 3 tầng dân tự xây, chắc chắn + Chủ nhà thiện chí bán Sổ đỏ chính chủ, sẵn sàng giao dịch Lh Mr Tùng 0969541111( Chuyên Thổ Cư Hà Nội)",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811478.4449894,,,,,
"4,09 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 1, 32m2,"-         Tầng 2,3,4 mỗi tầng 1 ngủ. ",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811479.669747, 3, 5, 2, 3, 4
9 tỷ VNĐ,"Giảng Võ, Giảng Võ, Ba Đình, Hà Nội.", 90m2,"Bán nhà Phố Giảng Võ, LÔ GÓC, KINH DOANH , 90M2, GIÁ nhỉnh 9 TỶ. + Nhà dân tự xây, thiết kế 4 tầng hiện đại, mt 6m. + Ngõ rộng, gần phố, gần bệnh viện, trường học, giao thông thuận tiện. + Nội thất gỗ thịt cực sang. + Sổ đỏ vuông vắn, sẵn sàng giao dịch! 0️⃣3️⃣5️⃣6️⃣5️⃣5️⃣1️⃣0️⃣9️⃣1️⃣   = 0️⃣9️⃣4️⃣4️⃣1️⃣8️⃣5️⃣3️⃣5️⃣4️⃣ Lh : Vân Anh – 0356551091 – 0944185354.",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811480.76977, 6, 4,, 3, 3
