price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
16 tỷ VNĐ,Hà Nội, 77m2,"Bán nhà chính chủ đường Nguyễn Chí Thanh, kinh doanh tốt.NHÀ MỚI ĐẸP - KINH DOANH - Ô TÔ - THANG MÁY - NGÕ THÔNG TO NHƯ PHỐ.Diện tích 77 m2, 6 tầng thang máy, mặt tiền 5 m. - Liên hệ xem nhà 24/7: 0366 555 258. - Đường trước nhà to như phố 3 ô tô tránh nhau thoải mái, ngõ thông, kinh doanh tốt. - Khu vực VIP rất ít nhà bán, tầm tiền cực đỉnh, kinh doanh sầm uất, cho thuê rất được giá. - Giao thông thuận tiện, đi đâu cũng tiện lợi gần Huỳnh Thúc Kháng, Láng Hạ, Nguyên Hồng, Trúc Khê, Thái Hà... - Chủ nhà xây để ở nhưng nay thay đổi mục đích sử dụng bán đi rất tiếc, nội thất dùng toàn đồ nhập khẩu cao cấp hiện đại. + Tầng 1: Gara ô tô, bếp, wc. + Tầng 2, 3, 4, 5: Các phòng, wc. + Tầng 6: Phòng thờ, sân phơi.Sổ đỏ vuông vắn, sẵn sàng giao dịchGiá chào chỉ 16 tỷ thương lượng mạnh.Đừng bỏ lỡ cơ hội, liên hệ xem nhà ngay - 0366 555 258. ",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826719.990115,,,,,,
"7,5 tỷ VNĐ",Đường Yên Hòa phường Yên Hòa, 65m2," - Bán gấp tòa căn hộ 12  phòng cho thuê 65m2  6T - Phố Yên Hòa. - Giá 7.5 tỷ (thương lượng). Doanh thu 60tr/ tháng nhà mới, nội thất full. Tọa lạc tại vị trí vàng phố Yên Hòa, Cầu Giấy. Là khu vực tổ hợp nhiều trường đại học, nhiều công ty, văn phòng nhất tại Hà Nội. Khu vực này nhu cầu thuê nhiều, giá trị thuê cao, dòng tiền ổn định 60tr/ tháng. Thiết kế hiện đại, phong cách homestay phong cách, trẻ trung. Nhà mới đẹp, chắc chắn, hoàn hảo. --------- Thiết kế: T1: Để xe + 01 căn hộ. T2.3.4.5.6: Gồm 10 căn hộ khép kín. Sổ vuông đẹp, nở hậu.  Giá bán: 7.5 tỷ (có thương lượng). Liên hệ em Huyền (call/sms/zalo)",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826721.3764071, 6, 3, 6, 11, 11,
"9,8 tỷ VNĐ",Đường Lê Trọng Tấn phường Khương Mai, 42m2,,26/04/2022,Tin thường,batdongsan_so_com_vn_1673826722.5602753,, 4, 4, 4, 3,
"6,85 tỷ VNĐ","DƯƠNG VĂN BÉ, HAI BÀ TRƯNG", 5m2,"Mô tả: + Nhà mặt ngõ rộng, tại phố Dương văn bé, ngay cạnh time city. + Được hưởng các tiện ích của Time city… + Nhà xây quá đẹp, kiên cố, chắc chắn, + Có thể làm văn phòng, 1 bước ra phố, tỏa đi mọi hướng đều thuận tiện + 3 phút lên bờ hồ, Phố cổ + Một bước chân ra chợ vĩnh tuy, chợ chợ cóc Dương Văn Bé. + 2 phút ra bệnh viện Thanh Nhàn, bệnh viện Bạch Mai.,  Gần các trường học như cấp 1,2,3 và các trường đại học Kinh Doanh và Công Nghệ, ĐH Bách Khoa, ĐH Kinh Tế Quốc Dân, ĐH Xây Dựng… + Giá chào 6.85 tỷ,  Có thương lượng. + Diện tích 64m2. + Sổ đỏ sắn giao dịch. +Miễn phí tư vấn, xem nhà 100%. + Liên hệ : Nguyễn Dương  0825920555 Để được tư vấn, xem nhà và hỗ trợ tốt nhất.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826723.6743145, 5, 3, 4, 4,,
11 tỷ VNĐ,"ĐƯỜNG ĐẶNG THAI MAI, QUẢNG AN, TÂY HỒ", 75m2,"BÁN NHÀ PHỐ ĐẶNG THAI MAI, BIỆT THỰ SÂN VƯỜN, MẶT TIỀN 6.4M, GIÁ 11 TỶCc cần bán nhà trung tâm quận Tây Hồ, nhà đẹp, vị trí đẹp, ở sướng, diện tích 75m2+ Gia đình cần bán lại căn nhà sân vườn rất chi đẹp, được thiết kế 4 tầng với mặt tiền 6.4m nên nhà vuông vắn và sáng thoáng trước sau cho không gian tuyệt đẹp vô cùng.+ Được tọa lạc ngay đầu con phố Đặng Thai Mai, vị trí siêu siêu đẹp, chỉ chừng 100m là ra phố Xuân Diệu, để ở vô cùng thích vì cạnh Hồ, vị trí trung tâm đi đâu cũng tiện.+ Gia đình thuê kiến trúc sư về thiết kế ngôi nhà nên rất tỉ mỉ từng chi tiết nhỏ, toàn bộ sàn nhà, cầu thang và cửa được ốp gỗ lim sịn sò, nội thất bên trong toàn đồ nhập khẩu Châu Âu.+ Đặng Thai Mai là phố mà du khách nước ngoài tập trung để sinh sóng rất nhiều, gần nhà là tuyến phố chuyên giành cho Tây ở, cạnh nhà là các nhà hàng, khách sạn 5 sao và các thương hiệu thời trang nổi tiếng phục vụ khách Vip trong và ngoài nước, thuocj con phố đáng sống.+ Tuyến phố nối với Tô Ngọc Vân, Quảng An, Yên Hoa, Vũ Miên thông lên đường Yên Phụ và phố Yên Phụ nhỏ, đường Thanh Niên, Trúc Bạch, toàn tuyến phố huyết mạch của quận giao thông thông thuận đi lại tiện lợi. Giáp danh với quận Ba Đình và Hoàn Kiếm.+ Hàng xóm dân trí cao, an ninh tốt, khu phố yên tĩnh, sạch sẽ, cạnh Hồ lại cạnh cả 2 Hồ Sen, không gian tuyệt để đi bộ dạo hóng gió thể dục sáng tối.+ Sổ đỏ vuông đẹp, chính chủ, giá bán 11 tỷ có thương lượng cho khách thiện chí mua.+ Liên hệ : 0886083333 Gia đình chỉ gặp trực tiếp người mua, miễn MG trung gian.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826724.8940506,,, 4, 4,,
"15,6 tỷ VNĐ",Hà Nội, 75m2,"Bán nhà Yên Lãng, kinh doanh đỉnh cao mọi loại hình - SĐT: 0366 555 258.Chỉ 15.6 tỷ có tòa nhà văn phòng thang máy chủ thiện chí thương lượng mạnh..Diện tích 75m2, xây 7 tầng máy, mặt tiền 5 m.Vị trí đắc địa nằm trên phố Yên Lãng giáp Thái Hà, thông phố Thái Thịnh, Láng Hạ, Hoàng Cầu, Trần Quang Diệu, Huỳnh Thúc Kháng…Giao thông thuận tiện nhiều tòa nhà văn phòng xung quanh kinh doanh sầm uất, lòng đường rộng 9 m.Khu dân trí cao an ninh tốt, dân cư sầm uất, thuận tiện cho kinh doanh buôn bán, làm văn phòng.Sổ đỏ chính chủ.Liên hệ ngay Ms Thanh - 0366 555 258.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826726.3920426,,,,,,
"4,5 tỷ VNĐ","đường Hữu Hưng, Tây Mỗ", 65m2,"Nhà hai mặt ngõ, ô tô đỗ cửa. Hướng Nam+ Ngõ thẳng tắp, cách đường lớn Hữu Hưng 10m.+ Nhà 4 tầng sẵn 4PN, 4 WC, phòng khách, bếp.+ Nhà bán nằm ở trung tâm quận Nam Từ Liêm, khu vực đang phát triển cực nhanh, Đại Mỗ là nơi vị trí đắc địa, đi ra Đại Lộ Thăng Long, Hà Đông, Thanh Xuân... Thuận lợi; Siêu thị, cây xăng, chợ, trường học sát bên. Liên hệ Mr Bằng 0866.682.966",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826727.4368432,,,,,,
16 tỷ VNĐ,Hà Nội, 74m2,"Bán nhà sổ đỏ đường Huỳnh Thúc Kháng, kinh doanh cực tốt - LH: 0856 968 656.Kiếm đâu ra một căn nhà giữa khu trung tâm VIP Hà Nội thiết kế đỉnh cao, hiện đại. - Nhà xây 7 tầng phong cách thiết kế độc lạ bắt mắt, thang máy chạy mượt tít. - Nằm ở khu vực đông dân kinh doanh tốt, gần TTTM Vincom, các trường học, chợ và bệnh viện… - Ngõ thoáng rộng, ô tô tránh, hàng xóm thân thiện tốt tính và có học thức cao. - Diện tích 74 m2 rộng thoáng mát. Mặt tiền rộng thênh thang. - Giá đẹp chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ tư vấn, xem nhà hoàn toàn miễn phí ngay Mr. Bình - 0856 968 656.Tôi đang có rất nhiều căn nhà đẹp, giá tốt, chính chủ thiện chí gửi bán.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826728.575801,,,,,,
16 tỷ VNĐ,Hà Nội, 76m2,"Bán nhà đường Hồ Đắc Di quận Đống Đa, kinh doanh sầm uất - LH: 0856 968 656.Diện tích 76 m2, mặt tiền 5 m, nhà xây 7 tầng đẹp, thiết kế gara ô tô, thang máy.Nhà thoáng, trước nhà rộng ô tô tránh nhau, nội thất xịn đầu tư tiền tỷ vào ở ngay.Gần chợ, trường học, bệnh viện, trung tâm thương mại, nhiều cây xanh, công viên, hồ thoáng mát…Khu an ninh tốt, dân trí cao, tiện ở, cho thuê, kinh doanh...Sổ đỏ chính chủ.Giá chào bán chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay em Bình - 0856 968 656.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826729.6569002,,,,,,
"3,5 tỷ VNĐ",Bạch Mai - Hà Nội, 45m2,"Nhà nằm trung tâm quận hai bà trưng,vị trí đắc địa không thể đẹp hơn ngay Ngã tư Thanh Nhàn,Bạch Mai, Lê Thanh Nghị … thuận tiện giao thông đi lại, gần nhiều bệnh viện trường học lớn,Bách Khoa , Xây Dựng , Kinh Tế Quốc Dân….. nhiều khu vui chơi mua sắm giải trí. Ngõ trước nhà rộng rãi oto tải đỗ cửa thoải mái thông đi khắp các ngả Thanh Nhàn , Phố Huế , Đại Cồ Việt, Lò Đúc ,Tạ Quang Bửu , Lê Thanh Nghị…khu vực dân trí cao, yên tĩnh phù hợp với gia đình có trẻ nhỏ người già. Sổ đỏ chính chủ, chủ nhà thiện chí, thanh khoản nhanh cho khách thiện tríChi tiết LH: em Nhật 0977194820 (Chuyên Nhà đất Thổ cư).Lưu ý:- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826730.7300298,,,,,,
