price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng
"3,75 tỷ VNĐ","Đường Minh Khai, Mai Động, Hoàng Mai", 52m2, 3, 2, 3, 3, 3,"- Vị trí đắc địa, rất gần ô tô, ngõ thoáng rộng, thông tứ tung, khu vực dân trí cao, an ninh tốt, gần chợ, gần trường... tiện ích bạt ngàn. - Nhà chủ tự xây, khung cột chắc chắn, thiết kế hợp lý. - Diện tích rộng 52m2 x 3 tầng, giá bất chấp đầu tư, khu vực chỉ có căn duy nhất. - Thiết kế đủ công năng 3 ngủ, phòng khách, phòng thờ, sân phơi và có sân để được chục cái xe máy. - Sổ đỏ vuông vắn, nở hậu, sẵn sàng giao dịch. - Gía: 3.75 tỷ ( có thương lượng). - LH: 0906520066. Mrs Đào. Làm việc chính chủ.",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784333.1585937,
"2,9 tỷ VNĐ","Đường Lê Văn Lương, Nhân Chính, Thanh Xuân", 30m2, 4, 3, 4,,,"+Chính chủ cần bán nhà đường Lê Văn Lương, Quận Thanh Xuân, diện tích 32m2 x 4 tầng giá yêu thương 2,9 tỷ. + Nhà chủ xây tâm huyết, Nội thất đẹp. + Khu vực phát triển kinh điển, giao thông thuận tiện, dân trí cao, an ninh tốt.  + gần trường học, và các tiện ích. + Nhà đẹp, thiết kế hiện đại: - Tầng 1: để xe và bếp ăn. -Tầng 2+3. phòng ngủ rộng đẹp. - Tầng 4: phòng thờ và sân phơi. + có thể lên thêm tầng và cải tạo thành nhiều phòng cho thuê. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784334.374341,
45 tỷ VNĐ,Tràng Thi Hoàn Kiếm Hà Nội, 54m2, 7,, 6, 4, 4,"- Diện tích 54m2 X6 Tầng MT 7.8m 45 tỷ ( có thương lượng )- Vị trí đẹp nhất phố Tràng Thi, ngay gần ngã năm Cửa Nam. Khu vực dân cư đông đúc, số lượng người nước ngoài nhiều vô kể, kinh doanh tấp nập ngày đêm.- Nhà được thiết kế bởi kiến trúc sư người Pháp!+ Tầng 1: thông sàn!+ Tầng 2: thông sàn!+ Tầng 3: Phòng khách!+ Tầng 4+5: mỗi tầng 2 phòng!+ Tầng 6: phòng thờ sân phơi.- Có ô chờ thang máy!- Giao thông kết nối : Phan Bội Châu. Hàng Bông. Triệu Quốc Đạt. Phủ Doãn. Quán Sứ. Hội Vũ. - Sổ đỏ pháp lý chuẩn, sẵn sàng giao dịch.- Liên hệ em Quân để được tư vấn và xem nhà0385 94 1802Miễn ( TG Quảng Cáo )",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784335.5364475,
"3,5 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 33m2, 6, 2, 5, 3, 4,"
    NHÀ ĐẸP - NGÕ NÔNG - Ô TÔ ĐỖ CỬA - 20M Ô TÔ TRÁNH - TIỆN ÍCH NGẬP TRÀN - AN SINH ĐỈNH + Ô tô đỗ cửa, 20m ra ô tô tránh, ngõ đẹp, thoáng sạch, ngõ trước nhà 3m. Cả ngõ đồng bộ nhà đẹp. Gần chợ, trường học các cấp.+ Cách trường quốc tế Việt Pháp chưa đến 5 phút, trung tâm Ngọc Thụy. Cách cầu Chương Dương 1.5km. +  Nhà dân xây 5 tầng khung cột kiên cố, khách mua về tút tát vệ sinh là lại có nhà mới. Nhà xây 3 năm còn như mới. Nội thất tất cả các phòng đã lắp điều hòa.+ Chủ thiện chí thương lượng và gia lộc cho khách thiện chí mua nhà- Sổ đỏ đẹp, vuông, giao dịch ngay.Xem nhà - Liên hệ Mrs. Hương.
",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784336.7043238,
"4,6 tỷ VNĐ",Đông Tác- Phương Mai- Đống Đa- Hà Nội, 36m2, 3, 5, 4, 4, 2,"-Nhà xây 4 tầng chắc chăn, nhà rất thoáng có ban công các tầng. -Khu vực nhiều khách tìm, gần trung tâm thương mại có nhiều tiện ích không thiếu thứ gì,trường học, bênh viện Bạch Mai, bến xe...đi lại vào các trung tâm quận rất thuận lợi. -Nhà thiết kế 4 tầng cầu thang giữa. +Tầng 1:Phòng khách, bếp. +Tầng 2,3:Mỗi tầng 2 phòng và vệ sinh. +Tầng 4:Phòng và khu sân phơi đồ. - Sổ đỏ giao dịch ngay.  ",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784337.7944088,
"11,8 tỷ VNĐ",Thái Hà- Trung Liệt-Đống Đa- Hà Nội, 50m2, 3, 6, 6, 6, 4,"NHÀ ĐẸP OTO VÀO NHÀ - NGÕ ĐẸP NHẤT TRÊN PHỐ THÁI HÀ - KINH DOANH LÀM VĂN PHÒNG ĐỈNH - CĂN HỘ - VỈA HÈ RỘNG. Diện tích 50m2 x 6 tầng x 3.8m mặt tiền Ngõ 98 Thái Hà nông, thẳng, rộng, ô tô con vào tận nhà Khu vực an ninh, an sỉnh đỉnh, gần chợ Thái Hà, hồ Hoàng Cầu, rạp phim Quốc gia, bệnh viện nội tiết tw, bệnh viện châm cứu tw, bệnh viện Đống Đa, đh học Thủy Lợi, bể bơi Thái Hà + Hiện mới xây xong hơn 1 năm phong cách hiện đại, nội thất đẳng cấp + Tầng 1: gara oto, bếp, WC + Tầng 2: Phòng khách rông, phòng ngủ, wc. + Tầng 3,4 : Có 4 phòng ngủ, wc. + Tầng 5: phòng thờ, ngủ nhỏ, kho. + Tầng 6: sân thượng. + Sổ đỏ nở hậu đẹp, sẵn sàng giao dịch",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784338.8545709,
"2,8 tỷ VNĐ","Đường Nhân Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội", 92m2, 5, 6, 1, 3, 2,"+ Chung cư 789 Mỹ Đình thuộc Bộ Quốc Phòng, cư dân là bộ đội, công an... dân trí cao, an ninh tốt. Chủ đầu tư xây chất lượng miễn bàn. + Nhà mình bán lô góc, các phòng ngập tràn ánh sáng. Chủ nhà là Bác sĩ, ở rất giữ gìn, sạch sẽ, nhà ở có lộc nên chủ bán chuyển sang nhà to. Để lại gần hết nội thất cho khách mua. + Hàng xóm cực văn minh, thân thiện. + Tổng 3 ngủ, 2 vệ sinh, 1 phòng khách, 1 bếp. Ban công viewr sân Vận động Mỹ Đình, sân bóng...dịp lễ đứng ở ban công ngắm pháo hoa. + Sổ đỏ sẵn sàng giao dịch.",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784339.855893,
"3,68 tỷ VNĐ",Nguyễn Lương Bằng- Nam Đồng- Đống Đa- Hà Nội, 28m2, 3, 6, 4, 3, 2,"+ Vị trí đẹp, ngõ 75 Trần Quang Diệu thông tứ tung với ngõ 180 Nguyễn Lương Bằng, ngõ 136 Tây Sơn, đi đâu cũng tiện. Xung quanh ô tô bãi gửi gần sát, chợ, trung tâm hành chính thương mại, bệnh viện Đống Đa, sân bóng Hoàng Cầu. Cách vườn hoa mấy chục mét, đi bộ ra thể dục, vui chơi, gửi ô tô. Nhà xây chắc chắn, lô góc thoáng sáng, kiên cố, vuông đét. Đẹp mới, nội thất tặng lại, về ở luôn. - Tầng 1: Phòng khách, bếp, wc. - Tầng 2,3: Mỗi tầng 1 phòng ngủ, wc. - Tầng 4: Phòng ngủ, phòng thờ. + Pháp lý sạch, sổ đỏ đầy đủ.",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784340.8462436,
"5,2 tỷ VNĐ",Thịnh Quang- Đống Đa- Hà Nội, 36m2,,,,,,"- Phố Thịnh Quang thông từ 438 Tây Sơn, Vĩnh Hồ và phố Thái Thịnh. - Khu vực trung tâm, lõi Đống Đa, tiện ích không thiếu thứ gì. Gần Chợ Vĩnh Hồ, gần trường mầm non Vĩnh Hồ, cấp 2,3 Thịnh Quang, thông các tuyến đường huyết mạch Thủ đô, 1 phút ra đến ngã tư Sở đi đâu cũng tiện. - Nhà 4 tầng dân xây khung cột chắc chắn, nội thất đầy đủ tiện nghi. *Thiết kế: - Tầng 1: Phòng khách + Bếp + Để xe. - Tầng 2,3: Mỗi tầng 2 phòng ngủ, wc. - Tầng 4: Phòng thờ và Sân phơi. - Sổ đỏ vuông đẹp, pháp lý sạch, sẵn sàng giao dịch. * Liên hệ 0919295326",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784341.9293468,
"5,65 tỷ VNĐ",Chùa Bộc- Đống Đa- Hà Nội, 45m2, 4, 6, 4, 3, 2,"Nhà gần mặt đường, ngõ cực rộng thoáng, thông phố Tam Khương, Khương Thượng, Tôn Thất Tùng. Nhà thiết kế hiện đại, tiện nghi: +Tầng 1: Sân để xe và phòng khách+ bếp +Tầng 2+3: Mỗi tầng 2 phòng ngủ+ WC +Tầng 4: Phòng thờ và sân phơi Vị trí gần chùa Bộc, sầm uất nhiều tiện ích, gần chợ Thủy Lợi, chợ Đông Tác, siêu thị Vincom, bệnh viện đh Y Hà Nội, đh THủy Lợi, Học viện Ngân Hàng,......... Liên hệ số 0919295326",07/12/2022,Tin thường,batdongsan_so_com_vn_1673784342.9256833,
