price,address,Diện tích,Hướng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Số tầng,Mặt tiền,Lộ giới
"2,2 tỷ VNĐ",toà S1.08 Vinhome ocean park tại Gia Lâm, 63m2, Đông nam, 2, 2,"Cần bán căn hộ chung cư 15 tầng 23 toà S1.08 Vinhome ocean park tại Gia Lâm, Hà Nội- Diện tích 62,7m2 - Ban công hướng Tây Bắc, cửa hướng Đông Nam- Căn hộ thiết kế gồm có: 2 phòng ngủ 2 vệ sinh -  View nhìn ra Vinschool- Nội thất chủ đầu tư bàn giao: Sàn gỗ 2 phòng ngủ, 3 điều hoà- Vị trí nhà đẹp ,giao thông đi lại thuận tiện ,dân cư đông đúc ,khu an ninh tốt ,xung quanh có đầy đủ tiện ích như :chợ ,trường học...- Giá bán : 2,2 tỷ (Có thương lượng)Chính chủ: 0911036035  Nguồn:  http://nhadathanoi.net.vn/",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826681.7090955,,,
2 tỷ VNĐ,Trần Đại Nghĩa - Hà Nội, 35m2,,,,"Vị trí nhà đẹp như tiên giáng trần đúng 3 bước chân ra mặt phố. Ngõ thẳng thông, thoáng gần phố, ba bước ra mặt phố, gần nhà có sân chơi rộng như sân đá bóng. Trẻ em trong khu chơi đùa thì hết ý. Có công có việc cũng chả lo. Hàng xóm xung quanh toàn trí thức doanh nhân, nhà lầu biệt thự đuề huề dân trí khỏi bàn. Khu vực kỳ trung tâm đắc địa ở ngay đoạn đẹp nhất nút giao Trần Đại Nghĩa – Đại La trung tâm của các trung tâm, gần bệnh viện Bạch Mai, Đại học Bách Khoa, Xây Dựng, Kinh tế Quốc dân…. Giao thông thuận tiện sang các quận trung khác như Đống Đa, Thanh Xuân, Hoàn Mai…., vài phút ra bờ Hồ, Tây Hồ, Time City…Ngôi nhà là tâm huyết bao năm của gia chủ tay trắng lập nghiệp dựng cơ đồ lập công ty tại gia. Nay công ty ngày một phát triển thịnh vượng đã mua nhà mặt phố lớn để làm trụ sợ nên đành dứt ruột bán đi.Giá chào 2  tỷ có thương lượng cho khách hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826682.8959193,,,
"3,1 tỷ VNĐ","ngõ 96 đường Văn Minh, Di Trạch, Hoài Đức, Hà Nội", 39m2,,,,"Chính chủ bán nhà ngõ 96 đường Văn Minh, Di Trạch, Hoài Đức, Hà Nội ( Sát khu đô thị Di Trạch)Diện tích: 38,3m2 x 4 tầng- Nhà xây 4 tầng để ở nên rất kiên cố, thiết kế hiện đại, lựa chọn nguyên vật liệu xây dựng ,vật tư và nội thất cao cấp từ gạch đến trang trí và thiết bị sinh hoạt- Vị trí đẹp ,gần UBND,  gần trường học....- Ôtô đỗ cửa, khu dân cư thân thiện, khu dân trí cao an ninh tốt- Giao thông thuận lợi nên tiện cho việc đi lại và sinh hoạtGiá bán: 3,1 tỷ ( Bao gồm đầy đủ nội thất cơ bản)Liên hệ chủ nhà: 0988313499 - Sổ đỏ chính chủ
 
Nguồn:  http://nhadathanoi.net.vn

",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826683.8827555, 4,,
200 triệu VNĐ/m2,Phường Cổ Nhuế, 65m2,,,,"Cực hiếm nhà mặt tiền đường Trần Cung 65m2, MT 8m Ô tô tránh . Kinh doanh 30tr/tháng. Giá nhỉnh 200tr/m2.+ Nhà mặt tiền Trần Cung kinh doanh hoặc cho thuê làm văn phòng, dòng tiền tạo thu nhập ổn định gần 400tr/ năm . Công năng đầy đủ, tiện ích.+ Đường chính ô tô tránh thoải mái, Kinh doanh đỉnh, đường  thông ra các tuyến phố nội đô sầm uất tiện ích. + Gần trường học các cấp, cửa hàng buôn bán san sát tấp nập. .Dân cư đông đúc tập trung nhiều sinh viên qua lại mua bán.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7. ",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826685.0237143,,,
7 tỷ VNĐ,Vạn Phúc- Hà Đông, 61m2,,,,"Chú tôi bán nhà mặt phố Vạn Phúc, Hà Đông, 61mx6T, lô góc, vỉa hè rộng, kinh doanh Bán gấp nhà mặt phố Vạn Phúc, Hà Đông. Vị trí đẹp nhất, vỉa hè thênh thang, nhà lô góc thoáng sáng rất hiếm. Trục chính sang Nguyễn Thanh Bình, đi Ngọc Trục, ra Tố Hữu, thông sang Ngô Quyền và ra Phố Quang Trung rất thuận lợi. Nhà tự xây rất đẹp chắc chắn phù hợp các loại hình kinh doanh: Spa, nail, tóc, quán ăn, cafe, hiệu thuốc, phòng khám...., dân cư xung quanh văn minh, sầm uất ngày đêm. Chủ nhà là doanh nhân thành đạt, cần bán để đầu tư máy móc, nhà rất có lộc, mặt phố đẹp hiếm nhà bán. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 7 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826686.0689077, 6,,
"8,3 tỷ VNĐ",Bà Triệu- Hà Đông, 50m2,,,,"Bán em mặt phố Bà Triệu, Hà Đông, 50m, 5 tầng, vỉa hè kinh doanh Tôi cần bán nhà mặt phố cổ Bà Triệu ngay cạnh chợ Hà Đông. Giao thông thuận lợi di chuyển các con phố cổ giáp Bà Triệu, cắt ngang phố Lê Lợi, thông ra Tản Đà và Hoàng Diệu, ngay cạnh vườn hoa Nguyễn Trãi, cách khu đô thị Văn Quán chỉ 100m. Tuyến phố huyết mạch, dân cư đông đúc, sầm uất bậc nhất. Nhà có vị trí đẹp gần trường học các cấp, chợ dân sinh, siêu thị, ngân hàng đầy đủ. Vỉa hè kinh doanh, đường trước nhà 3 ô tô tránh. Phù hợp làm siêu thị mini, cafe, spa, quán ăn, phòng khám,.... Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 8.3 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826687.094165, 5,,
"8,7 tỷ VNĐ","ngõ 86 Ngọc Thụy, Quận Long Biên, Hà Nội", 90m2, Đông nam,,,"Chính chủ bán nhà ngõ 86 Ngọc Thụy, Quận Long Biên, Hà NộiDiện tích: 90m2. Mặt tiền: 4,7m, hướng Đông Nam. Nhà xây 3 tầng, có gara ô tô.Thiết kế 2 phòng ngủ, 2WC, ngõ rộng ô tô 7 chỗ vào.Tầng 1: gara, phòng khách, bếp, WC.Tầng 2: 2 phòng ngủ + WC.Tầng 3: phòng thờ + sân phơi.Khu vực thuận tiện giao thông, gần trường, chợ, gần Mipec Long Biên.Giá bán: 8,7 tỷ - Sổ đỏ chính chủChính chủ: 0818134409
 
 
Nguồn:  http://nhadathanoi.net.vn

",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826688.0816443, 3, 4,
"8,3 tỷ VNĐ",Bà Triệu- Hà Đông, 50m2,,,,"Bán em mặt phố Bà Triệu, Hà Đông, 50m, 5 tầng, vỉa hè kinh doanh Tôi cần bán nhà mặt phố cổ Bà Triệu ngay cạnh chợ Hà Đông. Giao thông thuận lợi di chuyển các con phố cổ giáp Bà Triệu, cắt ngang phố Lê Lợi, thông ra Tản Đà và Hoàng Diệu, ngay cạnh vườn hoa Nguyễn Trãi, cách khu đô thị Văn Quán chỉ 100m. Tuyến phố huyết mạch, dân cư đông đúc, sầm uất bậc nhất. Nhà có vị trí đẹp gần trường học các cấp, chợ dân sinh, siêu thị, ngân hàng đầy đủ. Vỉa hè kinh doanh, đường trước nhà 3 ô tô tránh. Phù hợp làm siêu thị mini, cafe, spa, quán ăn, phòng khám,.... Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 8.3 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826689.3103452, 5,,
7 tỷ VNĐ,Vạn Phúc- Hà Đông, 61m2,,,,"Chú tôi bán nhà mặt phố Vạn Phúc, Hà Đông, 61mx6T, lô góc, vỉa hè rộng, kinh doanh Bán gấp nhà mặt phố Vạn Phúc, Hà Đông. Vị trí đẹp nhất, vỉa hè thênh thang, nhà lô góc thoáng sáng rất hiếm. Trục chính sang Nguyễn Thanh Bình, đi Ngọc Trục, ra Tố Hữu, thông sang Ngô Quyền và ra Phố Quang Trung rất thuận lợi. Nhà tự xây rất đẹp chắc chắn phù hợp các loại hình kinh doanh: Spa, nail, tóc, quán ăn, cafe, hiệu thuốc, phòng khám...., dân cư xung quanh văn minh, sầm uất ngày đêm. Chủ nhà là doanh nhân thành đạt, cần bán để đầu tư máy móc, nhà rất có lộc, mặt phố đẹp hiếm nhà bán. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 7 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826690.1979692, 6,,
10 tỷ VNĐ,"Hồ Tùng Mậu, Cầu Giấy", 46m2,, 6,,"+ Bán gấp nhà Hồ Tùng Mậu, Cầu Giấy lô góc, S:46m2, 6 tầng, mặt tiền 5.6m, kinh doanh đỉnh.+ Tầng 1: Thông sàn. Tầng 2345: Mỗi tầng 2 ngủ khép kín. Tầng 6: Sân phơi, có cột chờ. Có thể lên 8 tầng. Chủ xây chắc chắn, vững chắc không thấm dột.+ Nhà về ở ngay, có thể làm Gara để ô tô nếu không kinh doanh. Kinh doanh Spa, siêu thị mini, cửa hàng thuốc... đều rất phù hợp.+ Vị trí nhà giao thông thuận lợi, thông ra nhiều đường lớn như Hồ Tùng Mậu, Phạm Văn Đồng,Mai Dich, xung quanh là hệ thống các trường đại học, cao đẳng. Tiện ích không thiếu gì.",26/04/2022,Tin thường,batdongsan_so_com_vn_1673826691.455729, 6, 5,
