price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet
"6,5 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 85m2, Đông bắc, 4, 3,"DỰ ÁN TIỀM NĂNG NHẤT KHU VỰC TÂ Y HÀ NỘI KHI HOÀI ĐỨC LÊN QUẬN!Sơn Đồng Center SỨC BẬT TỪ HẠN TẦNG đưa các NHÀ ĐẦU TƯ đón sóng! ✨ Chiết khấu lên đến 5,5% ✨ Ân hạn nợ gốc 24 tháng ✨ Hỗ trợ lãi suất 0% trong 12 thángSơn Đồng Center - giải cơn khát shophouse, liền kề ở khu vực phía Tây Hà Nội với hệ thống hạ tầng đồng bộ đem đến tính thanh khoản cao, tỷ suất đầu tư lớn, an toàn và hiệu quả. Đề án lên Quận năm 2022 Cơ sở hạ tầng hoàn thiện, tập trung triển khai các nhiệm vụ hoàn thiện các tiêu chí thành lập quận trong đó có quy hoạch và mở rộng các tuyến đường - tạo sức bật cho BĐS trong tương lai gần",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830865.7354891,,,
,"Nhà đẹp, gần phố, ở ngay Nguyễn Đình Hoàn, DT 46mx5T, MT 4m, 4 tỷ hơn.", 46m2,,,,"Nhà đẹp ở ngay, đầy đủ công năng, gần phố, ngõ thoáng, thẳng tắp. Vị trí thuận tiện, nhà thiết kế hợp lý, phòng nào cũng thoáng sáng, có sân để xe, gần oto. Khu vực dân trí cao, an ninh tốt, ở cực sướng. Gần chợ, gần trường ĐH lớn: ĐH Điện lực, ĐH Ngoại Ngữ, ĐH Quốc gia,... Vài phút ra các tuyến đường lớn: Hoàng Quốc Việt, Phạm Văn Đồng, Cầu Giấy...Sổ đỏ chính chủ sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830867.8529963,,,
86 tỷ VNĐ,Quận Hai Bà Trưng, 185m2,, 7,,"Chủ chuyển đồi mô hình đầu tư, nhờ bán tòa nhà đa năng 7 tầng (văn phòng kết hợp căn hộ dịch vụ). Nhà mặt phố VIP quận Hai Bà Trưng, vị trí ngay gần ngã 4.Thiết kế 2 tầng hầm, mặt tiền cực lớn, vỉa hè rộng thênh thang. Hiện đang cho thuê tầng 3 tầng dưới với giá 160 triệu/thángDiện tích: 185m2 (từ tầng 2 đua ra 210m2) x 7 tầng tổng diện tích mặt sàn 1150m2, mặt tiền 18mGiá: 86 tỷ (CÒN THƯƠNG LƯỢNG, LÀM VIỆC TRỰC TIẾP CHỦ NHÀ)MẶT PHỐ QUẬN HBT - NGAY NGÃ 4 - MẶT TIỀN LỚN - CÓ HẦM - KINH DOANHLiên hệ xem nhà và nhận thông tin chi tiết: 0981367887- Thửa đất đẹp, mặt tiền lớn. Sổ pháp lý chuẩn cất két sẵn sàng giao dịch",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830869.857287, 18, 56,
"2,02 tỷ VNĐ","Sơn Lộc, Sơn Tây, Hà Nội", 101m2,,,,"Bán gấp 101m2 đất ngõ phố Chùa Thông Sơn Tây 101m2,đường ô tô tránh.Cạnh KĐT Á Châu Sơn Tây.- Diện tích 101m2 full TC. Mặt tiền=hậu=5m quá đẹp cho ngôi nhà tiêu chuẩn.- Đất phố giá nông thôn chỉ nhỉnh 2 tỷ.- Hàng xóm với KĐT Á Châu-Sơn Tây tiềm năng xxx3xxx5.- Cách UBND phường Sơn Lộc 300m.- Bán kính 1km có trường cấp 1,2,3; chợ Trung Sơn Trầm; bệnh viện 105; các trường học viện ngân hàng, quân y, biên phòng.- Dân cư đông đúc, dân trí cao. Xung quanh đầy đủ tiện ích. - Sổ đỏ chính chủ, công chứng trong ngày.Liên hệ xem đất 24/7: Mr. Dương/0914450004.",02/03/2022,Tin thường,batdongsan_so_com_vn_1673830871.8589325, 5, 5,
"3,8 tỷ VNĐ","Nhà đẹp, gần phố, ở ngay Hoàng Quốc Việt, DT 42mx5T, MT 4m chỉ 3,8 tỷ.", 40m2,,,,"Nhà đẹp ở ngay, đầy đủ công năng, gần phố, ngõ thoáng, thẳng tắp. Vị trí thuận tiện, nhà thiết kế hợp lý, phòng nào cũng thoáng sáng, có sân để xe, gần oto. Khu vực dân trí cao, an ninh tốt, ở cực sướng. Gần chợ, gần trường ĐH lớn: ĐH Điện lực, ĐH Ngoại Ngữ, ĐH Quốc gia,... Vài phút ra các tuyến đường lớn: Hoàng Quốc Việt, Phạm Văn Đồng, Cầu Giấy...Sổ đỏ chính chủ sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830875.3758183,,,
"3,2 tỷ VNĐ",Phố Thọ Lão Quận Hai Bà Trưng, 24m2,, 5, 3,"Vị trí trung tâm gần chợ, trường học, bệnh viện. Tiện ích tràn ngập. chủ bán nhà đi để xây nhà mới. Nhà 5 tầng còn rất đẹp, chắc chắn mua về dùng luôn ! Nhà thiết kế như sau : Tầng 1 : Bếp, để xe, phòng khách. Tầng 2 + 3 + 4 mỗi tầng 1 phòng ngủ rộng và 1 WC. Tầng 5 : phòng thờ, sân phơi. Sổ đỏ chính chủ để két, sẵn saàng giao dịch.",03/03/2022,Tin thường,batdongsan_so_com_vn_1673830879.4998245, 3,, 4
"3,8 tỷ VNĐ","Nhà đẹp, gần bãi oto, ở ngay Trần Cung, DT 45mx5T, MT 4m chỉ 3,8 tỷ.", 45m2,,,,"Nhà đẹp ở ngay, đầy đủ công năng, gần khu Đô thị Nam Cường, hưởng trọn tiện ích. Vị trí thuận tiện, nhà thiết kế hợp lý, phòng nào cũng thoáng sáng, có sân để xe, gần bãi oto. Khu vực dân trí cao, an ninh tốt, ở cực sướng. Gần chợ, gần trường ĐH lớn: ĐH Điện lực, ĐH Ngoại Ngữ, ĐH Quốc gia,... Vài phút ra các tuyến đường lớn: Phạm Văn Đồng, Tôn Quang Phiệt, Trần Cung,...Sổ đỏ chính chủ sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830880.9251604,,,
"4,1 tỷ VNĐ","Nhà đẹp ở ngay Lạc Long Quân, Tây Hồ, DT 49mx5T, MT 4m chỉ 4 tỷ 1.", 49m2,,,,"Nhà chủ xây kiên cố tâm huyết, giữ gìn cẩn thận xem là mê. Vị trí thuận tiện, nhà thiết kế hợp lý, phòng nào cũng thoáng sáng, có sân để xe riêng. Khu vực dân trí cao, an ninh tốt, ở cực sướng. Vài phút ra các tuyến đường lớn: Võ Chí Công, Tây Hồ, Cầu Giấy, Xuân La,...Sổ đỏ chính chủ sẵn sàng giao dịch. Trịnh Hiền 0963839587-0915999462 (gọi hoặc inbox 24/24) chuyên nhà thổ cư, sở hữu thông tin trên 10.000 căn nhà trên địa bàn Hà Nội, đủ các phân khúc giá tốt cần thanh khoản gấp. Miễn phí xem nhà, gặp chính chủ thương lượng giá. Hỗ trợ thủ tục pháp lý, sang tên chuyển nhượng, hỗ trợ vay vốn ngân hàng 24/7. Xin cảm ơn anh/ chị đã quan tâm tin đăng.",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830882.7962909,,,
17 tỷ VNĐ,Hà Nội, 73m2,,,,"  + Bán nhà phân lô phố Nguyễn Lương Bằng, quận Đống Đa - LH: 0856 968 656.  + Phố Nguyễn Lương Bằng Thông nhiều trục đường lớn: Tây Sơn, Xã Đàn, Đông Các, Hoàng Cầu, Ô Chợ Dừa…  + Nhà nằm vị trí đẹp nhất khu vực, giao thông vô cùng thuận tiện.  + Đường ô tô tránh, ô tô để ngoài hoặc để trong đều được.   + Nhà chủ tự xây chắc chắn, tối ưu công năng, trang bị thang máy và toàn bộ nội thất nhập khẩu.  + Vị trí đắc địa làm gì cũng được: nhà hàng, văn phòng, spa, phòng khám...  + Diện tích 73m2, mặt tiền 6 m.  + Giá chào bán chỉ 17 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn (Gặp chủ nhà đàm phán trực tiếp).  + Sổ đỏ chính chủ.Liên hệ 24/7 em Bình thổ cư - 0856 968 656.Để xem nhà trực tiếp và trao đổi chính chủ.",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830884.6648972,,,
"1,8 tỷ VNĐ","Chung cư Green Pearl Bắc Ninh, P. Võ Cường, Tp. Bắc Ninh, Bắc Ninh", 74m2, Đông nam, 10, 2,"Chung cư thương mại cao cấp, có 2 tầng hầm để xe và 29 tầng nổi.Vị trí mặt đường Lê Thái Tổ trung tâm thành phố Bắc Ninh.Toà nhà 29 tầng với 475 căn hộ cao cấp bậc nhất Bắc Ninh.Thiết kế tiện ích sang trọng với 2 tầng hầm để xe, 4 tầng trung tâm thương mại, 1 bể bơi ngoài trời, khu vườn trên mây tầng 29 với diện tích khoảng 2000m2.Cách Trung tâm thương mại Aeon Mall 1km.Đối diện UBND Võ Cường, nằm trên đường Nguyễn Cao kéo dài cắt ngang Lê Thái Tổ.Xung quanh là các showroom, nhà hàng, khách sạn, sân bóng, sân tennis,Tiến độ thi công đã đạt mức 85%, nhận nhà ngay đầu quý II năm 2022.Hỗ trợ vay tới 70% tối đa 20 năm.",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830886.9139488,,, 2
