price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2, 10, 2, 2,"*SIÊU PHẨM - CHUNG CƯ HƯNG THỊNH TẠI LINH ĐÀM CHUẨN BỊ MỞ BÁN ️ Hanoi Melody Residences - Hưng Thịnh Tây Linh Đàm *Vị Trí Đắc Địa: tại trung tâm bán đảo Linh Đàm, dễ dàng kết nối nhiều trục đường huyết mạch *50 Suất trực tiếp từ CĐT - Giá gốc *1OO% căn hộ có 2 Logia đón nắng gió và ánh sáng tự nhiên. *Gồm 29 tầng nổi, 3 tầng hầm để xe. Tầng 1&2 là shophouse. Căn hộ ở từ tầng 3-29. Mỗi block 8 đến 12 căn hộ với 15 thang máy, có thang vận chuyển rác riêng *Mật độ ""Siêu Thoáng"". *Hỗ trợ vay đến 70% giá trị căn hộ *Pháp lý: minh bạch, sở hữu lâu dài. —-------------------------  *VỊ TRÍ VÀNG - 4 MẶT TIỀN TRUNG TÂM T.P HÀ NỘI: Chung cư hiếm hoi sở hữu vị trí trung tâm - Kết nối hoàn hảo các điểm tiện ích đắt giá nội thành Hà nội: *Cách bệnh viện Bạch Mai chỉ 20 phút đi xe. *Cách bến xe Giáp Bát chỉ 15 phút đi xe. *Cách bến xe Nước Ngầm chỉ 10 phút đi xe. *Cách trường Tiểu học Chu Văn An chỉ 2 phút đi bộ. *Cách chợ Đại Thanh, chợ Linh Đàm - 500m *TỔNG QUAN VỀ DỰ ÁN: - Chủ đầu tư uy tín: Hưng Thịnh - Phát triển dự án: Hưng Thịnh Corporation - Diện tích: 3.28 ha ( gồm 4 block căn hộ) - Quy mô: 29 tầng - Giao nhà: Dự kiến Quý 1/2024 *THIẾT KẾ THÔNG MINH - HƯỞNG TRỌN TIỆN ÍCH HIỆN ĐẠI Không gian linh hoạt: 68m2; 76m2; 82m2; 98m2; 121m²; 147m² (2-3 𝐏𝐍) Với thiết kế hình chữ L giúp tất cả các căn hộ đều có mặt thoáng tự nhiên. Không gian mát mẻ quanh năm, địa thế tự nhiên, không khí trong lành, mảng xanh tự nhiên, hồ điều hòa,... Hơn 200 Tiện ích nổi bật: Siêu thị, trung tâm thương mại, Gym, spa, nhà hàng, nhà trẻ, khu thể thao phức hợp, bể bơi vô cực, … Mọi thông liên hệ trực tiếp: 0987808686 ",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809043.0247142,,
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2, 10, 1, 1,"Hiện nay chúng tôi đang phân phối quỹ căn hộ Imperia Smart City với đa dạng các loại diện tích: Studio - 1PN - 2PN - 3PN và tầng, hướng, view công viên hồ trung tâm đẹp nhất dự án (đặc biệt có căn vip giá độc quyền đã bán hết trên bảng hàng chúng tôi đều có) với chính sách ưu đãi khủng: - Thanh toán 10% ký ngay hợp đồng mua bán. - Tặng tiền mặt lên đến 65 triệu/căn hộ. - Bốc thăm trúng 1,5 cây vàng SJC - có ngay 100 triệu. - Chiết khấu 19% khi thanh toán sớm. - Chiết khấu 10% khi thanh toán theo tiến độ thường. - Hỗ trợ vay lên đến 70 - 80% giá trị căn hộ. - Vay vốn lãi suất 0% trong 24 tháng. - Miễn phí dịch vụ trong 5 năm. Hotline: 0987808686. Thông tin dự án Imperia Smart City: - Chủ đầu tư: Công ty cổ phần HBI. - Chiều cao: 38 - 39 tầng. - Diện tích: Từ 28.3m2 đến 75.6m2. - Dự kiến bàn giao: T9.2023 - T5.2024. Tiện ích dự án: - Một bước chân tới ngay công viên hồ trung tâm 10.2 ha. - Gần sát nhà để xe 10 tầng đáp ứng nhu cầu của cư dân mà các phân khu khác chưa làm được. - Cạnh trường học VinSchool đã đi vào hoạt động. - Gần các tuyến ga metro số 5,6,7 dễ dàng di chuyển các khu vực trong và ngoài thành phố. - Gần trung tâm thương mại Vincom Mega Mall. - Tham quan vườn nhật lớn nhất Đông Nam Á hàng ngày mà không mất bất kỳ khoản phí nào. - Bể bơi hơn 1000m2 ngay chân tòa nhà. - Tổ hợp 15 công viên thể thao ngay trước mặt dự án. - Cư dân Imperia được hưởng tất cả quyền lợi của cư dân Vinhomes và được hưởng thêm quyền lợi riêng của CĐT. Liên hệ tư vấn, nhận bảng giá và chính sách mới nhất:0987808686",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809044.764101,,
68 tỷ VNĐ,Đường Sơn Tây phường Kim Mã, 105m2, 5, 6, 5,"  Siêu phẩm mặt phố Sơn Tây, lô góc 2 mặt phố, KD đỉnh, thang máy, 105mx5T, 68 tỷ  Bán gấp nhà mặt phố Sơn Tây cực hiếm, quận Ba Đình + Diện tích rộng 105m cùng với mặt tiền cực khủng, thang máy nhập khẩu cao cấp, chỉ 5m đến chợ Ngọc Hà. Hiện trạng đang làm quán ăn vô cùng đông khách + Khu vực quan chức cực vip, an ninh tốt, vị trí vàng lô góc 2 mặt phố, dân cư đông đúc, sầm uất, xe cộ chạy suốt ngày đêm +. Khách mua về sử dụng khai thác dòng tiền cực có lộc, kinh doanh bất chấp mọi loại hình + Sổ đỏ chính chủ, không quy hoạch, không tranh chấp + Giá: 68 tỷ (có thương lượng) LH: 0971834616 ",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809045.982409, 6, 30
"7,75 tỷ VNĐ",Tăng Bạt Hổ Hai Bà Trưng Hà Nội, 80m2, 4, 4,,"+ Vị trí trung tâm Hành Chính, Phố Cổ, 5 phút tới Hồ Gươm, Nhà Hát Lớn. + Nhà mình ở ngay sát vườn hoa PASTER. + Diện tích 80m2, mặt tiền 7.1m, nhà thoáng 4 mặt, gần phố. + Nhà cực kỳ xây tâm huyết và chắc chắn, thiết kế không bao giờ là lỗi thời. + Sổ đỏ chính chủ, sang tên luôn trong ngày. + Tài chính 7.75 ( ra lộc ) Quan tâm xin liên hệ: Minh Quang 0327085656 ( Anh chị em môi giới vui lòng không gọi điện. Xin cảm ơn )",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809047.644048,,
"5,95 tỷ VNĐ",Đường Hoàng Như Tiếp phường Bồ Đề, 42m2, 5, 6, 5," Cực phẩm phố Hoàng Như Tiếp, 42mx5T, ở luôn, giá 5,95 tỷ  Gia chủ cần bán gấp nhà riêng tại phố Hoàng Như Tiếp, diện tích 42m, xây 5 tầng Tọa lại tại vị trí cực vip, tiện ích vô cùng nhiều: trường học các cấp, Berrive Long Biên, Bệnh viện  Tâm Anh,….Khu vực thoáng mát, sạch sẽ, an ninh đảm bảo, dân cư thân thiện, lịch sự Nhà được xây dựng rất chắc chắn, nở hậu, ở rất có lộc,thiết kế rất hợp lý cùng với lối kiến trúc hiện đại, thích hợp để an cư lạc nghiệp lâu dài Mô tả: Tầng 1: phòng khách, bếp Tầng 2: 1 phòng ngủ rộng Tầng 3,4 mỗi tầng 2 phòng ngủ Tầng 5: phòng thờ, sân phơi Sổ đỏ chính chủ, cất két chờ giao dịch Giá: 5,95 tỷ (có thương lượng) LH: 0971834616 ",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809049.1809356, 5, 4
"7,5 tỷ VNĐ",văn quán, 52m2, 5, 6, 4,"Bán Nhà, Chiến Thắng . Hà Đông. Ô Tô Kinh Doanh 52m2 x 5 tầng. Mặt Tiền 4.6m Giá 7.5 Tỷ.    PHÂN LÔ - KINH DOANH, VĂN PHÒNG – Ô TÔ ĐỖ NGÀY ĐÊM  + Nhà mặt ngõ Chiến Thắng, cách đường Chiến Thắng vài bước chân giao với các đường Quang Trung , Trần Phú, Ngã Tư Sở, Vành Đai 3, 19/5, Triều Khúc, Ngả đi các hướng nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần trường học các cấp Ban Mai, gần Bệnh Viện 103, gần ga tàu điện trên cao, gần Trung Tâm Thương Mại Roal Anl CiTy, Siêu Thị Big C, Coopmax Hà Đông, các trường đại học lớn như: Đại Học Kiến Trúc, Học Viện Bưu Chính Viễn Thông, Học Viện Mật Mã,cách Hồ Văn Quán vài Trăm mét, gần chợ Xanh và chợ đầu mối cũng như rất nhiều dịch vụ xung quanh đa dạng và phong phú các loại hình vui chơi giải trí khác. Giao thông thuận tiện, an ninh an toàn. + Nhà nằm trên khu phố sầm uất nhất khu vực Hà Đông, Nhà mặt ngõ, kinh doanh, văn phòng các loại hình dịch vụ rất đa dạng.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng khách, Bếp, wc  - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng54 : Phòng thờ, sân phơi. + Nhà khung cột bê tông chắc chắn. Chủ bán để vào Nam sinh sống.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809050.7277987, 4,
,Đường Lý Thánh Tông  phường đa tốn, 63m2, 20, 2, 2,"Căn hộ Thiết kế PK 2PN Bếp 2WC vuông vắn. Tiện ích đa dạng và độc quyền mang đậm dấu ấn Vingroup: Bể bơi, khu vui chơi, vườn thực vật, vườn dạo bộ, đảo tập yoga, vườn BBQ, hầm để xe có 2 hầm, gần trường học, và đại công viên Ocean View,
",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809052.147998,, 1
"4,5 tỷ VNĐ",Đường Nguyễn Sơn phường Bồ Đề, 55m2, 4, 4, 4,"Bán nhà 4 tầng dân xây Nguyễn Sơn, ngay sát phố, giá cực tốt  Vị trí:+ Cực đẹp, ngõ to, ngay sát phố lớn, cách ô tô chỉ 10m, cách tầm phố 40m, lô góc sáng thoáng.+ Xung quanh ngập tràn tiện ích, trường, chợ Gia Lâm, vườn hoa Gia Lâm, trường học, bến xe, TTTM..., 5p sang phố cổ Hoàn Kiếm.* Thiết kế:+ Nhà xây khung chắc chắn, mỗi tầng chia 2 phòng, cầu thang giữa. Tổng 4 phòng ngủ, đầy đủ công năng hiện đại.- Tầng 1: Phòng khách, bếp, wc, sân để xe riêng rộng rãi.- Tầng 2: Phòng ngủ.- Tầng 3: 2 phòng ngủ, wc.- Tầng 4: Phòng ngủ rộng, wc, sân phơi.+ Sổ đỏ chính chủ, pháp lý chuẩn. Chi tiết xin liên hệ: Vũ Tuấn - chuyên bđs thổ cư, biệt thự, nhà phố Long Biên...theo số..   0399.o.27.o.11.o.14.o",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809053.3767555, 4, 3
"3,65 tỷ VNĐ",Đường Thụy Phương phường Thụy Phương, 57m2,,,,"+ Vị trí rất đẹp, mặt phố Thụy Phương, ô tô tránh, kinh doanh như cafe, quán ăn tấp nập. + Tiện ích xung quan đầy đủ, khu dân cư văn minh lịch sự. + Vị trí thuận tiện đi lại, 1km ra đường Phạm Văn Đồng, Xuân Đỉnh, An Dương Vương, Hoàng Tăng Bí, Bệnh viện Nam Thăng Long. Bán kính 3km gồm các trường đại học: Đại học Y tế Công cộng, Đại học Tài nguyên và Môi trường, Đại học Mỏ, Học viện Tài chính... + Sổ đỏ, pháp lý sach.  ",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809054.8845377, 4,
"1,6 tỷ VNĐ",Đường Tỉnh Lộ 131 phường Quang Tiến, 83m2,,,,"
    + Cần tiền bán gấp lô đất siêu đẹp ĐỐI DIỆN KHU CÔNG NGHIỆP NỘI BÀI
- Diện tích : 83.7m2
- Mặt tiền: 4.0m
- Mặt hậu 4.23m nở hậu siêu đẹp
+ TẠI : XUÂN BÁCH - QUANG TIẾN - SÓC SƠN - HÀ NỘI .
+ Vị trí mảnh đất đẹp ,thuận tiện giao thông.
- Mặt bìa làng đường rộng 5m ô tô tránh nhau, view ra cánh đồng rất thoáng mát
- Cách chợ xuân bách 100m, gần trường học các cấp.
- Cách cổng khu công nghiệp 200m.
- Khu vực tiện ích đầy đủ, giao thông thuận tiện, là lô đất tiềm năng đầu tư, ở lâu dài.
- Sổ sách pháp lý rõ ràng ,đất nở hậu
+ Giá : 1.6 tỷ bao sổ chi phí sang tên đổi chủ
+ Liên hệ chính chủ : 0368898638
",12/08/2022,Tin thường,batdongsan_so_com_vn_1673809056.7546477, 4,
