price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet
13 tỷ VNĐ,Hoàng Ngân, 50m2, 5, 4,"- Nhà nằm vị trí VIP, mặt ngõ thông, ô tô chạy vòng quanh, kinh doanh tấp lập, khu vực sầm uất, nơi tập chung nhiều người Hàn sinh sống.- Chủ thiết kế và xây dựng tâm huyết để ở lên vô cùng chắc chắn, nội thất xịn xò, Cầu thang, cửa và sàn đều bằng gỗ Lim nguyên khối....+ Sổ đỏ đẹp. Sẵn sàng giao dịch.+ Giá chào 13 tỷ (có thương lượng).+ Liên hệ ngay: 0968.627.597 Em Thế Anh (hỗ trợ xem nhà, tư vấn pháp lý, vay vốn ngân hàng, sang tên sổ đỏ).",16/09/2022,Tin thường,batdongsan_so_com_vn_1673801207.150864,,,
28 tỷ VNĐ,Bồ Đề, 94m2, 1, 1,"MẶT PHỐ HỒNG TIẾN - VỊ TRÍ ĐẸP - MẶT TIỀN RỘNG - KINH DOANH SẦM UẤT - GIÁ TRỊ TƯƠNG LAI 94M 28 TỶ  🚙 Nhà mình bán có vị trí đẹp hiếm gần ngay ngã ba Hồng Tiến, Lâm Du, Cổ Linh...* Đang cho thuê kinh doanh bán hàng nội thất xây dựng doanh thu (30tr/tháng )* Mặt tiền hiếm rộng đẹp, vỉa hè mênh mông, giao thông thuận tiện, đường đôi 2 chiều 🏡 Hiện trạng là nhà cấp 4  * Sổ đẹp, vuông vắn ",16/09/2022,Tin thường,batdongsan_so_com_vn_1673801212.5203297, 5, 10, 1
"25,8 tỷ VNĐ",Thành Nhàn Hai Bà Trưng Hà Nội, 60m2, 5, 6,"- Diện tích 60m2 x5 tầng, mt 4m  Giá bán 25.8 tỷ ( có thương lượng )  - Mặt phố kinh doanh sầm uất, vỉa hè rộng, lô góc 2 thoáng đằng trước là công viên và sân bóng đá tuổi trẻ và hồ Thanh Nhàn. • Tầng 1: Kinh doanh.• Tầng 2,3,4: mỗi tầng 2 ngủ + wc.• Tầng 5: phòng thờ, sân phơi. + Sổ đỏ chính chủ, pháp lý chuẩn sẵn sàng giao dịch! ACE có nhu cầu liên hệ với em để được tư vấn. Miễn ( TG Quảng Cáo )",16/09/2022,Tin thường,batdongsan_so_com_vn_1673801213.6144123, 4,, 6
"8,7 tỷ VNĐ",Trần Đăng Ninh, 40m2, 4, 4," # Bán nhà, mặt phố, tại quận Hà Đông, vị trí kinh doanh. LH Tình Nhà Đất 0906113879. + CC cần bán gấp nhà riêng của gia đình, tại mặt phố Trần Đăng Ninh, lô đất 40m2 vuông vắn, phong thủy đẹp, nhà xây chắc 4 tầng, mt 4m, thiết kế cầu thang giữa + ws, mỗi tầng 2 phòng rộng, đầy đủ công năng về ở ngay. nhanh tay LH thương lượng trực tiếp, để sở hữu ngay căn nhà đắc địa, vị trí kinh doanh, khu hiếm nhà bán này. + Vị trí mặt phố víp, khu phân lô sầm uất, ô bàn cờ xe chạy vòng quanh, đường 2 hàng ô tô tránh dừng đỗ, gần Siêu Thị Metro, Quận Ủy Hà Đông, cạnh KĐT Văn Phú, song song mặt đường Quang Trung, liên thông với các tuyến phố cổ như Hà Cầu, Văn Khê, KĐT văn Phú, Lê Hồng Phong, Tô Hiệu, Lê Lợi, Chưng Nhị. + Giá chỉ 8.7 tỷ ( Thương Lượng, thiện trí, giá chốt bất ngờ ). + Sổ đỏ vuông nét căng, pháp lý chuẩn, sẵn sàng giao dịch. # HotLine: 0906113879 Tình Nhà Đất quận Hà Đông – Hà Nội ( uy tín, tận tâm, nhiệt tình, sẵn sàng tư vấn, hỗ trợ 24/7 ).",16/09/2022,Tin thường,batdongsan_so_com_vn_1673801214.760353, 4, 8,
"3,2 tỷ VNĐ",thanh xuân hà nội., 35m2,,,"+ Bán Nhà Phố Ngụy Như Kon Tum, Quận Thanh Xuân-Lô Góc-Kinh Doanh 5Tầng 3.2Tỷ. Chủ nhà xây tâm huyết, thiết kế đẹp, ánh sáng ngập tràn, nội thất đầy đủ. Cần bán để sang nước ngoài ở với con. + Tầng 1: Phòng khách, Bếp, wc. + Tầng 2,3,4: phòng ngủ,wc. + Tầng 5: phòng thờ, khu phươi. + Giao với các đường Nguyễn Tuân, Khuất Duy Tiến, Nguyễn Xiển, Nguyễn Trãi, Vũ Trọng Phụng, Nhân Hòa…Ngõ thông thoáng 3 gác phi. Khu vực có nhiều cán bộ ở, an ninh cực tốt. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Liên hệ; 0911303899 - Mr Quân. Tư vấn miễn phí 24/24.",16/09/2022,Tin thường,batdongsan_so_com_vn_1673801216.0369368,,,
"7,6 tỷ VNĐ",Đường Tô Hiệu phường Nguyễn Trãi, 47m2, 5, 3,"Chủ bán nhà để chuyển về quê sinh sống an hưởng tuổi già+ Tô Hiệu là con phố trung tâm sầm uất nhộn nhịp của quận Hà Đông + Ngôi nhà nằm trong khu phân lô phân cho cán bộ cao cấp về hưu nên dân trí, an ninh đặc biệt tốt cùng với vô vàn tiện ích đi theo như 200m ra đến chợ Hà Đông, bán kính 300m đầy đủ trường học PT các cấp, 500m là trường quốc tế Marie Curie, đi xe mất 10 phút đến các trường đại học Kiến Trúc, Học Viện An Ninh, đại học Hà Nội, KHXH và NV..hay giao thương trực tiếp với trục đường chính Quang Trung, Trần Phú, Nguyễn Trãi..  rất gần các bệnh viện Quân Y Viện 103, đa khoa Hà Đông.... + Nhà được chủ xây tâm huyết 5 tầng gồm tầng 1 gara kinh doanh, các tầng trên 4 ngủ , phòng thờ sân phơi đầy đủ công năng sử dụng, 2 thoáng, nội thất xịn ở sướng .  + Chủ nhà thân thiện vui tính, con cái thành đạt bán đi về quê an hưởng tuổi già. + Sổ đỏ chính chủ pháp lý rõ ràng sẵn sàng giao dịch. Liên Hệ ngay e Đức 0904819386 để được tư vấn, xem nhà",16/09/2022,Tin thường,batdongsan_so_com_vn_1673801217.2343092, 4, 1, 6
6 tỷ VNĐ,Đường Trung Phụng phường Trung Phụng, 45m2, 5, 5,"Chính chủ bán nhà Trung Phụng (ngõ 360 Xã Đàn), Đống Đa 45m2 x 5T, MT 3.5m, chỉ 6 tỷ. + Nhà đẹp, rộng, thoáng, TRUNG TÂM, cách mặt phố vài bước chân, DÂN TRÍ CAO, kinh doanh tuyệt vời, gần chợ dân sinh, ga Hà Nội, công viên Thống Nhất, Vincom Phạm Ngọc Thạch.+ Nhà xây kiên cố, khung cột bê tông chắc chắn, các tầng đều có vệ sinh khép kín.+ Sổ đỏ vuông vắn, đẹp, chính chủ, sẵn sàng giao dịch bất cứ khi nào.+ Liên hệ: Phú Khang, 0966037496 (Kho hàng phong phú đa dạng)Zalo: 0966037496",16/09/2022,Tin thường,batdongsan_so_com_vn_1673801218.9417825, 3, 10, 5
"5,5 tỷ VNĐ",Vương Thừa Vũ, 40m2, 5,,"+ Trung tâm Phố Vương Thừa Vũ, giao thông thuận tiện. Thông sang Tô Vĩnh Diện, Hoàng Văn Thái, Nguyễn Ngọc Nại. - Diện tích rộng: 40m2, 5 tầng dân xây mới. - Mặt tiền rộng: 4m.  - Đường rộng thông thoáng, cách đường lớn 70m.+ Nhà mới đẹp, khung cột chắc chắn, khách mua về ở ngay.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.    LH: Em Hoan, 0925088355, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",16/09/2022,Tin thường,batdongsan_so_com_vn_1673801220.5514824, 4,,
"4,15 tỷ VNĐ",Đường Giải Phóng phường Hoàng Liệt, 36m2, 6, 5,""",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'cẦn="""" spanspantimes="""" yes'="""" bÁn=""""> GẦN BẾN NƯỚC NGẦM ĐỐI DIỆN"",""serif"";="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'="""" lÀ="""" spanspan="""" yes'="""" spanspantimes="""">HỒ LINH ĐÀM.   5"",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'tầng="""" spanspan="""" yes'="""" vi'="""">Giá Giải Phóng"",""serif"";="""" color:="""" red;="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi',="""" spanspantimes="""" yes'="""" hoàng="""" mai="""" span="""" p="""" class=""MsoNormalSPAN"" vi'="""">Được n giá trị căn nhà. -Nhà mới "",""serif"";="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'5="""" spanspantimes="""" yes'tầng,="""" xây="""" chắc="""" chắn,="""" hiện="""" đại,="""" span="""" p="""" class=""MsoNormalSPANTimes"" yes'="""">-Nội thất xịn xò "",""serif"";="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'full="""" cơ="""" bản="""" spanspantimes="""" yes'sẵn="""" chỉ="""" về="""" ở="""" span="""" p="""" class=""MsoNormalSPANTimes"" yes'="""">Giá 4,15 tỷ "",""serif"";="""" mso-no-proof:="""" yes;="""" mso-ansi-language:="""" vi'..="""" spanspantimes="""" yes'mt4span="""" span-="""" spanspan="""" vi'="""">) ..lienpham240473@gmail.com
",16/09/2022,Tin thường,batdongsan_so_com_vn_1673801222.1881065, 4, 3, 6
10 tỷ VNĐ,Đường Phương Canh phường Phương Canh, 102m2, 3, 6,"+ Ngõ 103 Phương Canh, ô tô vào - nhà đẹp- thoáng sáng - chủ tự xây - tặng toàn bộ nội thất - an sinh đỉnh. + Sổ đỏ chính chủ, vuông đẹp, pháp lý sạch, sẵn sàng giao dịch có nhà ở ngay. ",16/09/2022,Tin thường,batdongsan_so_com_vn_1673801223.8546488, 7, 4, 5
