price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
"11,5 tỷ VNĐ",Phố quan nhân, 71m2, 3, 4, 3,"BÁN NHÀ MẶT PHỐ QUAN NHÂN, 71M2, 3 TẦNG, MT 4M, CHỈ 11,5 TỶ Nhà mặt phố Quan Nhân sầm uất, đang cho thuê kinh doanh tại tầng 1, có thể tiếp quản cho thuê tiếp. Diện tích đất 71m2, 4 tầng, mặt tiền 4m. Tầng 1: Thông tầng cho thuê kd Tầng 2,3: có 2PN + bếp + PK + WC Giá chỉ 11,5 tỷ (quá tốt so với giá cùng khu vực), sổ đổ sẵn sàng giao dịch. Liên hệ: Mr Tiến Lucky – chuyên BĐS Thổ cư -  ĐT: 0979.160085",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822471.8533697,,,
"2,263 tỷ VNĐ",Đường Lê Hữu Tựu phường Nguyên Khê, 73m2,,,,"
    73M KHÊ NỮ NGUYÊN KHÊ- ĐẤT 3 MẶT TIỀN-OTO VÀO-GẦN VNG VÀ KCN NGUYÊN KHÊ-GIÁ RẺ SỐ 1Gia chủ cần tiền giải quyết công việc cần tìm chủ mới sang nhượng lô đất đẹp.- VỊ trí: Khê Nữ- Nguyên Khê- Đông Anh-HN-Diện tích 73m2. Đất 3 mặt tiền-Mặt tiền 5.4m.-Dài 13.6m.-Đường 3m ô tô con vào.-Với giá tiền chỉ 3xtr/m2(x mầm non như k có) sẽ không tìm được mảnh thứ 2.-Dân cư đông đúc, hàng xóm thân thiện, phù hợp để đầu tư hoặc xây nhà đều rất hợp lý khu vực này,+ Tiện ích.-Cách đường Lê Hữu Tựu chỉ 100m.-Khu công nghiệp Nguyên Khê, Công viên Phần Mềm chỉ 500m.-Gần chợ dân sinh, trường mầm non cấp 1.2.3 bán kính 1km.-Cách đường Quốc Lộ 3 chỉ 1.5km.-Cách đường Võ Nguyên Giáp chỉ 800m.-Cách sân bay Nội Bài 3km.-Cách thị trấn Đông Anh 5km.-Cách cầu Nhật Tân 5km.-Lô đất đẹp giá đầu tư tiềm năng tăng giá mạnh.-Anh chị nhanh tay rước em nó về nhà kẻo lỡ cơ hội.
",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822473.17284, 5,,
"5,6 tỷ VNĐ",Nguyễn Trãi - Thanh Xuân, 35m2,,,,"+ Nằm tại vị trí sầm uất của quận Thanh Xuân, gần ngã tư sở, Royal city, trường đại học, trung tâm văn hóa, gần chợ, trung tâm thương mại, giao thông đi lại thuận tiện. + Nhà được thiết kế 4 tầng: - Tầng 1: Phòng Khách + bếp + để xe. - Tầng 2,3: Mỗi tầng 2 phòng ngủ + wc. - Tầng 4: Phòng Thờ + sân phơi. - Giá: 5.6tỷ (có thương lượng). + LH: 0912918139 – Trần Anh (Để được tư vấn và xem nhà miễn phí).",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822474.2699053,,,
"5,75 tỷ VNĐ",la khê, 52m2, 5, 6, 3,"+ Bán nhà. Lê Trọng Tấn, Hà Đông. Ô tô Kinh Doanh 52m2 x 5 tầng. mặt tiền 6m. Giá 5.75 tỷ.  TRUNG TÂM HÀ ĐÔNG - NGÕ THÔNG – LÔ GÓC - NHÀ MỚI Ở NGAY  Mô tả: + Trung tâm Hà Đông, ngõ thông các ngả, trước nhà đường trải nhựa sạch sẽ, Ô tô 7 chỗ đỗ cửa, cách Lê Trọng Tấn 30m.   + Nhà gần đường Lê Trọng Tấn giao với các đường Quang Trung, Tố Hữu. Nhà gần siêu thị AON Hà Đông, chợ Hà Đông. Gần uỷ ban và công an phường La Khê. Giao thông thuận tiện, an ninh an toàn. + Nhà chủ tự xây mới 5 tầng kiên cố chắc chắn, nhà  lô góc phòng nào cũng có cửa sổ thoáng mát, khách mua chỉ việc xách vali đến ở ngay. Thiết kế 5 tầng: + Tầng 1: Thông sàn + Tầng 2,3,4: Mỗi tầng 2 phòng ngủ rộng và vệ sinh. + Tầng 5: Phòng thờ, sân phơi.   + Sổ đỏ vuông đẹp, sẵn sàng giao dịch,  LH: E KHÁNH: 0988960891  ",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822475.338047, 6,,
5 tỷ VNĐ,Chính Kinh, 61m2, 5, 8,,"+Trung tâm Quận Thanh Xuân, tiện ích bạt ngàn.+Vị trí đắc địa, gần Ngã Tư Sở, đi bộ 5 phút ra Royal City, đường trước nhà rộng 3m, thoáng thông tứ tung.+Nhà chủ xây tâm huyết để ở, chủ tặng toàn bộ nội thất, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: SĐT/ZALO: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822476.3004787, 5,,
"5,5 tỷ VNĐ","Phùng Khoang, Trung Văn, Nam Từ Liêm, Hà Nội.", 52m2, 4, 4,," # Cần bán gấp nhà riêng tại đường Phùng Khoang, Từ Liêm, Hà Nội. Nhà mới, ô tô đỗ cửa, kết hợp kinh doanh, Full trang thiết bị nội thất cao cấp về ở ngay. DT 52m2, 4T, giá chỉ 5.5 tỷ ( Có Thương Lượng ). + Vị trí đông đúc, sầm uất, đắc địa kinh doanh tại đường Phùng Khoang, Nam Từ Liêm, Hà Nội. + Vài bước chân ra mặt đường chính di chuyển trên Các tuyến đường như Trần Phú – Nguyễn Trãi – Lương Thế Vinh – Tố Hữu – Lê Văn Lương vô cùng thuận lợi. + Nhà 4T khung cột chắc, Thiết kế hiện đại, sang trọng, có giếng trời, khe thoáng đằng sau, các phòng thoáng sáng tràn ngập ánh sáng tự nhiên.  + Sổ vuông chính chủ pháp lý chuẩn, sang tên nhanh. + Giá chỉ nhỉnh xíu 5 tỷ. Chủ cần tiền rất muốn bán nhanh bán gấp trong tháng. # LH xem trong HotLine: 0983858722 Tình nhà phố ( chuyên mua bán, nhận ký gửi nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822477.226,, 3,
"5,58 triệu VNĐ",Đường Thái Hà phường Trung Liệt, 35m2, 4, 3, 3,"
    - Vị trí nằm trung tâm Quận Đống Đa, ngõ rộng thông sang Nguyễn Văn Tuyết và 131 Thái Hà. Ô cách 10m. Tiện ích đầy đủ.- Nhà đẹp, thiết kế hiện đại, nội thất cao cấp.- Thiết kế 4 tầng:+ Tầng 1: Để xe, phòng khách, bếp ăn, vệ sinh.+ Tầng 2: Phòng ngủ, vệ sinh Master.+ Tầng 3: Hai ngủ, vệ sinh.+ Tầng 4: Phòng thờ, sân phơi.- Nhà hai thoáng trước sau, các phòng đều có cửa sổ thông thoáng.- Khu vực dân trí cao, hàng xóm thân thiện, an ninh đảm bảo tuyệt đối. - Sổ chính chủ, vuông vắn, sẵn sàng giao dịch.
",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822478.4108298, 7, 3,
"6,9 tỷ VNĐ",Đường Tam Trinh phường Hoàng Văn Thụ, 45m2, 5, 1, 1,"
    KHU PHÂN LÔ TAM TRINH - CỰC HIẾM - VIEW SÔNG, VỈA HÈ CỰC RỘNG - THOÁNG TRƯỚC SAU - KINH DOANH HÀNG QUÁN TẤP NẬP - Ô TÔ QUA LẠI THOẢI MÁI- Phố Tam Trinh 45m2 x 5 tầng Giá 6,9 tỷ+ NHẤT CẬN THỊ - NHỊ CÂN GIANG - TAM CẬN LỘ - KIẾM ĐÂU NHÀ DƯỚI 7 TỶ HỘI TỤ ĐỦ 3 YẾU TỐ NHƯ NHÀ NÀY- Nhà thiết kế cực kỳ hợp lý có cả phòng Karaoke***CAM KẾT HÌNH ẢNH THẬT 100% KHÔNG MẤT THỜI GIAN VÀNG BẠC CỦA NHAU+ Sổ Đỏ chính chủ, có thương lượng, pháp lý chuẩn sẵn sàng giao dịch ngay.LH: Mr.Tiến - 091.808.6689 Tận tâm - Dẫn nhà thật - Tiết kiệm thời gianBên cạnh đó, còn vài chục căn nhà trên địa bàn quận và các tuyến phố lân cận với đa dạng phân khúc phù hợp với mong muốn của quý anh/chịChúc Quý anh/chị bình an và thật nhiều sức khoẻ!2.5.30.1 ansohasohi
",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822479.6605194, 4, 1,
"1,8 tỷ VNĐ",Đường Vũ Lăng phường Tứ Hiệp, 64m2, 10, 2, 2,"
    - Thanh Toán 95% chiết khấu 4% / tổng giá trị căn hộ.- Thanh toán thẳng giá sau chiết khấu chỉ từ 1,89 tỷ* Quỹ căn 03 ngủ diện tích 105m2 hướng Ban công Đông Nam, tầng đẹp giá 2.9 tỷ.- Đang sơn lót mặt ngoài.- Xung quanh dự án đã trồng trang trí cây xanh.Đến với Tecco Diamond quý khách hàng khàng yên tâm với hàng ngàn tiện ích ngoại khu sẵn có:- Cách Quận Ủy Thanh Trì: 800m.- Cách trường mầm non Tứ Hiệp B, trường Tiểu Học Ngô Sĩ Kiện: 60m.Gọi ngay liên hệ căn thực tế: Em Tú 0346130081",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822480.8232021, 7, 10,
"4,3 tỷ VNĐ",Khương ĐÌnh - Thanh Xuân, 37m2, 4, 4, 3,"ĐẸP – RẺ, KHƯƠNG ĐÌNH – THANH XUÂN, NGÕ THÔNG Ô TÔ 60M, 37M2 – 4.3 TỶ Nhà chủ xây tâm huyết để lại cho con ở, con có kế hoạch khác nên bán Lô góc 4 tầng 37m2 mặt tiền 5,3m với 4 phòng ngủ  có thể về ở luôn. Ngõ nông, thông, ba gác cách mặt phố Khương Đình 60m Sổ đỏ chính chủ, thương lượng trực tiếp chủ nhà Liên hệ: Phương - 0918120568",30/05/2022,Tin thường,batdongsan_so_com_vn_1673822481.9053066, 5,,
