price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số phòng ngủ,Số toilet,Mặt tiền
16 tỷ VNĐ,"Nguyễn Văn Cừ, Long Biên", 103m2,"- Chủ nhà chuyển san nơi ở mới nên cần bán nhà mặt phố Nguyễn Văn Cừ, Long Biên. - Nhà mảnh đất vuông vắn trước sau, nằm tại vị trí kinh doanh đắc địa, sầm uất ngày đêm, mặt phố, vỉa hè rộng thoáng mát. - Nhà nằm ngay trục đường chính Nguyễn Văn Cừ, giao thông tiện ích, gần đường Quốc lộ 5, cách phố Ngọc Lâm 200m, gần phố Gia Thụy, đường 2 chiều thoáng thuận tiện . - Gần chợ, gần trường học, bệnh viện Đức Giang, TTTM BigC Long Biên 5 phút đi xe, nhiều ngân hàng, siêu thị, tiện ích vô vàn, khu an sinh xã hội tốt, quy hoạch ổn định . - Hiện trạng nhà đang là C4 và đang kinh doanh thu nhập cao hàng tháng. - Sổ đỏ vuông vắn chính chủ, sẵn sàng giao dịch. - Liên hệ xem nhà: Phương Quỳnh - 0337594758",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821457.9686055,,,,,
"16,95 tỷ VNĐ","Bồ Đề, Long Biên, Hà Nội", 94m2,"- Chủ nhà chuyển sang ở mắt phố để kinh doanh không ở đến nên cần bán nhà tại phố Bồ Đề, Long Biên. - Nhà có vị trí ngay đầu phố Bồ Đề, chủ tự xây tâm huyết, ngõ thông trước sau ô tô tránh, vào nhà thoải mái, sát hồ điều hòa. - Khu vực nhiều người dân phố cổ tìm mua chuyển sang an cư lạc nghiệp, xung quanh tiện ích vô vàn, giao thông thuận tiện, cách cầu Chương Dương 400m, gần các trục đường Hồng Tiến, Nguyễn Sơn,.. - Gần nhiều tiện ích như trường học, chợ dân sinh, bệnh viện Bắc Hà, cách TTTM Mipec Long Biên 5 phút đi xe, cách phố cổ 10 phút đi xe. - Tầng 1: sân để xe, khách, wc, kho, tầng lửng làm phòng khách phụ, có phòng thờ nhỏ. - Tầng 2: 1 phòng ngủ master rộng, wc, ban công. - Tầng 3: 2 phòng ngủ khép kín. - Tầng 4: sân phơi, kho. Sổ đỏ chính chủ, sẵn sàng giao dịch Liên hệ xem nhà: Phương Quỳnh- 0337594758 ",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821459.353899,,,,,
"5,4 tỷ VNĐ",Bà Triệu- Hà Đông, 45m2,"Hiếm nhà phố Bà Triệu, Hà Đông, 45m, 5 tầng, ngõ ô tô thông, dân xây Cần bán căn nhà quá lộc nằm ở vị trí đắc địa lõi Quận Hà Đông với các tuyến phố cổ bao quanh Tô Hiệu, hàng xóm Lê Lợi, giáp Hà Cầu, thông sang Văn Quán, vài bước ra Lê Hồng Phong. Khu vực văn minh đáng sáng, dân cư đông đúc, kinh doanh sầm uất ngày đêm. Nhà xây khung cột chắc chắn với 5 tầng thoáng sáng, thiết kế hiện đại, các phòng rộng ngập tràn ánh sáng với giếng trời mát mẻ, nội thất xịn chỉ việc xách vali đến ở, ngõ ô tô rộng thông muôn nơi. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 5.4 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821460.5556846, 5,,,,
"5,45 tỷ VNĐ",Tô Hiệu- Hà Đông, 46m2,"Cần bán nhà Tô Hiệu, Hà Đông, ô tô, 46mx5 tầng, ngõ thông, dân xây Do nhu cầu chuyển nhà mới cần bán gấp nhà đẹp khu vực phố cổ Hà Đông, thiết kế hiện đại các phòng thoáng sáng đầy đủ công năng sử dụng với 5 tầng rộng đẹp, ngõ ô tô thông muôn nơi, gần phố rất hiếm nhà bán. Xung quanh nhà đầy đủ tiệ ích trường học, siêu thị, chợ, ngân hàng, khu vui chơi,..không thiếu thứ gì. Giao thông thuận lợi di chuyển các phố Bà Triệu, giáp Lê Lợi, hàng xóm Hà Cầu, vài bước ra Khu đô thị Văn Quán, gần bệnh viện Quân y 103, thông sang Lê Hồng Phong,… Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 5.45 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821461.7504885, 5,,,,
"6,9 tỷ VNĐ",Đường Quốc lộ 1A phường Thường Tín, 62m2,"
    Bán nhà Thị Trấn Thường Tín, gần tiện ích, kinh doanh tuyệt đẹp, xe 4 chỗ để thoải mái, xe tránh nhau 4 hàng
+ Vị trí đắc địa, hiếm nhà bán. Nằm trên trục chính QL1A, vỉa hè 15M, kinh doanh vô đối. 
+ Hiện trạng là nhà 3 tầng chủ đang cho thuê kinh doanh. 
Các tầng trên là 4 phòng ngủ, dưới tầng 1 thông sàn kinh doanh. Mặt tiền rộng. 
+ Đây là khu trung tâm của phố Ga thị trấn Thường Tín ngay UBND Huyện uỷ, nơi tập trung các cơ quan hành chính cỉa Thường Tín ( Giáp Liên Ninh - Thanh Trì) 

",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821462.7398417, 3, 15, 4, 3,
"4,6 tỷ VNĐ","Phan Đình Giót, Hà Đông, Hà Nội", 43m2," # Bán nhà đường Phan Đình Giót, Hà Đông. Nhà đẹp xây mới, Full trang thiết bị nội thất cao cấp về ở ngay. DT 43m2, 4T, giá chỉ trên 4 tỷ. + Vị trí thuận tiện ngõ nông rộng, thông mọi ngả. + Khu yên tĩnh, an ninh an sinh đỉnh, hàng xóm thân thiện. + Gần chợ Bông Đỏ, gần trường THCS Văn Khê, cạnh KĐT Ngô Thì Nhậm, Bệnh viện Đa Khoa Hà Đông, trung tâm phố tiện ích. + Giao thông di chuyển Ngô Đình Mẫn, Lê Trọng Tấn, Tố Hữu Lê Văn Lương, Ngô Quyền, Quang Trung, Trần Phú vô cùng Thuận Lợi. + Nhà 4T khung cột chắc, Thiết kế hiện đại, sang trọng, cầu thang giữa, mỗi tầng 2 phòng đầy đủ công năng.  + Sổ vuông chính chủ pháp lý chuẩn, sang tên nhanh. #  HotLine: 0983858722 Tình nhà phố ( chuyên mua bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821463.9426246, 4, 3, 4,,
"2,2 tỷ VNĐ","Văn Phú, Phú La, Hà Đông, Hà Nội.", 32m2," # Cực hiếm nhà Văn Phú, Hà Đông, an ninh an sinh đỉnh. DT 32m C4, MT 5.7m, giá chỉ 2.2 tỷ.  + Vị trí thoáng đẹp, ngõ nông rộng, khu vực phát triển, dân cư đông đúc, hàng xóm thân thiện.  + Gần Siêu thị Melinh Plaza, UBNN quận Hà Đông, Bệnh viện Công Anh Thành Phố, Chung cư Victoria Văn Phú, cạnh KĐT Văn Phú trung tâm văn minh và tiện ích.  + Hiện trạng nhà C4, sổ đỏ vuông chính chủ, giao dịch nhanh.  + Giá chỉ 2.2 tỷ. rất cần bán nhanh.   #  HotLine: 0983858722 Tình nhà phố ( chuyên mua bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821465.019742, 1, 2, 2,,
"7,3 tỷ VNĐ",lương ngọc quyến, 80m2,"Bán Nhà, Lương Ngọc Quyến, Hà Đông. Ô Tô Kinh Doanh 80m x 4 tầng. Mặt Tiền 7m. Giá 7.3 Tỷ.  TRUNG TÂM HÀ ĐÔNG - TIỆN ÍCH NGẬP TRÀN- KHU VỰC ĐÔNG SINH VIÊN  + Nhà rất gần phố, 3 bước ra phố Lương ngọc quyến, 2 phút đi bộ ra đường Nguyến Trãi. + Ngõ trước nhà 3m có dư, hàng xóm xung quanh dân trí cao, an ninh cực tốt. + Khu vực trung tâm Hà Đông, xung quanh là các trường đại học lớn như Đại Học Văn Hoá, Học Viện An Ninh, Khoa Học Xã Hội Và Nhân Văn. + Nhà gần siêu thị Bigc Hồ Gươm, Siêu Thị Coopmax, Trung Tâm Thương Mại Roayanl city và rất nhiều tiện ích xung quanh. Tầng 1 : sân, khách + bếp + 1phòng nhỏ. Tầng 2,3: 3 phòng ngủ + WC. Tầng4 : 1phòng ngủ + phòng thờ + sân phơi. Nhà xây khung cột bê tông vẫn còn chắc chắn, chủ ở giữ gìn sạch sẽ  + Sổ đỏ vuông đẹp, sẵn sàng giao dịch,  LH: E KHÁNH: 0984568179  ",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821466.0549724, 4,, 7, 4,
15 tỷ VNĐ,Khương Trung, 85m2,"MẶT PHỐ, KINH DOANH SẦM UẤT NGÀY ĐÊM, ĐANG CHO THUÊ THÁNG 60 TRIỆUS = 85m2, 6 tầng, giá 15 tỷ + Vị trí đắc địa, hàng xóm Royal City, phù hợp làm văn phòng, spa, buôn bán đủ loại mặt hàng, giữ tiền, cho thuê dòng tiền ổn định 1 tháng thu 60 triệu. + Tổng 6 tầng, tầng 1 và 2 thông sàn kinh doanh, hiện đang cho thuê. + Giao thông: Nguyễn Trãi, Thượng Đình, Vũ Tông Phan, Royal City, Tây Sơn, Trường Chinh, Bùi Xương Trạch,... + Sổ đỏ chính chủ, cần bán gấp. * Liên hệ em Bình, chỉ bán nhà đẹp giá tốt, tư vấn và xem nhà nhiệt tình, miễn phí. * Không tiếp môi giới.",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821467.1380746, 6,, 4,, 4
"8,4 tỷ VNĐ",Quan Hoa - Cầu Giấy - Hà Nội, 60m2,"NHÀ NGÕ NÔNG - CÁCH PHỐ CHỈ 30m - BÃI Ô TÔ ĐỖ NGÀY ĐÊM - KINH DOANH NHỎ.+ Vị trí tuyệt vời, ngõ nông thông tứ phía, cách phố chỉ 30m, bãi đỗ ô tô cách nhà 30m, kinh doanh nhỏ như tạp hóa, giặt là...+ Gần nhiều trường học các cấp, chợ, TTTM...tiện ích xung quanh đầy đủ không thiếu thứ gì, giao thông thuận tiện kết nối với đường Nguyễn Khang, Nguyễn Khánh Toàn, Láng Thượng, Nguyễn Văn Huyên, Cầu Giấy....+ Nhà thiết kế 4 tầng, chủ tự xây tâm huyết, khung dầm chắc chắn, mỗi tầng 2 phòng.+ Chủ nhà hiền lành thiện chí bán, giá cả có thể THƯƠNG LƯỢNG.Liên hệ Nguyễn Tiến Hoàng - 0976817296 - tư vấn nhiệt tình vui vẻ 24/24.( Miễn trung gian, môi giới)",05/06/2022,Tin thường,batdongsan_so_com_vn_1673821468.162337,,,,,
