price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
"2,6 tỷ VNĐ","di trạch, hoài đức", 35m2,"Ngõ vào nhà rộng rãi, ô tô đỗ cửa khi cần, cách ô tô tránh chỉ mấy chục mét. Nhà sát đường vành đai 3.5 sắp thông xe, giao thông thuận tiện các hướng đường 422B, Trịnh Văn Bô, Xuân Phương, Nhổn, Phương Canh, Tây Mỗ, Mỹ Đình… Nhà xây dựng theo phong cách hiện đại, nổi bật là sự hoàn thiện chất lượng. Nội thất và trang thiết bị trong nhà cực sang trọng. Nhà đầy đủ công năng đảm bảo mọi sinh hoạt sống hàng ngày. Xung quanh là các KĐT Vân Canh, An Lạc, Vườn Cam… nên hưởng trọn tiện ích và có tiềm năng cực lớn trong tương lai gần. Chỉ thời gian ngắn nữa Hoài Đức sẽ lên quận, hứa hẹn sẽ bước đột phá của giá nhà đất ở khu vực. Giá chào thiện chí 2 tỷ 600 triệu (khách gặp chủ thương lượng trực tiếp). Sổ đỏ cất két, sẵn giao dịch ngay (hỗ trợ pháp lý và các thủ tục liên quan đến ngân hàng).    Anh chị liên hệ em Sơn (thổ cư) ngay để xem nhà và rất nhiều căn nhà khác hoàn toàn miễn phí: 0932382236",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817105.6724226,,,,,
10 tỷ VNĐ,"Chính chủ bán nhà số 12 nghách 203/26 Trường Chinh, Thanh Xuân, 10 tỷ, 0982326656", 111m2,"Chính chủ bán nhà số 12 nghách 203/26 Trường Chinh, Thanh Xuân, 10 tỷ, 0982326656 - Lối đi rộng - an ninh tốt- Nhà gồm 2 phòng khách- 4 phòng ngủ.- Nhà xây kiên cố- Diện tích. 111.6m2.- Gần nhiều trường học, chợ, bệnh viện... - Sổ đỏ chính chủ- Giá 10 tỷ, có thương lượng- LH chính chủ: chị Hoa 0982326656, chị Thủy, 0906288678, Anh Lộc, 0903226656      http://www.sanbatdongsanviet.com.vn",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817107.0916233,,,,,
"5,5 tỷ VNĐ",Tây Sơn, 47m2,"+ Vị trí trung tâm Phố Tây Sơn - Ngã Tư Sở, giao thông thuận tiện.+ Đường trước nhà rộng Ô TÔ tránh nhau, cách mặt phố chỉ vài bước chân.+ Nhà LÔ GÓC 2 mặt thoáng sáng nên phòng nào cũng có cửa sổ.+ Thiết kế nhà hiện đại, nội thất cao cấp, sang trọng, đầy đủ công năng sử dụng.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817108.4320383, 4, 5, 6,,
6 tỷ VNĐ,"Ngõ 197 Trần Phú, Hà Đông", 64m2,"Siêu Hiếm, Đất Ngõ 197 Trần Phú,Hà Đông, Ô tô đỗ cửa, Ngõ Thông Tứ Tung, DT 64 m2. Chỉ 6 Tỷ.Vị Trí: Lô đấtthuộc ngõ 197 Trần Phú, Hà Đông, Khu Trung Tâm Quận, ngõ ô tô thông sang đường 19/5, Đường Dương Lâm, đường trải nhựa đẹp, có thể xây lên làm chung cư mi ni cho thuê hoặc kinh doanh nhỏ đều đẹp, lô đất tách thửa từ lô đất to, đã tách sổ đỏ riêng.+ Pháp Lý: Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Giá bán: 6 tỷ ( Có thương lượng ).Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817109.6707246, 3,,, 4,
,Đường Kiến Hưng phường Kiến Hưng,,"+ Nhà thiết kế tầng 1 thông sàn, để xe, phòng khách, bếp, 4 phòng ngủ, 3 WC, phòng thờ, sân phơi, ban công. Sổ đỏ chính chủ, pháp lý sạch, ok giao dịch Bạn quan tâm vui lòng liên hệ với HOÀNG LƯỜNGsố điện thoại: 
",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817111.002162,, 5, 4,, 3
950 triệu VNĐ,Đường Tỉnh Lộ 131 phường Hiền Ninh, 65m2,"
    Siêu phẩm rẻ nhất Yên Ninh-Hiền Ninh đường thông 3m ô tô đỗ tận nơi giá chỉ hơn 900tr bao sang tênVị trí đất nằm ngay sát bìa làng, cách chỉ 50 bước chân- Đường 3m ngõ thông các phía- Hướng Đông- Diện tích 65.6m, MT 4m vuông vắn- Khu vực xung quanh dân cư đông đúc, an ninh tốt, dân trí cao.- Hệ thống thoát nước đầy đủ, thông thoáng.- Bán kính 500m là sân bóng, nhà văn hoá và trục chính. Đi bộ 3p là ra tới chợ và siêu thị, UBND và trường học các cấp- Công nhân đi lại đông đúc, cách cụm công nghiệp Sóc Sơn chỉ 5p di chuyển xe máy. Đứng từ đất có thể nhìn thấy máy bay lên xuống ở sân bay Nội Bài.- Anh chị quan tâm liên hệ trực tiếp em Thanh Lam  để xem đất và có giá sịn.
",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817112.2059753, 4,,,,
"7,95 tỷ VNĐ",đường láng, 70m2,"- Khu vực siêu VIP tập trung sinh viên đuổi ko hết khách thuê doanh thu 50tr/ tháng. Hiện đã cho thuê full.Mô tả:- Nhà mới đẹp ở ngay,  phù hợp với khách ở và cho thuê cả nhà 55tr/tháng , dòng tiền 600tr/năm.- Nội thất cơ bản đầy đủ : Điều hoà , nóng lạnh , tủ , giường , tủ bếp , máy giặt , sấy, khoá cửa vân tay….- Thiết kế: + Tầng 1: Xe + 1PN Khép Kín .+ Tầng 2, 3, 4,5 : 2PN + Wc Khép Kín.- Sổ đỏ chính chủ, vuông vắn, nở hậu.- Lưu Ý : Giá gia lộc .- Sổ đỏ vuông vắn , sẵn sàng giao dịch.Alo Em Ngọc 0354443201",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817113.4356852, 4, 5, 9,,
6 tỷ VNĐ,"Ngõ 197 Trần Phú, Văn Quán, Hà Đông", 64m2,"Siêu Hiếm, Đất Ngõ 197 Trần Phú,Hà Đông, Ô tô đỗ cửa, Ngõ Thông Tứ Tung, DT 64 m2. Chỉ 6 Tỷ. Vị Trí: Lô đấtthuộc ngõ 197 Trần Phú, Hà Đông, Khu Trung Tâm Quận, ngõ ô tô thông sang đường 19/5, Đường Dương Lâm, đường trải nhựa đẹp, có thể xây lên làm chung cư mi ni cho thuê hoặc kinh doanh nhỏ đều đẹp, lô đất tách thửa từ lô đất to, đã tách sổ đỏ riêng. + Pháp Lý: Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá bán: 6 tỷ ( Có thương lượng ). Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                                                 - Mr Luyện thổ cư: 0911779569 - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817114.668388, 3,,, 3,
"5,5 tỷ VNĐ",Phố Vương Thừa Vũ, 48m2,"+ Vị trí trung tâm Phố Vương Thừa Vũ, vài phút ra Ngã Tư Sở, giao thông thuận tiện.+ Đường trước nhà rộng Ô TÔ tránh nhau, cách mặt phố chỉ vài bước chân.+ Nhà LÔ GÓC 2 mặt thoáng sáng nên phòng nào cũng có cửa sổ.+ Thiết kế nhà hiện đại, nội thất cao cấp, sang trọng, chủ tặng lại hết cho khách.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sang tên nhanh.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817115.8671808, 4, 5,,,
"1,9 tỷ VNĐ",Thanh Trì - Hà Nội, 100m2,"
    
BÁN CHUNG CƯ TECCO DIAMOND THANH TRÌ - HÀ NỘI  Nơi cảm xúc thăng hoa - nơi hạnh phúc đong đầy


------------------------
Với số tiền ban đầu vào chỉ từ 500 triệu sở hữu ngay căn hộ, phần còn lại ngân hàng giải ngân miễn gốc lãi trong 12 tháng.


Chủ đầu tư: Tổng công ty Tecco Hà Nội
Vị trí: Khu đô thị Tứ Hiệp, Thanh Trì, Hà Nội
Kết cấu: 2 Block (A&B)
Số tầng: 25 tầng nổi và 2 tầng hầm
Diện tích căn hộ thiết kế 2 và 3 phòng ngủ. Diện tích thông thủy: Từ 62,6m2 - 105,8 m2
Mật độ xây dựng: 40%
Hình thức sử dụng: lâu dài


Căn hộ hai phòng ngủ: Thiết kế 2 ngủ + 2 vệ sinh + 2 ban công, diện tích 63,7m2- 64,1m2- 69,6m2- 70m2 - 73m2: Gía bán từ 1,9 tỉ/căn.
----------------------
Ngân hàng cho vay: Ngân hàng hỗ trợ vay tới 60%


+ Lãi suất năm đầu: 0%.


+ Lãi suất năm 2 sau ưu đãi: 9%/ năm.


+ Thời gian vay: Tối đa trong 20 năm.
---------------


Chính sách ưu đãi:


- Tặng ngay 5 chỉ vàng.


- Chiết khấu tới 4% cho khách hàng thanh toán sớm.


- Tặng nội thất Smart home trị giá tới 25 triệu.
-----------------


Liên hệ ngay để nhận thông tin, sở hữu căn nhà đẹp, tầng đẹp, view đẹp.


Hotline: Ms. Nương: 0355984555

",30/06/2022,Tin thường,batdongsan_so_com_vn_1673817116.9205813,,,,,
