price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng
"2,4 tỷ VNĐ",Cổ Nhuế, 46m2, 5, 5, 1, 1, 1,"TRƯỚC NHÀ RỘNG NHƯ SÂN- LÔ GÓC- GẦN NHIỀU TRƯỜNG ĐẠI HỌC + Bán nhà cấp 4 Cổ Nhuế, gần nhiều trường đại học lớn: Đại học Mỏ- Địa chất, Đại học Tài nguyên Môi trường, Học viện Tài chính,… + Giao thông: Phạm Văn Đồng, Việt Hà, Phố Viên, công viên Hòa Bình,… + Diện tích 46m2, lô góc 2 mặt tiền, trước nhà cực rộng, hơn 5m. + Sổ đỏ chính chủ, giao dịch ngay. * Gọi em Bình để xem nhà miễn phí.",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787511.067847,
"3,544 tỷ VNĐ",Xóm 1 - Hải Bối - Đông Anh - Hà Nội, 67.5m2, 4,,,,,"
    
BÁN NHANH 67,5M2 TRỤC CHÍNH KINH DOANH ĐƯỢC ĐẤT HẢI BỐI - ĐÔNG ANH.
Liên hệ : 0869864468


Vị trí đất : Hải Bối - Đông Anh - Hà Nội
- Diện tích : 67,5m2
- Mặt tiền : 4,5m
- Dài : 15m
- Khổ đất vuông đẹp, đường trước đất rộng 5m
- Gần ngay Cầu Nhật Tân, cầu Thăng Long
- Xung quanh rất nhiều dự án trọng điểm quốc gia như : Thành Phố Thông Minh, Tháp tài chính 108 tầng, Thành phố ven sông, công viên Kim Quy....
- Sổ đỏ chính chủ sẵn giao dịch ngay
Liên hệ : Em Thắng 0869864468 để xem đất và tư vấn chi tiết

",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787512.285589,
"4,55 tỷ VNĐ",Hoàng Văn Thái, 35m2, 4,, 5, 3,,"SIÊU VIP THANH XUÂN, PHÂN LÔ QUÂN ĐỘI, Ô TÔ ĐỖ CỬA - NHÀ DÂN XÂY- Ở SƯỚNG- BAY NHANH Mô tả: + Vị trí đẹp,ngõ ô tô tránh, giao thông thuận tiện, khu vực an sinh đỉnh, dân trí cao. Ngõ thông tứ phía. + Nhà cách đường ô tô tránh 10m, tiện ích ngập tràn gần chợ dân sinh ….. + Nhà khung cột cực kỳ chắc chắn thiết kế hợp lý: - Tầng 1: Phòng khách, bếp - Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng + vệ sinh, ban công - Tầng 5: phòng thờ+ sân phơi. + Phòng nào cũng có cửa sổ, ban công thoáng sáng. +Sổ đỏ chính chủ, vuông đét, sẵn sàng giao dịch. + Liên hệ trực tiếp A Tuyên 0969945393 (miễn trung gian)",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787513.2759397,
"3,15 tỷ VNĐ","Đường Tỉnh lộ 422, Kim Chung, Hoài Đức", 40m2, 3, 4, 5, 4, 3,"
    Duy nhất 1 căn Nhà Siêu rẻ Yên Bệ, Kim Chung, Hoài Đức 40m 5 tầng, Ô tô, 3,x tỷ
Nhà đẹp ở luôn đón Tết ấm áp, Nhà mới vững chắc, tặng toàn bộ nội thất.
+Nhà Dân xây Thiết kế 5tầng, tối đa công năng sử dụng, thoáng, sáng tự nhiên.
- Tầng 1: Phòng khách phòng bếp.
- Tầng 2 .3.4.ngủ
- T5 phòng thờ sân phơi.
+ Vị trí + tiện ích.
- Căn nhà được thừa hưởng vị trí đẹp và được thừa hưởng hết các tiện ích xung quanh.
Rất thuận tiện cho việc đi lại, gần ngay chợ Lai xá, rất thuận tiện cho việc nội trợ.
- Trường học cấp 1, 2 , 3 thuận tiện cho việc học của các cháu. Đại Học Thành Đô, Đại Học Công nghiệp Hà Nội.
+ Xem nhà gọi Mr Đức Nhà Đẹp 0898839292 . Rất nhiều nhà đẹp phù hơp mọi nhu cầu Anh Chị Em.
",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787514.2264407,
"4,6 tỷ VNĐ","Đường Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm", 40m2,, 5, 5, 4,,"Cần bán gấp nhà mới đẹp tại đường Xuân Đỉnh, Từ Liêm- Diện tích: 40 mét- Vị trí cực đẹp, cách ô tô tránh 5m, 15m ra mặt phố Xuân Đỉnh, Ngõ trước nhà rộng thoáng thông ra Ngoại Giao Đoàn, Công Viên Hoà Bình, Đại Sứ Quán Hàn Quốc, Trường Đại Học Nội Vụ, Gần trường Song Ngữ liên cấp Đoàn Thị Điểm, xung quanh tiện ích không thiếu thứ gì- Thiết kế 5 tầng hiện đại nội thất sang trọng, khách mua chỉ việc về ở- Giá bán chỉ 4.6 tỷ ( có thương lượng )- Sổ đỏ chính chủ sẵn sàng giao dịch - Mua nhà liên hệ Thiên Thư 0916293888 để xem nhà nhé ạ",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787515.6656592,
5 tỷ VNĐ,Lê Đức Thọ, 46m2, 5, 3, 6, 9,,"9 PHÒNG CHO THUÊ- 20M RA MẶT PHỐ- CHỦ BÁN GẤP + Phố VIP Lê Đức Thọ, giao thông các tuyến: Mai Dịch, Hồ Tùng Mậu, Cầu Diễn, Cầu Giấy, Mỹ Đình, Phú Mỹ,… + Gần nhiều trường đại học lớn: Đại học Thương mại, Học viện Múa, Cao đẳng Y Hà Nội, Cao đẳng Bách khoa,… + Thiết kế: 6 tầng, cầu thang giữa, tổng 9 phòng, nhà dân xây chắc chắn. + Sổ đỏ đẹp, giao dịch ngay. * Liên hệ Bình để xem nhà miễn phí.",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787519.0599613,
"3,5 tỷ VNĐ","⭐Bán nhà 4 tầng có sân thượng và sân phơi rộng rãi thoáng mát có mái che gần quận uỷ BTL, 3,5 tỷ; 0862226236", 40m2,,,,,,"⭐Bán nhà 4 tầng có sân thượng và sân phơi rộng rãi thoáng mát có mái che gần quận uỷ BTL, 3,5 tỷ; 0862226236  Địa chỉ cụ thể: Ngõ 20/1/16/17 đường Phú Minh, Minh Khai, Bắc Từ Liêm, Hà Nội  - Diện tích: 40m2, sổ đỏ chính chủ.  - Nhà mới xây kiên cố 4 tầng + 1 sân thượng phơi đồ, có 5 phòng ngủ, wc từng tầng, phòng bếp, phòng khách.  - Ngõ rộng, ô tô 16 chỗ và ô tô tải 4.5 tấn vào ngõ và quay đầu ra trong ngõ được luôn , oto đỗ cách cửa nhà 15m, khu phố di chuyển đi lại thuận lợi.  - Nằm trong khu dân cư an ninh tốt, an sinh đảm bảo. Thích hợp ở lâu dài hoặc đầu tư sinh lời.   Giá: 3,5 tỷ (có thượng lượng)  Khách quan tâm LHCC: 0862226236 (miễn tiếp QC)       http://www.sanbatdongsanviet.com.vn",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787519.976498,
"4,7 tỷ VNĐ",Phú Lương - Hà Đông, 42m2,,, 4,,,"Bán nhà Hà Đông phân lô ô tô vỉa hè 42mx4T nội thất Châu Âu hơn 4 tỷ Cực hiếm nhà đẹp tự xây phân lô Khu đô thị mới tại Hà Đông với thông số đẹp diện tích 42m nhà 4 tầng thoáng, nội thất xịn hiện đại đường phân lô có vỉa hè ô tô tránh ở rất tĩnh hoặc làm văn phòng quá đẹp. Giao thông rất thuận tiện gần khu dân cư, trường học, ngân hàng, bệnh viện sát phố di chuyển rất thuận lợi. Khu toàn cán bộ ở rất tĩnh văn minh. Gia chủ thành đạt bán đi mở rộng kinh doanh, nhà rất có lộc. Sổ vuông sẵn sàng giao dịch Giá 4.7 tỷ ( gia lộc). Liên hệ : Huyền Ba La Sat Thổ cư ( 0363703491- 0965472910) - Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787520.8870606,
"8,1 tỷ VNĐ",Trần Đăng Ninh - Hà Đông, 50m2, 5,,,,,"  Bán đất mặt phố Trần Đăng Ninh, Hà Đông, 50m,MT 5m kinh doanh hơn 8 tỷ Chị gái tôi chính chủ bán đất mặt phố Vip Trần Đăng Ninh, Hà Đông cạnh nhà thi đấu và Quận uỷ , thông số vàng diện tích 50m, mặt tiền 5m , đường ô tô tránh đỗ ngày đêm, vỉa hè kinh doanh sầm uất cực hiếm. Vị trí đắc địa trung tâm hàng chính của Quận, chạy song song với trục chính Quang Trung phù hợp kinh doanh đa dạng ngành nghề. Giao thông giáp Lý Thường Kiệt cắt Hoàng Đôn Hoà ra Ngô Thì Nhậm sang Hà Cầu thông Khu đô thị Văn Phú hưởng trọn tiện ích. Sổ vuông sẵn sàng giao dịch Giá 8.1 tỷ ( gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910) – Em gái chủ nhà. ",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787522.1407506,
"1,8 tỷ VNĐ","Đường 3, Đông Anh, Đông Anh", 46m2, 4,,,,,"Do không có nhu cầu sử dụng nên cần bán gấp lô đất tại Đông Anh để dùng tiền sử dụng cho việc khác.- Diện tích: 46.5m² - Giá công khai 1 tỷ 180 triệu.- Mặt tiền = mặt hậu: 4m, dài 12m. Đường trước mặt 3m, ô tô đỗ cửa.- Cách trung tâm Thị trấn Đông Anh chỉ 2km.- Có dự án KCN Đông Anh Đất đầy tiềm năng tăng giá, tài chính nhỏ phù hợp mua đầu tư để ở hoặc đầu tư.Liên hệ em ngay để đi cọc đất.",16/11/2022,Tin thường,batdongsan_so_com_vn_1673787523.1051548,
