price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Mặt tiền
"1,5 tỷ VNĐ",HH03D kdt thanh hà cienco 5, 72m2, Tây, 8, 2, 2,"Tôi chính chủ có 1 căn duy nhất, do chuyển sang căn to hơn cùng toà nên cần sang nhượng lại căn hộ 2 phòng ngủ toà HH03D Kđt Thanh Hà Cienco 5 cho anh chị nào thực sự có nhu cầu ạ. Thông tin căn hộ nhà tôi như sau.Diện tích: 71.96 m²Hướng cửa: Tây, ban công: Đông nhìn hồ điều hoà 20haThiết kế căn hộ: 2 phòng ngủ, 2 vệ sinh.Nội thất để lại full nội thất bao gồm sàn gỗ, trần thạch cao, hệ thống tủ bếp…Pháp lý: Hợp đồng mua bán với CDT Thanh Hà Cienco 5Giá: 1 tỷ 500tr (Có thương lượng, gia lộc cho anh chị nào thiện chí) Hỗ trợ vay ngân hàng 70%-80% giá trị gốc căn hộ. Liên hệ xem nhà: 0335688885 Em Duy.",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806260.07655,,
4 tỷ VNĐ,Đường Lê Hồng Phong phường Hà Cầu, 43m2,, 3, 4, 3,"Bán nhà khu vực Lê Hồng Phong 43m, mt 7,9m giá 4 tỷ Chính chủ nhờ bán rất đẹp xây gồm 3 tầng 1 tum, mặt tiền gần 8m, cầu thang giữa Vị trí đắc địa nằm ngay trung tâm Quận Hà Đông, gần chợ, gần trường Tiểu học, THCS, gần trung tâm thương mại bán kính 300m,  Tiện ích bạt ngàn, ô tô đỗ cách 30m, bán kính 1kmcó bệnh viện, các trường đại học, Công viên trung tâm Quận. + Liên hệ: Thắng Thổ cư – 0914645597",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806261.533651, 30,
"4,85 tỷ VNĐ","tương mai, hoàng, mai hà nội.", 56m2,, 3, 2, 2,"+ Nhà Phố Lương Khánh Thiện ,Quận Hoàng Mai Lô Góc-Ôtô đỗ cửa,giao với các đường; Trương Định,Hoàng Mai,Gốc Đề,Tân Mai… Gần nhà rất nhiều tiện ích như; Hồ Đền Lừ, Bến xe giáp bát, Đại học Xây Dựng, Kinh Tế Quốc Dân, Bách Khoa,bệnh viện Bạch Mai,khu vui chơi và nhiều tiện ích khác… +Chủ nhà xây tâm huyết để ở,khung cột chắc chắn, thiết kế hiện đại, ánh sáng ngập tràn, tối ưu hóa công năng sử dụng, khách mua về ở ngay, phù hợp cho 2 hoặc 3 thế hệ để ở. Di chuyển 10 ra hồ Đền Lừ, 20 phút đến Bờ Hồ.  + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Liên hệ; Mr Quân – 0911303899 (zalo-messenger). Để được tư vẫn miễn phí, còn rất nhiều căn nhà cùng khu vực với tài chính từ 3-10 tỷ.",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806262.816219,,
"6,4 tỷ VNĐ",yên lãng, 50m2,,,,,"Phân lô, OTO,Bán nhà ngõ 82 Yên Lãng,2 Thoáng, 50m2, 6.4 tý Mô tả Chính chủ cần tiền bán nhà ngõ 82 Yên Lãng, Đống Đa gần khu vực đường Láng, Nguyễn Lương Bằng, Hồ Đắc Di, Trần Quang Diệu, Thái Hà, Chùa Bộc. Diện tích 50m2. + Hiện nhà là nhà 2 tầng, cũ, xác định bán đất. + Vị trí nhà nằm gần bệnh viện Nội Tiết TƯ, tuyến đường rộng, đi lại thuận tiện. + Tiện ích xung quanh nhiều chợ, bệnh viện ngay gần có vài m, kinh doanh thiết bị y tế, thuốc tấp nập. + Sổ đỏ đẹp. + Giá:  6.4 tỷ Liên hệ: Nghĩa – 0868181683 ( để được gặp chủ thương lượng trực tiếp) Miễn phí xem nhà – Nguồn hàng phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24h/7",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806263.9302402,,
"3,5 tỷ VNĐ",1x2/68 Ngọc Thụy, 30m2,, 1, 1, 1,"Bán Nhà Ngọc Thụy - Long Biên* Mô tả :+ Vị trí nhà rất đẹp, ô tô đỗ cửa, qua nhà, cách 5 m ô tô tránh. Ngõ thông các ngả, tiện ích bạt ngàn, gần ngay trường Quốc tế Pháp, chợ Ngọc Thụy, trường Cấp 1, cấp 2 Ngọc Thụy....+ Ngõ trước nhà rộng rãi, trải nhựa sáng bóng, tầm tiền nhiều khách quan tâm. + Sổ đỏ đẹp, sẵn sàng giao dịch.+ Chuyên mua bán nhà đất, vui lòng liên hệ : TRẦN QUYẾT BĐS LONG BIÊN, điện thoại/ Zalo: 0374148382.",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806265.3783655,, 4
"1,62 tỷ VNĐ",Phúc Lợi, 58m2,,, 2, 2,"- Nhà có sổ, sổ chính chủ. - Diện tích 58m2 x2pn,2vs, phòng khách, bếp. - Cửa chính tây nam, ban công đông bắc . - Để lại 90% nội thất, khách chỉ việc xách vali về ở. - Hàng xóm vinhome, tiện ích đầy đủ, phù hợp với gia đình trẻ. - Lh em Trác: 0965492571  ",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806267.0000806,,
"15,45 tỷ VNĐ",Lê Văn Lương - Thanh  Xuân, 45m2,, 7, 5, 6,"LÊ VĂN LƯƠNG – THANH XUÂN, MẶT PHỐ  - 7 TẦNG THANG MÁY – KINH DOANH SẦM UẤT, 15.45 TỶ - Bán nhà Lê Văn Lương – Thanh Xuân, ô tô tránnh  - 7 tầng thang  máy, kinh doanh vô địch - Nhà 7 tầng 45m2, thang  máy, xây dựng mới phục vụ vừa ở vừa kinh  doanh. - Nhà mới xây dựng hiện đại, đẹp không  tỳ vết. Chủ mới chỉ việc đến vừa ở vừa kinh doanh ra tiềnn lập tức - Sổ đỏ đẹp, sẵn sàng giao dịch. Chủ thiện chí - Liên hệ: K.S Phương – 0918120568 để được hướng dẫn xem nhà và gặp trực tiếp chủ nhà thương lượng giá tốt",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806272.8644912,,
"4,8 tỷ VNĐ",Đường Cầu Giấy QUan Hoa Hà Nội, 42m2,,,,,"NHÀ ĐẸP DÂN XÂY DÂN TRÍ CAO GẦN Ô TÔ THÔNG SỐ HOA HẬU PHỐ CẦU GIẤY 42M 5T MT 5M NHỈNH 4 TỶ💓 Vị trí: Nhà nằm trong ngõ 68  Cầu Giấy,  Khu vực dân trí cao, hàng xóm thân thiện, toàn cán bộ công chức nhà nước, nhà giáo, công an, bác sĩ, tòa án,... An ninh miễn bàn.💓 Nhà chủ xây dựng được chục năm, có đầy đủ thiết kế nhà, điện nước,... Nhà khung cột chắc chắn, tường 20 mát mẻ. Chủ rất giữ gìn nên còn khá mới đẹp. Khách mua về ở luôn. 💓 Thiết kế:+ Tầng 1: Phòng khách, bếp.+ Tầng 2: 1 phòng rộng. 1 WC.+ Tầng 3: 2 phòng ngủ. WC.+ Tầng 4: 1 phòng thờ, sân phơi, trồng rau.+ Tầng 5: Tum trồng cây.💓 Sổ đỏ chính chủ nở hậu 5.5m, nét căngLiên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",25/08/2022,Tin thường,batdongsan_so_com_vn_1673806274.3775237,,
"3,85 tỷ VNĐ","Triều Khúc, Tân Triều, Thanh Trì", 30m2,, 4, 3, 3,"Bán Nhà Tân Triều,Triều Khúc,Thanh Xuân,Ở Luôn, Ngõ Xe 3 Gác, DT 30m2 x4T,Chỉ 3.85 TỷVị trí: Căn nhà ở gần Ecogren Nguyễn Xiển, gần trường tiểu học,THCS Tân Triều, xung quanh tiện ích không thiếu gì, cách nhà 300m là khu đô thị TheManor Central Park, nhà ra 5m là ngõ Ôtô.- Nhà nằm trong khu phân lô ô bàn cờ, mặt tiền đẹp, hàng xóm thân thiện, an sinh tuyệt vời, ngõ thông tứ tung.- Thiết Kế+ T1 phòng khách, bếp wc cầu thang.+ T2,3 mỗi tầng 2 phòng ngủ +WC+ T 4 là phòng thờ+ Sân Phơi.Pháp lý: Sổ đỏ chính chủ sẵn sàng giao dịchGiá bán: 3.85 tỷ ( có thương lượng)Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",26/08/2022,Tin thường,batdongsan_so_com_vn_1673806275.8566144, 2, 4
"6,8 tỷ VNĐ",Đường Trần Đăng Ninh phường Quang Trung, 44m2,, 1, 2, 1,,26/08/2022,Tin thường,batdongsan_so_com_vn_1673806276.869856, 15, 5
