price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới
"3,3 tỷ VNĐ",Ngõ 116 Ngọc Thuỵ, 30m2, Tây nam, 6, 5, 3, 4,"30 m2 x 5 tầng , mặt tiền 6 m , ngõ rộng 2 m , cách đường ô tô 15 m , hướng tây nam , giá 3 tỉ 300 triệu ( có thương lượng) tầng 1 : phòng khách , bếp ( trang bị đầy đủ bếp từ, hút mùi , chậu rửa bát , tủ bếp ) ✏️tầng 2,3,4 mỗi tầng 1 phòng ngủ khép kín , đầy đủ thiết bị vệ sinh , dây chờ điều hoà , rèm cửa  ✏️tầng 5 , phòng thờ, sân phơi ( có bắn mái tôn chống nóng , hàng rào an toàn  ❤️nội thất thiết bị chất lượng, sang trọng  🌆nhà xây kiên cố , pháp lí rõ ràng , đầy đủ đồng hồ điện nước  🏩🏥🌆vị trí đắc địa , cách cầu long biên và cầu chương dương chỉ 600 m , chợ ngọc thuỵ 500 m , xung quanh đầy đủ tiện ích  🚗🚗🚗cách 20 m là đường quy hoạch rộng 13,5 m , thông các ngả  💰🏪🏪hỗ trợ vay ngân hàng 80% giá trị nhà , trả góp từ 1 đến 20 năm ",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826896.4389415,
75 tỷ VNĐ,"Mặt phố Hàng Hành, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội", 43m2,,, 10,,,"Chính chủ bán nhà mặt phố Hàng Hành, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội*** Tòa nhà xây cho người nước ngoài thuê ven hồ Hoàn Kiếm, Cạnh phố Lý Thái Tổ, nhà hàng Thủy TạDiện tích đất: 43m2 x 10 tầng- Diện tích xây dựng: 433m2- Vị trí đắc địa nhất Quận Hoàn Kiếm, kinh doanh vô cùng thuận lợi- Khu dân trí cao, an ninh rất tốt, văn minh thân thiện- Giao thông đắc địa, cách hồ Hoàn Kiếm: 15mGiá bán: 75 tỷ - Có thương lượng cho khách thiện trí muaLiên hệ chủ nhà: Anh Hòa: 0903419435 - Miễn trung gian Nguồn:  http://nhadathanoi.net.vn",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826897.78135,
70 triệu VNĐ/m2,Phường Xuân Đỉnh, 70m2,,,,,,"Cực hiếm bán nhà Xuân Đỉnh 70m2, 4 tầng, MT 5m. Vài bước chân ra đường lớn .Giá nhỉnh 70tr/m2.+ Nhà chắc đẹp, 3 phòng ngủ,WC khép kín, công năng đầy đủ, tiện ích.+ Ba bước chân ra đường lớn lớn đi Phạm Văn Đồng, đường Xuân Đỉnh ra Võ Chí Công…. + Gần chợ, trường học các cấp, dân cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán kinh doanh tấp nập.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn 24/7.    ",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826898.6649845,
"4,9 tỷ VNĐ","Bạch Mai, Hai Bà Trưng, Hà Nội", 79m2,,,,,,"Mô tả: Chủ nhà cần tiền bán gấp nhà Bạch Mai, Hai Bà Trưng, Hà Nội, diện tích 80m2, thoáng đãng, yên tĩnh, biệt lập, an ninh tốt, nhà nở hậu. + Nhà nằm  vị trí trung tâm của phố Bạch Mai, kết nối vào Hồ Gươm và ra ngoại thành thuận tiện. + Vị trí nhà mật độ dân số đông nên kinh doanh sầm uất. + Nhà 2 tầng cũ, chủ mới về đập đi xây mới quá đẹp. + Khu vực trung tâm nhu cầu ở rất cao nên có thể xây cho thuê kinh doanh. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + Giá: 5 tỷ. Liên hệ: 0868.18.16.83 – Dẫn nhà miễn phí, giúp khách mua được căn nhà đẹp nhất",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826899.634442,
5 tỷ VNĐ,"Hai Bà Trưng, Hà Nội", 80m2,,,,,,"Mô tả: Cần tiền bán gấp căn nhà phố Bạch Mai, Hai Bà Trưng, Hà Nội, 80m2. + Vị trí nhà nằm gần nút giao thông Bạch Mai - Phố Huế, khu vực kinh doanh buôn bán cực kỳ đỉnh, tiện ích đẳng cấp bậc nhất Quận, cách Vincom Bà Triệu chỉ 500m, lên phố Cổ chỉ 5p đi xe, khu vực an ninh tốt, dân chí cao, phát triển phồn thịnh. + Nhà 2 tầng cũ, đập đi xây mới hoặc kinh doanh thì tuyệt đẹp.+ Từ nhà ra phố chỉ 50m, cách bãi gửi xe oto chỉ 60m. + Sổ đỏ đẹp, nở hậu nhẹ nhàng. + Giá: 4.9 tỷ Liên hệ: Mr Nghĩa - 0868181683",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826900.6835845,
"7,5 tỷ VNĐ",Đường Giải Phóng, 54m2,, 4, 4, 4,,"+ Vị trí đẹp, 2 mặt thoáng vĩnh viễn trước sau,sân vui chơi rộng rãi trước nhà. + Khu vực phân lô,gần hồ Phương Liệt nhà ở mát mẻ, an ninh an toàn. + Nhà thiết kế 4 tầng chắc chắn, sang trọng. + Sổ đỏ sẵn sàng giao dịch.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826901.7716768,
12 tỷ VNĐ,Phố Hạ Đình, 65m2,,,,,,"Bán nhà mặt phố Hạ Đình,Thanh Xuân  Vị trí đẹp nhất tuyến phố, kinh doanh mọi hình thức Diện tích 65m,mặt tiền 3.5m,xây 5 tầng Nhà chủ xây kiên cố chắc chắnSổ đỏ chính chủ ,giao dịch ngayThiết kế hợp lý phù hợp khách mua vừa ở vừa kinh doanh Giá 12 tỷ có thương lượng Liện hệ : Tùng BĐS 0981 669 144 - Chuyên nhà đất thổ cư Hà Nội",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826902.952515,
"1,28 tỷ VNĐ",0349609863, 104m2,,,,,,"Vợ chồng em cần tiền bán mảnh đất đẹp tại Gò Cáo, Thủy Xuân Tiên, Chương Mỹ, Hà Nội.- Cách trục chính thôn vài chục m, ngay gần đường quốc lộ 6, quốc lộ 21.- Tiện ích, trường học, trường trạm ngay gần- Diện tích: 104m full thổ cư, mặt tiền 8m, sổ vuông vắn .- Ngõ to rộng oto tải- Ảnh thật 100%, làm việc với em chính chủ- sổ đỏ riêng, sang tên nhanh gọn- Giá bán 1,28 tỷLiên hệ 0349609863.​​​​​​​",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826904.1204,
"6,9 tỷ VNĐ",Cầu Giấy - Dịch Vọng - Cầu Giấy - Hà Nội, 50m2,, 4, 5, 6, 4,"Bán nhà Cầu Giấy lô góc 3 mặt thoáng khí vĩnh viễn, diện tích 50m2, mặt tiền 4m, ngõ xe 3 gác 10m ra oto tránh nhau giá 6,9 tỷ Vị trí nhà đẹp, đường trước nhà xe 3 gác đua, 10m ra ngõ oto tránh nhau Nhà lô góc 3 mặt thoáng khí vĩnh viễn, phòng nào cũng có cửa sổ vượng khí Nội thất long lanh, nhà xây chắc chắn sửa sang nhẹ ở được ngay Tương lai trở thành khu vực sầm uất Thiết kế chi tiết: Tầng 1: Chỗ để xe, phòng khách, bếp, vệ sinh Tầng 2,3,4: Mỗi tầng chia 2 phòng ngủ + vệ sinh Tầng 5: Phòng thờ, sân phơi Sổ đỏ chính chủ, sẵn sàng giao dịch Lh: E Quân: 0964875503",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826905.23343,
"7,2 tỷ VNĐ",Chiến Thắng- Hà Đông, 50m2,,, 5,,,"Nhà đẹp, Chiến Thắng, Hà Đông,vỉa hè,ô tô tránh, 50m, 5 tầng Phố Chiến Thắng, Hà Đông sầm uất bậc nhất, ngay cạnh Khu đô thị Văn Quán, thông ra Tân Triều và Triều Khúc, vị trí lý tưởng gần các trường Đại học lớn. Nhà xây trên mảnh đất vượng khí, gia chủ thành đạt, nhà tự xây tâm huyết, đường trước nhà ô tô tránh, vỉa hè thênh thang, ở kết hợp kinh doanh văn phòng quá đỉnh. Bán kính xung quanh đầy đủ tiện ích: trường học, ngân hàng, chợ, .... Khu trung tâm di chuyển thuận lợi lên Thanh Xuân và Từ Liêm, hàng xóm Lương Ngọc Quyến, sang bên đường là An Hòa, cạnh Khu đô thị Mỗ Lao, gần Big C Nguyễn Văn Lộc Chủ nhà là doanh nhân thành đạt, con cháu đuề huề, chuyển sang ở Biệt thự rộng hơn nên cần bán gấp. Sổ vuông như tờ A4, sẵn sàng giao dịch. Giá: 7.2 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",23/04/2022,Tin thường,batdongsan_so_com_vn_1673826906.5290074,
