price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Mặt tiền,Hướng,Lộ giới,Số toilet
16 tỷ VNĐ,Hà Nội, 71m2,"Bán nhà chính chủ đường Núi Trúc khu vực nhiều cây xanh thoáng mát - SĐT: 0366 555 258.Vị trí cực kỳ đắc địa, nhà nằm trong khu phân lô đường ô tô tránh có vỉa hè.Diện tích 71 m2, xây dựng 6 tầng thang máy, mặt tiền 5 m.Nội thất nhập khẩu cao cấp chỉ việc ở luôn.Đường xá sạch đẹp đi lại thuận tiện, dân trí cao, an ninh tốt.Xung quanh nhiều văn phòng, nhà hàng, phương hằng vườn hoa, hồ điều hòa, bệnh viện, chợ, trường...Sổ đỏ chính chủ, thửa đất đẹp vuông vắn không lỗi phong thủy.Giá chào chỉ bán 16 tỷ thương lượng mạnh.Liên hệ ngay 24/24 em Thanh để biết thêm chi tiết: 0366 555 258.",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828714.4118538,,,,,,
4 tỷ VNĐ,Khương Đình, 40m2,"- Chủ cần tiền chia tài sản cho con cái. - Diện tích: 40m2, 5 tầng. - Nhà cách mặt phố khoảng 100m, ngõ thông, rộng xe ba gác tránh thoải mái. - Nhà mới, xây khung cột chắc chắn, thoáng trước thoáng sau. - Nhà nằm ở vị trí giao thông thuận tiện , gần các trường đại học, gần chợ.  - Giá 4 tỷ thương lượng trực tiếp chủ nhà. - Sổ đỏ đẹp, vuông vắn, giao dịch trực tiếp. - Liên hệ ngay em Thảo chuyên đất thổ cư Hà Nội.",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828715.8450155, 5, 5,,,,
,đào tấn, 62m2,"Hot! Bán Nhà Đào Tấn 62m2 x 7 tầng mt: 5m có 12 Phòng cho thuê: 80tr/th. Giá: 10.x tỷ  Mô tả: (1). Diện tích: 62m x 7 tầng, mặt tiền: 5.2m. (2). Toà nhà chung cư 7 tầng thang máy gồm 12 phòng khép kín full đồ khách chỉ việc đến ở, hiện toà nhà đã kín phòng Doanh thu 80tr/ tháng, gia chủ mới chỉ việc khai thác hoặc tuỳ ý gia chủ mới có thể tự vận hành hoặc để chủ thuê lại 55 tr/th. (3). Vị trí thuộc Quận Ba Đình tuyến phố Đào Tấn siêu đẹp, ngõ vào sạch đẹp thông thoáng, An sinh đỉnh cao. (4). Pháp lý sổ đỏ, giấy tờ đầy đủ. (5). Giá nhỉnh: 10.x tỷ  ( có thương lượng ).  Liên hệ: (Mr Dũng). Gọi ngay: 0868061200. ""Hỗ trợ  và tư vấn 24/7"".  Các sản phẩm tương tư: ( Căn Hộ Dịch Vụ ). #Nguyễn Trãi 58m2 x 7 tầng, mt: 4.6m. 12 Phòng cho thuê: 65tr/th.  #10.x tỷ #Pháo Đài Láng 88m2 x 9 tầng thang máy logoc siêu thoáng, mt: 10m, siêu thoáng 15 phòng cho thuê 65tr/th. #14.x tỷ #Trần Quốc Vượng 76m2 x 7 tầng thang máy, mt: 5m. 22 phòng cho thuê: 100tr/th #14.5 tỷ #Thịnh Quang 92m2 x 7 tầng thang máy, mt: 11m. 22 phòng cho thuê: 100tr/th. #16 tỷ Đống Đa. #Đào tấn 62m2 x 7 tầng thang máy, mt: 12 phòng 80tr/th. #10.x tỷ.    ",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828716.8593051, 7,, 5,,,
"14,5 tỷ /tháng",đào tấn, 76m2,"Bán Nhà Trần Quốc Vượng 76m2, 7 Tầng tháng máy, 22 phòng xây mới, 100tr/tháng, Giá 14.5 tỷ Mô tả; Diện tích: 76m x 7 Tầng, mặt tiền: 5m. vị trí trung tâm Cầu Giấy, xung quanh với rất nhiều trường Đại học lớn nhiều sinh viên, nhiều toàn văn phòng công ty với lượng công nhân rất lớn. Nhu cầu thuê nhà căn hộ khép kín cực cao. Thiết kế: 7 tầng thang máy. +Tầng 1 để xe và 1 cửa hàng cho thuê. + Từ tầng 2-6 mỗi tầng có 4 căn hộ khép kín. + Tầng 7 có 2 căn hộ và sân phơi. Giá: 14.5 tỷ “có thương lượng”. Pháp lý sổ đỏ, giấy tờ đầy đủ. Liên Hệ: Mr Dũng ĐT: 0961506200. hoặc 0868061200. (Miễn TG-MG).  Các sản phẩm tương tự:  #Ngõ 79 Cầu Giấy 50m x 5 tầng, mt: 4.5m, #6.9 tỷ. 7 Phòng khép kín full đồ, Doanh thu 40tr/ tháng#Ngõ 66 Hồ Tùng Mậu 46m x 6 tầng, mặt tiền: 4.2m. #5.89 tỷ. hiện tại có 10 phòng khép kín (có thể làm thêm 1 phòng nữa là 11), dòng tiền ~ 600 triệu/ năm. #Ngõ 260 Cầu Giấy 35m x 5 tầng, #4.7 tỷ. 7 Phòng khép kín, Doanh thu: 35tr/tháng. #Ngõ 63 Trần Quốc Vượng 75m x 7 tầng thang máy, mt: 5m, #14.5 tỷ. 22 phòng xây mới. Nội thất full đồ đủ mọi tiện nghi. Doanh thu dòng tiền hàng tháng hơn 100tr/tháng. #Ngõ 255 Nguyễn Khang 50m x 6 tầng tháng máy, lô góc: mt: 9m, #7.9 tỷ. nhà mới 8 phòng khép kín. ",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828717.9324312, 7,,,,,
15 tỷ VNĐ,Hà Nội, 75m2,"PHÂN LÔ - Ô TÔ VÀO NHÀ - ĐỖ CỬA 24/7 - THANG MÁY XỊN - NỘI THẤT ĐẲNG CẤP.Bán nhà có sổ đỏ đường Giang Văn Minh Ba Đình - SĐT: 0366 555 258.Diện tích 75 m2.Mặt tiền 5.5 m.7 tầng thang máy.Ngõ to như phố, ô tô tránh nhau, vỉa hè rộng.Nhà thiết kế đẹp, chủ tự xây rất chắc chắn.Tầng 1: GARA, phòng khách, bếp, vệ sinh.Tầng 2, 3, 4, 5, 6: Các phòng đẹp, vệ sinh.Tầng 7: Phòng thờ, sân phơi, sân vườn với rất nhiều cây xanh.Sổ đẹp phân lô - sẵn sàng giao dịch.Giá chào chỉ 15 tỷ thương lượng mạnh.Liên hệ miễn phí ngay Ms Thanh - 0366 555 258.",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828718.895855,,,,,,
24 tỷ VNĐ,"Trung Kính, Cầu Giấy", 92m2,"Chính chủ cần bán gấp nhà mặt ngõ Phố Trung Kính, hai oto tải tránh nhau, Diện tích: 92M2( 4.5m x 20.4m) - Xây 4 tầng, 4PN+ 1 Phòng bếp và phòng thờ ở tầng 4 - MT: 4.5 m, đường trước nhà 7M Sổ đỏ chính chủ Giá bán: 24.5 tỷ ( có thương lượng) Liên hệ: Anh Hoàng: 0964. 232. 639 ",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828719.9051538, 4, 4, 4, Đông bắc, 7, 5
"4,2 tỷ VNĐ",Triều Khúc, 36m2,"- Chủ bán gấp lấy tiền cho con đi du học. - Diện tích: 36m2, 5 tầng. - Vị trí: ngõ thông tứ tung, ba gác đỗ tận cửa, gần ô tô, gần phố. - Tiện ích khu đông dân, cho thuê dễ, nhiều trường đại học, buôn bán tấp nập ngày đêm chẳng thiếu thứ gì. - Thiết kế tỉ mỉ, xây dựng chắc chắn. - Giá 4.2 tỷ thương lượng trực tiếp với chủ nhà. - Sổ đỏ đẹp sẵn sàng giao dịch. - Liên hệ ngay em Thảo chuyên đất thổ cư Hà Nội. ",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828721.195702, 5, 5,,,,
"7,1 tỷ VNĐ",Phố Bồ Đề - Phường Bồ Đề, 66m2," Bồ Đề vị trí đắc địa- nhà dân xây đẹp thoáng – ngõ ô tô – tiện ích ngập tràn. Mô tả: + Vị trí đường trước nhà ô tô chạy vòng quanh thông thoáng, tiếp giáp với nhiều phố lớn như Nguyễn Văn Cừ, Hồng Tiến... vài phút là sang hồ Hoàn Kiếm. + Nhà thiết kế 3,5 tầng trước nhà thoáng mát ở cực sướng, khách mua về có thể lên tầng thoải mái. - Tầng 1: Phòng khách và bếp và phòng ăn. - Tầng 2: 2 ngủ vệ sinh khép kín. - Tầng 3: 1 ngủ và phòng thờ trên sân thượng sân phơi trồng rau. + Sổ đỏ cất két sẵn sàng giao dịch. Liên hệ em Long : 0988 073 894",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828722.1930332,,,,,,
"10,2 tỷ VNĐ/m2",Đào tấn, 62m2,"Hot! Bán Nhà Đào Tấn 62m2 x 7 tầng mt: 5m có 12 Phòng cho thuê: 80tr/th. Giá: 10.x tỷ  Mô tả: (1). Diện tích: 62m x 7 tầng, mặt tiền: 5.2m. (2). Toà nhà chung cư 7 tầng thang máy gồm 12 phòng khép kín full đồ khách chỉ việc đến ở, hiện toà nhà đã kín phòng Doanh thu 80tr/ tháng, gia chủ mới chỉ việc khai thác hoặc tuỳ ý gia chủ mới có thể tự vận hành hoặc để chủ thuê lại 55 tr/th. (3). Vị trí thuộc Quận Ba Đình tuyến phố Đào Tấn siêu đẹp, ngõ vào sạch đẹp thông thoáng, An sinh đỉnh cao. (4). Pháp lý sổ đỏ, giấy tờ đầy đủ. (5). Giá nhỉnh: 10.x tỷ  ( có thương lượng ).  Liên hệ: (Mr Dũng). Gọi ngay: 0868061200. ""Hỗ trợ  và tư vấn 24/7"".  Các sản phẩm tương tư: ( Căn Hộ Dịch Vụ ). #Nguyễn Trãi 58m2 x 7 tầng, mt: 4.6m. 12 Phòng cho thuê: 65tr/th.  #10.x tỷ #Pháo Đài Láng 88m2 x 9 tầng thang máy logoc siêu thoáng, mt: 10m, siêu thoáng 15 phòng cho thuê 65tr/th. #14.x tỷ #Trần Quốc Vượng 76m2 x 7 tầng thang máy, mt: 5m. 22 phòng cho thuê: 100tr/th #14.5 tỷ #Thịnh Quang 92m2 x 7 tầng thang máy, mt: 11m. 22 phòng cho thuê: 100tr/th. #16 tỷ Đống Đa. #Đào tấn 62m2 x 7 tầng thang máy, mt: 12 phòng 80tr/th. #10.x tỷ.",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828723.5673559,,,,,,
"16,9 tỷ VNĐ",Quốc Tử Giám-Đống Đa -Hà Nội, 93m2,"Cần Bán nhà có đặc điểm sau🆘Bán nhà homestay mới tinh 12 phòng khép kín 5 tầng 🆘mặt tiên 7m dt95m Thang máy đầy đủ tầng hầm để xe oto xe máy rộng🆘Tầng 5 hai ngủ nhìn ra sân vườn🆘Quá đẹp cho các bác làm khách sạn 🆘Diện tích 93m🆘 Giá 16,9 tỷ ☎️ACE: LH 0845681666",01/04/2022,Tin thường,batdongsan_so_com_vn_1673828724.902832,,,,,,
