price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng,Lộ giới
12 tỷ VNĐ,"Xuân La, Tây Hồ", 60m2,"Đất Đẹp Xuân La,60m2,Vị Trí Đắc Địa, Ngõ Ô Tô,Bán Nhanh 12 Tỷ + Vị trí:  Đất tại Xuân La, Trung Tâm Tây Hồ, đi vài bước chân ra hồ tây lộng gió, ngõ thông vỉa hè ô tô tránh, ngõ phân lô bàn cờ, hướng Đông Nam mát mẻ + Diện tích: 60m2, mặt tiền ~4m + Giá:12.x tỷ (thương lượng) => Liên hệ chính chủ 0868266138 (Zalo Lê Thắm)",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818933.13259,,,,,,
"6,4 tỷ VNĐ","Xuân La, Tây Hồ, Hà Nội", 60m2,"Tôi bán gấp nhà mới 60m2, 4 tầng Xuân La, Tây Hồ, ngõ thoáng,chỉ 6 tỷ 💯Vị trí: - Nhà trong ngõ cách đường Xuân La 80m, cách Lạc long Quân (Hồ Tây) 150m, Võ Chí Công 250m - Tiện ích xung quanh đầy đủ, gần trường, gần chợ, vinmart,... - Khu vực an ninh tốt, đảm bảo chất lượng cuộc sống 💯Thiết kế: 60m2, 4 tầng, 4PN, 3WC, 1 phòng thờ, 1 phòng giặt, 1 sân phơi, 2 kho chứa đồ 💯Sổ đỏ chính chủ 💯Giá thương lượng: 6,4 tỷ ☎ LH 0868266138 (Zalo Lê Thắm) hỗ trợ xem nhà miền phí!",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818934.471009,,,,,,
"40,1 tỷ VNĐ",Thanh Nhàn, 115m2,"Mô tả + Nhà vị trí đẹp nhất phố,115m2, ngay gần Giải Phóng, Lê Thanh Nghị, Tạ Quang Bửu, Đại Cồ Việt, Thanh Nhàn,… + Dân cư đông đúc, nhiều sinh viên, kinh doanh nhiều ngành nghề, máy tính, café, quán ăn, văn phòng. + Sổ Đỏ chính chủ, pháp lý chuẩn. + Giá 40.1 tỷ. Liên hệ: Nghĩa – 0868181683 (để làm việc chính chủ)",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818936.1447353,,,,,,
"3,4 tỷ VNĐ",quang trung, 35m2,"Bán Nhà, Quang Trung, Hà Đông. Ô Tô Kinh Doanh 35m2 x 5 tầng. Mặt Tiền 8m Giá 3.4 Tỷ.  NHÀ MỚI ĐẸP Ở NGAY – GẦN PHỐ  - Khu vực tiện ích đầy đủ gần Trường THPT Nguyễn Huệ, trường Quốc tế Parkcity. Nhà cách ô tô đỗ 30m, cách đường Quang Trung 100m. - Nhà gần ga tàu điện trên cao, tuyến xe buýt, giao thông ngả đi các hướng Ngã Tư Sở, Hoà Bình. Nhà gần Bệnh Viện Đa Khoa Hà Đông, Nhà Thi Đấu Hà Đông, Siêu Thị Metro, Siêu Thị bigc Hà Đông và rất nhiều tiện ích xung quanh. Giao thông thuận tiện, an ninh an toàn. - Nhà xây mới đẹp 5 tầng. - Thiết kế hiện đại, nhà mặt tiền rộng. + Tầng 1: Phòng khách, bếp, vệ sinh. + Tầng 2,3,4: Mỗi tầng 1 phòng 1 wc. + Tầng 5: Phòng thờ và sân phơi. - Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179  ",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818937.3216214, 8, 5, 3, 4,,
25 tỷ VNĐ,ngõ 213 Trần Đại Nghĩa, 110m2,"Bán toà nhà chung cư mini có 30 Phòng cho thuê, ngõ  phân lô giảng viên Đại Học Kinh Tế Trần Đại Nghĩa ,Đồng Tâm , Hai Bà Trưng, HN , trước nhà 2 ô tô tránh nhau, có vỉa hè.DT 120mx8T thang máy giá 25 tỷ Diện tích 110m2, mặt tiền 4.5m, nhà xây mới tinh 8 tầng đẹp long lanh. Thiết kế hiện đại, phong cách Châu Âu, có thang máy xịn, chuyên để cho thuê. Tầng 1: Thiết kế  thông sàn làm chỗ để xeTầng 2,3,4,5,6,7 Thiết kế mỗi tầng 5 phòng  vệ sinh khép kín, Tầng 8: Phòng máy, sân phơi đồ.Chủ nhà đã lắp đặt đầy đủ nội thất chất lượng cao  điều hoà , Vệ sinh ToTo, nóng lạnh , Giường Tủ, công tơ điện nước riêng đầy đủ, khách mua về chỉ việc vận hành,  Vị trí cực đẹp ngõ trước nhà 2 ô tô tránh nhau cạnh kí túc xá trường kinh tế cho thuê hiệu suất cao sổ đỏ chính chủ giá 25 tỷ có thương lượng Liên hệ Chị yến ĐT:0702138238",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818938.4638007, 4, 8, 10, 10, Tây bắc, 6
"3,85 tỷ VNĐ",ngõ phố Đại La, 33m2,"Bán nhà ngõ phố Đại La, gần ngã tư Trần Đại Nghĩa, HBT Hà Nội Diện tích 33m2 x 5 tầng xây mới, giá 3,85 tỷ, xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, cửa chính 2 lớp, cửa thông phòng và tay vịn cầu thang làm bằng gỗ lim. - Thiết kế hiện đại bao gồm: - Tầng 1: Sân để xe. Phòng khách, vệ sinh, bếp ăn. - Tầng 2,3,4 Mỗi tầng 1 phòng ngủ rộng, 1WC. - Tầng 5: Phòng thờ, sân phơi. - Nhà nằm ở vị trí trung tâm quận HBT rất đắc địa, vô cùng thuận tiện, dân trí cao, an ninh tốt. + Chỉ vài trăm mét tới các trường ĐH: Bách Khoa, Kinh Tế, Xây Dựng+ Chỉ vài bước chân ra tới TTTM Chợ Mơ, Chợ Đồng Tâm, Siêu thị lớn Vinmart Đại La+ Chỉ gần 1 km tới bệnh viện Bạch Mai, Thanh Nhàn, Công viên Lê NinSĐCC, giá 3,85 tỷ (có thương lượng).liên hệ Chị yến ĐT:0702138238",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818939.7653177, 4, 5, 3, 4, Nam, 3
"11,5 tỷ VNĐ",ngõ phố Tân  Mai, 58m2,"Bán nhà phân lô ngõ phố Tân Mai, Hoàng Mai.Hà Nội  DT 58m2x5T Thang máy, thoáng 2 mặt cực kỳ đẹp, ô tô vào nhà giá 11.5 tỷNhà xây mới móng bè, khung cột cách phố Tân Mai đúng 10m vừa ở, vừa kinh doanh DT 58m2x5T thang máy. thiết kế hiện đại bao gồm:T1 : Ga ra ô tô, bếp, vệ sinh phụ T2: phòng khách, phòng ngủ, vệ sinh giữa.T:3,4 mỗi tầng 2 phòng ngủ, vệ sinh từng tầng, .T5: phòng thờ sân phơi.Thiết kế theo phong cách hiện đại, công năng sử dụng vô cùng hợp lý, của cuốn, thang máy nhập khẩu, thiết bị vệ sinh cao cấp, sàn gỗ nhập khẩu Đức, cửa ra vào và tay vịn cầu thang làm bằng gỗ lim Nam phi, tủ bếp cao cấp,  phù hợp với mô hình vửa ở, vừa kinh doanh hoặc làm văn phòng công tyVị trí đắc địa cách phố đúng 10m sát chung cư Hòa Phát, gần Hồ Đền Lừ,khu an sinh tốt sổ đỏ chính chủ giá 11.5 tỷ có thương lượng liên hệ chị yến ĐT:0702138238",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818940.955139,, 5, 6, 4, Tây, 4
12 tỷ VNĐ,Đình thôn, 80m2,"BÁN NHÀ ĐÌNH THÔN NAM TỪ LIÊM 80M 12 TỶ X BÁN ĐẤT TẶNG NHÀ ĐÌNH THÔN NAM TỪ LIÊM 80M 12,x tỷ Khu phố ngoài quốc, kinh doanh sầm uất. Xung quanh nhiều tiện ích, Đường lớn, Dự án phát triển mạnh như giá xăng. Giá thương lượng Sổ đẹp cất tủ sẵn sàng sang tên Xem nhà liên hệ Anh Đức 0898839292",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818942.1469467,,,,,,
"3,51 tỷ VNĐ","Hoàng Mai, Hà Nội", 33m2,"BÁN NHÀ QUẬN HOÀNG MAI - NHÀ Ở CỰC LỘC – CHỦ VĂN MINH BÁN ĐỂ CHUYỂN NHÀ LỚN HƠN – TẶNG 90% NỘI THẤT Cần bán nhà ngõ 169 Hoàng Mai, phường Hoàng Văn Thụ. Thông số: 33m x 5 tầng Mặt tiền 4.92m-hậu 4.93m. Mô tả: Nhà dân xây khung cột được mấy năm còn như mới, khách chỉ việc mang đồ vào ở. Tầng 1: Phòng khách, bếp, vệ sinh, để Tầng 234: Mỗi tầng một phòng khép kín. Tầng 5: Phòng thờ, sân phơ + Pháp lý: Sổ đỏ chính chủ. + Giá: 3.6 tỷ * Liên hệ ngay Ms Hồng Anh: 0902.224.699.Anh chị quan tâm liên hệ xem nhà miễn phí, giao dịch trực tiếp chủ nhà.    Cảm ơn anh/chị đã đọc tin đăng !",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818943.2958732, 5, 5, 3, 4,,
"1,8 tỷ VNĐ","Trương Đinh, Hoàng Mai, Hà Nội", 25m2,"SIÊU HIẾM, SỔ ĐỎ RIÊNG, HỘ KHẨU HÀ NỘI, KHÔNG CÓ CĂN THỨ 2. _ Vị trí: Ngõ phố Trương Định, gần Giáp Bát. _ Thông số: 25m 3 tầng mặt tiền 3.7m. _ Ngõ xe máy tránh, xách ô tô 30m. _ Pháp lý: Sổ đỏ riêng chính chủ, sang tên ngay. _ Mô tả nhà: Nhà cũ, trước chủ cho thuê, nay lấy lại bán nên đã xuống cấp nhiều, chủ mới mua về xác định phải sửa mới ở được, có thể lên thêm tầng nếu muốn. _ Sẵn điện nước riêng. _ Giá 1.8 tỷ _ TL linh động. _ Liên hệ giao dịch chính chủ sổ đỏ.",20/06/2022,Tin thường,batdongsan_so_com_vn_1673818945.3307679, 4, 3, 2, 2,,
