price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Hướng
25 tỷ VNĐ,Thành Công Ba Đình Hà Nội, 59m2, 4, 4,"NHÀ MẶT PHỐ THÀNH CÔNG BA ĐÌNH - Ô TÔ VỈA HÈ - LÔ GÓC - KINH DOANH. - Nhà mặt phố, ô tô vỉa hè, lô góc một mặt phố một mặt ngõ, kinh doanh đỉnh cao nhiêù loại hình.- Diện tích 59m2 x4 tầng.Mặt tiền 4.6m Giá bán 25 tỷ ( có thương lượng ) - Thiết kế: Nhà 4 tầng cũ, thiết kế tầng 02 phòng cầu thang giữa  + wc.- Giao thông thuận tiện.  150m ra Đê La Thành, 160m ra hồ Thành Công, xung quanh buôn bán sầm uất phát triển. - Sổ đỏ chính chủ, sẵn sàng giao dịch.ACE có nhu cầu liên hệ với em. Miễn ( TG Quảng Cáo ) ",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802247.5197964,,,,
"5,1 tỷ VNĐ",Đường Trường Chinh phường Ngã Tư Sở, 48m2,, 4,"NHÀ ĐẸP - THỬA ĐẤT ĐẸP - THOÁNG TRƯỚC SAU - 20M RA PHỐ - Ở SƯỚNG!  + Vị trí trung tâm Đống Đa, nhà xây có thiết kế, đầy đủ công năng. + Ngõ trước nhà rộng thoáng, yên tĩnh. Nhà cách phố chỉ 20m nhưng lại vô cùng yên tĩnh, dân trí cao. + Nhà 4 tầng kiên cố, cực đẹp và thoáng.  + Tầng 1: Phòng khách, bếp, vệ sinh. + Tầng 2,3: Mỗi tầng 2 phòng đều có cửa sổ thoáng, sáng, cầu thang góc nhà, vệ sinh giữa. + Tầng 4: Phòng thờ, sân phơi. + Sổ đỏ đẹp, chính chủ cần bán gấp. + Liên hệ ngay 0983438681, 0911609234. Phùng Diện - Chuyên nhà đất thổ cư Hà Nội.",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802249.1664338, 3, 4, 4,
"7,5 tỷ VNĐ",Cù Chính Lan, 48m2,, 5,"+ Vị trí cực đẹp, 10m ra mặt Phố Cù Chính Lan, 30m ra Mặt Phố Trường Chinh, tiện ích vô vàn.+ Đường rộng thoáng, khu dân trí cao, an ninh tốt, rất đáng sống.+ Nhà chủ xây tâm huyết, khung cột chắc chắn, nội thất sàn toàn gỗ xịn, khách mua về ở ngay.+ Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng dao dịch.    LH: Em Hoan, 0925088355, chuyên Thổ cư Thanh Xuân, Đống Đa, miễn phí xem nhà 24/7.",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802250.3811853,,,,
"3,3 tỷ VNĐ",khương đình hà nội., 30.5m2,, 5,"+ Bán Nhà Phố Khương Đình, Quận Thanh xuân, lô góc 2 thoáng siêu đẹp. khu vực toàn công chức ở, an ninh tốt, dân trí cao. Chỉ 5 phút ra Royal city và BigC. + Chủ nhà xây tâm huyết, thiết kế đẹp, ánh sáng ngập tràn, nội thất đầy đủ. Cần bán để sang nước ngoài ở với con. + Nhà 5 tầng mới đẹp, vài bước ra phố. Gần các đường như. Khương Trung, Nguyễn Trãi, Kim Giang, Vũ Tông Phan và nhiều trường Đại Học. Giá chỉ 3.2 tỷ. + Sổ đỏ cất két, sẵn sàng giao dịch. + Liên hệ; 0911303899 - Mr Quân. Tư vấn miễn phí 24/24.",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802252.3409426,, 3, 3,
"2,4 tỷ VNĐ","Phố Viên, Bắc Từ Liêm", 30m2, 4, 1,"TRƯỚC NHÀ Ô TÔ TRÁNH, 30M RA MẶT PHỐ, KINH DOANH SẦM UẤT S = 30m2, mặt tiền 4.5m, giá 2.4 tỷ ĐC: Phố Viên, Cổ Nhuế, Bắc Từ Liêm. Vị trí đắc địa, đi bộ ra Đại học Mỏ Địa Chất, Bệnh viện Phương Đông, Đại học Tài nguyên Môi trường, Học viện Tài chính,… Giao thông: Phố Viên, Cổ Nhuế, Đức Thắng, Phạm Văn Đồng,… Hiện trạng nhà cấp 4 còn sử dụng tốt, chủ đang cho thuê. * Sổ đỏ vuông đẹp, chủ thiện chí bán. * Liên hệ em Bình, 0345752279 để xem nhà, không tiếp môi giới.",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802253.6763704, 4, 1, 1,
"3,8 tỷ VNĐ","hoàng mai, hà nội", 36m2,,,"3Bán Nhà Hoàng Mai, Phố Nguyễn Chính, 36m, 5t, mt 4m, 3,8 tỷ, oto, Kinh Doanh.+Duy nhất 1 căn Nguyễn Chính 4 mặt thoáng oto vào nhà, đường ô tô tránh, kinh doanh hay làm văn phòng rất phù hợp. +Nhà chủ tự xây nên vô cùng chắc chắn phù hợp cho 3 thế hệ ở.+Đường Nguyễn Chính gần đường Tân Mai, Trương Định, Giáp Bát, Giải Phóng, Kim Đồng, Mai Động, Minh Khai, trường Đại Học Kinh Tế Quốc Dân Xây Dựng, Bách khoa, Bệnh viện Bạch Mai, bến xe Giáp Bát.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Lh: 0346363362 : Phú Gia chuyên nhà phố Hà Nội.",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802255.5912464,,,,
"7,3 tỷ VNĐ","Tố Hữu, La Khê, Hà Đông", 48m2, 4, 5,"Bán Nhà LK, TỐ HỮU, La Khê, Kinh Doanh, Vỉa Hè, Phân Lô, Ô Tô DT 48m2 x 5T, Chỉ 7.3 Tỷ.Vị Trí: Nhà khu liền kề Cổng Đồng, La Khê, Hà Đông, nhà phân lô, vỉa hè ô tô tránh kinh doanh mọi loại hình, xung quanh gần nhiều tiện ích như TTTM Aeon Mall Hà Đông, Công viên Thiên Văn Học, Khu Đô thị An Hưng…., gần chợ xung quanh buôn bán tấp nập, tiện ích vô vàn, Thiết kế: Nhà xây 5 tầng,MT 4m+ Tầng 1: Kinh doanh (Gara ô tô)+ bếp + WC.+ Tầng 2,3,4 mỗi tầng 2  phòng ngủ + WC.+ Tầng 5: Phòng thờ + Sân phơi.Pháp lý: Sổ đỏ phân lô sẵn sàng giao dịchGiá bán: 7.3 Tỷ ( Có thương lượng)Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802258.9013326, 7, 6, 4,
"4,78 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 45m2, 3, 4,"Bán nhà Ngọc Thuỵ 45m2 x 4 tầng, giá 4.78 tỷ, ô tô đỗ cổng, chủ tự xây, nhà đẹp, 2 thoáng  + Vị trí giao thông thuận tiện kết nối Thượng Tanh, Ngọc Lâm, phố cổ,.. Xung quanh nhiều tiện ích, gần chợ, trường học các cấp, TTTM Mipec + Vị trí ngõ nông, rộng, thoáng, ô tô lùi tận cổng + Nhà thiết kế hiện đại, chủ tự thiết kế, xây ở chắc chắn 4 tầng, 4 phòng ngủ, đẹp kiên cố, ở ngay, móng muốn lên 5,6 tầng thoải mái. Nhà 2 thoáng luôn tràn ngập không gian ánh sáng tự nhiên + Khu dân trí cao, an ninh tốt, hàng xóm vô cùng thân thiện Liên hệ em Thuỷ 0986892255 hoặc 0981671094 chuyên thổ cư Long Biên ",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802259.9674804, 4, 4, 3,
"7,3 tỷ VNĐ","Tố Hữu, La Khê, Hà Đông", 48m2, 4, 5,"Bán Nhà LK, TỐ HỮU, La Khê, Kinh Doanh, Vỉa Hè, Phân Lô, Ô Tô DT 48m2 x 5T, Chỉ 7.3 Tỷ. Vị Trí: Nhà khu liền kề Cổng Đồng, La Khê, Hà Đông, nhà phân lô, vỉa hè ô tô tránh kinh doanh mọi loại hình, xung quanh gần nhiều tiện ích như TTTM Aeon Mall Hà Đông, Công viên Thiên Văn Học, Khu Đô thị An Hưng…., gần chợ xung quanh buôn bán tấp nập, tiện ích vô vàn, Thiết kế: Nhà xây 5 tầng,MT 4m + Tầng 1: Kinh doanh (Gara ô tô)+ bếp + WC. + Tầng 2,3,4 mỗi tầng 2  phòng ngủ + WC. + Tầng 5: Phòng thờ + Sân phơi. Pháp lý: Sổ đỏ phân lô sẵn sàng giao dịch Giá bán: 7.3 Tỷ ( Có thương lượng) Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                                           - Mr Luyện thổ cư: 0911779569 - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802261.2819633, 7, 6, 4,
,PHỐ ÁI MỘ, 61m2, 19, 5,"MẶT PHỐ ÁI MỘ - LÔ GÓC - HIẾM - MẶT TIỀN TRONG MƠ - TIỆN ÍCH XUNG QUANH - KINH DOANH SẦM UẤT 61M MẶT TIỀN 19M 18.5 TỶ  MÔ TẢ+ Mặt phố Ái Mộ - khu vực Vip Long Biên, hiếm nhà bán. Thông thoáng Hồng Tiến, Hoàng Như Tiếp, Lâm Du, Bồ Đề, Nguyễn Văn Cừ, thuận tiện kết nối Bờ Hồ, phố cổ...+ Tiện ích cao cấp: Cạnh trường Wellspring School, bệnh viện Tâm Anh, trường học, UBND, Công an phường Bồ Đề, công viên... xung quanh toàn nhà hàng cao cấp, nhiều VIP ở...+ Vị trí lô góc đẹp nhất phố, mặt tiền hốt bạc, kinh doanh sầm uất, vỉa hè đá bóng. Cực kỳ hiếm cho 1 vị trí kinh doanh cafe nhà hàng...+ thiết kế - Tầng 1: Thông sàn, đang cho thuê kinh doanh cafe 12tr/th.- Tầng 2: Thông sàn, đang cho thuê làm văn phòng 8tr/th. Tổng dòng tiền cho thuê 20tr/th (5 năm rồi chưa thay đổi).- Tầng 3,4,5: Mỗi tầng 2 phòng, cầu thang giữa, chủ ở.+ Sổ đỏ chính chủ, sẵn sàng giao dịch. ",12/09/2022,Tin thường,batdongsan_so_com_vn_1673802262.7470438,, 6, 4,
