price,address,Diện tích,Hướng,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Lộ giới
"4,3 tỷ VNĐ","ngã 4 Lê Trọng Tấn, Hà Đông 5 tầng 4 ngủ giá 4.3 tỷ 45m2.", 45m2, Nam, 3, 5, 4,"+ Cách mặt đường Quang Trung 80m, Đường chước nhà rộng 3,2m.+ Nằm trong khu vực có an ninh tốt, dân trí cao  Nhà xây mới 5 tầng diện tích 45m2.+ Nhà thiết kế rất hiện đại. + Nhà đẹp, rộng rãi, khung cột BTCT chắc chắn, sau nhà là giếng trời rộng gần 1m.+ Cầu thang giữa, mỗi tầng 2 phòng rộng rãi, cực hợp lý.+ Nội thất đầy đủ dọn về ở ngay.+ Tổng 4 phòng ngủ, tầng 5 có gian phòng thờ, kho, sân phơi trước sau.- Diện tích: 48m2 tầng 1, 52m2 tầng 2 x 4 tầng,  Sổ đỏ chính chủ, pháp lý sạch.- Giá: 4.3 tỷ ( Có thương lượng ).Miễn môi giới và trung gian..!+ Liên hệ: Đức Anh 0975517689 – Chuyên nhà đất thổ cư, nhà mặt phố Hà Nội.+ Hỗ trợ pháp lý từ A-Z, tư vấn đầu tư Bất Động Sản hiệu quả hoàn toàn Miễn Phí.",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828978.3105175,,
"1,5 tỷ VNĐ","tập thể Quân đội, ngõ 376 đường Bưởi, Phường Vĩnh Phúc, Quận Ba Đình", 45m2,,,,,"Chính chủ bán căn hộ N10K80C tập thể Quân đội, ngõ 376 đường Bưởi, Phường Vĩnh Phúc, Quận Ba ĐìnhDiện tích: 45m2- Căn hộ thiết kế hợp lý gồm có 2PN, 1WC, 1PK, 1 bếp- Nhà đẹp, khách mua về ở ngay, khu vực giao thông thuận tiện, an ninh tốt, không mất phí gửi xe- Gần trường, chợ, viện 354, ngõ thông đi nhiều hướng, ô tô đỗ chân cầu thang.Giá bán: : 1,5 tỷ.Chính chủ: 0845665860- Sổ đỏ chính chủ.
 
Nguồn:  http://nhadathanoi.net.vn/

",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828979.611038,,
915 triệu VNĐ,"chung cư mini, mặt ngõ 530 phố Thụy Khuê, Quận Tây Hồ", 45m2,,, 6, 2,"Chính chủ bán căn hộ chung cư mini, mặt ngõ 530 phố Thụy Khuê, Quận Tây Hồ- Căn hộ có diện tích 45 m2 gồm: 02 phòng ngủ, 01 phòng khách + bếp, 01 phòng vệ sinh.- Căn hộ thuộc Tòa nhà chung cư 10 tầng, nhà tầng 6, số 17, mặt ngõ 530 phố Thụy Khuê- Tòa nhà thiết kế mỗi tầng 4 căn cực kì thoáng mát và tiện nghi, chất lượng xây dựng và nội thất bảo đảm tốt nhất.- Nhà cách chợ Bưởi 200m, gần siêu thị Coomart, Fivimart, gần các bệnh viện lớn như Bệnh viện Phổi TW, Bệnh viện Quân y 354, bệnh viện Quốc tế Thu Cúc, Medlatec; xung quanh có rất nhiều trường học như: Mầm non Bình Minh, Tiểu học Chu Văn An, trường trường cấp 1, 2 Đông Thái,- Nhà nằm trong khu dân trí cao, an ninh tốt, cách đường Thụy Khuê 70m, cách Hồ tây 200m, cách trung tâm văn hóa Ba Đình, Bách Thảo, Lăng Bác 2km.- Khách mua sẽ ở ngay, nội thất đầy đủ, có bảo vệ 24/24, thang máy, internet, điện nước, chỗ để xe thoải mái.Giá bán: 915 triệu(có thương lượng), nhận nhà ở luôn.Chính chủ:: Anh Tùng: 0915545406
 
 
Nguồn:  http://nhadathanoi.net.vn/chung-cu-can-ho-2/chinh-chu-ban-can-ho-chung-cu-mini-mat-ngo-530-pho-thuy-khue-quan-tay-ho-3556.html

",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828980.6243782, 1,
15 tỷ VNĐ,Hà Nội, 75m2,,,,,"Bán nhà đường Đào Tấn ô tô vào nhà - SĐT: 0366 555 258.Vị trí cực đẹp ngõ thông, trung tâm Ba Đình, ô tô tránh, vỉa hè kinh doanh đỉnh.Giao thông đi lại thuận tiện các phố Linh Lang, Liễu Giai, Kim Mã, sao kê bà phương hằng, Nguyễn Chí Thanh, Văn Cao...Diện tích 75 m2, 7 tầng thang máy, mặt tiền 5.5 m.Nội thất nhập khẩu chỉ việc ở luôn.Thiết kế: + Tầng 1: Gara ô tô kinh doanh + WC. + Tầng 2, 3, 4, 5, 6: Nhiều phòng + WC. + Tầng 7: Phòng thờ + Sân Phơi.Sổ đỏ chính chủ.Giá chào chỉ 15 tỷ thương lượng mạnh. Liên hệ ngay 24/7 - SĐT: 0366 555 258.",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828981.783267,,
"3,6 tỷ VNĐ","734/9 Kim Giang, Thanh Liệt, Thanh Trì, Hà Nội", 37m2,, 4, 6, 5,"Bán nhà Kim Giang, chủ tự xây, mới xây vẫn đẹp long lanh. Nhà gần phố, nội thất tặng lại toàn bộ, ở luôn. Diện tích 37m2 x 6 tầng x 3.6 tỷ có thương lượng. Mô tả: + Thanh Liệt Kim Giang gần KĐT Linh Đàm và KĐT Bitexco công viên Chu Văn An giá đất tăng mạnh. Nhá ngõ nông rộng đẹp khách xem ưng. + Nhà đẹp chủ tư xây, mới xây được 2 năm.  Thiết kế đẹp khách chi mang đồ về ở và hưởng thụ. + Chủ thừa nhà nên bán, đầu tư lĩnh vực khác.  +  T1 để làm kho và khách, +  Tầng lửng bếp + T2,3,4 1 ngủ khép kín rộng, + T5 phòng thờ sân phơi.  + Sổ đẹp nở hậu sang tên ngay. Giá 3.6 tỷ có thương lượng.  LH: 0367819123 để làm việc trực tiếp với chủ nhà  ( miễn MG)",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828982.8524075, 5,
15 tỷ VNĐ,Hà Nội, 75m2,,,,,"Bán nhà phố Kim Mã ô tô vào nhà - SĐT: 0366 555 258.Diện tích 74m2, mặt tiền 5m, xây 7 tầng thang máy.Thiết kế đẹp, trang bị nội thất xịn toàn đồ Âu Mỹ.Nhà phù hợp xây để ở hoặc làm văn phòng, sao kê bà phương hằng, kinh doanh các loại hình...Khu phân lô quận Ba Đình, dân trí cao, an ninh tốt, tiện ích vô vàn.Đường rộng 9m, ô tránh nhau, có vỉa hè, đỗ 24/24 trước cửa nhà không mất phí.Sổ đỏ pháp lý chính chủ.Giá chào chỉ 15 tỷ thương lượng mạnh. Liên hệ ngay 24/7 - SĐT: 0366 555 258.",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828984.0168018,,
,"P.Phú Diễn, Q.Bắc Từ Liêm, HN", 104m2, Đông nam,,, 3,"Chính chủ bán căn hộ chung cư Goldmark City tòa Ruby 2, 104m, 3 ngủ, full nội thất-Căn hộ tòa Ruby 2, diện tích 104m2, có 3 phòng ngủ.-Nhà đã trang bị đầy đủ nội thất chỉ việc xách vali đến ở- Hướng ban công Đông Bắc- Tiện ích đầy đủ :gym, bể bơi, siêu thị, ngân hàng, trung tâm thương mại, nhà hàng, cafe, spa và các dịch vụ giải trí... an ninh 24/24-Giá bán: thỏa thuận-LH chính chủ: 0988425639 / 0397529964( miễn quảng cáo báo mạng ) ",24/03/2022,Tin thường,batdongsan_so_com_vn_1673828985.6654086,,
58 triệu VNĐ/m2,"Đống Đa, Hà Nội", 60m2,,,,,"* Vị trí: Trung tâm Đống Đa, chỉ 5p là lên Hoàn Kiếm, Công viên Lê Nin, Bệnh viện Bạch Mai, Việt Pháp, ĐH Y..., gần các trường Đại học lớn như: Bách Khoa, Xây dựng, KTQD, Y, Ngân hàng,...giao thông thuận tiện. + Chợ gần nhà, đồ ăn thức uống tươi, ngon, rẻ, xung quanh có rất nhiều tiện ích. * Thiết kế: Xây khung chắc chắn, đầy đủ công năng khép kín, vừa ở vừa cho thuê hàng tháng có thêm thu nhập, hoặc phù hợp ở 2 hộ gia đình riêng biệt không chung đụng nhau nếu muốn. + Phòng nào cũng sáng, thoáng, có sân cổng để xe riêng, an ninh rất tốt. + Tầng 1: Phòng khách, bếp, wc, gác lửng ngủ.+ Tầng 2: Phòng rộng, gác lửng ngủ, bếp, wc.+ Tầng 3: Phòng thờ, sân phơi * Pháp lý: Sổ đỏ chính chủ, pháp lý chuẩn, sang tên nhanh. Liên hệ: Minh - 0964 915 213 / 0389 609 210Chúng tôi còn hàng trăm căn khác tại Hà Nội, hãy gọi điện ngay để được tư vấn miễn phí những căn nhà phù hợp với quý khách!Dịch vụ môi giới Bất Động Sản cùng nhiều dịch vụ khác theo tiêu chuẩn Nhật Bản.0964 915 213 / 0389 609 210 (Minh)",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828986.663819,,
"2,2 tỷ VNĐ",Cẩm Lĩnh- Ba Vì- Hà Nội, 720m2,,,,,"Lô đất siêu vip 720m2 có 2 mặt tiền trên sổ. Thực tế 746m2, có 3 mặt tiền. Đường xe buýt tới nơi, đi 300m ra dự án đường Sông Tích. Đất ở Cẩm Lĩnh quê Bác Chu Ngọc Anh chủ tịch tp Hà Nội .Khí hậu trong lành mát mẻ phù hợp để xây nhà nghỉ dưỡng hoặc đầu tư sinh lờiBán nhanh 2 tỷ 200 triệuLh Sđt : 0919293555",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828987.5823643,,
5 tỷ VNĐ,Phố Bồ Đề Phường Bồ Đề, 44m2,,,,,"Giao thông thuận lợi , tiện ích đỉnh cao, mua được ở sướng , khu dân trí cao + Nhà chủ xây rất chắc chắn Thiết kế : - Tầng 1: Gara, bếp. - Tầng 2: Lửng làm phòng khách. - Tầng 3,4,5 : Mỗi tầng 1 phòng rộng. - Tầng 6: Phòng thờ, sân phơi. + Sổ đỏ đẹp sẵn sàng giao dịch. Liên hệ em Long",29/03/2022,Tin thường,batdongsan_so_com_vn_1673828989.1092794,,
