price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Hướng
6 tỷ VNĐ,"Đường trung kính, Trung Hòa, Cầu Giấy", 40m2, 3, 5, 3,"
    
 

THANG MÁY - Ô TÔ ĐỖ CỬA - NHÀ MỚI KINGKOONG - Ô TÔ TRÁNH CÁCH 10m - kHU VỰC DÂN TRÍ YÊN TĨNH

+Vị trí đẹp mĩ man, oto đỗ cửa, oto tránh cách 10m, Ngõ thông các ngả.
+ Siêu thị, bãi oto, trường học, ngân hàng.....cách 3 phút đi bộ, khu vực ngõ xóm hiện đại văn minh dân trí cao.
+ Thiết kế nhà mới 100% khung cột chắc chắn 5 tầng 3 phòng ngủ, thang máy xịn xò.
+Sổ đỏ chính chủ.
 

Liên hệ: 038-888-4252 Nguyễn Thu Nhà Thổ Cư Hà Nội.
",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786156.3936546,,,
6 tỷ VNĐ,"Đường trung kính, Trung Hòa, Cầu Giấy", 40m2, 3, 5, 3,"
    
 

THANG MÁY - Ô TÔ ĐỖ CỬA - NHÀ MỚI KINGKOONG - Ô TÔ TRÁNH CÁCH 10m - kHU VỰC DÂN TRÍ YÊN TĨNH

+Vị trí đẹp mĩ man, oto đỗ cửa, oto tránh cách 10m, Ngõ thông các ngả.
+ Siêu thị, bãi oto, trường học, ngân hàng.....cách 3 phút đi bộ, khu vực ngõ xóm hiện đại văn minh dân trí cao.
+ Thiết kế nhà mới 100% khung cột chắc chắn 5 tầng 3 phòng ngủ, thang máy xịn xò.
+Sổ đỏ chính chủ.
 

Liên hệ: 038-888-4252 Nguyễn Thu Nhà Thổ Cư Hà Nội.
",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786162.0607843,,,
12 tỷ VNĐ,Thái Hà, 49m2,, 5,,"- Đường rộng Ô tô chạy qua nhà, Nhà chỉ cách Phố Thái Hà khoảng 50m, nhà cạnh bể bơi Thái Hà rất thuận tiện cho việc gửi xe ô tô cho khách đến chơi.- Tiện ích xung quanh rất gần các trường Tiểu học, THPT Quang Trung, ĐH Thủy Lợi. ĐH Công Đoàn, Gần chợ Thái Hà, Bệnh Viện Đống Đa... và nhiều các tiện ích khác.- Thiết kế nhà 5 tầng đầy đủ công năng, tiện nghi 📕 Sổ đỏ vuông vắn, sẵn sàng giao dịch.Liên hệ E Dũng BĐS Thổ Cư để tư vấn và xem nhà miễn phí 0903461282",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786163.0820527,,,
"2,15 tỷ VNĐ","Việt Yên, Ngũ Hiệp", 55m2,,,,"+ Bán đất Việt Yên, Ngũ Hiệp, Thanh Trì, Hà NộiDT: 55mMT: 4.8m “vuông vắn”Giá chào: 2.15 tỷ “ctl”+ Ngõ 3m, Ô tô tận cửa, đúng 10m ra mặt trục chính, Ô tô dừng đỗ, bãi gửi xe sát nhà. + Gần hồ điều hòa, nằm trong khu vực dân sinh đông đúc, đang phát triển từng ngày, an sinh tuyệt vời.+ Lô đất gần đường gom cao tốc Pháp Vân-Cầu Giẽ, giao thông rất thuận tiện. + Sổ đỏ vuông vắn, sẵn giao dịch.+ Tư vấn, báo giá, dẫn đi xem đất miễn phí, kết nối gặp chủ nhà. Liên hệ em Liên. ",25/11/2022,Tin thường,batdongsan_so_com_vn_1673786163.896922,,,
"7,3 tỷ VNĐ","Đường Lãng Yên, Bạch Đằng, Hai Bà Trưng", 42m2, 5, 5, 3,Bán nhà phân lô Lãng Yên - Quận Hai Bà Trưng - Ô tô đỗ cửa.42m2 x 5 tầng. 7.3 tỷ có thương lượng.Cam kết ảnh thật đúng nhà - đúng thông tin - không thu bất kỳ phí gì cả kể giao dịch thành công.Liên Hệ Mr Nguyễn Minh Phúc - Chuyên Thổ Cư Hà Nội : 0868355789 Sổ đỏ chính chủ - pháp lý chuẩn.Miễn tiếp trung gian môi giới.,25/11/2022,Tin thường,batdongsan_so_com_vn_1673786165.0010023, 4, 4,
"3,7 tỷ VNĐ","Đường Thanh Nhàn, Thanh Nhàn, Hai Bà Trưng", 37m2, 5, 4, 4,"Bán nhà Thanh Nhàn - Ngõ nông. 4 ngủ - Ở luôn.37m2 x 4 tầng, 3,7 tỷ có giảm nữa - thương lượng chính chủ.Cam kết ảnh thật đúng nhà - đúng thông tin - không thu bất kỳ phí gì cả kể giao dịch thành công.Liên Hệ Mr Nguyễn Minh Phúc - Chuyên Thổ Cư Hà Nội : 0868355789Sổ đỏ chính chủ - pháp lý chuẩn.",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786165.962255, 3, 3,
"5,95 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 55m2, 5, 4, 4,"Mô tả: + Vị trí trung tâm Đống Đa, giao thông thuận tiện, ngõ nông, rộng, ô tô đỗ cửa + Tiện ích không thiếu thứ gì, đi bộ ra chợ Vĩnh Hồ, rất gần các TTTM lớn nhỏ, trường học các cấp, Bệnh viện, các trường ĐH danh tiếng. + Nhà đẹp về ở luôn, thiết kế hợp lý từng góc cạnh. đang cho thuê cửa hàng kinh doanh - Tầng 1: Để xe, phòng khách, bếp, vệ sinh. - Tầng 2,3: Mỗi tầng 2 phòng ngủ thoáng sáng, vệ sinh giữa. - Tầng 4: Phòng thờ, phòng giặt đồ, sân phơi. + Sổ đỏ đẹp. Lh xem nhà 094 665 8282 em Hùng( Miễn trung gian)",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786167.0514796,, 3,
500 tỷ VNĐ,"Đường , Hàng Gai, Hoàn Kiếm", 323m2, 20, 15,,"
    SIÊU PHẨM MẶT PHỐ CỔ 
TÒA KHÁCH SẠN 13 TẦNG CỰC ĐẲNG CẤP VỚI 90 PHÒNG TIỆN NGHI 
DÒNG TIỀN TỰ KINH DOANH 3500TR/THÁNG - CHỦ NHÀ BỀ THẾ.
323M2 x 8.1MT - GiÁ Chỉ 500Tỷ
 MÔ TẢ:
+ Vị trí: Tòa nhà VIP 13 tầng Lừng Lững cao nhất Mặt phố Cổ, vỉa hè, kinh doanh khách du lịch hạng sang.
+ Tòa Khách sạn được gia chủ tự XD vô cùng tâm huyết, kết cấu BTCT kiên cố với tổng thời gian thi công và hoàn thiện đủ cả phòng cháy chữa cháy.
+ 2 thang máy xịn chạy song song, hệ thống thang bộ + phòng cháy tự động + thang thoát hiểm.
+ Thiết kế: kiểu tân cổ điển ốp đá kết hợp nội thất gỗ sang trọng của khách sạn 4 sao.+ Pháp lý: Sổ đỏ chính chủ đẹp, pháp lý 1 chủ đất ở toàn bộ, xây hết 323m2 đất nhưng chưa hoàn công. Hiện chủ đang cất trong ngân hàng mong muốn khách hỗ trợ rút sổ.
 Chủ xây tâm huyết để cho con kinh doanh nhưng con đi du học lại lập nghiệp luôn ở nước ngoài mà 2 bác cũng có tuổi nên bán dưỡng già và chia cho con cháu.
",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786168.409884,,,
"12,9 tỷ VNĐ",An Dương, 65m2,, 5, 4,"- Vị trí đẹp kinh doanh sầm uất ngày đêm, thích hợp kinh doanh mọi loại hình. - Nhà chủ tự xây chắn chắn. Khách mới mua về thêm thùng sơn là long lanh hoặc đập đi xây tòa nhà 7 tầng thang máy quá đẹp. -Thiết kế: + Tầng 1: Kinh doanh + Tầng 2,3: 2 phòng ngủ + Wc + Tầng 4: Phòng khách và bếp + Tầng 5: Phòng thờ và sân phơi -- Sổ đỏ chính chủ nở hậu,pháp lí sạch, sẵn sàng giao dịch. Liên hệ A Tuyên 0969945393 để được tư vấn và xem nhà miễn phí.",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786169.6077347, 4,,
"14,3 tỷ VNĐ","Đường Nguyễn Lương Bằng, Ô Chợ Dừa, Đống Đa", 57m2, 25, 4, 4,"+ Nhà thiết kế 4 lầu,  tầng 1 mặt bằng cho thuê + 1 phòng khách + 1Wc.  + Tầng 2+3 tổng 4 phòng + 2Wc  + Sân thượng tum và chồng cây có thể thiết kế thêm phòng ...nhà đẹp nở hậu 5.4m cầu thang thiết kế gọn gàng nhà rất rộng và thoáng..  + Nhà mặt Phố Nguyễn Lương Bằng khu Víp Phố, gần vòng xoay Xã Đàn, Tôn Đức Thắng, Đê la Thành .. mọi tiện ích xung quanh, gần nhà thờ Thái Hà, Bệnh viện Đống Đa, Trường học các cấp ..khu Phố KD Sầm uất ngày đêm.  + Nhà chưa qua mua bán, sổ cất két sẵn sàng giao dịch.  LH ngay em Hùng: 094 665 8282 (Miễn trung gian-xem nhà 24/7-100% thông tin nhà thật)",24/11/2022,Tin thường,batdongsan_so_com_vn_1673786170.6689024,, 3,
