price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Hướng,Số toilet
58 tỷ VNĐ,"Đường Hồng Hà, Phúc Tân, Hoàn Kiếm", 158m2, 6, 10, 9,"
    House for sale in Hai Ba Trung district 158m2 - 9 floorsDescribe:+ Location on vip street in Hai Ba Trung district, busy business travel.+ The building itself, built by the owner for a few years, is still new, the customer will continue to operate it.+ Design:- 1st floor: open floor for car- 2nd floor: Open floor for business rental- 3rd, 4th, 5th, 6th floor: 2nd floor- 8th floor: Pub is currently for rent- 9th floor: common courtyard coffee+ Revenue from business leasing is 1.5 billion/year.+ Offer price 58 billion (negotiable)+ Red book is available for transactions.- Contact: E Nam 0964310396 (Selling real value to customers)
",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784190.4329839,,,
"2,65 tỷ VNĐ","đường Phúc Lợi, Phường Phúc Lợi, quận Long Biên, Hà Nội", 35m2,,, 4,"Giá Hợp Lý Cho Bạn ! Bán Ngay Nhà Phúc Lợi, Long Biên 35m2, 4T chỉ  2,65 tỷ  - Tầng 1: Khách, bếp, 1wc. - Tầng 2,3: Mỗi tầng 1 phòng, wc. - Tầng 4: 1 phòng ngủ, phòng thờ, sân phơi. + Nhà đẹp, thiết kế hiện đại, xây dựng chắc chắn, chủ xây dựng tâm huyết. + Thuận tiện kết nối các hướng như ra đường Phúc Lợi, Vũ Xuân Thiều hay sang KĐT Việt Hưng, Giang Biên… + Xung quanh trường cấp 1,2, mầm non Phúc Lợi, cách chợ, chưng cư ECOHOME Phúc Lợi không xa, các tiện ích ngập tràn…Khu vực Vip của quận Long Biên phát triển từng ngày…  Lh : Mr Tùng 0965 722 358",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784191.6826408, 3,,
"8,26 tỷ VNĐ",Số 4A - Huỳnh Thúc Kháng - Phường Láng Thượng - Quận Đống Đa - Hà Nội, 103m2,, 30,,"* Căn số 01 Tầng 8: 3PN 2WC, 2 phòng ngủ cửa sổ hướng Đông, 103m2. Giá 8.2 tỷ.* Chiết khấu toàn bộ đến 500 triệu:- Tặng ngay 145 tr tiền mặt.- Giảm ngay 5% giá trị căn hộ.- Vay vốn lãi suất 0% trong 12 tháng.--------* Hateco Laroma dự án tầm view triệu đô 3 mặt tiền góc đường Huỳnh Thúc Kháng kéo dài.- Tiện ích tiêu chuẩn nghỉ dưỡng 5 sao: Trung tâm thương mại, hầm rượu chuẩn châu Âu, bể bơi 4 mùa 800m, gym, spa, vườn đi bộ, đài phun nước, nhà trẻ.- 6 thang máy & 1 thang PCCC. Mật độ chỉ 47 căn hộ/1 thang máy (vượt chuẩn căn hộ hạng A).- 100% nội thất cao cấp nhập khẩu châu Âu.- Cam kết chỗ đỗ ô tô cho 100% căn hộ.- Cộng đồng dân cư đẳng cấp cao.* Nhận bảng giá gốc + ưu đãi tốt nhất từ Chủ đầu tư: 0969817600.* Website: https://diaocmienbac.com.vn/du-an/hateco-laroma/",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784193.2364829, 3, Nam, 2
"7,5 tỷ VNĐ",Số 4A - Huỳnh Thúc Kháng - Phường Láng Thượng - Quận Đống Đa - Hà Nội, 95m2,, 30,,"* Căn số 08 tầng 16, diện tích 95m2, 2PN + 1, ban công hướng Nam.- Giá ở ngay 7.5 tỷ (bao gồm toàn bộ chi phí).- Chiết khấu 5% hợp đồng + Tặng 145 triệu tiền mặt.- Miễn phí dịch vụ toà nhà trong 3 năm.- Cam kết chỗ đậu xe hơi bằng văn bản.- Cộng đồng cư dân đẳng cấp cao.------------------------------------------------------------------* Hateco Laroma dự án tầm view triệu đô 3 mặt tiền góc đường Huỳnh Thúc Kháng kéo dài.* Đường Huỳnh Thúc Kháng đang gấp rút hoàn thiện nối với Nguyễn Chí Thanh.* Tiện ích 5 sao:- Hầm rượu & Nhà hàng Á Âu.- Bể bơi 4 mùa 800m.- Hầm để xe thông minh 290 chỗ.- Trung tâm thương mại có thang cuốn.- 100% căn hộ bàn giao đầy đủ nội thất nhập khẩu châu Âu.- 6 thang máy & 1 thang PCCC. Mật độ chỉ 47 căn hộ/1 thang máy (vượt chuẩn căn hộ hạng A).- 100% nội thất cao cấp nhập khẩu châu Âu.------------------------------------------------------------------Địa chỉ: 4A Huỳnh Thúc Kháng, phường Láng Thượng, quận Đống Đa.Xem căn hộ thực tế và nhận bảng giá tốt nhất:Mạnh Linh DXMB: 0969817600.https://diaocmienbac.com.vn/du-an/hateco-laroma/",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784194.6217768, 2, Nam, 2
"8,9 tỷ VNĐ",Số 4A - Huỳnh Thúc Kháng - Láng Thượng - Đống Đa - Hà Nội, 103m2,, 30,,"* Giá ở ngay 8.9 tỷ. Căn hộ 2201 Hateco Laroma, diện tích 103m2, 3PN 2VS- 2 ban công Hướng chính Bắc view công viên Thủ Lệ.- 2 phòng ngủ hướng Đông đón nắng sáng sớm và view Nguyễn Chí Thanh- Cửa vào hướng chính Nam.- Cực kì hợp với tuổi Đông Tứ Trạch.- Cộng đồng cư dân đẳng cấp và có vị thế cao.- Đường Huỳnh Thúc Kháng thi công kết nối với Nguyễn Chí Thanh trước tết 2023. * Chính sách tốt:- Giảm trực tiếp gần 500 triệu (5% GTCH + 145 triệu tiền mặt).- Miễn phí dịch vụ toà nhà trong 3 năm.- Miễn phí vay vốn ngân hàng 12 tháng.- Cam kết chỗ đậu xe hơi bằng văn bản.------------------------------------------------------------------* Hateco Laroma dự án căn hộ cao cấp vị trí vàng 14A Huỳnh Thúc Kháng, Đống Đa.- Bàn giao full nội thất liền tường nhập khẩu Châu Âu: Hafele, Duravit, Bravat.- Điều hòa âm trần, hệ thống phòng cháy chữa cháy tiêu chuẩn châu Âu.- Thang máy tiêu chuẩn hạng A tỷ lệ 47 căn / 1 thang máy. (Có thang PCCC).- Tiện ích thượng lưu: Hầm rượu, bể bơi 4 mùa, trung tâm thương mại, hầm để xe thông minh.------------------------------------------------------------------Nhận chính sách tốt và tham quan căn hộ:Hotline: 0969817600Website: https://diaocmienbac.com.vn/du-an/hateco-laroma/",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784196.071899, 2, Nam, 2
"16,3 tỷ VNĐ","Đường Châu Văn Liêm, Phú Đô, Nam Từ Liêm", 70m2, 5, 1, 8,"SIÊU PHẨM PHÚ ĐÔ - KINH DOANH -  VĂN PHÒNG - 8TẦNG THANG MÁY - KHU VỰC ĐANG PHÁT TRIỂN        PHÚ ĐÔ 70M2 x 8 tầng nhỉnh 16 tỷ . + Thiết kế 1 tầng hầm 7 tầng nổi, vị trí đông dân cư, đường rộng thông ra đại lộ thăng long, tặng full nội thất. + Kinh doanh đủ loại hình, phòng khám, văn phòng công ty, hoặc vừa ở vừa kinh doanh.... Thiết kế : Hầm để xe Tầng 1,2 thông sàn,  Tầng 3,4,5 mỗi tầng 2 phòng khép kín. Tầng 6:  phòng bếp, phòng ăn. Tầng 7: phòng thờ + sân phơi",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784197.0981536,,,
"4,7 tỷ VNĐ","Đường Nguyễn Văn Cừ, Bồ Đề, Long Biên", 34m2, 5, 4, 5,"6 TẦNG LÔ GÓC, Ô TÔ ĐỖ CỬA, 30M RA MẶT PHỐ NGUYỄN VĂN CỪ. - Diện tích 45m x 6 tầng, mặt tiền 5m, Nở hậu. - Trước cửa nhà rộng, xe ô tô đỗ cửa, vài bước chân ra ô tô tránh. - Bãi gửi xe ngày đêm cách nhà 50m. - Nhà gần trường cấp 1, 2 Ngọc Lâm, cấp 3 Vạn Xuân, cấp 3 Nguyễn Gia Thiều, trường quốc tế Wellspring, bệnh viện Tâm Anh, bước chân qua đường là chợ Gia Lâm, BV Bắc Hà. - Nhà thiết kế hiện đại, đầy đủ công năng. + Sổ đỏ chính chủ, sẵn sàng giao dịch. Liên hệ: 0392488493- Đắc Vinh.",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784198.0595803, 3,, 3
"2,25 tỷ VNĐ","Đường Nguyễn Cơ Thạch, Mỹ Đình 1, Nam Từ Liêm", 63m2, 10, 4,,"- Vị trí: tòa chung cư nằm trong ngõ 44 Nguyễn Cơ Thạch thuộc quần thể của KĐT Mỹ Đình 1, gần ngã tư đường Nguyễn Cơ Thạch và Trần Hữu Dực, được hưởng đầy đủ các tiện ích sẵn có của KĐT Mỹ Đình 1, bán kính xung quanh gần nhiều trường học: Đoàn Thị Điểm, Lê Quý Đôn, Việt Úc....  - Thiết kế: Các phòng đều có cửa sổ. Đảm bảo tối đa ánh sáng và thông gió tự nhiên, không gian mở rất rộng rãi, thông thoáng và tiện lợi sử dụng.  - Tiện ích: Không gian sống lý tưởng, tiện ích ngập tràn, không thiếu thứ gì.  - Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch  - Giá bán: 2.25 tỷ (Cam đoan giá tốt nhất thị trường).  Liên Hệ: Em Trang 098 240 8002 (Miễn QC, trung gian làm phiền).",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784200.423365, 2,, 1
"6,95 tỷ VNĐ","Đường Đội Cấn, Đội Cấn, Ba Đình", 43m2, 36, 3, 5,"NHÀ ĐẸP Ở TẾT 5 tầng- BA ĐÌNH - Ô TÔ TRÁNH -LÔ GÓC- Ở SƯỚNG.  Bán nhà ĐỘI CẤN 5 tầng, 6,95 tỷ. Lô góc, ngõ to như phố, gần trung tâm nhiều tiện ích, ngõ thông sang Hoàng Hoa Thám, Giang Văn Minh, Vạn Phúc… Thiêt kế: - Tầng 1 phòng kháchs, 1 bếp , wc - Tầng 2, 3, 4 mỗi tầng 2 phòng. - Tầng 5 gồm phòng thờ và sân phơi. Sổ vuông đẹp, giao dịch nhanh. Liên hệ 0934376396",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784205.0032177, 6,, 4
"7,65 tỷ VNĐ",phường mai dịch quận cầu giấy, 32m2,,,,"GIÁ SẬP SÀN CẦN BÁN GẤP NHÀ MẶT PHỐ DOÃN KẾ THIỆN Ô TÔ TRÁNH KINH DOANH 0962745289+ DT. 32M2*4 TẦNG – GIÁ CHỈ 7.65 TỶ CẦU GIẤY.+ Vị trí mặt phố kinh doanh ô tránh ô tô vào nhà, khu vực kinh doanh sầm uất, tiện ích ngập tràn.+ Nhà đân xây chắc chắn. T1 thông sàn kinh doanh, tổng 5 ngủ+ phòng thờ, sân phơi. Gần nhiều trường học các cấp. ĐH Quốc Gia, ĐH Thương Mại….. Giao thương thuận tiện Phạm Văn Đồng – hồ Tùng Mậu – Trần Vĩ.+ Sổ đỏ phân lô A4 cất két sẵn sàng giao dịch.+ Giá thương lượng.+ Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",08/12/2022,Tin thường,batdongsan_so_com_vn_1673784205.8679035,,,
