price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số phòng ngủ,Số toilet
"9,5 tỷ VNĐ","Phường Láng Thượng, Quận Đống Đa", 45m2, 6, 6,"Quận Đống Đa — NHÀ ĐẸP NHƯ HÌNH - ĐOẠT GIẢI CUỘC THI THIẾT KẾ NHÀ ĐẸP 2022! TẶNG TOÀN BỘ NỘI THẤT 💥💥💥 Bán gấp căn nhà Quận Đống Đa - GARA Ô TÔ vào nhà,TẶNG NỘI THẤT tiền TỶ 🎯 Diện tích: 40/45m2, 6 tầng, mặt tiền 6.5mGiá bán: 9.5 tỷ (thương lượng)  “CĂN NHÀ MƠ ƯỚC” thuộc  #P.Láng_Thượng, Quận #Đống_Đa, Nhà căn góc 3 mặt thoáng, trước nhà ô tô dừng đỗ thoải mái, dân trí cao. Sạch sẽ thoáng mát…Tặng nội thất, hệ thống smarthome tân tiến, hiện đại…. Sổ đỏ chính chủ, nở hậu nhẹ nhàng.  Liên hệ Trần Dũng để gặp chủ làm việc: 0987881444",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787341.6472158,,,,
"3,2 tỷ VNĐ","Đường Lý Sơn, Thượng Thanh, Long Biên", 78m2, 10, 21,"* Thanh toán sớm 90% chiết khấu 8%GTCH.* Thanh toán sớm 50 % chiết khấu 4,5%GTCH.* Thanh toán theo tiến độ thông thương chiết khấu 1.5%GTCH.Ngoài ra ngân hàng còn hỗ trợ lãi suất 0% cho khoản vay 65% GTCH.Gói quà tặng 200 - 250 triệu trừ thẳng vào giá bán.Dự án Khai Sơn City - Long Biên.* Nằm trong khu quần thể đô thị 180ha - với đầy đủ hệ sinh thái Điện - Đường - Trường - Trạm.* Vị trí kết nối giao thông, di chuyển đến các tiện ích lân cận chỉ tính bằng phút.* Đa dạng các loại hình căn hộ:+ Căn hộ 01 - 10: 89,53m² hướng TB - 2PN - Giá 3,9 tỷ.+ Căn hộ 02 - 09: 119m² hướng TB - 3PN - Giá: 5,5 tỷ.+ Căn hộ 03 - 08: 96,87m² hướng ĐN - 3PN - Giá 4,8 tỷ.+ Căn hộ 04 - 07: 77,54 m² hướng ĐN - 2PN - Giá 3,7 tỷ.+ Căn hộ 05 - 06: 101,57m² hướng ĐN - 3PN - Giá 4,7 tỷ. lh : 0964566879",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787342.787169, Đông nam, 50, 3, 3
"5,35 tỷ VNĐ",Chùa Láng, 42m2, 3, 6,"Mô tả : Hiện trạng nhà 5 Tầng 1 Tum cực đẹp. Thiết kế cực đẹp : - Tầng 1: Phòng khách, bếp, vs - Tầng 2.3.4: Mỗi tầng 2 phòng, Wc nhà có giếng trời nên rất thoáng. - Tầng 5: phòng thờ và sân phơi - Tầng 6: Tum chống nóng cao cấp. +Vị trí : Khu vực trung tâm tiếp giáp các Quận Đống Đa - Ba Đình - Cầu Giấy …yên tĩnh sạch sẽ , hàng xóm thân thiện, an ninh tốt, ngõ thông tứ tung, vài bước ra Ô tô tránh … +Xung quanh tiện ích , cơ sở hạ tầng tốt, gần chợ , Hồ, Bệnh Viện và các trường ĐH lớn như Ngoại Thương , Ngoại Giao, GTVT… +Sổ vuông vắn pháp lí sạch,sẵn sàng giao dịch. -Liên hệ A Tuyên 0969945393 để được tư vấn và xem nhà miễn phí.",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787351.515034,,, 6,
"13,5 tỷ VNĐ","Đường Hoàng Hoa Thám, Vĩnh Phúc, Ba Đình", 330m2, 33, 19,"Không dùng đến nên gia đình tôi bán lại căn Duplex rộng 330m2 tại dự án 671 Hoàng Hoa Thám. Vị trí đắc địa ngay ngã 4 Hoàng Hoa Thám - Bưởi - Võ Chí Công Căn góc, view hồ rất đẹp 4 phòng ngủ, 4wc. Có 2 phòng ngủ có phòng vệ sinh riêng bên trong Sổ hồng cất két, sẵn sàng giao dịch luôn Gửi ô tô 0.8- 1.8 triệu/ tháng Phí dịch vụ 2,145 triệu/ tháng Bao phí sang tên Khách hàng có nhu cầu tìm hiểu xin gọi: 0907023278 ",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787352.5722814,, 30, 4, 4
"2,95 tỷ VNĐ","Đường thái thịnh, Thịnh Quang, Đống Đa", 25m2, 3, 3,"- Nhà nằm trên con phố Thái Hà sầm uất, là con phố huyết mạch c ủa quận Đống Đa, đi thông các quận Cầu Giấy, Thanh Xuân,... - Xung quanh có nhiều trường học, chợ an sinh đỉnh. - Nhà như mới, chủ tặng full nội thất chỉ việc xách vali về ở. - Ngõ thoáng, có thể kinh doanh nhỏ. - Thiết kế hiện đại, 2 phòng ngủ phù hợp cho gia đình nhỏ. - Sổ đỏ chính chủ, nở hậu. ",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787353.6138127,, 2, 3, 4
"1,8 tỷ VNĐ","Đường Lê Trọng Tấn, An Khánh, Hoài Đức", 66m2,,,"THÔNG TIN CĂN HỘ  - Diện tích tim tường 69m2- Diện tích sử dụng 65,7m2- 2 phòng ngủ,1 VS, 1 Logia, 1 ban công, 1 bếp, 1 phòng khách- Cửa Đông Nam- Ban công Tây Bắc- Nhà sổ hồng lâu dài NỘI THẤT CĂN HỘ - Trần thạch cao, sàn gỗ- Tủ bếp, bếp từ , hút mùi- Tủ giầy, tủ quần áo, giường các phòng- Điều hòa, máy giặt Full nội thất về ở ngay Xem nhà liên hệ : 090.152.1658 (Mr Tính ) Xem thêm chi tiết căn hộ tại : http://tayhanoiland.com/can-ho-chung-cu/ban-chung-cu-the-golden-an-khanh/ban-can-ho-chung-cu-the-golden-an-khanh-18t-cua-dong-nam-2-ngu-full-noi-that-dep-view-thoang/ ",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787354.72497, Đông nam, 1, 2, 1
"22,5 triệu VNĐ","Đường Quốc lộ 21, Bình Yên, Thạch Thất", 120m2, 5,,"CHÍNH CHỦ CẦN BÁN LÔ ĐẤT 2 MẶT TIỀN TÁI ĐỊNH CƯ ĐÀ GẠO, BÌNH YÊN, HUYỆN THẠCH THẤT, THÀNH PHỐ HÀ NỘI  + Pháp lý sổ đỏ đầy đủ, sang tên nhanh chóng. Diện tích: 120m2, full thổ cư, 2 mặt tiền rộng 5m  + Vị trí đất đẹp, mặt tiền đường bê tông 6m, phương tiện xe tải đi thoải mái.  Do kẹt tiền nên cần bán thích hợp đầu tư .  +Tiện ích xung quanh đầy đủ : gần chợ, trường học, gần bệnh viện, bưu điện.  + Nơi đây là khu dân cư đông đúc được tập trung quy hoạch đồng bộ hoàn chỉnh.  Là một trong những khu vực có giá trị bất động sản cao và có tiềm năng sinh lời rất tốt, khách mua có thể đầu tư hoặc xây nhà thoải mái, tự do.  + Giao thông thuận tiện đi lại với nhiều khu vực, thuận tiện di chuyển ra Đường quốc lộ 21A Liên hệ: 0983657320 Chính chủ",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787355.8578951,,,,
"2,65 tỷ VNĐ","Đường Khâm Thiên, Khâm Thiên, Đống Đa", 25m2, 4, 4,"
    
+ Vị trí trung tâm của trung tâm, ngõ rộng thông thoáng, xe 3 gác đỗ cửa. Nhà nở hậu. Nhà khu trung tâm, an ninh tốt, giao thông thuận tiện. 

+ Nhà xây kiên cố, chắc chắn, khách mua về ở được ngay, xung quanh không thiếu thứ gì Dân trí cao, an ninh tốt, hàng xóm thân thiện. 

+ Thiết kế: 

- Tầng 1: P. Khách + Bếp + WC. 

- Tầng lửng: 01 Phòng Ngủ. 

- Tầng 2,3: Mỗi tầng 01 P. Ngủ + WC khép kín. 

- Tầng 4: 01 P. Ngủ + Sân phơi. 

 Pháp lý: Sổ đỏ chính chủ, phân lô.
",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787356.9639354,, 2, 3, 4
"2,65 tỷ VNĐ","Đường Khâm Thiên, Khâm Thiên, Đống Đa", 25m2, 4, 4,"
    
+ Vị trí trung tâm của trung tâm, ngõ rộng thông thoáng, xe 3 gác đỗ cửa. Nhà nở hậu. Nhà khu trung tâm, an ninh tốt, giao thông thuận tiện. 

+ Nhà xây kiên cố, chắc chắn, khách mua về ở được ngay, xung quanh không thiếu thứ gì Dân trí cao, an ninh tốt, hàng xóm thân thiện. 

+ Thiết kế: 

- Tầng 1: P. Khách + Bếp + WC. 

- Tầng lửng: 01 Phòng Ngủ. 

- Tầng 2,3: Mỗi tầng 01 P. Ngủ + WC khép kín. 

- Tầng 4: 01 P. Ngủ + Sân phơi. 

 Pháp lý: Sổ đỏ chính chủ, phân lô.
",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787357.9832091,, 2, 3, 4
7 tỷ VNĐ,"Đường Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy", 40m2,, 4,"
    
NGUYỄN NGỌC VŨ, CẦU GIẤY, GẦN HỒ, LÔ GÓC, MẶT NGÕ Ô TÔ THÔNG, CẠNH CHỢ, KINH DOANH SẦM UẤT, NHÀ ĐẸP, Ở NGAY.

* Vị trí: Khu dân trí tốt, dân cư sầm uất, cạnh chợ, kinh doanh đỉnh mọi loại hình.

+ Ngõ ô tô thông tứ tung, giao thông thuận tiện, lô góc, gần hồ, phòng nào cũng có cửa sổ rộng sáng thoáng vĩnh viễn, không gian sống tuyệt vời.

+ khách mua về thêm vài thùng sơn là nhà đẹp long lanh.

* Thiết kế: Nhà xây khung chắc chắn, móng lên thêm tầng thoải mái. Tầng chia 2 phòng, wc giữa.
+ Tầng 1: Kinh doanh, bếp, wc.
+ Tầng 2,3: Mỗi tầng 2 phòng, wc giữa.
+ Tầng 4: Phòng thờ, sân phơi.
* Sổ đỏ vuông vắn, pháp lý chuẩn.
+ Gía bán: 7 tỷ ( có thương lượng )  + Liên Hệ: Em Tuấn 0913095822 ( gọi hoặc inbox 24/24g )  Miễn phí xem nhà – nguồn hàng phong phú – nhiệt tình tận tâm – hỗ trợ 24/24",17/11/2022,Tin thường,batdongsan_so_com_vn_1673787359.1451006,, 3, 4,
