price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng
"1,9 tỷ VNĐ",Đường Minh Khai phường Minh Khai, 32m2, 4, 4, 2, 2, 2,"với nguồn hàng Hơn 6000 Căn NhàLớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất
",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797378.57626,
53 triệu VNĐ/m2,"Khu DG06, Đường 419, Thị Trấn Quốc Oai, Quốc Oai, Hà Nội", 82.5m2, 5,,,,,"
    Chính Chủ cần tiền nên bán lỗ lô đất B6 khu DG06, thị trấn Quốc Oai, Hà Nội.
Bác nào thiện chí e đưa đi xem đất trực tiếp luôn.
Diện tích 82.5m2. Mt 5m
Trục đường kinh doanh quá ok
Đường trước đất rộng thoải mái 2 oto tránh nhau.
Khu vực quy hoạch đường 42m chạy qua
View vườn hoa cây xanh
Lô đất gần Trường Cấp 3
Bệnh Viện Huyện Quốc Oai
Cách chợ Phủ, trung tâm Hành Chính huyện 300m.
Cần gấp nên bác nào thật sự ưng thì gọi e 0967205590 đi xem luôn giúp e, e cảm ơn ạ
",01/07/2022,Tin thường,batdongsan_so_com_vn_1673797380.4792397, Đông nam
30 triệu VNĐ,TDP Du Nghệ, 51.4m2, 4,,,,,"Chính Chủ Bán Nhanh lô Đất 51,4m2 ở Du Nghệ, thị trấn Quốc Oai Vị trí: TDP Du Nghệ, TT Quốc Oai, huyện Quốc Oai, TP Hà Nội. Diện tích 51,4m2. Pháp lý sổ đỏ choét. Gần trường cấp 1.2.3. Cách đường Bắc Nam 250m. Hình thức sở hữu. Đất ở đô thị, lâu dài. Trung tâm thị trấn Quốc Oai, dân trí văn minh, đông đúc và sầm uất. Tiềm năng tăng giá, thanh khoản cao. Thuận tiện làm nhà ở hoặc đầu tư. Nằm tại trung tâm hành chính huyện, thị trấn Quốc Oai. Cách đại lộ Thăng Long 300m. Cách khu công nghiệp Thạch Thất 800m. Hotline: Mr Thành 0967205590 đi xem đất miễn phí",02/07/2022,Tin thường,batdongsan_so_com_vn_1673797381.7014418, Nam
31 triệu VNĐ/m2,"Đường 72, Phương Quan, Hoài Đức, Hà Nội", 120m2, 9,,,,,"Chủ nhà cần tiền muốn ra đi 120m2 thổ cư tại Vân Côn Hoài Đức. + Vị trí: Thôn Phương Quan, Vân Côn, Hoài Đức, Hà Nội. + Diện tích: 120m2. + Mặt tiền và hậu 9,08m, chia đôi quá lý tưởng. + Đường trước nhà 3m2, thông thoáng. + Cách đường xe buýt DH04 rộng 13m tầm 60m. + Nằm ngay cạnh trục chính làng. + Cách đường tỉnh lộ 72 tầm 120m. + Khu vực dân trí cao. + Giá cả thương lượng, làm việc chính chủ. Liên hệ Đăng Thành: 0967205590 để xem đất và hẹn gặp chính chủ.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797383.508213, Đông nam
"2,78 tỷ VNĐ","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội", 32m2, 6,, 4,,,"Bán Nhà Phúc Lợi, Long Biên 4T, 32m2, chỉ 2,78 tỷ (ngõ thuận tiện, nhà dân xây) *Tầng 1: gác xép ( 1 phòng ngủ),phòng khách, bếp,wc * Tầng 2, 3 : 2 phòng ngủ, wc khép kín *Tầng 4 : Phòng thờ, sân phơi  Nhà gần ngay trung tâm Phường Phúc Lợi, Đi bộ 5 phút ra Vinhome Riverside, chung cư Ruby Cty.. thừa hưởng tiện ích cao cấp, ba bước sang chợ Phúc Lợi, trường cấp 1,2 Phúc Lợi..các tổ hợp dịch vụ sầm uất ..-  Gần nhà hàng, tạp hóa, Khu dân cư văn minh lịch sự, phù hợp để an cư lạc nghiệp. Sổ vuông đẹp, mặt tiền rộng, pháp lý rõ ràng LH ngay Mr Tùng:  0965 722 358",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797384.710127,
"17,9 tỷ VNĐ",Đường Minh Khai phường Minh Khai, 110m2, 8, 1, 3, 2,,"- Bán nhà phố Minh Khai, Lô góc 2 mặt thoáng ô tô tránh nhau, thông KIm Ngữu, Bạch Mai, Trần Khát Chân. - Diện tích 110m2, mặt tiền 8.6m, thửa đất vuông vắn đẹp. - Hiện nhà 3 tầng cho thuê kinh doanh giữ nhà. - Đẹp nhất là về xây tòa nhà Building cao tầng Kinh doanh thì tuyệt nhất. - Sổ đỏ chỉnh chủ, pháp lý chuẩn. - Giá chào bán: 17.9 tỷ. Lh: e Nam - Miễn trung gian Môi giới.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797385.9047053,
"8,1 tỷ VNĐ","Văn Quán, Hà Đông", 59m2, 5,, 5,,,"+ NHÀ SIÊU ĐẸP, NGÕ THÔNG, KINH DOANH-19/5-Hà Đông, NHỈNH 8 tỷ. + Vị trí: Bán nhà ngay sát phố Trần Phú, Cách đường Nguyễn Khuyến 300m, Gần Hồ Văn Quán, Phố đông cư dân, Oto vào tận cửa. Thuận tiện di chuyển sang Phố Thanh Bình, 19/05, Quang Trung…. + Tiện ích: Nhà sát ngay TTTM Hồ Gươm Plaza,Big C Hà Đông, Sân bóng Văn Quán, gần trường học các cấp, an sinh tốt.., Thuận tiện bắt xe buýt, Tàu điện trên cao tuyến Yên Nghĩa - Cát Linh. + Thiết kế: Nhà mới xây 5 tầng, hiện đại, nội thất sang trọng, thiết bị vệ sinh đẳng cấp. + Pháp Lý: Sổ đỏ sẵn sàng giao dịch. -------------------------------------- Ngôi nhà mới của bạn là HẠNH PHÚC của tôi. Thuận nhà đất - Tư vấn BDS miễn phí, tận tâm. ĐT: 0986.581.285.  ",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797387.130301,
"5,63 tỷ VNĐ","Đường Nguyễn Sơn, Phường Ngọc Lâm, Quận Long Biên, Hà Nội", 41m2, 3,, 5,,,"Chuyển Công Tác Bán  Nhà Gia Thụy, Long Biên 5T; 41m2; giá 5,63 tỷ (ô tô vào nhà) Tầng 1: Gara ô tô, bếp, wc…  Tầng 2: 1 Phòng khách, wc  Tầng 3,4: Mỗi phòng 1 phòng, wc  Tầng 5 : Phòng thờ, sân phơi  + Từ nhà tiện ra đường Nguyễn Sơn, Nguyễn Văn Cừ..bán kính không xa là Cầu Chương Dương, chợ, trường học các cấp, các tổ hợp dịch vụ sầm uất.. Sổ vuông đẹp, pháp lý rõ ràng. LH Mr Tùng 0965 722 358",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797388.8548534,
3 tỷ VNĐ,Đức Diễn, 54m2, 6, 2, 1, 2,,"NGÕ THÔNG, Ở NGAY, CÁCH Ô TÔ 20m, LH: 0345752279 S = 54m2, mặt tiền 6m, giá 3 tỷ Địa chỉ: Đường Đức Diễn, Bắc Từ Liêm. + Khu vực đang phát triển, tiềm năng tăng giá cao với dự án đường Hoàng Quốc Việt kéo dài nối Văn Tiến Dũng. + Gần trường học các cấp, ba bước ra Đại học Tài Nguyên Môi trường, Đại học Công Nghiệp, đường Văn Tiến Dũng, Cầu Diễn, Hồ Tùng Mậu, Đức Diễn, Phú Diễn,… + Cách đường ô tô 20m, đi bộ ra hồ điều hòa, chợ dân sinh. + Hiện trạng nhà C4, 2 phòng ngủ, cho thuê 5tr/ tháng. Có thể ở ngay hoặc phá đi xây nhà to, chung cư mini cho thuê đều rất đẹp. * Gọi ngay em Bình để được xem nhà miễn phí, không tiếp môi giới.",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797390.3544781,
"24,5 tỷ VNĐ",Vũ Tông Phan, 84m2,,,,,,"Cần bán gấp nhà mặt phố Vũ Tông Phan,Thanh Xuân Diện tích 84m x 4 tầng ,mặt tiền 6m Nhà nằm ở mặt phố Vũ Tông Phan, quận Thanh Xuân, con phố luôn nhộn nhịp và tấp nập người qua lạiDiện tích 84m2, mặt tiền hoa hậu 6m, khổ đất vuông đẹp. Nhà hiện trạng 4 tầng xác định bán đấtPhù hợp khách mua kinh doanh mọi loại hình: Văn phòng Công ty, Showroom, Phòng Khám Đa Khoa, Nhà hàng, Khách Sạn,...Sổ đỏ chính chủ, sẵn sàng giao dịchGiá 24.5 tỷ có thương lượng Liện hệ : Tùng BĐS 0981 669 144 - Chuyên nhà đất thổ cư Hà Nội ",03/10/2022,Tin thường,batdongsan_so_com_vn_1673797391.7857678,
