price,address,Diện tích,Lộ giới,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet
4 tỷ VNĐ,Đường Tôn Đức Thắng phường Hàng Bột, 45m2, 1,"+ Thuận Tiên Giao thông, tiện ích đầy đủ, Trường Học Các Cấp, Chợ, Siêu Thị, Bệnh viện,Khu vui chơi giải trí, gần ôTô..., + Sổ Đỏ Chính Chủ Sẵn sàng giao dịch. + Giá: nhỉnh 4 tỷ.",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792866.0383224,,,,
"5,25 tỷ VNĐ","💥Bán gấp căn hộ 3Pn toà Mỹ Đình Pearl 2 full nội thất; 5,25tỷ; 0945798878", 105.7m2,,"
    💥Bán gấp căn hộ 3Pn toà Mỹ Đình Pearl 2 full nội thất; 5,25tỷ; 0945798878  Vì chuyển sang Nhật định cư nên gia đình cần bán gấp căn hộ 3 PN tại tòa Mỹ đình Pearl 2 vừa vào ở đúng 1 năm. Đã hoàn thiện nội thất, full đồ xách vali vào là ở.Chung cư Mỹ Đình Pearl tọa lạc tại vị trí vô cùng đắc địa tại số 1 Châu Văn Liêm – Đại Lộ Thăng Long là cửa ngõ của khu đô thị mới đang phát triển nhất tại Hà Nội.+ 3 phút để đến SVĐ Mỹ Đình+ 3 phút để đến TT Hội Nghị Quốc Gia+ 2 phút để đến Keangnam+ 3 phút để đến siêu thị Big C Thăng Long✔️Diện tích sàn: 105.68m2. thông thuỷ 97m2 .Nhà thiết kế 3PN 2vs✔️Căn tầng đẹp view thoáng mát+Căn hộ phòng khách phòng ăn rộng rãi thông ra ban công+Nội thất Full đầy đủ để lại toàn bộ* Tầng hầm rộng rãi, thoải mái chỗ để xe* Tiện ích siêu thị, khu vui chơi, sân bóng đá, bể bơi, phòng gym… đầy đủ* Khu vực siêu thoáng mát, chỗ đi bộ, đi dạo, ngay cạnh công viên hồ điều hòa đang hoàn thiện.* Điều đặc biệt là Ban quản lý tòa nhà rất tuyệt vời. Thang máy đi nhanh, hỗ trợ kỹ thuật nhanh chóng, sinh hoạt và ghi nhận ý kiến cư dân thường xuyên. (cái này là 1 năm trải nghiệm của GĐ em)Nói chung em nghĩ đây là một nơi tuyệt vời và đáng sống. +Giá bán: 5,250 tỷ bao phí sang tên( có thương lượng cho người thiện chí) +Liên hệ xem nhà chính chủ: 0945798878 any time ạ!       http://www.sanbatdongsanviet.com.vn",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792867.3438277,,,,
"2,25 tỷ VNĐ",0366142883, 34m2,,"Nhà xây kiên cố chắc chắn. -0to đỗ cách nhà 20m -Nhà sát khu đô thị kim chung di Trạch -Giao thông : Gần ql32, TL422B, Trịnh văn bô ,vành đai 3 thuận tiện đi chuyển đến các khu vực. -Nhà sát chợ ,trường học ,bán kính 200m đầy đủ tiện nghi. -Diện tích 34m2 Thiết kế  -Tầng 1: phòng khách +bếp+wc  -Tầng 2: 1phòng ngủ nhà wc khép kín -Tầng 3:2 phòng ngủ 1 wc -tầng 4:phòng thờ sân phơi -Sổ đỏ chính chủ pháp lý rõ dàng . -Giá bán nhỉnh 2.25 tỷ. - A Chị qt Lh em qua số dt học zalo ạ  0366142883",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792868.4528627,,,,
"25,5 tỷ VNĐ",Đường Lạc Long Quân phường Xuân La, 70m2, 6,,24/10/2022,Tin thường,batdongsan_so_com_vn_1673792869.6466677, 6, 7, 5, 8
"1,8 tỷ VNĐ",Đường Nghĩa Lộ phường Yên Nghĩa, 33m2, 1,"Giá 1.8 tỷ Có nhà đẹp 3 tầng TRẠM BƠM YÊN NGHĨA, 33m2 SDCC, Ô tô cạnh nhàCần bán nhà ở Trạm Bơm Yên Nghĩa Nhà 3 tầng, 3 ngủ chủ thiện chí để lại nội thất Nhà cách Ô tô đỗ 30m2, bãi gửi xe Ô tô 150m, xung quanh đầy đủ tiện íchGiá 1.8 tỷ ( Có thương lượng) Khách thiện chí trực tiếp với chủ không qua môi giới, sàn..",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792871.198518, 4, 3, 3, 3
200 triệu VNĐ,Đường Nguyễn Khang phường Trung Hòa, 250m2,,"Bên em chuyên đất nền thổ cư tại Thanh Hoá và Phú Thọ giá chỉ từ 150tr/ lô full thổ cư, đã có sổ. Diện tích các lô từ 150m2 - 250m2 , mặt tiền trung bình 5m-7m-10m. Hungvuonggroup - Hùng Vương Group Đất nền giá  rẻ - đất nền thanh hoá - đất nền phú thọLiên hệ ngay: 0983 258 456 ",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792872.5469086, 10,,,
"6,6 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Gia Thụy, 78m2, 3,"Nhà phố Nguyễn Văn Cừ, Long Biên. Diện tích 78m cực đẹp, giá chỉ 6.6 tỷ. RẺ NHẤT THỊ TRƯỜNG. + Nhà dân xây cực kỳ chắc chắn, thiết kế 3 tầng hiện đại, chủ chỉ việc xách vali về ở, hoặc lên tầng, xây mới đều đẹp. + Hiện trạng nhà 3 tầng 4 phòng ngủ thoải mái thoáng trước sau, sân rộng, sân thượng trồng cây thoải mái.   + Ngõ rộng thoáng, cách ô tô vài bước chân. Khu vực toàn cán bộ Ngành Hàng Không, dân trí cao, an ninh cực tốt. + Sổ đỏ chính chủ, nở hậu.  + Giá chào 6.6 tỷ ( có thương lượng ). + LH xem nhà Khổng Toàn :....",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792873.7088017, 4, 3, 4, 3
"7,5 tỷ VNĐ","Thái Hà, Đống Đa, Hà Nội", 50m2,,"SIÊU PHẨM THÁI HÀ - 20M Ô TÔ TRÁNH - NHÀ ĐẸP - Ở NGAY  - Diện tích: 50m2x5T- MT: 4.8m - Giá 7.5 tỷ - Nhà đẹp, gần phố, trung tâm quận Đống Đa. Cách ô tô tránh 20m. Không gian yên tĩnh, thoáng sáng. - Nhà thiết kệ hiện đại, nhà có ô thoáng, không gian tràn ngập ánh sáng các phòng. - Nhà nằm vị trí trung tâm thuận tiện giao thông qua lại, đi đâu cũng tiện. - Sổ đỏ chính chủ sẵn sàng giao dịch - Liên hệ: Nguyễn Hương 0982140895 (miễn trung gian)",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792874.8447626,,,,
19 tỷ VNĐ,Đường Tố Hữu phường Vạn Phúc, 91m2, 40,"Bán cắt lỗ 3 tỷ shophouse Him Lam Vạn Phúc tinh hoa hội tụ - hot nhất hà đông - kinh doanh đỉnh cao - giá siêu tốt.- Nhà thuộc khu trung tâm thương mại dịch vụ HimLam ngay ngã tư Vạn Phúc, khu vực kinh doanh sầm uất, vị trí đắc địa nhất Hà Đông.- Nhà đô thị hạ tầng đồng bộ, giao thông thuận tiện, bao quanh là các khu đô thị lớn như Dương Nội, Văn Khê, An Hưng... Nhà gần trường học các cấp, trường quốc tế, trung tâm thương mại, công viên... Tiện ích đẳng cấp, không thiếu thứ gì.- Nhà hoàn thiện ngoài, trong thô có ô chờ thang máy. Chủ mới về thiết kế theo sở thích.- Sổ đỏ lâu dài, cất két sẵn giao dịch.- Chủ thiện chí, mong muốn bán nhanhlh : e Giỏi 0986727121 để được hỗ trợ tư vấn cụ thể về căn Shophouse siêu đẹp này , và tham khảo hàng nghìn căn siêu đẹp khác.",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792876.0285954, 6, 6, 4,
"12,9 tỷ VNĐ",Đường Kim Mã phường Kim Mã, 70m2, 10,"+ Vị trí: Phố Kim Mã, gần ngã tư Liễu Giai, thông sang Nguyễn Công Hoan. + Thửa đất phân lô vuông vắn. Hiện trạng 4 tầng móng 7 tầng, cầu thang giữa , tổng 4PN rất rộng .  Xin Trân trọng Cảm ơn.",24/10/2022,Tin thường,batdongsan_so_com_vn_1673792877.0339048, 4, 4, 6, 4
