price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Hướng,Lộ giới
5 tỷ VNĐ,Xuân la Tây Hồ hà nội, 45m2,"XUÂN LA – GIÁ ĐẸP – NGÕ Ô TÔ QUA THÔNG CÁC NGẢ - NHÀ 45M – 5 TỶ Nhà xây 5 tầng chắc chắn, thoáng trước sau, có ô chờ lắp thang máy, cầu thang rộng rãi đẹp Nhà phù hợp với gia đình có nhiều thế hệ chung sống , 5 phòng ngủ thoáng, sáng đẹp Mô tả: + Tầng 1: Sân để xe, ( khoảng gần 10 xe máy ) + phòng khách + ô chờ thang máy mini + wc + Tầng 2: 1 ngủ + Bếp + phòng ăn+ WC + Tầng 3: 2 ngủ + wc + Tầng 4: 1 ngủ + phòng thờ + Tầng 5: Sân phơi + khu trồng rau + cây cảnh Sổ đỏ chính chủ sẵn sàng giao dịch Liên hệ Em Hằng ☎️ 0989918103",06/04/2022,Tin thường,batdongsan_so_com_vn_1673828369.0625684,,,,,,
"15,6 tỷ VNĐ",Hà Nội, 75m2,"Chính chủ bán toà nhà phố Yên Lãng, quận Đống Đa - LH: 0856 968 656.Vị trí đẹp nằm trên mặt ngõ to rộng khu vực Yên Lãng - Thái Hà, vỉa hè, ô tô tránh dừng đỗ ngày đêm. Di chuyển qua các phố Thái Hà, Thái Thịnh, tân hoàng minh Huỳnh Thúc Kháng, Láng Hạ, Tây Sơn, Hoàng Cầu... trong vòng vài phútXung quanh bao trùm tiện ích, trường điểm các cấp không kể hết, phù hợp vừa ở vừa kinh doanh, dòng tiền. + Toà nhà 7 tầng thuê kiến trúc sư thiết kế hiện đại trên diện tích 75 m2, mặt tiền 5.3 m. Nội thất xịn, hệ thống cửa lim nguyên khối, thiết bị nội thất cao cấp, điều hoà âm trần... về khai thác ngay.Tầng 1: Gara, phòng bếp, phòng khách xịn sò, vệ sinh.Tầng 2, 3, 4, 5, 6: Các phòng, vệ sinh.Tầng 7: Phòng thờ, sân phơi.Giá 15.6 tỷ ra lộc mạnh, bao sang tên, tặng full nội thất xịn cho khách có thiện trí. - Liên hệ Mr Bình - 0856 968 656. Chuyên nhà đẹp để được tư vấn xem nhà, và làm việc trực tiếp với chủ (miễn phí).",06/04/2022,Tin thường,batdongsan_so_com_vn_1673828370.1566412,,,,,,
"4,45 tỷ VNĐ","Dịch Vọng , Cầu Giấy , Hà Nội", 37m2,"CẦU GIẤY NHÀ ĐẸP GIÁ VỪA TÚI TIỀN – TẶNG NỘI THẤT – 4.450 TỶ Ngõ thông rộng, gần ô tô, tiện ích không chê vài phút ra chợ , công viên Cầu Giấy Nhà 4 tầng đẹp như tranh , khách chỉ việc xách vali về ở, chủ tặng 90% nội thất Khu vực HOT Nhà thoáng trước sau, thiết kế 4 tầng, 4 ngủ đầy đủ công năng Sổ đỏ nở hậu sẵn sàng giao dịch Liên hệ Em Hằng ☎️ 0989918103",06/04/2022,Tin thường,batdongsan_so_com_vn_1673828371.1729672, 3, 4, 4, 3,,
"7,3 tỷ VNĐ",KĐT Ngô Thì Nhậm, 40m2,"PHÂN LÔ – Ô TÔ TRÁNH VỈA HÈ – KINH DOANH VĂN PHÒNG TUYỆT ĐỈNH – CỰC HIẾM NHÀ BÁN + Cần bán nhà tại khu đấu giá Ngô Thì Nhậm Hà Đông Diện tích 40m, nhà 6 tầng, mặt tiền rộng 4m giá 7.3 tỷ. + Nhà ngay gần ngã tư Ngô Thì Nhậm – Nguyễn Viết xuân, vị trí đắc địa kinh doanh phù hợp với nhiều loại hình dịch vụ đều hứa hẹn hiệu xuất cao. + Phù hợp để ở vừa kết hợp kinh doanh hoặc tòa nhà văn phòng cho thuê đều phù hợp. + Tiện ích khu vực gần trường học các cấp, gần chợ lớn Bông Đỏ, gần trung tâm TM, gần chung cư Xuân Mai. + Sổ đỏ chính chủ, pháp lý đầy đủ, xem sổ ngay tại nhà. + Giá chào 7 tỷ 3 (Có thương lượng) + Liên hệ xem nhà: 0902.083.139",06/04/2022,Tin thường,batdongsan_so_com_vn_1673828372.381782, 4, 6, 5, 5,,
"16,5 tỷ VNĐ",Hoàng Văn Thái, 100m2,"+ Khu phân lô quân đội Hoàng Văn Thái, hàng xóm quan chức, dân trí cao, an sinh tốt. + Mặt tiền rộng rãi đón lộc vào nhà, vài bước chân ra phố Lê Trọng Tấn với đầy tiện ích. + Nhà thiết kế 3 tầng 1 lửng 1 tum, tổng 5 tầng vững chãi. + Nhà thoáng trước sau, phía sau chủ xây để lại khoảng thoáng 1m. + Chủ nhà nhiều lộc, gia đình mạnh khỏe hạnh phúc. + Sổ đỏ chính chủ vuông đét, sẵn sàng giao dịch.",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828373.3811088, 5, 4, 4,, Bắc,
9 tỷ VNĐ,"Nhà 37 ngách 9/2 Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Hà Nội", 88m2,"Chính chủ bán nhà 37 ngách 9/2 Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Hà NộiDiện tích đất 88m2- Trên đất đã xây 60m2 x 3 tầng. Ngõ rộng, 2 ô tô tránh nhau được.- Vị trí thuận tiện giao thông, an ninh rất tốt, dân trí caoGiá bán: 9 tỷ.Chính chủ: 0886929782 - Sổ đỏ chính chủ  Nguồn:  http://nhadathanoi.net.vn",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828374.3086276,, 3,,,,
"2,9 tỷ VNĐ","Yên Xá,Tân Triều, Thanh Trì, Hà Nội", 31m2,"+ Bán nhà khu Yên Xá Thanh Trì 31m2, 4 tầng, 3.2m mặt tiền.+ Tiện ích xung quanh chẳng thiếu gì, gần các trường Đại học Danh tiếng ( ĐH Kiến trúc, Học viện An ninh, Học viện Y dược học Cổ truyền,…) bệnh viện lớn, cách trợ Yên xá 100m, phòng gym 150m.+ Sổ đỏ chính chủ, pháp lý sạch.+ Giá: thương lượng.+ Miễn môi giới và trung gian..!+ Liên hệ: Đức Anh 0975517689 – Chuyên nhà đất thổ cư, nhà mặt phố Hà Nội.+ Hỗ trợ pháp lý từ A-Z, tư vấn đầu tư Bất Động Sản hiệu quả hoàn toàn Miễn Phí.",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828375.6041708, 3, 4,,,,
"7,8 tỷ VNĐ","Nhà LK19AB khu tái định cư Dương Nội, Hà Đông, Hà Nội", 50m2,"Chính chủ bán nhà LK19AB khu tái định cư Dương Nội, Hà Đông, Hà NộiDiện tích: 50m x 5 tầng.Chính chủ xây để ở nên rất đẹp !Gần Siêu thị AEON, công viên Thiên Văn, liền kề khu đô thị Nam Cường và An Hưng thuận tiện các con học các trường Mầm non, Tiểu học, Cấp 2, gần các chợ đầu mối nên rất rẻ thực phẩm phong phú, khu dân trí cao, an ninh tốt.Giá bán: 7,8 tỷ - Sổ đỏ chính chủChính chủ: 0902187558   Nguồn:  http://nhadathanoi.net.vn",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828376.9545486,, 5,,,,
14 tỷ VNĐ,LONG BIÊN HÀ NỘI, 83m2,"Bán đất phố Kẻ Tạnh,đất đẹp nhất phố,KD đỉnh,tiện ích xung quanh. 💥Đất mặt phố Kẻ  Tạnh độc, hiếm, tiện xây căn 7 tầng thông sàn,kinh doanh văn phòng, nhà nghỉ, phòng khám,.... 💥Đất khu vực Giang Biên nơi có nhiều dự án đang triển khai phát triển mạnh, giá đất đang bùng lên từng ngày, chủ đang đầu tư dự án lớn cần phải đầu tư nhiều tài chính nên cần bán gấp mảnh đất này, giá mềm mại, thương lượng nhẹ, đây là cơ hội cho các nhà đầu tư giữ tiền, sinh lời rất nhanh, mua là thắng. 💥Sổ đỏ vuông vắn, cất két, pháp lý sạch, sẵn sàng giao dịch mua bán nhanh chóng, Liên hệ Anh Quân: 0987353408 để được tư vấn miễn phí.",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828377.9987557, 4,,,,, 6
"3,4 tỷ VNĐ",Phố Ngọc Trì, 46m2," NGỌC TRÌ NGÕ NÔNG, NHÀ DÂN XÂY, DIỆN TÍCH RỘNG, ĐA TIỆN ÍCH NGỌC TRÌ 46m 4 tầng  mặt tiền 3.2  giá chào 3.4 tỷ  Mô tả: . Vị trí siêu đẹp, gần trường học các cấp, Aeon Long Biên, cầu Vĩnh Tuy. . Nhà dân xây 4 tầng, thiết kế kiểu lệch tầng kết hợp giếng trời nên nhà rất thoáng và rộng. Tổng 5 phòng ngủ rộng rãi thoáng sáng. Sân chung rộng để xe thoải mái . Sổ đỏ cất két sẵn sàng giao dịch .  Liên hệ em Long : 0988 073 894",05/04/2022,Tin thường,batdongsan_so_com_vn_1673828379.0130858,,,,,,
