price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số phòng ngủ,Số toilet
"4,5 tỷ VNĐ","Đường Vạn Phúc, Vạn Phúc, Hà Đông", 35m2, 3, 5,"NHÀ 5 TẦNG MỚI XÂY, PHỐ VẠN PHÚC,NGÕ OTO 4 CHỖ, DT 35M, GIÁ NHỈNH 4 TỶ.-Nhà được thiết kế 5 tầng rất hiện đại chắc chắn, nội thất đẹp -Phù hợp để ở/ kinh doanh/ cho thuê  đều được tài chính  trên 4 tỷ.- Vị Trí; Phố Vạn Phúc, hà đông, quá thịnh vượng, thông ra các phố như, phố Tố Hữu, Ngô Thì Sỹ, Phố Lụa, Ngô Quyền, Quang Trung, Phùng Hưng.- Tiện ích: gần Bưu Điện Hà Đông, 5 phút đi xe là ra đến Viện 103,Viện Bỏng Quốc Gia,Bệnh Viện Đa Khoa Hà Đông, Chợ Hà Đông,Trường Học Viện An Ninh, Trường Học Viện Bưu Chính Viễn Thông. Vị trí nhà rất thuận tiện di chuyển ra phố Tố Hữu, Ngô Thì Sỹ, Phố Lụa, Ngô Quyền, Quang Trung,Phùng Hưng.- xung quanh đẩy đủ không thiếu thứ gì,  -pháp lý chuẩn , sổ đỏ chính chủ,  anh/chị nào thiện chí liện hệ em để xem nhá miễn phí. (thông tin chuẩn 100%/ hình ảnh mang tính chất minh họa)",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786414.049516,,,,
7 tỷ VNĐ,"Lê Duẩn, Đống Đa, Hà Nội", 43m2, 2, 5,"💰 7 TỶ 💰CCMN KINH DOANH DÒNG TIỀNTỰ CHỦ NHÀ ĐÃ VẬN HÀNH CHO THUÊ KÍN PHÒNG. CHỦ MỚI MUA VỀ CHỈ VIỆC NHẬN TIỀN  Mô tả :Tầng 1 : 1 phòng khép kín - chỗ để xeTầng 2,3,4,5 : Mỗi tầng 2 phòng khép kínTầng tum : phòng thờ - sân phơi* Doanh thu:- Thực thu mỗi tháng ~50tr/tháng ( ~9%/năm ) * vị trí :- Cách mặt phố Lê Duẩn hơn 100m * Tiện ích :- Gần trường, chợ- Cách Bách - Kinh - Xây 2km- Cách công viên thống nhất 300m - thuận tiện thư giãn cuối ngày làm việc - tập thể dục buổi sáng cho sinh viên - người lao động v.v….. Ưu điểm :- Nhà mới hoàn thiện, đã lấp kín phòng.- Chủ tự kinh doanh cho thuê - không cho bất kỳ một đơn vị nào thầu thuê - đem lại lợi nhuận tốt nhất.- Ngõ thông các ngả.- Sổ đỏ nở hậu.Gọi ngay 0976 359 892 - 0974 558 786 em Doanh để xem nhà trực tiếp",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786415.2612755, Đông nam, 3, 9, 9
"8,6 tỷ VNĐ","Đường Phùng Chí Kiên, Nghĩa Đô, Cầu Giấy", 50m2, 8, 7,"
    
Bán nhà 7tầng thang máy gara ôtô nhỉnh 8tỷ gần phố Phùng Chí Kiên Nghĩa Đô Cầu Giấy 

KHU PHÂN LÔ VIP TOÀN CÁN BỘ QUÂN ĐỘI - 2 CĂN NHÀ MỚI KOONG - NỘI THẤT XỊN - 7 TẦNG THANG MÁY - Ô TÔ ĐỖ CỬA, VÀO NHÀ - NGÕ THÔNG - KD VĂN PHÒNG - AN SINH ĐỈNH

- Khu phân lô quân đội toàn quan chức to, vị trí cực đẹp ngõ thẳng tắp, ngõ thông ô tô tránh, dừng đỗ ngày đêm, giao thông thuận tiện đi các tuyến phố VIP Hoàng Sâm, Hoàng Quốc Việt, 800A, Nghĩa Đô, Võ Chí Công, Bưởi, Lạc Long Quân... 
- Nhà ở siêu VIP, có thể kết hợp làm văn phòng công ty, kinh doanh cho thuê...
- Tiện ích - an sinh cực đỉnh. Dân trí cao, an ninh cực kì đảm bảo, hàng xóm thân thiện - văn minh .
- Nhà đẹp, thiết kế hiện đại, khu vực đáng sống, chủ nhà cực thiện chí, ô tô 7 chỗ vào nhà.
+ Tầng 1 : Thông sàn, Gara, PK, WC.
+ Tầng 2, 3, 4, 5 : Mỗi tầng 1 Phòng Master Khép kín.
+ Tầng 6 : Bếp, Sảnh thưởng trà, WC .
+ Tầng 7 : Sân cây cảnh, Sân phơi .
- Sổ đỏ vuông vắn chính chủ sẵn sàng giao dịch.
Chú ý: 
1. LH: A. Hoàng Anh 0934266313 (xem nhà miễn phí)
2. Link kho nhà đẹp: https://www.facebook.com/356939308270722
3. Hỗ trợ tài chính cho vay mua nhà đến 80% giá trị căn nhà, lãi suất thấp nhất thị trường.
",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786416.295544,, 4, 4, 6
"2,5 tỷ VNĐ","Đường La Tinh, Đông La, Hoài Đức", 31m2, 8, 4,"Chủ cần bán nhà La Tinh, Hoài Đức diện tích 31m2 giá 2.5 tỷ có thỏa thuận  NHÀ MỚI ĐÔNG LA - 4 NGỦ - THOÁNG TRƯỚC SAU - NỘI THẤT GỖ XỊN - SỔ ĐỎ PHÂN LÔ - KHU VỰC TĂNG GIÁ TỪNG NGÀY !  + Diện tích 31m2 4 tầng giá 2.5 tỷ có thỏa thuận + Nhà mới kính koong đang hoàn thiện, khoảng 1 tháng là xong, khách không đi xem luôn thì chắc chắn không kịp vì quá ngon bổ rẻ. + Thiết bị hiện đại, nội thất xịn, cầu thang, sàn gỗ, toàn bộ sàn nhà bằng gỗ, trần thạch cao sạch sẽ, chắc chắn. + 4 tầng 3 ngủ, 1 sân phơi, 1 thờ, 1 khách 1 bếp, thừa công năng. + Vị trí đỉnh cao: ô tô đỗ gần, đường trước nhà rộng, chục bước ra chợ, nhà văn hoá. + Tiện ích đủ đầy: đường La Tinh 1 sát Yên Nghĩa, cạnh khu đất giãn dân La Tinh, trường mầm non, cấp 1,2,3 xung quanh nhà, ra đại học Phenikaa và Lê Trọng Tấn Hà Đông rất gần. + Sổ đỏ phân lô vuông đét, chuẩn chính chủ. + Liên hệ Xuân Thắng 0902.229.198 để xem nhà miễn phí",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786417.2878885,, 5, 3, 3
"3,2 tỷ VNĐ","Đường Di Ái, Di Trạch, Hoài Đức", 32m2, 8, 5,"Cần bán nhà Di Ái, Hoài Đức diện tích 32m2 giá 3.2 tỷ có thỏa thuận  NHÀ MỚI ĐẸP LUNG LINH - Ô TÔ 16 CHỖ ĐỖ CỬA - VÀI BƯỚC RA PHỐ - KINH DOANH NHỎ - Ở ĐỈNH.  + Diện tích 32m2 5 tầng giá 3.2 tỷ có thỏa thuận + MÔ TẢ: - Nhà tọa lạc vị trí đẹp, đường trước nhà oto 16 chỗ đỗ cửa, vài bước ra phố, xung quanh là trường học các cấp, trạm xá, chợ khu vực đầy đủ tiện ích, không thiếu thứ gì. - Nhà rất gần các trường FPT, Đông A, Công Nghiệp, Vài bước ra khu đô thị Kim Chung, Di Trạch, khu vực sầm uất, mật độ dân số cao, thuê nhà luôn Full, có thể mua cho thuê giữ tiền và có dòng tiền thuê nhà cao và ổn định. - Giao thông thuận tiện các tuyến phố như Phương Canh, Trịnh Văn Bô kéo dài, đường Tỉnh Lộ 422b, đường 70 Xuân Phương ĐH Công Nghiệp… - Hiện trạng là 3 căn nhà mới đẹp lung linh, thiết kế hiện đại, công năng, nội thất xịn, chủ tặng nội thất: Điều hoà, nóng lạnh…. + Thiết kế: 5 tầng. - T1: PK + Bếp +WC - T2: 1 NG + WC - T3: 1 PN + WC - T4: 1 PN + WC  - T5: Phòng thờ sân phơi rộng. + Sổ đỏ, chuẩn đẹp, chính chủ + Liên hệ Xuân Thắng 0902.229.198 để xem nhà miễn phí",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786418.5864148,, 5, 3, 3
"6,8 tỷ VNĐ","Đường Chùa Bộc, Quang Trung, Đống Đa", 40m2, 10, 5,"+  Vị trí trung tâm, kinh doanh đỉnh nhất quận Đống Đa.  + Căn nhà 3 thoáng với diện tích 40m2, 5 tầng, mặt tiền 4.6m, nằm sau 3 toà nhà cao tầng Giảng đường của trường Đại học Thuỷ Lợi), ngõ thẳng rộng thẳng tắp, ô tô tránh, thông tứ tung. + Nhà 5 tầng:     - Tầng 1: phòng khách, bếp nhà vệ sinh, đi 2 cửariêng biệt nên có thể cho thuê 2 căn hộ nhỏ.    - Tầng 2;3;4 mỗi tầng 2 phòng ngủ    - Tầng 5: Phòng Thờ rất rộng và 1 sân phơi.  + Sổ đỏ chính chủ, sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7 ",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786419.6824827,, 4, 6,
"4,8 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 42m2, 3, 4,"Mô tả:  -Vị trí trung tâm,ngay con phố Thái Thịnh tiện ích không thiếu thứ gì, 3 phút ra trợ Vĩnh Hồ  -Do nhu cầu ở nhà lớn hơn nên bán, vợ chồng công chức hiền lành  -Nhà xây chắc chắn kiên cố 4 tầng 4 phòng ngủ, chủ mới chỉ việc xách vali đến ở  -Ngõ thông tứ phía ba gác chạy được. 20 bước ra đến phố Thái Thịnh  LH em chủ nhà: 094 665 8282 (Miễn trung gian-100% thông tin nhà thật)",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786420.7276866,,, 4, 3
7 tỷ VNĐ,"Đường Tôn Đức Thắng, Ô Chợ Dừa, Đống Đa", 52m2, 2, 4,"
    
Nhà Đẹp Đống Đa - Tôn Đức Thắng 52m2 4 tầng. Mặt tiền 5m. Ngõ thông, kinh doanh. 7.2 tỷ
Vị trí: Tông Đức Thắng con phố sầm uất quận Đống Đa, thông thương với các tuyến phố Nguyễn Lương Bằng, Cát Linh, Nguyễn Thái Học. Ngõ thông, kinh doanh, tiện íchxung quanh nhiều.

Nhà 4 tầng mới, đẹp. Khung cột bê tông chắc chắn. Thiết kế đầy đủ công năng: kinh doanh, khách, bếp, nhiều phòng ngủ, phòng thờ, sân phơi...

Sổ đỏ: sẵn sàng giao dịch.

LH: 0836797686 - Ngọc Duyên.
",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786421.6971273,, 5, 5, 4
"19,5 tỷ VNĐ",Trương Định Hoàng Mai Hà Nội, 190m2,, 2,"+ Vị trí cách mặt phố chỉ 1 nhà, ngõ to ô tô tránh, vỉa hè, kinh doanh, vị trí rất đẹp, cực hiếm. + Diện tích 190m2, 2 tầng cũ, mặt tiền 10m, rộng thênh thang. + Sổ đỏ nở hậu đẹp, chủ thiện trí bán. + Giá 19.5 tỷ ( thương lượng ) + Liên hệ: Nguyễn Minh Quang 0327085656 ( xem nhà trực tiếp miễn phí – miễn QC )",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786422.8290656,, 10, 4,
"3,15 tỷ VNĐ","Đường Cổ Linh, Thạch Bàn, Long Biên", 40m2, 3, 5,"Bán Nhà Cổ Linh 40M2*5T - 3.15 tỷ. Nội thất đẹp lung linh Bán nhà Cổ Linh, Long Biên, Hà Nội. Nhà thuộc vị trí đẹp, gần AEON Long Biên, GOLF Long Biên vài bước chân. Gần chợ Làng Nha, trường học các cấp. Nhà mới xây 5 tầng 40M2. Nhà thiết kế hiện đại, đầy đủ công năng, nội thất nhập khẩu, tiện ích ngập tràn rất thích hợp để ở.  Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 3.15 tỷ (Thiện chí thương lượng). LH: Mr Trường  0877339363 (Chuyên nhà Long Biên).",23/11/2022,Tin thường,batdongsan_so_com_vn_1673786423.883245,,, 5,
