price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng
"17,7 tỷ VNĐ","Đường Bạch Thái Bưởi, VĂN QUÁN, Hà Đông", 103m2, 7, 7, 5, 5, 5,"GIA ĐÌNH CẦN BÁN GẤP CĂN NHÀ ĐANG KINH DOANH TỐT Ở KHU VĂN QUÁN HÀ ĐÔNG - DT 103 M2 - LÔ GÓC ĐẸP - RẤT THUẬN TIỆN GIAO THÔNG - GẦN CÁC CƠ QUAN BỆNH VIỆN TRƯỜNG HỌC LỚN Ở HÀ ĐÔNG. -MT 9M  NHÀ NỘI THẤT GỖ XỊN ĐẸP THIẾT KẾ CỰC KỲ KHOA HỌC  - GIÁ; 17,7 TỶ -LIÊN HỆ XEM NHÀ 24/7 ; 0587752222",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785967.2713265,
200 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2, 10,,,,,"
    Đất nền Thanh Hoá - Chỉ từ 170tr/lôĐất nền Phú Thọ - Chỉ từ 300tr/lô
Đã có sổ theo từng lô - Full thổ cư
Hạ tầng hoàn thiện sẵn sàng ra hợp đồng và sang tên
https://batdongsanhungvuong.vnhttps://datnenthanhhoagiare.blogspot.com/HÙNG VƯƠNG GROUP hungvuonggroupLiên hệ ngay: 0963 821 823 
",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785968.4671285,
11 tỷ VNĐ,"Xã Cổ Bi, Huyện Gia Lâm, TP Hà Nội", 90m2, 7,,,,,"Yếu tố quan trọng nhất để làm nên một bức ảnh đẹp đó là phải có một cái nền đắt giá! Và Dự Án Green Little Town là cái nền đắt giá đó Tổng diện tích là: 3,2 ha. Vị trí : Đường Bình Minh - Sau nhà thi đấu Gia Lâm (ngay cạnh ngã tư Trâu Quỳ, KĐT Đặng Xá) Loại hình: 168 căn liền kề và 1 tòa chung cư, kết hợp 5 tầng trung tâm thương mại. Diện tích: 87,5-90-100-150m2 ( Liền kề - Shophouse ) 180-200-280m2 ( Biệt Thự ) Giá từ: 12-15 tỷ/căn Đơn giá đất từ 110-135tr/m2 Tiếp giáp với KHU ĐÔ THỊ ĐẶNG XÁ An ninh trật tự an toàn gần CÔNG AN Huyện Dự án tiếp giáp trường học các cấp NGAY CẠNH QUY HOẠCH GA TÀU ĐIỆN VÀ BẾN XE GIA LÂM ----------------------------------------------------------------- Mọi thông tin chi tiết về dự án xin vui lòng liên hệ trực tiếp Chủ đầu tư: ☎☎ ☎ : 0983.599.837( ib - zalo - sms ) Địa chỉ: Xã Cổ Bi, Huyện Gia Lâm, TP Hà Nội (Gần Nhà thi đấu Gia Lâm)",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785969.7068105,
"2,35 tỷ VNĐ","Đường Hương Viên, Đồng Nhân, Hai Bà Trưng", 25m2, 3, 2, 4, 2, 2,"Chính chủ gửi bán nhà nho nhỏ xinh xinh tại Hương Viên, Hai Bà Trưng, cách mặt hồ Hai Bà Trưng vài chục mét, khu vực hiếm nhà bán. + Vị trí trung tâm, đắc địa, gần Phố Huế, Nguyễn Công Trứ, Trần Khát Chân, dạo bước đến Lò Đúc ăn phở Thìn chỉ mất vài bước chân. + Khu dân cư ổn định, ở văn minh, trung tâm Hai Bà Trưng không thiếu tiện ích. + Diện tích xây dựng thực tế lên đến 25m2. Nhà xây khung cột chắc chắn, thiết kế tối ưu công năng sử dụng phù hợp cho gia đình nhỏ ở quá tuyệt vời. + Sổ đỏ chính chủ diện tích nhỏ riêng biệt hiện rất HIẾM, sẵn sàng giao dịch.  +++Liên hệ Mr Hiếu 0382.603.113 để được tư vấn xem nhà và hỗ trợ miễn phí.+++--------- Mr Hiếu – Tinh hoa Nhà đất (Tâm – Tầm – Tín)Tư vấn Đầu tư, Mua bán, Định giá BĐS chuyên nghiệp tại Hà Nội.",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785970.6632514,
"4,85 tỷ VNĐ","Trường Chinh, Thanh Xuân, Hà Nội", 34m2, 3, 2, 5, 3, 4,"Bán nhà phố Trương Chinh. Xây mới 5 tầng. Giá cực tốt 4.85 tỷ+ Diện tích 31m2+ Nhà gần trục chính Trường Chinh+ Dân trí cao, an toàn tuyệt đối+ Thiết kế 03 phòng ngủ, phòng khách, bếp, phòng thờ, sân phơi đầy đủ.+ Nội thất đầy đủ về ở ngay* Sổ đỏ cất két siêu đẹp, sẵn sàng trao tay.Liên hệ em Linh - Nhà Phố Hà Nội 0978 652 524 để được hưởng những ưu đãi nhất.Em xin chân thành cảm ơn!",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785971.9767404,
"2,7 tỷ VNĐ","Đường Hồ Tùng Mậu, Mai Dịch, Cầu Giấy", 32m2, 4, 3, 5,,,"+ Chính chủ cần bán nhà trước tết để thu hồi vốn giảm chào 300 triệu còn 2,7 tỷ, nhà Phố Hồ Tùng Mậu, Quận Nam Từ Liêm, diện tích 32m2 x 4 tầng giá 2,75 tỷ. + Nhà Hồ Tùng Mậu ngay sát Cầu Diễn, 300m ra khu độ thị Vinhome Gardenia, cách Đại học Thương Mại 500m. + Nhà nằm trong khu dân cư yên tĩnh, ô tô đỗ cổng. Chủ tự xây tâm huyết, rất chắc chắn. - T1: Khách, bếp, vs. - T2,3: Mỗi tầng 1 PN rộng, vệ sinh ngoài. - T4: Phòng thờ, sân phơi. + Sổ đỏ đầy đủ, pháp lý minh bạc, sẵn sàng dao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785973.0430114,
"4,1 tỷ VNĐ","Đường Mỹ Đình, Mỹ Đình 2, Nam Từ Liêm", 37m2,, 2, 5, 3, 4,"BÁN NHÀ MỸ ĐÌNH PHÚ ĐÔ LÊ ĐỨC THỌ Ô TÔ ĐỖ CỬA 5M RA MẶT PHỐ 37M2X5T 4,1 TỶ- Ngõ thông, rộng, ô tô đỗ cửa; vài bước ra mặt phố to như quốc lộ; trước mặt thoáng vô biên- Sát nút giao Mỹ Đình, Lê Đức Thọ, Mễ Trì; rất gần SVĐ Mỹ Đình, BV Hồng Ngọc, BigC Garden.- Nhà đẹp dân xây, 5T 3 PN siêu rộng thoáng, full nội thất.- Sổ đỏ chính chủ sẵn sàng trao tay.- Liên hệ 0963479269 gặp chủ xem nhà 24/7, miễn trung gian môi giới.",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785975.9606266,
"4,2 tỷ VNĐ","Đường Mỹ Đình, Mỹ Đình 2, Nam Từ Liêm", 38m2,, 2, 5, 4, 4,"BÁN NHÀ MỸ ĐÌNH PHÚ ĐÔ LÊ ĐỨC THỌ NGÕ NÔNG AN NINH 10M Ô TÔ 38M2X5T 4,2 TỶ- Ngõ cực nông, 2 mặt thoáng, ba gác đỗ cửa, 10m ô tô dừng đỗ; rất gần chợ, siêu thị, trường học.- Kết nối Mỹ Đình, Phú Đô, Lê Đức Thọ, Mễ Trì; rất gần SVĐ Mỹ Đình, BV Hồng Ngọc, BigC Garden- Chính chủ xây dựng, nội thất sịn sò, 5T 4 PN đầy đủ công năng, thoáng sáng tuyệt vời.- Sổ đỏ chính chủ sẵn sàng trao tay.- Liên hệ 0963479269 gặp chủ xem nhà 24/7, miễn trung gian môi giới.",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785981.5327766,
57 triệu VNĐ/m2,Nhà Tái Định Cư Bắc Phú Cát, 56m2, 5,, 3, 4, 2,Cần tiền trả nợ tôi bán gâp nhà 3 tầng 56m2 gọi 0911539380🍀Vị trí gần ngay cổng Đại Học Quốc Gia Hà Nội🍀nhà kiên cố.xây dựng được 1năm có 6 Phòng ngủ vì mấy trận bóng mà phải ra đi.🍀Nhà đã xây dựng đẹp.giá bán đang rẻ so với hàng xóm phù hợp đầu tư cho thuê. Hoặc mua cho con em học Đại học quốc gia Hà Nội. Hoặc FPT. Ai có nhu cầu thì gọi cho tôi  0911539380,26/11/2022,Tin thường,batdongsan_so_com_vn_1673785982.8234048, Nam
"3,6 tỷ VNĐ","Đường Mỹ Đình, Mỹ Đình 2, Nam Từ Liêm", 31m2, 3, 1, 5, 3, 4,"BÁN NHÀ MỸ ĐÌNH LÊ ĐỨC THỌ MỄ TRÌ 3 BƯỚC Ô TÔ TRÁNH ĐỖ NGÀY ĐÊM 31M2X5T 3,6 TỶ- Ngõ siêu nông, 3 bước ra ô tô tránh, dừng đỗ ngày đêm; 50m gara siêu to khổng lồ; vài bước ra chợ, siêu thị,- Kết nối Mỹ Đình, Đình Thôn, Lê Đức Thọ, Mễ Trì; sát SVĐ Mỹ Đình, BX Mỹ Đình, BV198, BigC Garden...- Chính chủ xây dựng, 5 tầng 3 ngủ khép kín siêu đẹp, full nội thất, dọn về ơ ngay- Sổ đỏ chính chủ sẵn sàng trao tay.- Liên hệ 0963479269 gặp chủ xem nhà 24/7, miễn trung gian môi giới.",26/11/2022,Tin thường,batdongsan_so_com_vn_1673785983.6890893,
