price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
10 tỷ VNĐ,Văn Phú - Hà Đông, 90m2, 4,"ĐẦU TƯ liền kề Văn Phú, Hà Đông 90m, mặt tiền 4.5m kinh doanh chỉ 10 tỷ Cực hiếm căn liền kề đẹp nhất Văn Phú, Hà Đông vị trí đắc địa không lỗi lầm, đường phân lô vỉa hè rộng gần công viên, trường học và khu dân cư luôn đông đúc ngày đêm. Nhà diện tích rộng 90m với mặt tiền khủng gần 5m rất lý tưởng để ở kết hợp kinh doanh văn phòng. Nay chủ nhà có việc cần bán trước Tết giá cho các nhà đầu tư. Sổ vuông sẵn sàng giao dịch. Giá: 10 tỷ ( gia lộc). Liên hệ : Huyền ( 0363703491- 0965472910) – Gặp trực tiếp chính chủ.",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781462.5965734,,,,
"43,5 tỷ VNĐ",Tây Nam Linh Đàm - Hoàng Mai - Hà Nội, 200m2, 10,"Bán biệt thự Tây Nam Linh Đàm,  Hoàng Mai, 200m, 5 tầng, tuyệt đẹp, chỉ 43.5 tỷ Vị trí: Biệt thự tuyệt đẹp, tọa lạc khu biệt thự Tây Nam Linh Đàm đẹp nhất, sang trọng bậc nhất khu Linh Đàm, đường tước nhà 16m, oto thoải mái đỗ. Tiện ích: Gần sân bóng quận Hoàng Mai, công viên hồ Linh Đàm, trường quốc tế, hàng xóm toàn là chủ doanh nghiệp lớn thành công nhiều lĩnh vực, khu nhiều nhà hàng, quán cà phê sang sang trọng, khu chung cư cao cấp, sống trong căn biệt thự đẹp xung quanh không thiếu tiện ích và náo nhiệt thì vô cùng tiện nghi, dễ dàng thỏa mãn nhu cầu cá nhân với quá nhiều dịch vụ tiện ích. Thiết kế: Biệt thự xây 115m/ 200m sổ, 4 tầng, được rải thạch anh, bể cá coi phong thủy, 4 ngủ, camera an ninh, nội thất cao cấp sẵn sàng ở ngay. KHÔNG CĂN NÀO TRONG TẦM GIÁ CÓ VỊ TRÍ VÀ NHÀ ĐẸP NHƯ CĂN NÀY, ảnh chi tiết căn nhà bạn có thể xem. Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch có thương lượng, chủ bán để chuyển vào nam sinh sống cùng các con. Liên hệ: Minh Hoàng 0902253303, miễn trung gian môi giới.",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781464.6707344, 4, 4,,
8 tỷ VNĐ,"Đường Trương Công Định, Yết Kiêu, Hà Đông", 50m2, 5,"MẶT PHỐ - VỈA HÈ - KINH DOANH- SẦM UẤT + Nhà Mặt phố Trung tâm Hà Đông, ô tô tránh, vỉa hè rộng kinh doanh sầm uất ngày đêm. + Vài bước ra phố Chu Văn An Thông thương các tuyến phố: Vạn Phúc, Cầu Am, Trần phú, Quang Trung, Tố Hữu, Ngô Quyền, Nguyễn Thái Học, Bế Văn Đàn, Nguyễn Viết Xuân. Rất gần Bưu điện Hà Đông, Cầu Trắng. + Nhà thiết kế chuẩn công năng mặt tiền rộng tiện kinh doanh các loại hình kinh doanh. + Sổ đỏ chính chủ vuông đẹp A4 giao dịch ngay. LH: Công Nhà TO 0931706698 để xem nhà miễn phí.Không tiếp MG, trung gian.",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781466.6384108, 5, 4, 8, 4
"2,4 tỷ VNĐ","TT. Trạm Trôi, Hoài Đức, Hà Nội.", 40m2, 6,"Chủ cần bán nhà 4 tầng tại TT. Trạm Trôi, Hoài Đức, Hà Nội. + Diện tích: 40m2, nhà 4 tầng, mặt tiền: 6.5m, giá: 2.4 tỷ + Nhà đẹp, mới, nở hậu, chủ tâm huyết tự xây kiên cố, chắc chắn + Nội thất sang trọng, đầy đủ công năng + Vị trí nhà trung tâm thị trấn huyện, gần các toà nhà cao tầng của các khu đô thị, siêu thị, trường học các cấp, các cơ quan ban ngành huyện. Tiện ích bao quang không thiếu gì + Vì chủ đầu tư quá tay vào 1 dự án lớn, cần thêm vốn nên muốn bán luôn giá rẻ, giá nào cũng bán. + Sổ đỏ nét, sẵn sàng giao dịch. Liên hệ: Mrs . Bích Phượng: 0915568218 / 0834081167",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781469.3721588, 4,,,
"22,9 tỷ VNĐ",Vạn Bảo Ba Đình Hà Nội, 58m2, 5,"- Diện tích 58m2 X6 Tầng, Mặt tiền 5.9mGiá bán 22.9 tỷ( có thương lượng )- Vị trí nằm ngay mặt ngõ to rộng ô tô tránh đỗ, cách 1 nhà ra phố, kinh doanh, khu vực hiếm nhà bán,. - Nhà thiết kế 6 tầng - Tầng 1, 2: Thông sàn- Tầng 3, 4: Mỗi tầng 2 phòng- Tầng 5 : phòng thờ!- Tầng 6 : sân vườn, tiểu cảnh, sân phơi rộng. - Giao thông đi lại thuận tiện- Khu dân trí cao, an ninh đảm bảo!- Sổ đỏ chính chủ pháp lý chuẩn sẵn sàng giao dịch!Liên hệ em Quân để được tư vấn và xem nhà miễn phí!0385 94 1802!Miễn ( TG Quảng Cáo )",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781471.7347953, 6, 4,, 4
"3,15 tỷ VNĐ","Đường Tôn Thất Tùng, Khương Thượng, Đống Đa", 35m2, 3,"+ Cần bán gấp nhà phố Tôn Thất Tùng - Khương Thượng - Đống Đa. Diện tích: 35m2 - 4 tầng - mặt tiền 3.5m. Khu dân trí cao, an ninh tốt. + Vị trí đẹp, ngõ thông 354 Trường Chinh, trước nhà rộng SH quay đầu. Khu vực tiện ích đầy đủ, gần trường học, chợ, bệnh viện ĐH Y, hồ điều hòa, ngân hàng, TTTM, bãi đỗ xe. + Giao thông thuận tiện kết nối phố Tôn Thất Tùng - Trường Chinh - Lê Trọng Tấn - Phạm Ngọc Thạch - Chùa Bộc - Đông Tác - Khương Thượng. + Nhà chủ tự xây 4 tầng khung cột chắc chắn, thiết kế cầu thang cuối, tổng 3 phòng ngủ, đầy đù công năng. + Sổ đỏ chính chủ sẵn sàng giao dịch. + Giá: 3.15 tỷ ( thương lượng ). Liên hệ Mr Liệu để xem nhà miễn phí, làm việc chính chủ, miễn trung gian.",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781473.4838572, 4, 3, 3, 3
"14,2 tỷ VNĐ",Đường Láng Đống Đa Hà Nội, 87m2, 5,"- Diện tích 87m2 X5 Tầng, Mặt tiền 5.3mGiá bán 14.2 tỷ ( có thương lượng )- Vị trí đẹp, ngõ thông , ngõ rộng ô tô đỗ cửa. Xung quanh tiện ích vô vàn!- Nhà thiết kế hiện đại!+ Tầng 1 : phòng khách!+ Tầng 2 : phòng sinh hoạt chung!+ Tầng 3 : thiết kế 2 phòng!+ Tầng 4 : 2 phòng.+ Tầng 5 : phòng thờ, sân phơi.- Khu dân trí cao, an ninh đảm bảo!- Sổ đỏ chính chủ, pháp lý chuẩn!- Giao thông kết nối : Đường Láng, Cầu Giấy, Nguyễn Khang, Yên Hòa, Chùa Láng, Phoa Đài Láng!ACE có nhu cầu liên hệ em Quân để được tư vấn!0385 94 1802!Miễn ( TG Quảng Cáo )",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781475.7358253, 5, 4,, 4
"7,8 tỷ VNĐ","Lai Xá, Kim Chung, Di Trạch, Hoài Đức, Hà Nội.", 110m2, 9,"Chủ cần bán đất dịch vụ khu đô thị Hinode Royal Park Lai Xá, Kim Chung, Di Trạch, Hoài Đức, Hà Nội. + Diện tích: 110m2, mặt tiền: 9m, giá: 7.8 tỷ + Vị trí mảnh đất đẹp nhất khu vực, chia được làm 2 ô, gần QL 32, đường rộng đẹp, ô tô tránh vô tư, vỉa hè để xe thoải mái. + Xây trung cư mini, kinh doanh các loại hình siêu đỉnh. + Gần các khu đô thị bạn như Tân Tây Đô, Nam 32, Lideco, các trường đại học, siêu thị, chợ,…hưởng chọn mọi tiện ích của khu đô thị. + Chủ cần tiền bán gấp lên giá rất mềm + Sổ đẹp đẹp, giao dịch ngay. Liên hệ: Mrs . Bích Phượng: 0915568218 / 0834081167",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781477.5891645,,,,
"2,39 tỷ VNĐ","Đường Nguyễn Lương Bằng, Nam Đồng, Đống Đa", 25m2, 4,"+ Cần bán gấp nhà phố Nguyễn Lương Bằng - Nam Đồng - Đống Đa. Khu dân trí cao, an ninh tốt. + Vị trí đẹp, gần phố, ngõ thông thoáng. Tiện ích đầy đủ, gần trường học các cấp, bệnh viện Đống Đa, Hồ Đắc Di, cây xăng, TTTM, ngân hàng, chợ. + Giao thông thuận tiện kết nối phố Nguyễn Lương Bằng - Tôn Đức Thắng - Xã Đàn - Ô Chợ Dừa - Tây Sơn - Hồ Đắc Di - Trần Hữu Tước. + Nhà xây 5 tầng khung cột chắc chắn, thiết kế cầu thang cuối, tổng 3 phòng ngủ, đầy đủ công năng. + Giá: 2.39 tỷ ( thương lượng ). + Sổ đỏ chính chủ sẵn sàng giao dịch. Liên hệ ngay Mr Liệu để xem nhà miễn phí, làm việc chính chủ, miễn trung gian.",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781479.8843496, 5, 3, 3, 4
"4,7 tỷ VNĐ","Đường Phương Liệt, Phương Liệt, Thanh Xuân", 39m2, 5,"Nhà VIP Ô Tô Đỗ Cửa, Kinh Doanh Đỉnh K/V Ngã Tư Sở, Thanh Xuân, 41 m2 x 5t, Giá nhỉnh 4 tỷ. -> Khu Vực Quá Hiếm Phân Khúc Ô Tô Đỗ Cửa - Kinh Doanh Cực Đỉnh - Nhà Mới Xây Cực Chắc Chắc ------------------------------------ Rất nhiều loại hình kinh doanh bạn có thể áp dụng khi bạn là chủ căn nhà này, chẳng hạn bạn có thể kinh doanh đồ ăn sáng, tiệm Internet, tiệm Photocopy, buôn bán tạp hóa, bánh kẹo, các thiết bị, đồ dùng học tập, kinh doanh bãi gửi xe… + Diện tích: 41m2 x 5 tầng.+ Nhà xây 5 tầng với thiết kế design kiến trúc sư hàng đầu, ở luôn đón TẾT+ Nhà chủ mới xây rất chắc chắn và tâm huyết với 4 phòng ngủ sáng thoáng tối ưu công năng sử dụng. Kinh doanh cực đỉnh.+ Đường trước nhà rộng 3.8m, thông, thoáng đi khắp ngả, từ nhà ra phố chỉ vài bước chân rất thuận tiện.+ Ngõ thông sang Đầm Hồng, gần Vành đai 2.5 tương lại rạng ngời. Đây có lẽ là khu vực đang sống nhất ( chi phí Sinh Hoạt rẻ hơn 30% so với khu vực khác. ------------------------------------ Thiết kế :  + Tầng 1: Khách, bếp, vệ sinh  + Tầng 2,3: Mỗi tầng 1 phòng ngủ rộng+ vệ sinh khép kín.  + Tầng 4 : 2 phòng ngủ+ vệ sinh  + Tầng 5: Phòng thờ, sân phơi. ------------------------------------+ Vị trí tiếp giáp 3 Quận : Thanh Xuân, HBT và Hoàng Mai.+ Nhà đẹp, ở ngay, 5 tầng mới tinh, thiết kế thông sàn, mỗi tầng 1 phòng VIP, cầu thang, vệ sinh cuối. 
+ 2 bước siêu thị, 3 bước ra chợ+ Sổ đỏ phân lô, trước sau như 1, sẵn sàng giao dịch.+ Giá bán: nhỉnh 4 tỷ (có thương lượng). ---------------------------------------------------------------  MÔI GIỚI BẤT ĐỘNG SẢN THỔ CƯ  --------------------------------------------------------------- * Hỗ trợ miễn phí cho cả khách hàng chưa đủ tài chính mua nhà vay ngân hàng với lãi suất ngân ưu đãi chỉ từ 6%/năm trong 35 năm. * Hỗ trợ anh/chị check quy hoạch hoàn toàn miễn phí tại đúng vị trí căn nhà. * Miễn phí 100% tất cả các dịch vụ từ lúc đi xem nhà đến lúc mua được nhà. * Không làm mất thời gian của anh/chị. Mỗi lần dẫn anh/chị đi xem sẽ chọn 2 - 3 căn đẹp nhất từ nguồn hàng trên 40 ngàn căn của công ty. --------------------------------------------------------------- * Mua & Bán đất thổ cư chuyên nghiệp tại Hà Nội #batdongsan #batdongsanthocu #bannhahanoi #moigioinhadat * Hotline: 0967.806.438 * Địa chỉ: Tại Hà Nội - HCM * HN : Phương Liệt , Thanh Xuân , Hà Nội * HCM : Quận 10, Đường 3/2 Thành Phố ...
",01/01/2023,Tin thường,batdongsan_so_com_vn_1673781483.5329792, 5, 5, 6, 5
