price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số phòng ngủ,Số toilet,Số tầng
"2,5 tỷ VNĐ",Cổ Dương - Tiên Dương - Đông Anh - Hà Nội, 68.7m2, 5,"Cần bán nhanh lô đất 68,7m² Cổ Dương - Tiên Dương - Đông Anh, cách trục chính sân bóng 5m, đường thông.- Liên hệ: 0869 864 468Vị trí đất: Thôn Cổ Dương - Xã Tiên Dương - Đông Anh - Hà Nội.- Diện tích: 68,7m².- Mặt tiền: 5,5m.- Dài: 12,5m.Khổ đất vuông đét, mặt tiền rộng, Morning vào tận trong đất.- Cách trục chính sân bóng Cổ Dương chỉ 5m.- Cách trường Archimedes 200m.- Cách QL 23B 250m.- Cách đường Võ Nguyên Giáp 500m.- Cách TT hành chính huyện Đông Anh 1,5km.- Sổ đỏ chính chủ sẵn sàng giao dịch ngay.- Liên hệ Em Thắng 0869 864 468 để xem đất và chốt giá tốt nhất.",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788527.963418,,,,,
"6,5 tỷ VNĐ",Sáp Mai - Võng La - Đông Anh - Hà Nội, 135.5m2, 7,"Bán đất xây nhà trọ, kinh doanh Sáp Mai - Võng La - Đông Anh. Đường ô tô tránh. Tương lai là quy hoạch là mặt đường đối diện cổng C KCN Bắc Thăng Long.- Liên hệ: 0869 864 468Vị trí đất: Sáp Mai - Đông Anh - Hà Nội.- Diện tích: 135,5m².- Mặt tiền: 7,07m.- Đường trước đất 2 ô tô tránh nhau thoải mái.- Đất kinh doanh, xây nhà trọ đảm bảo dòng tiền hàng tháng. Tương lai quy hoạch mở đường là đất mặt đường KCN Bắc Thăng Long. Giá trị đất còn x2, x3 hiện tại.- Tiện ích:+ Cách chợ Sáp Mai 10m.+ Cách KCN Bắc Thăng Long 50m.+ Sổ đỏ chính chủ sẵn sàng giao dịch.",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788529.3686593,,,,,
400 triệu VNĐ,"Đường La Phù, La Phù, Hoài Đức", 40m2,,"Chính chủ tôi cần bán căn chung cư mini 2 ngủ 1 vệ sinh, cách Aoen Mail Hà Đông 3km, cách Vin Smart City 3km.  Căn hộ tầng 3, có thang máy căn góc, các phòng dều có cửa sổ.  Để lại toàn bộ nội thất như, giường, tủ bếp, máy giặt, điều hòa, hút mùi, bình nóng lạnh. .. giá 400 triệu Liên hệ: 0971 520 898 ",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788530.6592052, Đông nam, 1, 2, 1,
"3,062 tỷ VNĐ",Thôn Quảng Hội - Xã Quang Tiến - Sóc Sơn - Hà Nội, 125.2m2, 4,"Bán 125,2m² đất trục chính Quảng Hội - Quang Tiến - Sóc Sơn, Đất 2 mặt đường trước sau, 1 mặt đường là trục chính Quảng Hội rộng 10m, Mặt sau rộng 6m thông thoáng.Vị trí đất: Thôn Quảng Hội - Quang Tiến - Sóc Sơn.- Diện tích: 125,2m².- Mặt tiền = mặt hậu: 4,5m.- Đường to rộng đẹp 2 mặt đường trước sau đều 2 - 3 oto tránh nhau thoải mái.Cách Khu công nghiệp Nội Bài 2 km.Cách chục kênh Võ Nguyên Giáp kéo dài 200 m.Cách trung tâm thị trấn Sóc Sơn Sơn 2 km.Cách sân bay quốc tế Nội Bài 10 phút di chuyển.Về trung tâm hành chính Hà Nội 20 phút.- Sổ đỏ chính chủ sẵn sàng giao dịch ngay.",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788531.8230917,,,,,
37 tỷ VNĐ,"Đường Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng", 94m2, 6,"- Bán nhà mặt phố Trần Đại Nghĩa, HBT,HN- DT: 94m2 , MT:6m- Sổ đỏ vuông vắn, pháp lý đầy đủ.LH : em Dũng 0945676597",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788532.8383753,, 8,,, 4
37 tỷ VNĐ,"Đường Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng", 95m2, 6,"- Bán nhà mặt phố Trần Đại Nghĩa, HBT,HN- DT: 95m2 , MT:6,2m- Sổ đỏ vuông vắn, pháp lý đầy đủ.LH : em Dũng 0945676597",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788534.8989253,, 8, 4, 4, 4
900 triệu VNĐ,"Đường 19/12, Chương Dương Độ, Hoàn Kiếm", 132m2, 6,"Còn độc quyền 5 lô ngoại giao Trung tâm khu dân cư Phú Lộc giá tốt dành cho quý nhà đầu tư.  - Đầy đủ tiện ích: Điện đường trường trạm, uỷ ban trong bán kính 300m  - Vị trí đắc địa: Cách thị xã Buôn Hồ (sắp lên thành phố mới) chỉ 10km  Cách tuyến đường quốc lộ 29 kết nối đi khu kinh tế Nam Phú Yên chỉ 3p Cách tuyến đường huyết mạch QL14 kết nối các tỉnh Tây Nguyên chỉ 5p - Sổ đỏ từng nền, không tranh chấp, quy hoạch - Bao sổ, sang tên công chứng trong ngày - Diện tích: 6mx22m, 100% thổ cư - Giá chỉ: 899tr/nền Liên hệ 0335.944.400 để được tư vấn tốt nhất",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788536.2952218,, 1,,,
"6,2 tỷ VNĐ","Đường Thái Hà, trung liệt, Đống Đa", 37m2, 4,"Nhà chủ xây rất tâm huyết, chuẩn bị vào NAM cần bán GẤP, Khung cột chắc chắn thiết kế hiện đại, nhà mới đầy đủ nội thất về ở ngay, các phòng đều có ban công ở cực sướng, nhà thuộc phố Thái Hà sầm uất, nhà mặt ngõ thông rộng.Vị trí : vị trí đắc địa, khu dân trí cao, hàng xóm toàn dân văn phòng công chức rất hiền lành thân thiện, an ninh tuyệt đối, thông nhiều phố Lớn Hà Nội, Tiện ích ngập trànThông số : diện tích 37m, 6.2 tỷThiết kế nhà :- Tầng 1: Phòng khách + wc- Tầng 2 : Bếp + wc- Tầng 3,4,5 : Phòng ngủ + wcPháp Lý: Sổ luôn trong tình trạng giao dịchLiên hệE Vinh (Tư vấn & xem nhà miễn phí )",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788537.6555486,, 4, 3, 5, 5
9 tỷ VNĐ,"Đường Tây Thăng Long, Phùng, Đan Phượng", 200m2, 8,"Bán lô biệt thự ngoại giao dự án The Phoenix Garden, khu sinh thái cao cấp Đan Phượng. Dãy C7A, C8A, C4A, C18, C6A... Bán lô biệt thự ngoại giao dự án The Phoenix Garden, khu sinh thái cao cấp Đan Phượng. Dãy C7A, C8A, C4A, C18, C6A... Vị trí: Thị trấn Phùng, Đan Phượng, cách Mỹ Đình 10km theo Quốc Lộ 32, đường quy hoạch Tây Thăng Long, sát cạnh Vin Đan Phượng, tiềm năng tăng giá rất cao. Diện tích 200, 230, 217m2, mặt tiền 8.3m - 10m, biệt thự 3,5 tầng. Hướng Nam mát mẻ, đường rộng 13.5m. Hiện tại chỉ mới phải đóng tiền đất, vay ngân hàng được đến 85%. Giá bán cho khách đầu tư, ưu đãi cho khách thanh toán sớm. LH: 0909 61 3696 – Mr Ngọc Tuyền Thông tin chi tiết dự án Phoenix Garden tại địa chỉ: The Phoenix Garden Một số bất động sản khác giá đang tốt: Hinode Royal Park  Kosy Lita Hà Nam  ",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788538.9441018,, 12, 6, 5, 3
"34,5 triệu VNĐ","Đường Liên Hà, Đông Anh, Đông Anh", 99m2, 6,"Bán đất đấu giá Liên Hà Đông Anh (X7 Lỗ Khê) – Hạ tầng siêu đẹp Diện tích: 97.27m2 Mặt tiền: 6m Hai mặt thoáng, có lỗi thoát hiểm phía sau 3m  Vị trí đắc địa:  Đường trải nhựa 8m, vỉa hè rộng rãi đẹp lung linh  Đất đấu giá Liên Hà hai mặt thoáng – lối thoát hiểm phía sau rộng 3m  Bên cạnh là tổ hợp tiểu công viên, hồ điều hòa thôn  Ngay gần trường THPT Liên Hà, UBND xã Liên Hà  Khu vực nhiều dịch vụ cực sầm uất, xung quanh tiện ích ngập tràn Liên hệ em Linh DongAnhLand 0919841234 để xem đất thực tế và làm việc trực tiếp với chủ  sàn bất động sản Đông Anh Land Môi giới nhà đất Đông Anh Land",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788542.6713107,,,,,
9 ngàn VNĐ,"Đường Thái Thịnh, Thịnh Quang, Đống Đa", 52m2, 5,"+ Vị trí nhà 5 tầng phân lô VIP Phố Thái Thịnh sầm uất nhộn nhịp gần nhiều Trường Đại học, văn phòng...  + Thiết kế nhà xây mới 5 tầng đẹp long lanh thang máy hiện đại: + Tầng 1: Khách, bếp, WC. + Tầng 2, 3, 4: Mỗi tầng 2 phòng, WC, có ban công phòng trước và khe thoáng phòng sau. + Tầng 5: 2 sân phơi rộng. + Sổ đỏ chính chủ vuông đẹp phân lô. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7  ",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788545.4937603,, 4, 5,, 5
"8,5 tỷ VNĐ","Đường Hoàng Quốc Việt, Nghĩa Tân, Cầu Giấy", 45m2, 5,"- Phân lô Quân Đội - Ô Tô vào nhà - Nhà dân xây chắc chắn - Văn Phòng - Kinh Doanh - Nội thất gỗ lim đẳng cấp. - Ngõ 234 Hoàng Quốc Việt rộng, ô tô tránh chạy qua khu đô thị Nam Cường, sang Phạm Văn Đồng, Trần Cung. Nhà mình bán trong ngõ 234 thông các ngả có thể kinh doanh online hay làm Văn phòng đều được. Hàng xóm thân thiên dân trí cao, toàn là cán bộ Quân Đội - Chủ nhà Anh Lộc chuyển công tác cần bán nhà để chuyển đổi kế hoạch - Nhà thiết kế hiện đại, hợp lý đầy đủ công năng cho một gia đình đông người với 4 phòng ngủ rộng  - Tầng 1: Để xe, Văn phòng, bếp, vệ sinh.  - Tầng 2,3: 4 phòng ngủ + vệ sinh - Tầng 4: Phòng thờ, khu trồng cây và sân phơi   - Sổđỏ vuông vắn, sẵn sàng giao dịch  Liên Hệ chính chủ 0332999689 để xem nhà miễn phí, miễn tiếp môi giới",11/11/2022,Tin thường,batdongsan_so_com_vn_1673788546.925929,, 23, 3, 4, 4
