price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số phòng ngủ,Số toilet
4 tỷ VNĐ,"Thượng Thanh, Long Biên, Hà Nội", 41m2, 4, 4,"- Khu vực dân trí cao, tiện ích bạt ngàn an sinh đỉnh, đường to, ngõ rộng Ô Tô đỗ Cổng. + Nhà chủ mua tự xây được 3 năm móng cột bê tông cốt thép 5,6 tầng thỏa mái. Có bản vẽ thiết kế và GPXD xịn. - Thiết kế : Tầng 1 Kinh doanh, Khách, Bếp +WC Tầng 2+3 mỗi tầng 2 ngủ + WC Tầng 4 Phòng thờ + Sân Phơi rộng rãi. Tổng 4 ngủ, 3WC, khách ,bếp ban công sân phơi, sân thượng đầy đủ. - Có Điều Hòa các phòng, tủ bếp, đèn trần, Quạt trần, Bình NL..v.v chủ để lại cho khách. - Sổ Đỏ vuông vắn trước, cất két sang tên trong nốt nhạc.",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824227.031752,,,,
"5,6 tỷ VNĐ",Cầu Giấy - Hà Nội, 42m2,,,"BÁN NHÀ TT CẦU GIẤY - 6 TẦNG THANG MÁY - Ô TÔ ĐỖ - KINH DOANH ĐỈNH - NỞ HẬU.- Vị trí tuyệt vời , ô tô qua nhà thoải mái , khu vực kinh doanh cực kỳ sầm uất, xung quanh tiện ích bạt ngàn.- Thiết kế 6 tầng có thang máy , tầng 1 thông sàn kinh doanh.Liên hệ Mr. Tiến Hoàng -0976817296- tư vấn nhiệt tình tận tâm 24/7.",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824227.9812112,,,,
45 tỷ VNĐ,653 Tân Mai, 138m2, 7,,"Tôi cần bán mảnh đất đẹp nhất phố Tân Mai, đường 6 làn xe, đối diện chung cư K35 Bộ Quốc Phòng Sổ đỏ vuông vức, diện tích 138m2 Mặt tiền 7.6m Hướng Bắc Mảnh đất đã xin cấp phép xây dựng 8 tầng Giá bán 45 tỷ LH Tùng 0888.26.16.06 để nắm thêm thông tin mảnh đất",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824228.872827, Bắc, 27,,
"1,2 ngàn VNĐ","Tiến Xuân,Thạch Thất,Hà Nội", 78m2, 6, 1,"👉cạnh xanh villas đối diện với trường Thủy Lợi nằm trên trục Đại lộ Thăng Long👉Vị trí trung tâm, ngay ga đường sắt metro số 5 VingroupMặt tiền rộng 5.7m .6m, sẵn sổ 100% full thổ cư👉Giá chưa bằng 1/4 của khu đô thị Xanh Villas, tiềm năng tăng giá cực caoMua để kinh doanh, xây second home hoặc đợi tăng lãi vốn đều tốt- Nằm trong khu dân cư mới cách cao tốc Đại lộ Thăng Long khoảng 50m(Đứng ở khu đất có thể nhìn thấy được). Tuyến đường đang chuẩn bị xây dựng với kinh phí là hơn 8000 tỷ VNĐ.- Đối diện với làng đại học Quốc gia Hà Nội Hoà Lạc. Kế hoạch tháng 9/2022 có 1500 sinh viên đưa về học tập tại cơ sở Hoà Lạc. Năm 2025 sẽ có khoảng gần 40.000 giảng viên, sinh viên, chuyên gia về sinh sống, học tập và làm việc.- Ngay Ngã tư Miễu, Gần với các khu nghỉ dưỡng đẳng cấp: Xanh Villas Resort, Tiến Xuân Resort, Làng Văn hoá các dân tộc.👉Liên hệ ngay em Hùng :085.521.6669/038.750.7522(có Zalo) để nhận ưu đãi cực khủng.￼￼￼",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824230.0436954,, 8, 1, 1
100 triệu VNĐ/m2,Phường Nghĩa Tân, 52m2,,,"Cực Hiếm..Bán đất khu trung tâm Cầu Giấy 52m2, MT 3.5.m. Ô tô đỗ cửa. Giá nhỉnh 100tr/m2.+ Bán đất khu trung tâm Cầu Giấy  52m2, MT 3.5.m.Giá nhỉnh 7Tỷ. LH: 0962745289. Anh Đoàn.+ Vị trí đất đẹp, đường ô tô tránh đỗ trước cửa  kinh doanh đỉnh cao. + Đất vuông vắn, khu dân cư đông đúc kinh doanh buôn bán kinh doanh tấp nập, tiện ích miễn bàn.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7.     ",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824231.097874,,,,
4 tỷ VNĐ,Bùi Xương Trạch - Thanh Xuân, 50m2,,,"+Trung tâm quận Thanh Xuân, thông sang nhiều đường lớn.+Vị trí đắc địa, gần bện viện, trường học các cấp và chợ, dân trí cao, an ninh tốt.+Nhà chủ xây để ở, mới đẹp, đường trước nhà rộng 2.5m thông các ngõ, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824232.1919558,,,,
"22,5 tỷ VNĐ","Việt Hưng, Long Biên", 105m2,,,"-Siêu biệt thự nhà vườn nằm trong khu biệt thự đô thị Việt Hưng nơi được đánh giá đáng sống nhất Hà Nội hiện nay, không khí trong lành, an sinh cực đỉnh, nội thất 5 sao sang trọng đẳng cấp. -Tiện ích thì khỏi phải bàn. Chủ nhà dễ mến. Muốn bán cho khách mua có tâm. -Lh: Hữu Thuận, 0976683183. Hỗ trợ xem nhà miễn phí.",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824233.3688416,,,,
"17,4 tỷ VNĐ",Đường Lê Thanh Nghị phường Cầu Dền, 57m2, 4, 4,"Tôi có căn nhà mặt phố Lê Thanh Nghị, Hai Bà Trưng cần bán. Diện tích sổ đỏ 57m2, sổ đỏ vuông vắn, 4 tầng, thiết mỗi mỗi tầng 2p, hiện đang cho thuê cửa hàng bán điện thoại, phụ kiện. Vị trí nhà rất thuận tiện kinh doanh, vỉa hè rộng, gần các trường Đại học Bách Khoa, Xây dựng, Kinh tế, Mở, gần các BV lớn Bạch Mai, Thanh Nhàn, mật độ dân cư đông đúc dân văn phòng, sinh viên, buôn bán gì cũng thuận lợi, tiền tươi thóc thật. Nhà gần các tuyến phố Bạch Mai, Thanh Nhàn, Tạ Quang Bửu, Lê Thanh Nghị, Trần Đại Nghĩa, Địa Cồ Việt, Xã Đàn, Phương Mai, Giải Phóng, Trường Chinh, Đại La, Minh Khai, Lê Duẩn, Trần Khát Chân. Giá: 17.4 tỷ có thương lượng Ai quan tâm xin vui lòng liên hệ trực tiếp.",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824234.5815623,, 20, 4, 4
4 tỷ VNĐ,Khương Hạ - Thanh Xuân, 50m2, 5, 4,"+Trung tâm quận Thanh Xuân, thông sang nhiều đường lớn: Khương Đình, Nguyễn Trãi, Trường Chinh.+Vị trí đắc địa, 5 phút ra Ngã Tư Sở, gần bện viện, trường học các cấp và chợ Khương Trung.+Thiết kế nhà hiện đại, đường trước nhà rộng 2.5m thông các ngõ, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch. LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824235.7065468,,, 5,
35 triệu VNĐ/m2,"Đường Võ Chí Công, quận Tây Hồ, Hà Nội", 148m2,,,"
    Siêu Phẩm 4N Giá Chỉ 35tr/m2 Giá Đang Tốt Nhất Khu Vực Tây Hồ.
Nhân viên tư: 0977568223
- Địa chỉ: Tòa Udic Westlake đường Võ Chí Công, phường Phú Thượng, Tây Hồ, Hà Nội
- Diện tích: 148m2 thông thủy, 4 phòng ngủ, 2 vệ sinh, 1 phòng khách, 1 bếp, 2 ban công
- Cửa Đông nam, Ban công hướng Tây bắc
- Tầng 6, view nội khu
- Tiện ích: Đối diện Lotte Mall, 00m, nằm trên mặt đường Võ Chí Công, cách bệnh viện Tim 500m. Siêu thị Winmat, trường mầm non, bể bơi 4 mùa trong nhà
- Sổ hồng vĩnh viễn
- Bàn giao gồm: Nóng lạnh, Điều hòa, Tủ bếp, Sàn Gỗ, Trần thạch cao, Hút mùi, Thiết bị vệ sinh, Thiết bị điện
- Giá bán: 5 tỷ 240 triệu
Lh em Vân Anh: 0977568223
",19/05/2022,Tin thường,batdongsan_so_com_vn_1673824236.885435, Đông nam,, 4, 2
