price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Lộ giới,Hướng
42 tỷ VNĐ,Tây Nam Linh Đàm Hoàng Mai Hà Nội, 200m2, 10, 4, 4, 4,"- Diện tích 200m² X4 tầng, mặt tiền lô góc 10m.Giá chào 42 tỷ ( có thương lương )- Vị trí đắc địa - đường rộng phân lô bàn cờ 20m - vỉa hè 3m.- Biệt thự tại Tây Nam Linh Đàm nằm trong khu vực nội khu siêu hiếm và hot!-Tầng 1: gồm tiểu cảnh bể cá coi, sân vườn rộng. Phòng khách rộng cầu thang giữa- Tầng 2 chia đôi phòng phòng ngoài rộng rãi khép kín toàn bộ.- Tầng 3 thiết kế giống tầng 2 phù hợp văn phòng công ty.- tầng 4 phòng thờ.Đẳng cấp khách sạn 5 sao theo phong cách châu âu. Toàn bộ đồ  trong nhà toàn loại gỗ quý hiếm. - Chủ tặng lại full nội thất.Chủ mới chỉ cần xách vali vào ở!- Sổ đỏ chính chủ pháp lý chuẩn sẵn sàng giao dịchliên hệ em Quân để được tư vấn và xem nhà0385 94 1802Miễn ( TG Quảng Cáo )",03/12/2022,Tin thường,batdongsan_so_com_vn_1673784847.4867156,,
2 tỷ VNĐ,"Đường Bát Khối, Long Biên, Long Biên", 31m2, 4, 3, 2, 3,"Bán nhà 3 tầng Bát Khối Dt31, Mt 4m, giá nhỉnh 2 tỷ. NHÀ DÂN XÂY- NGÕ NÔNG - GẦN NHIỀU TIỆN ÍCH- LỰA CHỌN NHÀ 🏘️ Nhà dân xây chủ chia 2 căn, hiện đã tách 2 sổ đỏ riêng, chủ đã sơn sửa đẹp vẫn còn sử dụng tốt. Chủ xác định bán đất, khách đầu tư mua cả 2 căn về đập đi xây 2 căn nhà thương mại đẹp tuyệt vời. 🏘️ Ngõ nông thông các ngõ . Gần nhiều tiện ích, chợ, trường học các cấp, cầu Vĩnh Tuy, trung tâm thương mại Aeon LH:Giang Bất động sản: Chuyên thổ cư , Đất nền, Chung cư, Tư vấn phong thủy, Hỗ trợ ngân hàng. Hỗ trợ thiết kế nhà.  Tuyển dụng đào tạo Bất Động Sản chuyên nghiệp. Nhận mua bán, ký gửi nhà.2235/03541/1240 #Baccau Telegram, Zalo: 0934035888 https://t.me/batdongsantc",03/12/2022,Tin thường,batdongsan_so_com_vn_1673784848.6535943, 2,
45 tỷ VNĐ,"lạc long quân, xuân la, Tây Hồ", 360m2, 12, 4, 8, 8,"+ BIỆT THỰ ĐẲNG CẤP TT CÁCH HỒ TÂY 300M VỊ TRÍ VÀNG  . _ KHAI THÁC DÒNG TIỀN  CHO THUÊ KHÁCH SẠN_ Home TÂY, VĂN PHÒNG, CTY KINH  DOANH GI CŨNG ĐỈNH.+ Tiếp Giáp   phố Lớn Quận TÂY HÔ _ AN DƯƠNG VƯƠNG - TRÍCH SÀI _ THỤY KHUÊ_HOÀNG HOA THÁM. + Trước nhà Thoáng rộng cả chục  chiếc ô tô đỗ thoải mái . + BIỆT THỰ 4 mặt thoáng  hiện  chủ xác định  bán  nên lấy lại để đó chờ khách yêu thương.  + Thiết kế khung cột kiên cố . + Tầng 1 - SÂn vườn _ khách +2 phòng + 1 phòng mater rộng+ wc + Tầng 2 - 3  mỗi tầng 2 phòng + 1 phòng to tổng 6p + wc  + tầng 4  phòng thờ .+ sân Thượng + Sổ đỏ chính chủ Chờ giao dịch. + AC quan tâm zalo em Đỗ Hạnh ; 0845 790 555 hoặc 0911 206 189 thanks AC.",03/12/2022,Tin thường,batdongsan_so_com_vn_1673784849.8065512, 8,
"2,9 tỷ VNĐ","Đường Quan Nhân, Nhân Chính, Thanh Xuân", 32m2, 4, 4,,,"+Chính chủ cần bán nhà Phố Quan Nhân, Quận Thanh Xuân, diện tích 32m2 x 4 tầng giá yêu thương 2,9 tỷ. + Nhà chủ xây tâm huyết, Nội thất đẹp. + Khu vực phát triển kinh điển, giao thông thuận tiện, dân trí cao, an ninh tốt.  + gần trường học, và các tiện ích. + Nhà đẹp, thiết kế hiện đại: - Tầng 1: để xe và bếp ăn. -Tầng 2+3. phòng ngủ rộng đẹp. - Tầng 4: phòng thờ và sân phơi. + có thể lên thêm tầng và cải tạo thành nhiều phòng cho thuê. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",03/12/2022,Tin thường,batdongsan_so_com_vn_1673784850.9764235, 3,
75 tỷ VNĐ,Vũ Hữu Lợi Haii Bà Trưng Hà Nội, 133m2, 6,,,,"- Diện tích 133m2 X3 tầng! Mặt tiền 6.5m Giá bán 75 tỷ ( có thương lượng ) - Vị trí nhà mặt phố, mặt tiền rộng, kinh doanh sầm uất nhiều loại hình! - Phố Vũ Hữu Lợi dài khoảng 100m nối tuyến phố Yết Kiêu - Lê Duẩn, mảnh đất phố cổ còn sót lại trung tâm Hà Thành. - Hiện trạng nhà 3 tầng, chủ xác định bán đất!  - Khách mua về phù hợp xây toà nhà văn phòng hoặc khách  sạn vừa ở vừa kinh doanh rất đông khách!  - Sổ đỏ chính chủ vuông đẹp sẵn sàng giao dịch! Liên hệ em quân để xem nhà 0385 94 1802 Miễn ( TG Quảng Cáo )",03/12/2022,Tin thường,batdongsan_so_com_vn_1673784852.0885623,,
"3,95 tỷ VNĐ","Đường Lê Duẩn, Trung Phụng, Đống Đa", 35m2, 4, 4, 4, 4,"Thông tin chuẩn 100%, Lô góc – Ngõ thông, rộng, thoáng – Ba gác qua nhà – Gần Hồ Ba Mẫu– Dân trí cao. -Nhà Phố Lê Duẩn, Hồ Ba Mẫu, Đống Đa, Diện tích 35m2 x 4Tầng, 4Ngủ, Đủ Công năng.  -Vị trí đắc địa, Gần Hồ Ba Mẫu, Lô góc, Ngõ rộng, thông các hướng, Ba gác qua nhà. -Khu dân trí cao, An ninh tốt ,Chủ nhà là giảng viên trường Bách Khoa, xây tâm huyết, bán rất tiếc.. -Khu vực tiện ích ngập tràn: Ngay Hồ Ba Mẫu, Công Viên Thống Nhất, Trường ĐH Bách Khoa… -Chủ xây tâm huyết, chắc chắn. Lô góc, các phòng đều thoáng sáng, không khí lưu thông. -Sổ đỏ chính chủ,vuông đẹp, sẵn sàng giao dịch, công chứng, sang tên. -Giá chỉ 3.95 Tỷ (có thương lượng với khách thiện chí) Gọi ngay cho Tôi, Mr Nguyễn Tuấn – 24/7, nhiệt tình, tận tâm để đi xem nhà ngay.",03/12/2022,Tin thường,batdongsan_so_com_vn_1673784853.4628882, 2,
"3,8 tỷ VNĐ","Đường Phạm Văn Đồng, Đông Ngạc, Bắc Từ Liêm", 86m2,,,,,"CHÍNH CHỦ CẦN BÁN CĂN HỘ 86M2 TÒA S2 SUNSHINE CITY - LHCC: 0366363288  - Địa chỉ: Khu Đô Thị Nam Thăng Long, Bắc Từ Liêm, Hà Nội - Diện tích: 86m2  - Giá bán: 3,8 tỉ ( có thương lượng với khách thiện chí )  - Vị trí đẹp, tầng thấp, view thoáng, tiện tích ngập tràn - Thiết kế sang trọng, hiện đại gồm:  2 ngủ +2 wc+ 1 phòng đa năng - Pháp lý chuẩn, sổ đỏ chính chủ, sẵn sàng giao dịch  - Giao thông thuận tiện, dân cư đông đúc, dân trí cao, an ninh tốt, không gian thoáng mát  - Khách liên hệ trực tiếp: 0366363288 ( làm việc chính chủ )",03/12/2022,Tin thường,batdongsan_so_com_vn_1673784854.5110838, 15,
"1,85 tỷ VNĐ","Ngõ 44 Thương Phúc, Tả Thanh Oai, Thanh Trì", 53m2, 4,,,,"Bán đất thổ cư sổ đỏ 53m2 thôn Thượng Phúc, xã tả Thanh oai, Thanh Trì, Hà Nội. Đất nguyên thổ lâu đời chắc chắn, mặt tiền 4m hướng Bắc, ngõ rộng xe ô tô tải nhỏ ra vào, khu vực dân cư đông đúc, tiện chợ, vị trí gần Khu đô thị Thanh Hà Cienco 5, cách KĐT Đại Thanh - Cầu Tó 4km",03/12/2022,Tin thường,batdongsan_so_com_vn_1673784855.594185, 3, Bắc
"6,4 tỷ VNĐ","Đường Trương Định, Trương Định, Hai Bà Trưng", 48m2,, 5, 10, 10,"- Bán CCMN trên phố Trương Định, HBT , Gần các tuyến phố Bạch Mai, Minh Khai, Đại La. - Gần nhiều trường Đại Học danh tiếng như ĐH Bách Khao, ĐH KTQD, ĐH Xây Dựng, Tiện ích bạt ngàn. - CCMN có 9 phòng ngủ, đã full khách, dòng tiền 40tr/ tháng.  - Nhà mới xây, khai thác ít nhất 20 năm nữa. - Đầu tư quá hời vào thời điểm hiện tại, tính ra giá đấ đã rẻ, dòng tiện lại quá tốt so với đầu tư ban đầu. - Giá chỉ 6,4 tỷ ( quá rẻ)  Liên hệ : em Dũng 0945676597 ",03/12/2022,Tin thường,batdongsan_so_com_vn_1673784856.6503582, 2,
"7,5 tỷ VNĐ","Đường Việt Hưng, Phường Việt Hưng, quận Long Biên, Hà Nội", 42m2,, 4, 3,," Bán Nhà Việt Hưng, Long Biên 42m2,4T, giá 7,5 tỷ( nhà đẹp, ngõ ôtô tránh, ôtô vào nhà)  +Tầng 1: ga ra ô tô và phòng kho. + Tầng 2: bếp + 1 phòng khách, 1wc + Tầng 3: 2 phòng ngủ + 1wc  + Tầng 4: 1 phòng ngủ, phòng thờ + sân phơi - Nhà đẹp thiết kế, xây dựng chắc chắn, phía trước nhà ngõ ô tô  tránh nhau, kinh doanh sầm uất, xung quanh các tổ hợp dịch vụ kinh doanh sầm uất ngày đêm.. Thuận tiện kết nối các tuyến phố như Vũ Đức Thận, Lệ Mật, Hoa Lâm, Ô Cách, Trường Lâm, Ngô Gia Tự, KĐT Việt Hưng…bán kính không xa là Big C Long Biên… Lh ngay Mr Tùng : 0965 722 358",03/12/2022,Tin thường,batdongsan_so_com_vn_1673784857.8990173,,
