price,address,Diện tích,Mặt tiền,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số phòng ngủ,Số toilet
"3,7 tỷ VNĐ",Đức Giang, 49m2, 5, 4,"Vị trí đẹp, thông sang Thượng Thanh, Nam Đuống, Ngô Gia Tự +Thiết kế: Theo phong cách hiện đại, tối ưu sử dụng trên diện tích đất 50m2: Tầng 1 : sân trước để xe + phòng khách + bếp và phòng ăn Tầng 2 : 2 phòng ngủ + 1 vệ sinh khép kín Tầng 3 : 2 phòng ngủ + 1 vệ sinh khép kín Tầng 4 : sân vườn, giàn phơi và mái + Đường ngõ 2.5m, mặt tiền nhà 5.5m cách đường lớn ô tô 35m, cạnh sân kho tổ dân phố đỗ ô tô thoải mái. Phù hợp gia đình trẻ, 4-6 người + Đặc biệt: chủ nhà tặng full nội thất + Sổ đỏ chủ, ss giao dịch. Lh Mr Trác: 0965492571 để được tư vấn miễn phí  ",12/05/2022,Tin thường,batdongsan_so_com_vn_1673825099.343155,,,,
"9,5 tỷ VNĐ",Văn Quán, 52m2, 4, 4,"- Nhà nằm trên con phố Văn Quán 1 đầu giao với đường 19/5, 1 đầu giao với đường chiến thắng, cách mặt phố chiến thắng 1 dãy nhà, nhà 2 mặt đường cực thoáng, ô tô đỗ ngày đêm, kinh doanh cho thuê văn phong hay ở đều rất tốt, tiện ích xung quanh bạt ngàn.- Nhà được thiết kế 4 tầng với đầy đủ công năng với 4 ngủ, khách, bếp, 3 vệ sinh, phòng thờ, sân phơi.- Diện tích: 52m 4 tầng.- Mặt tiền: 4m- Hướng : Tây Nam.- Giá : 9.5 tỷ( có thương lượng)- Sổ đỏ phân lô, chính chủ.- Ace quan tâm liên hệ trực tiếp cho Nguyên Anh: 0819508701(Zalo/fb/sms) để được tư vấn, xem nhà miễn phí và tiết kiệm thời gian.",12/05/2022,Tin thường,batdongsan_so_com_vn_1673825100.7463973, Tây nam, 12, 4, 3
"7,5 tỷ VNĐ",Đường Nguyễn Ngọc Vũ phường Trung Hòa, 45m2, 4, 4,"Cực hót. Bán nhà chính chủ Nguyễn Ngọc Vũ, Cầu Giấy 45m2- Lô Góc Ô Tô Kinh Doanh. Hơn 7 tỷ. + Bán gấp trong tuần căn nhà Nguyễn Ngọc Vũ , vị trí cực đắc địa mặt ngõ thông sang phố Hoàng Ngân, Lê Văn Lương, trước nhà kinh doanh sầm uất, gần chợ, hồ điều hoà, ô tô vào nhà, bãi ô tô cách nhà 10m, ngõ thông tứ tung.- Nhà xây 4 KCBT cực chắc chắn, đủ công năng vừa ở vừa kinh doanh cực đỉnh.- Sổ đỏ chính chủ, giao dịch nhanh.Lh tôi Diện 0963909350 hỗ trợ AC mua được giá tốt nhất.",12/05/2022,Tin thường,batdongsan_so_com_vn_1673825101.9980497,, 3, 4, 4
"2,2 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 46m2, 4,,"👉 SIÊU RẺ 2.2 TỶ có 46 M2 ĐẤT - KHÔNG LỖI PHONG THỦY, KHÔNG DÍNH QUY HOẠCH❗_ Ngọc Thụy ( trong Đê)__ Long Biên _ 🔸Diện tích 46 m2 Đất, Mặt tiền 4.6 m.🔸Bán gấp chỉ 2.2 tỷ . Mô tả :Vị trí Đất ngõ 30 Ngọc Thụy xung quanh rất nhiều tiện ích.Gần công viên, gần TTTM MiPec, 5 phút sang đến Bờ Hồ.🔸Thửa đất bán vuông như tờ A4 hiện có nhà C4 ở tốt, mặt tiền rộn.Ô tô cách 30m. Gần đất là dự án mở đường to và trường học tiền năng mảnh đất tăng rất cao.+ Sổ đỏ chính chủ pháp lý rõ ràng giao dịch ngay.",12/05/2022,Tin thường,batdongsan_so_com_vn_1673825104.1095023,,,,
"4,6 tỷ VNĐ",quang trung, 32m2, 3, 4,"+Bán nhà , Bế Văn Đàn, Hà Đông ô tô, kinh doanh 32m2 x 4 tầng, mặt tiền 3.2m. Giá 4.6 Tỷ. VỊ TRÍ TRUNG TÂM HÀ ĐÔNG - Ô TÔ ĐỖ CỬA - THUẬN TIỆN Ở VÀ LÀM VĂN PHÒNG KINH DOANH + Vị trí trung tâm hà đông cách 50m ra phố Bế Văn Đàn, ngõ rộng ôtô đỗ cửa thuận tiện di chuyển + Tiện ích xung quanh đầy đủ: Gần chợ, trường học đoàn kết, ngay cạnh hệ thống bệnh viện đa khoa hà đông, ... + Nhà xây kiên cố bê tông cốt thép chắc chắn. +Thiết kế 4 tầng. - Tầng 1: Phòng khách, bếp - Tầng 2,3: Mỗi tầng 2 phòng ngủ + wc - Tầng 4: Phòng thờ, sân phơi. + Sổ đỏ cất két sẵn sàng giao dịch.  LH E Khánh: 0984568179",12/05/2022,Tin thường,batdongsan_so_com_vn_1673825105.7601366,,, 4, 3
,Vũ Tông Phan-Khương Đình-Thanh Xuân, 37m2, 5, 5,"+Nhà nằm ở vị trí trung tâm quận Thanh Xuân, tiện ích bạt ngàn.+Vị trí nhà cách đường lớn 30m, ngõ rộng thông thoáng.+Nhà đẹp mới toanh, khách mua xách vali về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch.LH: Mr. Hoan, 0925088355, Chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7. ",12/05/2022,Tin thường,batdongsan_so_com_vn_1673825106.856204,,,,
"4,75 tỷ VNĐ",Hà Huy Tập, 54m2, 4, 3,"- Thiết kế : Tầng 1: Kinh doanh( PK), bếp, WC. Tầng 2: 2 PN, WC. Tầng 3: Phòng thờ, Sân phơi. + Lên thêm tầng, sửa thêm được PN. + Khu vực kinh doanh sầm uất, phố Hà Huy Tập nằm trên trục giao thông huyết mạch Hà Nội - Bắc Ninh - Thái Nguyên. + Nhà rất Lộc, chủ làm ăn phát đạt nhiều đất đai + Sổ đỏ chính chủ sẵn sàng giao dịch. Lh Mr Trác: 0965492571 để được tư vấn miễn phí  ",12/05/2022,Tin thường,batdongsan_so_com_vn_1673825108.3402894,,,,
"5,95 tỷ VNĐ","Phố Cù Chính Lan , Khương Trung, Thanh Xuân, Hà Nội", 50m2, 5, 5,"Bán nhà Phố Cù Chính Lan, Quận Thanh Xuân, KHU PHÂN LÔ QUÂN ĐỘI -  TRUNG TÂM THANH XUÂN - Ô TÔ . Mô tả:  +  Nhà 50m2, 5 tầng,  mặt tiền 5m, mỗi tầng 2 phòng + Sổ đỏ chính chủ sẵn sàng công chứng sang tên luôn. + Chủ nhà đang cần bán gấp giá 5.95tỷ.  Gọi ngay cho tôi 24h/7 Mr. Hồng Hải – 0961771396 + Cam kết thông tin và hình ảnh đúng 100% .",12/05/2022,Tin thường,batdongsan_so_com_vn_1673825109.5540006,,,,
,"Cần bán gấp siêu phẩm duy nhất có 1 không 2 tại Sóc Sơn, 0979008113", 85m2,,,"Cần bán gấp siêu phẩm duy nhất có 1 không 2 tại Sóc Sơn, 0979008113  - DIỆN TÍCH: 5*17 (85m2), Nhà 3 tầng 1 tum xây mới 100% năm 2021, nhà có kết cấu móng 7 tầng và có chờ thang máy, trần thạch cao, hệ thống đèn điện hiện đại  - PHÁP LÝ: Sổ đỏ chính chủ  - VỊ TRÍ ĐẮC ĐỊA :Mặt đường QL3, Phố Nỷ,Trung Giã, Sóc Sơn, HN. Gần khu dân cư đông đúc, cách chợ Nỷ 300 m, cách UBND 200m, Cách Cty yamaha 500m. gần đường vào GA Trung Giã và Khu TDC  - LỢI THẾ: Nhà hướng đông nam mát mẻ và phù hợp để ở và kinh doanh :văn phòng , Spa ... - Tiềm năng lớn: BĐS có thể tăng giá theo tình hình chung của khu vực, đảm bảo sinh lời cao  -GIÁ THƯƠNG LƯỢNG: Bao phí sang tên và ưu đãi cho AC có thiện chí mua sớm và công chứng sớm vì chủ nhà đang kẹt tiền AC HÃY LH NGAY VỚI CHỦ NHÀ 0979008113       http://www.sanbatdongsanviet.com.vn",12/05/2022,Tin thường,batdongsan_so_com_vn_1673825110.6710134,,,,
"11,6 tỷ VNĐ",253 Hoàng Hoa Thám, 81m2, 6, 5,"  Tôi cần bán nhà phố Hoàng Hoa Thám với thông tin như sau: Nhà nằm gần ngã ba Hoàng Hoa Thám – Văn Cao, cách 1 nhà ra mặt phố, sau quy hoạch mở đường Hoàng Hoa Thám sẽ ra mặt phố. Diện tích sổ đỏ 81m2, mặt tiền 6.15m, thửa đất vuông như bánh chưng Nhà hướng Đông Xây dựng 5 tầng với thiết kế và nội thất phong cách Châu Âu Giá bán 11.6 tỷ Liên hệ Tùng 0888.26.16.06",12/05/2022,Tin thường,batdongsan_so_com_vn_1673825111.9585707, Đông, 12, 3, 4
