price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Hướng
"7,7 tỷ VNĐ",Kim Giang, 73m2, 7, 4, 4, 3,"Bán nhà Kim Giang, Hoàng Mai, 4 tầng, 4 ngủ, ngõ to ô tô vào nhà, 75m giá 7.7 tỷ. Nhà vừa ở vừa kinh doanh, Cách Cầu Lủ 200, gần chợ, trường mầm non, giao thông thuận tiện ra ngã Tư Sở 8 phút, cách bệnh viện Y Học Cổ Truyền; Cách Viện U Bướu Phóng Xạ; cách bệnh viên Bưu Điện 1,8 km, ngay gần KĐT Linh Đàm, KĐT Định Công, Vành đai 3 Nguyễn Xiển 5 phút. Gần bến xe Giáp Bát, Bến xe Nước Ngầm Ngõ to, đẹp, ô tô tránh thông thương các ngả, cách mặt phố hơn 20m. Nhà 4 tầng, Nhà xây bê tông cốt thép chắc chắn, thêm thùng sơn là lại như mới, đầy đủ công năng sử dụng. Tầng 1: chỗ để xe + phòng khách + bếp Tầng 2,3: 4 ngủ + WC Tầng 4: phòng thờ + sân phơi. Nhà hiện đang cho thuê kinh doanh.     + Sổ đỏ vuông, chính chủ cất két, sẵn sàng giao dịch ngay. Xem nhà miễn phí gọi ngay : Mr Học : 0943.513.555 (Miễn trung gian). #chinh_chu_ban_nha_kim_giang #chinh_chu_ban_nha_dinh_cong #chinh_chu_ban_nha_hoang_mai #ban_nha_so_do_kim_giang #ban_nha_tho_cu_kim_giang",19/09/2021,Tin thường,batdongsan_so_com_vn_1673829405.7222724,,
"11,8 tỷ VNĐ",Kim Giang, 69m2, 15, 3, 3, 3,"Nhà ở khu phố sầm uất, công năng cao, vừa ở vừa kinh doanh riêng biệt Vỉa hè to vườn hoa đối diện,  3 mặt tiền trước, sau và bên hông. Trước mặt phố, bên hông và phía sau oto dừng đỗ thoải mái. Vị trí đắc địa gần trường mầm non, cách trường  tiểu học, trường trung học cơ sở 800m, giao thông thuận tiện ra ngã Tư Sở 5 phút, Cách Viện U Bướu Phóng Xạ 200m; cách bệnh viên Bưu Điện 1,5 km, ngay gần KĐT Linh Đàm, KĐT Định Công, Vành đai 3 Nguyễn Xiển 3 phút đi bộ. Khuôn đất đẹp, thích hợp xây tòa 7 tầng là vô địch nhất phố. Sổ 69m, từ tầng 2 đua thành 90m. + Tầng 1 mặt trước cho thuê , mặt sau chủ bán cafe. +  Tầng 2 là phòng khách, bếp và 1 phòng ngủ, + Tầng 3 gồm 2 phòng ngủ. +  Trên cùng là sân. + Sổ đỏ chính chủ cất két, sẵn sàng giao dịch ngay. Liên hệ chính chủ : Mr Học : 0943.513.555 (Miễn trung gian). #chinh_chu_ban_nha _mat_pho #chinh_chu_ban_nha_dinh_cong #chinh_chu_ban_nha_hoang_mai #ban_nha_so_do_kim_giang #ban_nha_tho_cu_kim_giang",25/09/2021,Tin thường,batdongsan_so_com_vn_1673829407.0686705, 3,
,"Định Công, Hoàng Mai, Hà Nội", 66m2, 15, 4,,,"Nhà ở khu phố sầm uất, công năng cao, vừa ở vừa kinh doanh riêng biệt Vỉa hè to,  2 mặt thoáng.  Phía trước mặt phố, bên hông mặt ngõ 2 xe máy tránh lên rất thoáng. Vị trí đắc địa gần Cầu Đinh Công, giao thông thuận tiện ra linh Đàm 1 phút, cách bệnh viên Bưu Điện 1 km, ngay gần KĐT Định Công, Vành đai 2,5 đang triển khai rầm rộ lên rất tiềm năng. + Nhà 4 tầng 1 tum xây đã lâu nhưng còn rất chắc chắn, khách mua chỉ cần sửa sang nhẹ là lung linh vô cùng. Chủ thiện chí muốn bán để đầu tư kinh doanh, xác định bán đất tặng nhà cho khách thiện chí. + Sổ đỏ chính chủ cất két, sẵn sàng giao dịch ngay. Liên hệ chính chủ : Mr Học : 0943.513.555 (Miễn trung gian). #chinh_chu_ban_nha _mat_pho #chinh_chu_ban_nha_trinh_dinh_cuu #chinh_chu_ban_nha _pho_hoang_mai #ban_nha_so_do_trinh_dinh_cuu #ban_nha_tho_cu_ trinh_dinh_cuu",30/09/2021,Tin thường,batdongsan_so_com_vn_1673829408.9925222, 6,
"1,6 tỷ VNĐ","Khương Đình, Thanh Xuân,", 88m2, 15, 1,,,"Vi trí Siêu hiếm 2 mặt  kinh doanh đều đươc . 1 mặt phố vỉa hẻ rất rộng, 1 mặt ngõ to  ô tô tránh. Khu phố sầm uất, công năng cao, vừa ở vừa kinh doanh. Vỉa hè to Khu phố kinh doanh tấp lập phù hợp để kinh doanh mọi loại hình. Vị trí: Nhà nằm vị trí đắc địa nhất tuyến phố, lô góc một mặt phố và một mặt ngõ to lợi thế kinh doanh được cả 2 mặt, hưởng chọn 2 bên vỉa hè, giao thông thuận tiện, tiện ích miễn bàn đầy đủ từ A - Z. + Vị trí đất đẹp, thích hợp xây tòa 7 tầng là vô địch nhất phố. + Sổ đẹp, Nở hậu + Nhà cấp 4 xác định bán đất.  + Sổ chính chủ cất két, sẵn sàng giao dịch ngay. Liên hệ chính chủ : Mr Học : 0943.513.555 (Miễn trung gian). #chinh_chu_ban_nha _mat_pho #chinh_chu_ban_nha_pho_khuong_dinh #chinh_chu_ban_nha_mat_ pho_khuong_dinh #ban_nha_so_do_khuong_dinh #ban_nha_tho_cu_khuong_dinh",01/10/2021,Tin thường,batdongsan_so_com_vn_1673829411.6391475, 4,
"3,4 tỷ VNĐ",triều khúc, 32m2,,, 5, 5,"- Chủ bán gấp cần tiền để đầu tư kinh doanh. - Diện tích: 32m2, 5 tầng. - Nhà cách vài bước chân ra Ô tô, trước nhà xe ba gác tránh. - Ngõ thông , thoáng, sạch sẽ. - Nhà gần chợ, trường học, thuận tiện đi lại, công việc. - Giao thông thuận tiện, an ninh đảm bảo. - Giá 3.4 tỷ thương lượng trực tiếp với chủ nhà. - Sổ đỏ chính chủ giao dịch trực tiếp. - Liên hệ em Thảo chuyên thổ cư Hà Nội.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829414.164533,,
"2,5 tỷ VNĐ","Thôn Dền - Di Trạch, Hoài Đức", 48m2,,,,,"BÁN ĐẤT 2 MẶT THOÁNG, Gần đường 32 DI TRẠCH/HOÀI ĐỨC -2.5TỶ.   *Mảnh đất LÔ GÓC 2 MẶT THOÁNG - NGÕ Ô TÔ, tuyệt đẹp tại Thôn Dền - Di Trạch, Hoài Đức. Chủ muốn bán lấy kinh phí mở rộng kinh doanh.  - Diện tích 48m2 NỞ HẬU; HAI MĂT THOÁNG vĩnh viễn. - Vị trí đẹp: Gần KĐT Kim Chung Di Trạch, gần Đường 32… Gần trường học, trung tâm hành chính xã, gần chợ… tiềm năng phát triển tốt, đầu tư giữ tiền hoặc xây nhà vừa ở, vừa kinh doanh đều tuyệt vời! - Sổ đỏ chính chủ, sẵn sàng giao dịch. - Giá 2.5 tỷ (có ra lộc). - Liên hệ: Thanh Định 0335.368.282/0987.320.936.",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829415.4102564,,
"5,5 tỷ VNĐ","Xuân La, Tây Hồ", 45m2,, 5, 6, 4,"Mô tả:- Nhà nằm trong ngõ rộng, xe ba gác tránh nhau- Ngõ thông tứ tung, trước nhà có sân nhỏ cho trẻ đá bóng- Bán kinh 500m là trường cấp 1,2,3 Xuân La, đại học nội vụ, bệnh viện tim, chợ- Đi bộ 5 phút ra Hồ Tây, ra Võ Chí Công- Nhà thiết kế 5 tầng:+ Tầng 1: Khách+ bếp + WC+ Tầng 2,3,4: 2 ngủ + WC+ Tầng 5 sân phơi và trồng cây- Sổ đỏ sẵn sàng giao dịch- Liên hệ Em Hằng ☎️ 0989918103",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829416.5481563,,
"2,9 tỷ VNĐ","Âu Cơ, Tây Hồ", 32m2,, 3, 3, 3,"NHÀ ĐẸP ÂU CƠ  TÂY HỒ Ở NGAY- 2 THOÁNG TRƯỚC SAU- Ô TÔ CÁCH NHÀ VÀI BƯỚC- 32m - 2.95 tỷ  Nhà giá đẹp, chắc không có căn thứ 2. Nhà mới xấy được 2 năm nên rất mới, 2 mặt thoáng trước sau, khách mua về ở ngay Nhà 3 tầng đủ công năng, 3 phòng ngủ, 3WC Tiện ích xung quanh đầy đủ không thiếu gì Đường ô tô cách nhà vài bước chân Nhà 32m – mặt tiền rộng, nở hậu Sổ đỏ sẵn sàng giao dịch Liên hệ Em Hằng ☎️ 0989918103",22/03/2022,Tin thường,batdongsan_so_com_vn_1673829417.6113124,,
"9,8 tỷ VNĐ","Thụy Khuê , Tây Hồ", 28m2,, 4, 3, 3,"MẶT PHỐ THỤY KHUÊ – LÔ GÓC – 3 MẶT THOÁNG – MẶT TIỀN RỘNG  Chủ muốn bán nhà để mua nhà mới cho con trai lấy vợ - cần bán gấp Nhà nằm ở vị trí trung tâm phố Thụy khuê, có vỉa hè, kinh doanh sầm uất Tầng 1 hiện đang cho thuê 15tr/tháng Thiết kế cơ bản 4 tầng + Tầng 1: Thông sàn + WC + Tầng 2: Khách + Bếp + WC + Tầng 3: 2 Ngủ + WC + Tầng 4; Phòng thờ+ sân phơi Sổ đỏ chính chủ, nở hậu cực đẹp Liên hệ Em Hằng ☎️ 0989918103",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829418.5299091,,
"1,9 tỷ VNĐ","Cầu Giấy, Hà Nội", 20m2,, 3, 3, 3," KHU VỰC CẦU GIẤY - Ô TÔ  ĐỖ CỬA – HAI THOÁNG- TIỆN ÍCH KHỎI BÀN- 1.9 tỷ  Mô tả: Nhà 2 thoáng, ô tô đỗ cửa Nhà thiết kế 3 tầng gồm 3 ngủ, phòng thờ, nhà vệ sinh, thiết kế trẻ trung, phong cách Nhà thuộc khu tập thể ĐH Sư phạm Ngoại Ngữ , dân trí cao, an sinh đỉnh . Tiện ích xung quan không phải bàn Nhà nhỏ, thiết kế đẹp, phù hợp với các gia đình nhỏ, hoặc bạn trẻ ở Sổ đỏ chính chủ sẵn sàng giao dịch Liên hệ Em Hằng ☎️ 0989918103",23/03/2022,Tin thường,batdongsan_so_com_vn_1673829419.7536757,,
