price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới
"7,3 tỷ VNĐ",Hoàng Quốc Việt, 42m2, 3, 4, 4, 4,"CHỦ NHÀ CẦN BÁN GẤP NHÀ HOÀNG QUỐC VIỆT VỚI DIỆN TÍCH 42M– MẶT TIỀN 3.75M -PHÂN LÔ GIÁ NHỈNH 7 TỶ SỔ ĐỎ ĐẸP Ô TÔ VÀO NHÀ - KINH DOANH ĐỈNH – DÂN TRÍ CAO  Nhà thiết kế 4 tầng: + Tầng 1: Để xe, phòng khách , phòng bếp , vệ sinh + Tầng 2, 3: 2 phòng ngủ , phòng vệ sinh + Tầng 4: Phòng thờ, sân phơi thoáng rộng  + Nhà mới, cốt nhà rất chắc chắn, có thể xây thêm tầng. +Sổ đỏ nét căng  , chính chủ chờ giao dịch. Mô tả căn nhà .  + Nhà mới, cốt nhà rất chắc chắn, có thể xây thêm tầng. sau nhà thoáng rộng . + Nằm ngay khu phân lô theo ô bàn cờ, cách mặt phố Hoàng Quốc Việt 50m, ngõ ô tô tránh xe máy, có thể thiết kế ô tô vào nhà. +Ngõ thông rộng ô tô vào quá đẹp . + Trước chủ cũ cho thuê mở trung tâm dạy tiếng Nhật, Hàn cho người xuất khẩu lao động với giá 18tr/ tháng.  +Kết nối với các tuyến đường Phạm Tuấn Tài , Nguyễn Phong Sắc . Để biết thêm thông tin chi tiết liên hệ Mr Khải 0363255077.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826642.4544656,,
"2,9 tỷ VNĐ",Nguyễn Huy Tưởng, 26m2, 6, 5, 3,,"+ Nhà phố Nguyễn Huy Tưởng - Quận Thanh Xuân kinh doanh mọi lĩnh vực vì vị trí đắc địa đẹp nhất tuyến phố Nguyễn Huy Tưởng.+ Khu Nguyễn Huy Tưởng toàn dãy phố hiện đang buôn bán kinh doanh nhà hàng, quán cafe, văn phòng công ty, spa, phòng khám, nhà thuốc, cửa hàng tổng hợp, trụ sở các ngân hàng...+ Vỉa hè rộng thênh thang. Đường ô tô 2 chiều.+ Vị trí giao thông thuận tiện đi Hồ Gươm, Hồ Tây, trung tâm phố cổ, ra sân bay Nội Bài...- Tầng 1: Phòng khách, bếp. - Tầng 2,3,4: Mỗi tầng 1 ngủ rộng và WC. - Tầng 5: Phòng thờ sân phơi. + Giá chỉ 2.9 tỷ (Có thương lượng). + Liên hệ ngay: 0354526316 Em Thế Anh (Hỗ trợ hoàn toàn MIỄN PHÍ từ xem nhà, tư vấn pháp lý, kiểm tra Quy hoạch, vay vốn ngân hàng, sang tên sổ đỏ…)",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826643.734029,,
"7,3 tỷ VNĐ","Hoàng Quốc Việt , Cầu Giấy, Hà Nội", 42m2, 3, 4, 4, 4,"CHỦ NHÀ CẦN BÁN GẤP NHÀ HOÀNG QUỐC VIỆT VỚI DIỆN TÍCH 42M– MẶT TIỀN 3.75M -PHÂN LÔ GIÁ NHỈNH 7 TỶ SỔ ĐỎ ĐẸP Ô TÔ VÀO NHÀ - KINH DOANH ĐỈNH – DÂN TRÍ CAO  Nhà thiết kế 4 tầng: + Tầng 1: Để xe, phòng khách , phòng bếp , vệ sinh + Tầng 2, 3: 2 phòng ngủ , phòng vệ sinh + Tầng 4: Phòng thờ, sân phơi thoáng rộng  + Nhà mới, cốt nhà rất chắc chắn, có thể xây thêm tầng. +Sổ đỏ nét căng  , chính chủ chờ giao dịch. Mô tả căn nhà .  + Nhà mới, cốt nhà rất chắc chắn, có thể xây thêm tầng. sau nhà thoáng rộng . + Nằm ngay khu phân lô theo ô bàn cờ, cách mặt phố Hoàng Quốc Việt 50m, ngõ ô tô tránh xe máy, có thể thiết kế ô tô vào nhà. +Ngõ thông rộng ô tô vào quá đẹp . + Trước chủ cũ cho thuê mở trung tâm dạy tiếng Nhật, Hàn cho người xuất khẩu lao động với giá 18tr/ tháng.  +Kết nối với các tuyến đường Phạm Tuấn Tài , Nguyễn Phong Sắc . Để biết thêm thông tin chi tiết liên hệ Mr Khải 0363255077.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826644.8201234,,
"6,4 tỷ VNĐ",Ngõ 63 Lê Đức Thọ-Q. Nam Từ Liêm, 45m2, 4, 7, 5, 6,"Có một không hai.Cả phố duy nhất căn bán có.đừng hỏi tại sao bạn không mua nhà này. Thang máy 7 tầng,thoáng trước sau. Lô góc đỉnh cao. Thông số đẹp. Bán nhà Phố Lê Đức Thọ- Q. Nam Từ Liêm. DT:45m2x7T. Vị trí:Nhà nằm vị gần hồ Trí Đức, vài bước ra phố Nguyễn Hoàng,Hàm Nghi, Lê Quang Đạo… không gian thoáng sáng, khu vực di chuyển thuận lợi gần các trung tâm mua sắm lớn, đặc biệt gần bến xe Mỹ Đình. Thiết kế: Nhà được chủ tự xây tâm huyết, do điều kiện công việc cách xa khu vực làm nên cần bán cũng rất tiếc.Nhà được thiết kế quá hợp lý nên không gian sử dụng lớn, với thang máy vù vù không phải nghĩ,sàn gỗ , hệ thống điện, bếp hiện đại,có hệ thống camera quan sát trước nhà. Sổ đẹp chính chủ, chỉ chờ giao dịch. LH: 0372.259.840 ( Tuấn, kb zalo, tư vấn miễn phí, đảm bảo anh chị rất ưng ý khi gặp nhau trao đổi).",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826645.8234391, Đông nam, 11
42 triệu VNĐ/m2,92 Mai Động, 77m2,,,,,"💥Căn hộ siêu Hot  hơn nắng Hè ,mua nhà ngay và luôn 42tr/m2 .Lý do giải thích Bùng Nổ khách hàng cọc 63 căn trong tổng số 120 căn siêu hot đợt đầu tiên mở bán  của Zen Tower. Tưng bừng lễ 30/4 - 1/5 nhận quà liền tay. 💎Tòa Hoa Hậu của dự án Feliz Homes, đứa con tinh thần của CĐT Zen Tower🏠Mùng 5 – 14 – 23 đi buôn thì lỗ mua nhà lại Hên🏠Đừng nên để hết cả năm Thuê nhà🏠Làm ăn chọn hướng của nhà🏠Chọn căn Feliz Lộc vào muôn phương 💟Lễ mở bán đã lựa chọn được 30 khách hàng may mắn Tặng quà siêu hấp dẫn lên đến 5 chỉ vàng🎈Ra tầng quá đẹp cho đầu tư Sinh Lời và An Cư. Giá Cao để có chất lượng sống cao , căn hộ thiết kế âu hóa tối đa diện tích sinh hoạt gia đình🎈Dự án cạnh tranh bậc nhất Hoàng Mai và thủ đô trong năm 2022 -2023, View Hồ Đền Lừ đa dạng hướng 🎈Ngạc nhiên với đa dạng diện tích căn hộ❌Căn 1PN :44m2 giá chỉ từ 19xx tỷ❌Căn 2PN : 63m2 – 73m2 – 77m2  giá chỉ từ 3,xx tỷ❌Căn 3PN : 89m2 – 114m2 giá chỉ từ 4,xx tỷ - 5,xx tỷ #FELIZ_HOMES_HOANG_MAI 💰𝐂𝐡𝐢́𝐧𝐡 𝐬𝐚́𝐜𝐡 𝐛𝐚́𝐧 𝐡𝐚̀𝐧𝐠 𝐚́𝐩 𝐝𝐮̣𝐧𝐠:👉Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ👉Hỗ trợ lãi suất 0% 18 tháng Ân hạn nợ gốc 👉Vay 70% thời gian 20 năm🔑Bàn giao nhà quý 2 năm 2023 ️🍀TIỆN ÍCH PHỤC VỤ ĐỜI SỐNG:+ Bệnh viện Bạch Mai: 5Km+ Hồ Hoàn Kiếm: 6Km+ Đại học Bách Khoa – KT Quốc Dân: 3Km+ Trường TH, THCS Mai động+ Công viên Thống Nhất: 4Km+ Bến xe Giáp Bát: 3Km+ TTTM Metro Hoàng Mai: 2Km 💥Với vị trí là huyết mạch cửa ngõ Đông Nam của Thủ ĐôNổi lên như một hòn đảo ngọc xanh tươi giữa lòng Thành Phố, một bông hoa điển hình về thiết kế các khu đô thị trung và cao cấp.Quý cư dân nơi đây sẽ được sử dụng tới hơn 40 tiện ích khép kín cao cấp như:💧Khu vui chơi nhạc nước âm sàn.💧Bể bơi bốn mùa công nghệ ion- , khu BBQ trên tầng mái, tổ hợp thể thao ngoài trời, Vườn dạo bộ chân mây, TTTM...💧Cảnh quan hoàn thiện 100%, độ phủ xanh toàn dự án 85% đem lại không gian sống thư thái, bình yên và an nhiên. -----------------------------------------------------------------------------------------☎️Hotline Phòng BH trực tiếp CĐT: 0983.223.911 – 0818.978.979#FelizHomes#Denlu#Felizhomes92maidong",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826646.8875928,,
"13,9 tỷ VNĐ",đường quốc lộ 72, 100m2, 5, 4, 4, 5,"Vân Canh 100m2, 4 tầng, mặt tiền 5m 13,9 tỷ Hoài Đức   KĐT phân lô, 2 ô tô tránh/ view công viên, vỉa hè 3m, Gaza oto .+ Chủ tặng nội thất cơ bản, đẹp+ Nhà xây thiết kế hiện đại, tâm huyết, KCBT chắc chắn, nhà 2 thoáng trước sau, mới xây được hơn 3 năm.+ Giao Thông 50m ra mặt đường Xuân Phương, gần trường, Bệnh viện, TTTM, gần vành đai 3,5.THIẾT KẾ:- Tầng 1: Gaza ô tô + phòng khách+ phòng ăn + khu nấu ăn- Tầng 2: 2 phòng ngủ+ Wc khép kín + Bạn công.- Tầng 3: 2 phòng ngủ+ Wc khép kín + Bạn công.- Tầng 4: Sân phơi+phòng thờ.SỔ ĐỎ CHÍNH CHỦ CẤT KÉT, “vuông như bánh chưng tết”, sẵn sàng giao dịch.+ Liên hệ xem nhà trước 30ph để được hỗ trợ. Thường xem được vào buổi chiều từ 16h trở ra.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826647.8988883,, 10
"5,1 tỷ VNĐ","Bùi Xương Trạch, Thanh Xuân", 40m2,,,,,"NHÀ ĐẸP Ở NGAY BÙI XƯƠNG TRẠCH, THANH XUÂN, DIỆN TÍCH 40M2, MẶT TIỀN 5,1M, FULL NỘI THẤT SANG TRỌNG, ĐẲNG CẤP. + Nhà nằm trên một ngõ rộng thông nhau, Đường trước nhà rộng, ô tô 5 chỗ đi qua thoải mái, cách đường vành đai 2.5 khoảng 20m, dân trí cao, nhộn nhịp, có thể kết hợp vừa ở vừa kinh doanh. + Nhà 5 tầng chắc chắn móng lên tầng, thiết kế nội thất cực đẹp đẳng cấp. + Chủ giữ gìn nhà cẩn thận nay bán lại chủ mới lên chung cư ở các con và dành tiền làm ăn. + Sổ đỏ vuông vắn chủ để trong két sắt sẵn sàng giao dịch ngay. + Liên hệ em Thái để biết thông tin chi tiết về ngôi nhà.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826649.1485443,,
"27,9 tỷ VNĐ",Đường Lạc Long Quân, 108m2,, 5, 4, 4,"Nhà PHÂN LÔ –Thích Hợp  KINH DOANH ( Có VỈA HÈ - Ô TÔ vào được - SÁT PHỐ Võ chí công) - Nhà thuộc khu nhà đất phân lô víp của Lạc Long Quân. Cách mặt phố VÕ CHÍ CÔNG mỗi nhà là toà nhà văn phòng trc mặt. - Xung quanh là các toà nhà văn phòng và biệt thự. - Nhà đang kinh doanh cho thuê bán hàng tháng 30tr Thiết kế: - T1,2.,3,4: thông sàn, vs, cầu thang giữa. - T5: phòng thờ, sân vườn. - 📕: SDCC, vuông nét. dt 108m2 - 5 tầng - mt 6m. Giá: 27.9 tỷ ",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826650.202724,,
"16,2 tỷ VNĐ",Hà Nội, 69m2,,,,,"Tòa nhà phân lô phố Hoàng Ngọc Phách, kinh doanh đỉnh. + Liên hệ xem nhà 24/7: 0366 555 258. + Diện tích 69 m2, 7 tầng thang máy. + Nội thất nhập khẩu toàn đồ cao cấp + Vị trí đẹp kinh doanh đỉnh, ô tô tránh, 2 phút ra hồ Hoàng Cầu. + Sổ đỏ đẹp, pháp lý rõ ràng. + Giá 16.2 tỷ thương lượng mạnh.Liên hệ miễn phí nhanh: 0366 555 258.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826651.2818365,,
"3,5 tỷ VNĐ","Văn Hương, Tôn đức Thắng", 37m2, 6, 4, 4, 3,"Tương lai gần phố, đầy đủ tiện ích. Nhà 4 ngủ, 2 lớn hai bé. Ngõ thoáng. Hai xe máy tránh  nhau thoải mái. Mặt tiền khủng 6m. Cực Hot. Trung tâm Đống Đa. Gần Văn Miếu, Bệnh Viện,Trường Học….. Sổ Nở Hậu Hiếm có khó tìm.                                                                                                 LH: Em Toản. 0326359774.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826652.3499794, Đông bắc,
