price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Số toilet,Mặt tiền,Lộ giới
5 tỷ VNĐ,Đường Khương Đình-phường Khương Đình- Thanh Xuân, 65m2, 4, 4,"+ Chủ đã mua nhà mới nên cần bán gấp căn nhà với DIỆN TÍCH rộng 65m2, MT 4.5M, 4T, Nhỉnh 5 TỶ, đặc biệt là chủ tặng lại toàn bộ nội thất trên hiện trạng căn nhà. + Căn nhà với vị trí đắc địa thông thương sang nhiều tuyến đường lớn, Nguyễn Xiển, Khương Đình, Nguyễn Trãi, là giao thoa của các trường Đại học nổi như: Trường Đại học Khoa học Xã hội và Nhân Văn, trường Đại học Đại Nam, Đại học Đông Đô, rất gần với trường học các cấp thuận tiện cho việc con em đi học. + Vị trí đỉnh, đi bộ 5 phút ra Royal City, gần bệnh viện Thanh Xuân, hồ Hạ Đình thoải mái tập thể dục, cách siêu thị hơn 100m và gần với chợ Kim Giang. + Khu dân cư đông đúc, hàng xóm hiền lành, thân thiện, dân trí cao, an ninh tốt nên không xảy ra tệ nạn, thích hợp cho hộ gia đình ở và cho thuê dòng tiền mỗi tháng mang lại thu nhập cao. + Chủ là dân thiết kế nên căn nhà được xây dựng rất tâm huyết, thiết kế hiện đại; nội thất cao cấp, sang trọng, được xây dựng kiên cố, chắc chắn, đầy đủ công năng sử dụng. + Giá thỏa thuận. + Pháp lý chuẩn, sổ đỏ vuông đẹp, sang tên nhanh sẵn sàng dao dịch. + Liên hệ: Mr. Hoan – chuyên thổ cư Hà Nội, 0925088355, tư vấn hỗ trợ pháp lý, phong thủy, vay vốn ngân hàng, miễn phí xem nhà 24/7.",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825821.9488268,,,,
"5,5 tỷ VNĐ","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 168m2,, 3,"❌Chỉ 2,7 tỷ (45%) sở hữu ngay căn hộ 3 phòng ngủ diện tích 168,1m view sông Hồng, view Hồ Tây tại trung tâm quận Tây Hồ. Chiết khấu ngay 4%, tặng 2 năm phí dịch vụ, quà tân gia 30 triệu, lãi suất 0% 24 tháng.☎Hotline VPBH: 0977 568 223📍Vị Trí: Khu đô thị Ciputra, đường Võ Chí Công, Tây Hồ, Hà Nội 💥Chính sách bán hàng hấp dẫn-Hỗ trợ vay tối đa 70%-Quà tặng lên tới 30 triệu đồng-Chiết khấu 3-4%-Miễn 2 năm phí dịch vụ ⚜️Kết cấu căn hộ-Diện tích thông thủy: 168,1m2-Gồm 3 ngủ, 2 vệ sinh, 2 ban công, 1 logia-Phòng khách + bếp: 75m2 (siêu thoáng)",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825823.1785364, Đông bắc, 2,,
"16,1 tỷ VNĐ",Hà Nội, 78m2,,,"Bán nhà Tạ Quang Bửu, kinh doanh tốt. - Liên hệ xem nhà 24/7: 0366 555 258. - Diện tích 78 m2, 7 tầng thang máy. - Vị trí đắc địa, kinh doanh sầm uất, an ninh dân trí, tập trung nhiều tiện ích.Tiếp giáp các tuyến phố lớn Lê Thanh Nghị, Bạch Mai, Trần Khát Chân, Trần Đại Nghĩa, Đại Cồ Việt, phố Huế... giao thông đi lại thuận tiện. - Sổ đỏ chính chủ.Giáchào chỉ  16.1 tỷ thương lượng mạnh.Gọi điện ngay 24/7 - 0366 555 258.",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825824.5199475,,,,
"6,6 tỷ VNĐ",Đường Nguyễn Văn Huyên phường Quan Hoa, 35m2, 6, 4,"NHÀ PHỐ NGUYỄN VĂN HUYÊN - 6 TẦNG - THANG MÁY - KINH DOANH TỐT✅Sổ đỏ chính chủ, sẳn sàng giao dịch ngay - Tầng 1: Thông sàn Kinh doanh;- Tầng 2,3,4,5: Thông sàn (Phòng ngủ rộng)- Tầng 6: Phòng thờ, sân phơi. ✅VỊ TRÍ TRUNG TÂM KẾT NỐI - Vừa để ở, vừa kinh doanh hoặc cho thuê hoàn hảo- Vị trí trung tâm, thuận tiện đi lại, kinh doanh sầm uất- Ngõ rộng, thông ra Nguyễn Văn Huyên, oto qua nhà thoải mái 💸Giá tốt, đảm bảo nhất khu vực!",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825825.8244572,, 1, 4, 4
"15,9 tỷ VNĐ",Hà Nội, 77m2,,,"Bán nhà Võ Thị Sáu, quận Hai Bà Trưng, kinh doanh tuyệt vời - LH: 0856 968 656.Chủ xây dựng tâm huyết từng viên gạch nhà 6 tầng thang máy đẹp tuyệt trần.Diện tích 77 m2, khu an ninh tốt, dân trí cao, đường ô tô tải, ở hoặc kinh doanh đều tuyệt vời.Gần phố Đại Cồ Việt, Tạ Quang Bửu, Trần Khát Chân, Lê Thanh Nghị, Bùi Ngọc Dương, Trần Đại Nghĩa... + T1: Gara ô tô, phòng khách, bếp, WC. + T2, 3, 4, 5: Nhiều phòng đẹp, WC. + T6: Phòng thờ, sân phơi.Giá chào chỉ 15.9 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Sổ đỏ chính chủ.Liên hệ nhanh Thanh Bình để được tư vấn xem nhà & mua nhà miễn phí - 0856 968 656.",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825827.0229945,,,,
"2,4 tỷ VNĐ","vân canh ,hoài đức", 42m2,,,"Đường vào nhà rộng rãi, ngõ ba gác đua, cách ô tô chỉ mấy chục mét. Rất gần đường vành đai 3,5 sẽ thông xe đầu 2022. Giao thông thuận tiện khắp ngả Phương Canh, Xuân Phương, Trịnh Văn Bô, Mỹ Đình. Xung quanh tiện ích phong phú khi gần KĐT An Lạc và Vân Canh, trường học các cấp, chợ dân sinh. Nhà thiết kế hài hoà, đằng trước view rộng, đằng sau có khe thoáng. Nhà đầy đủ công năng cho mọi sinh hoạt sống với 3 phòng ngủ và sân để xe riêng biệt sạch sẽ. Là khu vực dân cư đông đúc, tiềm năng cực lớn khi Hoài Đức sắp lên quận. Giá chào chỉ 2 tỷ 400 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825828.0711908,,,,
16 tỷ VNĐ,Hà Nội, 74m2,,,"Bán nhà Lê Thanh Nghị, kinh doanh tốt - LH: 0856 968 656.Diện tích 74 m2, 7 tầng thang máy.Mô tả: + Vị trí đẹp, đường phân lô, ô tô tải tránh dải nhựa. + Khu vực trung tâm sầm uất quận Hai Bà Trưng, phù hợp vừa ở vừa kinh doanh. + Tiện ích nhiều vô số kể, tập trung nhiều trường đại học lớn xung quanh, Bệnh viện Bạch Mai, chợ Bách Khoa... + Nội thất cao cấp, thang máy nhập khẩu. - Tầng 1: Gara ô tô + Mặt bằng kinh doanh + WC. - Tầng 2, 3, 4, 5, 6: Các phòng + WC. - Tầng 7: Phòng thờ + sân phơi rộng thoáng. + Sổ đỏ chính chủ sẵn sàng giao dịch.Giá chào chỉ 16 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay Thanh Bình 0856 968 656.",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825829.2739727,,,,
"2,99 tỷ VNĐ",Ngõ 142 Kim Ging, 27m2, 5, 3,"Bán Nhà Riêng Kim Giang Thanh Xuân 5 Tầng 3 Ngủ Giá 2.99 Tỷ LH: 0819508701- Nhà nằm trong khu dân trí cáo, an ninh tốt, hàng xóm thân thiện, gần trường các cấp, chợ, ủy ban, y tế..., tiện ích ngập tràn.- Nhà được thiết kế 5 tầng với 3 ngủ, 4 vệ sinh, phòng khách, bếp, phòng thờ, sân phơi.- Sổ đỏ chính chủ, pháp lý chuẩn, giao dịch nhanh.- Liên hệ trực tiếp cho Nguyên Anh: 0819508701 để được tư vấn, xem nhà miễn phí và tiết kiệm thời gian.",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825830.4258902,, 4, 3,
"12,9 tỷ VNĐ",Phường Nghĩa Tân, 80m2,,,"Cực hiếm. Bán nhà đẹp víp Hoàng Quốc Việt, 80m2, 5Tầng, MT 8m.ô tô tránh đỗ ngày đêm. Giá nhỉnh 100tr/m2.+ Nhà siêu mới, đẹp mặt ngõ kinh doanh, ô tô tránh, đỗ xe vào nhà. Kinh doanh đỉnh.Đường thông ra các tuyến phố trung tâm nội đô. Nhà đẹp víp khu an ninh cao. Nhà mới công năng đầy đủ tiện ích. Tuyến phố kinh doanh buôn bán tấp nập, + Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn.+ Tư vấn 24/7. ",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825831.336455,,,,
"4,28 tỷ VNĐ",0838771882, 45m2,,,"NHÀ ĐẸP, DỰ KIẾN BAY NHANH, KHÁCH THIỆN CHÍ MAU QUA XEM NHÀ. Nhỉnh 4 tỷ, nhà 45m2 x 4 tầng, gần phố, nhà đẹp, ở sướng- Ngõ 250/19 số nhà 18 Tân Mai, Hoàng Mai, Hà Nội.- Mô tả: Diện tích xây dựng 45m2 x 4 tầng gồm 4 ngủ, phòng nào cũng có ánh sáng tự nhiên, mặt tiền 4m- Ưu điểm: ô tô đỗ cổng, gần 2 chợ, ngõ rộng, trước nhà 3m.- Nhà mới đẹp, khách sách vali vào ở, xây tâm huyết, nội thất xịn hiện đại, tiện nhiều trường từ mầm non đến đại học. Nhà nở hậu phát lộc.- Gía bán 4 tỷ 280 triệu (có bớt, giao dịch nhanh gọn)Chính chủ bán không qua môi giới: 0838771882 (miễn môi giới gọi điện, mời quảng cáo đăng tin).",07/05/2022,Tin thường,batdongsan_so_com_vn_1673825832.7406993,,,,
