price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet
16 tỷ VNĐ,Đường Cù Chính Lan phường Khương Mai, 90m2, 6, 6,"- Khu vực nhiều tòa nhà VP, KD , phù hợp ở + KD VP - Sổ đỏ chính chủ  - 0896.470.254 Chuyên nhà đẹp quận Thanh Xuân, Đống Đa, Hoàng Mai Nhà Mặt phố, KD, CCMN… Đất ở , Đầu tư, KD, VP... Thông tin chính xác – giá chuẩn – tư vấn tận tâm",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797287.332755,,,
4 tỷ VNĐ,Đường Nguyễn Sơn phường Gia Thụy, 40m2, 6, 5,"Bán nhà Nguyễn Sơn,Phân Lô Hàng Không.Ôtô đỗ cửa,5Tx 3N.Chỉ 4 Tỷ.  + Nhà mới xây gần 1 năm, hoàn thiện tỉ mỉ, nội thất sang trọng, chỉ việc dọn đồ đến ở. Nhà cách 10m ra ô tô tránh, cách 100m ra phố Nguyễn Sơn sầm uất. Ngõ thông tứ phía. + Nhà thiết kế 5 tầng khung cột chắc chắn, Full nội thất. mỗi tầng 1 phòng ngủ và 1 vệ sinh.  + Đầy đủ điều hòa, nóng lạnh, nội thất sang trọng. Chỉ việc dọn đồ đến ở. + Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch ngay.  LH: 0868246333 đi xem ngay",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797288.6746852, 4, 3, 4
"4,7 tỷ VNĐ",Đường  phường Nguyên Khê, 103m2,,,"CHỈ 4TỶ XXX -- CÓ ĐƯỢC 103.8 M ----- VỊ TRÍ ĐẮC ĐỊA -- NHẤT ĐÔNG ANH  Chỉ 4.7 Tỷ có ngay 103,8M - Vị trí đất đẹp- Trục Nhật Tân- Đông Anh  Chính chủ cần tiền nên bán gấp  Lh ngay: 0848.668.233 để được xem đất  Vị trí: Thôn Đồng- Nguyên Khê- Đông Anh- HÀ Nội  - Diện tích: 103,8 m2  - Mặt tiền: 5m x 20m  - Pháp lý: sổ đỏ chính chủ  - Hướng: Tây NAM  - Đường Giao Thông: đường lớn 2 Ô tô đi tránh nhau  => Vị trí đắc địa bậc nhất Đông Anh, nằm trên trục Nhật Tân - Nội Bài, các siêu dự án lớn:  + Tháp tài chính Phương Trạch,Công viên Kim Quy: 5km  + Cạnh KCN Nguyên Khê, gần trường mầm non, tiểu học,.. . .....  - Cách trung tâm Đông Anh 4km, cách trung tâm Hà Nội 15km  GỌI NGAY CHO TÔI ĐỂ XEM ĐẤT: 0848.668.233 or 0961.68.78.75 ",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797289.6541505, 5,,
"5,4 tỷ VNĐ",Đường Ngõ Quỳnh phường Thanh Nhàn, 40m2, 3, 5,Tầng lửng: Khách + bếp. + Sổ đỏ vuông đẹp. ,04/10/2022,Tin thường,batdongsan_so_com_vn_1673797290.8873627, 4, 4, 4
40 tỷ VNĐ,Đường Lâm Hạ phường Bồ Đề, 4000m2,,,"Mảnh đất siêu hiếm, mặt phố Lâm Hạ, Hồng Tiến phố Nguyễn Sơn, Long Biên kinh doanh vô địch. + Giá chỉ 10tr/m rẻ vô cùng. Diện tích 8000m, khách có thể mua cả mảnh 8000m mặt tiền 40m hoặc 4000m mặt tiền 20m. Khách chỉ cần thích 1/3 giá hợp lý chủ cũng bán. + Không có mảnh nào giá trị mà lại rẻ như vậy. Khách đầu tư nhanh chân ạ.  + Pháp lý có giấy tờ chứng minh nguồn gốc đất, mua bán Vi Bằng. + Liên hệ mua bán Khổng Toàn. Khách đến ép giá thoải mái ạ.",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797291.9731524, 40,,
"11,87 tỷ VNĐ",Đường Kim Giang phường Kim Giang, 65m2, 15, 5,"+ Căn nhà toạ lạc trên đường Kim Giang quận Thanh Xuân: Con đường kinh doanh sầm uất với nhiều nhà hàng sang trọng, trung tâm giải trí, các toà nhà văn phòng.+ Căn nhà có vỉa hè hai bên, ô tô dừng đỗ ngày đêm, có thể vừa kinh doanh vừa làm văn phòng. 300m ra đường Nguyễn Trãi, 50m ra đường Vũ Tông Phan, 100m ra đường Nguyễn Xiển, 500m ra Khu đô thị Linh Đàm...+ Thông số căn nhà: Diện tích 65m2 xây 5 tầng, mặt tiền 4,5m.- Tầng 1: Gara ô tô, khu sinh hoạt chung, bếp, vệ sinh.- Tầng 2, 3, 4: Mỗi tầng có 2 phòng ngủ khép kín.- Tầng 5: Phòng thờ + khu giặt + sân phơi.+ Pháp lý: Sổ đỏ chính chủ sẵn sàng giao dịch.+ Đường Kim Giang thông các tuyến phố Nguyễn Trãi, Vũ Tông Phan, Nguyễn Xiển, KĐt Linh Đàm, KĐT Kim Văn Kim Lũ...+ Chuỗi tiện ích: Hệ thống siêu thị, trung tâm thương mại, rạp chiếu phim, khu vui chơi, đường cây xanh dạo bộ, hồ điều hoà, các nhà hàng sang trọng bậc nhất thủ đô,+ Mọi chi tiết xin liên hệ em Vinh xem nhà miễn phí, nhiệt tình, tận tâm và chuyên nghiệp.+ Hỗ trợ vay ngân hàng tối đa đến 70% giá trị căn nhà.+ Hotline: 0589999963.",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797293.3052285, 4, 6, 4
10 tỷ VNĐ,Đường Tạ Quang Bửu phường Đồng Tâm, 42m2, 7, 6,"    Chính Chủ Nhờ Bán Nhà Riêng Tại Đường Tạ Quang Bửu 42m2_6 tầng_10 ty - Vị trí nhà ở Ngõ 30 đường Tạ Quang Bửu là đường phân lô, ô tô vào nhà, vỉa hè, thông sang phố Lê Thanh Nghị và Trần Đại Ngh, dân trí cao, đân cư đông đúc , gần các trường đại học lớn Bách Khoa, Xây Dựng, Kinh Tế......vv gần các khu trung tâm thương mại lớn , giao thông đi lại thuận tiện- Tòa nhà văn phòng 6 tầng , thang máy, - thiết kế,+Tầng 1 thông sàn, ga ra ô tô.,+Tầng 2: Tầng lửng, phòng khách.,+Tầng 3: 1 Phòng rộng vệ sinh khép kín.,+Tầng 4,5: Mỗi tầng 2 phòng khép kín.,+Tầng 6 : Vườn hoa, sân chơi , - Khu Vực đông sinh viên, chủ nhà có thể ở không hết phòng cho sinh viên thuê 3-4 triệu 1 phòng, tầng 1 có thể kinh doanh được nhiều loại hình . - Sổ đỏ chính chủ vuông đẹp như ngọc trinh.",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797294.9608345, 4, 5, 4
"1,555 triệu VNĐ",Đường Thép Mới phường Giang Biên, 75m2, 10, 6,"
    Bán nhà chung cư đô thị Việt Hưng Giang biên Long biên . Dt 75.m.2. Giá 1.55 tỷ. 2 ban công.
Cưa đông nam
Liên hệ : Mr Quân 0965968123
",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797298.699279, 5, 2, 1
12 tỷ VNĐ,Đường Hoa Lâm phường Đức Giang, 106m2, 10, 3,"
    CẦN BÁN MẢNH ĐẤT 106 M2 , NHỈNH 10TỶ, MẶT PHỐ HOA LÂM :LH MR TUẤN 0985788393.+ Chủ cần bán gấp mảnh đất tặng nhà 3 tầng, đoạn giao nhau với đường Ngô Gia Tự vị trí đắc địa kinh doanh buôn bán sầm uất nhất khu vực, là hàng xóm của Vinhome , Homeland, Khai Sơn. Thông đi các ngả Việt Hưng,Lệ Mật ,Đức Giang , Ngọc Lâm... hình thửa vuông vắn, sổ đỏ cầm tay sẵn sàng giao dịch. LH Mr Tuấn 0985788393.
",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797300.4152024, 5, 3, 3
"4,6 tỷ VNĐ",Chu Văn An, 31m2,,,"Chủ cần bán nhà 31m² x 5 tầng MT 4m chắc chắn, thiết kế hiện đại, hợp lý giá 4,6 tỷ.  ✅ Nằm ở khu vực trung tâm quận Hà Đông, sầm uất đáng sống, tiện ích ko thiếu gì.✅ Kinh doanh: VP, Hair and nail, tiệm may thời trang, ăn sáng và 1 vài loại hình khác rất tốt. ✅ Xung quanh là các Trường: Đại học, C1, C2, C3, Mầm non, chợ. ✅ Nhà thoáng đẹp,  Chủ đang cần bán, hàng xóm thân thiện, an ninh cực tốt.  ✅ Sổ đỏ chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán.   LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ).  + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn… Xin cám ơn quý khách đã xem bài đăng!",04/10/2022,Tin thường,batdongsan_so_com_vn_1673797301.9496741,,,
