price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet
"5,9 tỷ VNĐ",Đường Láng, 50m2, 6, 7,"+ Vị trí cực đẹp, trước nhà rộng 4m, lô góc thoáng sáng vô cùng, gần Học viện Quốc tế Soeul, Đại học Ngoại Thương, Giao thông vận tải. + Nhà xây 6 tầng, 7 phòng ngủ, lô góc, khách mua về ở kinh doanh hoặc cho thuê full phòng cũng gần 25 triệu. + Thiết kế mỗi tầng 2 phòng, mặt tiền 3.5m. + Sổ đỏ chính chủ. + Giá 5.9 tỷ ( thương lượng )         + Liên hệ: Nguyễn Minh Quang + Điện thoại: 0327085656 ( xem nhà trực tiếp miễn phí )",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789722.0016744,,,
2 tỷ VNĐ,"Đường Quốc lộ 70, Biên Giang, Hà Đông", 34m2, 3, 3,"
    MỞ BÁN NHÀ ĐẤT THỔ CƯ TẠI AN KHÁNHMUA NHÀ TỪ MÓNG, THAY ĐỔI THIẾT KẾ THEO YÊU CẦU Dream House An Khánh, Hoài ĐứcS= 30m2-38m2, xây 3 tầngNằm trên đường 72, ô tô đỗ cách nhà 10mCách Đại lộ Thăng Long khoảng 3kmGần trường học các cấp, trạm y tế, chợCách TT. Quận Hà Đông 10p đi xeNgay sát Vành Đai 4Chất lượng xây dựng: riêng tường, riêng móng, BẢO HÀNH 1 NĂM.Khu vực này với tốc độ đô thị hoá nhanh, dân cư đông đúc được đánh giá sinh lời cao, phù hợp với các bác thích đầu tư hoặc để ở.   CFJ Holdings cam kết nhà chúng tôi xây hiện tại là 1 trong những công ty xây chất lượng và tốt nhất thị trường.Pháp lý đầy đủ, cam kết những khu nhà của tôi không nằm trong quy hoạch của thành phố.Hỗ trợ vay ngân hàng 60% với lãi suất ưu đãi nhất. ",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789723.3321142, 4, 2, 3
"24,4 tỷ VNĐ","Đường Trích Sài, Thụy Khuê, Tây Hồ", 47m2, 4, 3,"-Mặt phố Vip,vị trí đẹp nhất phố 3 thoáng,kinh doanh đỉnh,view Hồ Tây lộng gió -Trước nhà thoáng rộng Ô tô tránh,vỉa hè rộng kinh doanh để xe máy vô biên -Thiết kế 4 tầng trên dt 47m2 mặt tiền 7m  -Cầu thang cuối gồm 4 phòng thông sàn thích hợp kinh doanh,dòng tiền vô địch -Sổ đỏ đẹp sẵn sàng giao dịch -Liên hệ : 0945550369(Khôi nhà đẹp Tây Hồ-Ba Đình)",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789724.4760544, 7, 5, 3
"2,65 tỷ VNĐ","Đường Độc Lập, Long Biên, Long Biên", 31m2, 4, 3,"
    Bán Nhà Ngõ Độc Lập - Long Biên - Ô TÔ GẦN - THOÁNG MÁT - 31m2 - 4 Tầng  - MT4.2m - 2.65 TỷNHÀ ĐẸP – TAXI LÙI ĐẾN CỬA – CÁCH Ô TÔ TRÁNH 20M.Mô tả: 
+ Hướng: Đông Nam.

+ Do chủ phải chuyển chỗ làm nên bán. Nhà chủ tự xây được 3 năm khung cột chắc chắn, thiết kế hiện đại, chủ để lại hết nội thất, khách mua chỉ việc xách vali đến ở.

+ Ngõ vào nhà rộng, taxi lùi vào tận cửa, cách ô tô tránh chỉ 20m.  + Sổ đỏ hoa hậu chính chủ sẵn sàng giao dịch.+ Anh/Chị có nhu cầu mua nhà vui lòng liên hệ : TRẦN QUYẾT BĐS LONG BIÊN, điện thoại/ Zalo: 0374148382. ",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789725.6728506, 4, 4, 3
"15,3 tỷ VNĐ",Xuân Thủy Cầu Giấy, 85m2, 7, 10,"- Diện tích 85m2 X7 Tầng. Mt 9m Giá bán 15.3 tỷ ( có thương lượng ) - Vị trí đẹp nhà cách ô tô đỗ 10m, rộng, thoáng, trước nhà Sh Quay đầu, vài chục m ra phố Xuân Thủy!  - Nhà xây mới, thiết kế 7 tầng thang máy, tổng 25 phòng khép kín, đều có gác xép, có ban công riêng biệt.- Tất cả các phòng đều trang bị full đồ: Tủ lạnh, máy giặt, điều hòa, tỷ, bếp, nóng lạnh, giường đệm.Khách thuê chỉ việc xách vali đến ở. - Sổ đỏ chính chủ, pháp lý chuẩn Liên hệ em Quân để được tư vấn. 0385 94 1802 Miễn ( TG Quảng Cáo )",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789726.918519,,, 10
"18,5 tỷ VNĐ","Đường Quang Trung, La Khê, Hà Đông", 100m2, 4, 4,"MẶT PHỐ - KINH DOANH SẦM UẤT - VỈA HÈ RỘNG NHƯ SÂN BÓNG ĐÁ.VỊ TRÍ ĐẸP MIỄN BÀN, KINH DOANH VIP.MẶT TIỀN RỘNG, GIÁ RẺ NHẤT KHU VỰC.+ Chính chủ cần bán nhà mặt phố Quang Trung, Hà Đông. + Diện tích: 100m2, Nhà 4 tầng, Mặt tiền rộng 4.4m + Giá chào để bán: 18.5 tỷ + Vị trí kinh doanh đắc địa, sầm uất nhất phố có thể vừa ở vừa kinh doanh hoặc cho thuê đều được, phù hợp cho đặt văn phòng công ty. + Nhà xây được vài năm với thiết kế hiện đại 4 tầng, mặt tiền rộng, với đầy đủ công năng vừa ở vừa KD. Khách mua về thoả sức sáng tạo. + Pháp lý: Sổ vuông vắn, pháp lý rõ ràng, sẵn sàng giao dịch. ☎ Liên hệ xem nhà: 0902.083.139 📣📣📣 Miễn phí xem nhà – Nguồn nhà phong phú – Nhiệt tình tận tâm – Hỗ trợ 24/24 📣📣📣",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789728.4155142, 4, 40, 4
"2,35 tỷ VNĐ","Đường Tỉnh lộ 72, An Thượng, Hoài Đức", 60m2, 3, 3,"
    Cần Bán nhà An Hạ, An Thượng, Hoài Đức 60m 3 tầng, mặt tiền 6m 2,x tỷ
- Vị trí đẹp, rộng thoáng, gần trường học, y tế, hàng xóm khu đô thị. Học viện Chính Sách, KDT An Khánh, Vinhome, Vincom Mega Mall, Aeon Mall Hà Đông, Big C Thăng Long 10 phút đi xe.
- Tiện ích đầy đủ, Gần Chợ, Siêu thị.
- Giao thông thuận tiện, Đại lộ Thăng long, Đường TL 70, Đường Lê Trọng Tấn, Đường Vành Đai 3.5
- Sổ Cc, Sẵn sang tên nhanh gọn.
- Tư vấn, pháp lý, thiện chí xem nhà
- Liên hệ Mr Đức Nhà Đẹp 0898839292 - 0812212525.
Rất nhiều Nhà Đất đẹp phù hợp mọi nhu cầu anh em nhé.
",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789729.595362, 6, 4, 3
"3,2 tỷ VNĐ","Đường Thái Thịnh, Trung Liệt, Đống Đa", 70m2, 1, 2,"
    💥 CHỈ 3.2 TỶ - CHUNG CƯ HÀ THÀNH PLAZA THÁI THỊNH 70M2 2PN + 1WC -SIÊU ĐẸP SĐCC 💥 ⭕️ LH NGAY 0982833366 (KHU VỰC TẦM GIÁ CHỈ CÓ MỘT CĂN-NHANH MỚI CÒN)---------------------------AN SINH -NHÀ ĐẸP -CĂN HỘ 70M2 2PN 1WC HÀ THÀNH PLAZA THÁI THỊNH FULL ĐỒ CHỈ VIỆC XÁCH VALY VỀ Ở + HK Đống Đa, Mặt phố Thái Thịnh tiện ích bạt ngàn, lõi Thủ Đô+ Diện tích sổ đỏ 68m2, bao gồm 1 khách, 1 bếp, 2 ngủ, đầy đủ công năng sử dụng.+ Sổ đỏ lâu dài sang tên ngay----------------------------🚀 GIÁ BÁN CHỈ: 3.2 TỶ (NHÀ THẬT+THÔNG TIN THẬT+ẢNH THẬT+GIÁ THẬT)----------------------------☎️ LH: PHƯƠNG_NHÀ_PHỐ 0982833366  ZALO 0902223785(Chuyên nhà chung cư, nhà tập thể Hà Nội).Kết nối trực tiếp chủ nhà, giúp ACE mua giá tốt nhấtMiễn phí tư vấn, xem nhà 100%...
",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789731.293817,, 5, 1
"6,5 tỷ VNĐ","Đường Hoàng Văn Thái , Hạ Đình, Thanh Xuân", 34m2, 5, 3,"
    
BÁN NHÀ ĐẸP - MẶT NGÕ THÔNG PHÂN LÔ Ô TÔ VÀO NHÀ - PHỐ HOÀNG VĂN THÁI DT:34 M2 X 5 TẦNG X MT: 4.3 M 3 PHÒNG NGỦ .

- Giá: 6.5 Tỷ.
- Sổ đỏ vuông đẹp chính chủ pháp lý sạch sẽ không tranh chấp. 
- Hỗ trợ khách vay ngân hàng tới 80%.
- Chi tiết xin liên hệ để xem nhà trực tiếp. 
- HUY LINH - 0818545666 - 0934276733.

+Thiết kế Tân cổ điển, mặt ngõ lớn, 2 ô tô tránh nhau, nằm trong khu phân lô Quân đội, an ninh rất tốt, cách chợ Hoàng Văn Thái và trường THCS Khương Mai mấy bước chân. Di chuyển thuận tiện ra Lê Trọng Tấn, Vương Thừa Vũ, Trường Chinh với vô vàn tiện ích.

Tầng1: Gara ô tô + phòng bếp + phòng ăn.
Tầng2: Phòng khách + 1 phòng ngủ. 
Tầng 3 + 4: Mỗi tầng 1 phòng ngủ + wc. 
Tầng 5: Phòng ngủ + phòng thờ + sân Phơi.

+ Sổ đỏ sẵn sàng giao dịch 24/24.
",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789732.6162763, 4, 5, 4
"11,3 tỷ VNĐ","Đường Nghi Tàm , Yên Phụ, Tây Hồ", 85m2, 3, 3,"- Chính chủ nhờ bán, nhà Phân Lô liền kề 2 MẶT NGÕ. Đường 5, AN DƯƠNG.  - Quy hoạch ổn định. DT 85m2, mặt tiền 7.2m  . - Nhà nằm Quận Tây Hồ, giáp Hoàn Kiếm và Ba Đình.  - Hàng xóm toàn quan chức cấp cao, nhà nào cũng làm sân vườn, hưởng thụ gió Hồ Tây và Sông Hồng, không gian sống lý tưởng.  - Thông số vàng . Diện tích 85m2 hiện 3 tầng, mặt tiền 7  - Nhà 2 mặt ngõ đều ô tô ra vào. Vị trí đắc địa, dân trí cao, yên tĩnh sạch sẽ.  - Thửa đất vuông vắn, nở hậu, giao thông thuận tiện đi lại.Ở hoặc xây tòa nhà căn hộ thì quá đỉnh.  - Giá chào . 11.3 tỷ ( có gia lộc với khách có thiện chí ).  - Sổ đỏ chính chủ, vuông vắn, nở hậu hút tài lộc.  - Liên Hệ : Tôi Y Linh - Tổng kho BĐS. Tây Hồ & Ba Đình.  - Cam kết hỗ trợ giúp khách hàng mua được BĐS với giá tốt nhất và hoàn toàn miễn phí. Miễn tiếp MG và xem hộ nhà.",05/11/2022,Tin thường,batdongsan_so_com_vn_1673789733.8300426, 7, 20, 3
