price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet,Mặt tiền
"12,8 tỷ VNĐ",Đường Trần Quốc Hoàn phường Dịch Vọng Hậu, 55m2, 1, 4, 4,"
    NHÀ ĐẸP LONG LANH - TRƯỚC NHÀ 45 CHỖ QUAY ĐẦU - BẮC RẠP ĂN CẢ 100 MÂM CỖ - NGÕ THÔNG TỨ TUNG - XE ÔTÔ ĐỂ ĐÂU CŨNG ĐƯỢC.- Vị trí đắc địa đẹp nhất Trần Quốc Hoàn, trước nhà oto tránh nhau 3 chiếc, ngõ thông tứ tung kinh doanh văn phòng đều ok.- Hàng xóm toàn tướng tá trong ngành, trước nhà có cty bảo vệ nên an ninh khỏi phải bàn.- Vài bước ra chợ dân sinh, đối diện trường học Nguyễn Bỉnh Khiêm, trường liên cấp Ngĩa Tân.- Giao thông kết nối rất thuận tiện, Hoàng Quốc Việt, Nguyễn Phong Sắc, Tô Hiệu, Xuân Thủy, Phạm Văn Đồng.- Thiết kế 4 tầng xây toàn tường 20 rất kiên cố.- Tầng 1 phòng khách + bếp.- Tầng 2,3 mỗi tầng 2 phòng + Wc.- Tầng 4 phòng thờ + sân phơi.- Sổ đỏ chính chủ pháp lý sạch giao dịch ngay.
",26/07/2022,Tin thường,batdongsan_so_com_vn_1673812389.7985241,,
"1,4 tỷ VNĐ",QL32 Hà Nội, 57m2,,, 2,"🔥🔥🔥THẬT KHÔNG TIN NỔI !!!👉Gần khu #Cầu_Giấy , #Mỹ_Đình đắt đỏ, vẫn còn căn hộ 2 ngủ 2wc giá chỉ 1ty4xx 👉Chung cư #XPhomes_Star -Pháp lí thương mại, sổ hồng vĩnh viễn, 👉Nhận nhà ở ngay, sổ đỏ trao tay,Ngân hàng BIDV hỗ trợ vay     Liên hệ 0886 320 234",26/07/2022,Tin thường,batdongsan_so_com_vn_1673812391.4680562, 2,
"5,9 tỷ VNĐ","hồ tùng mậu, nam tư liêm", 61m2,,,,"    TRUNG TÂM CẦU GIẤY - TỪ LIÊM, MUA LÀ ĐƯỢC - XÂY LÀ ĐẸP! HỒ TÙNG MẬU, ĐẤT 61M2 MT4.8M, GIÁ 5.9 TỶ. + vị trí cực kì thuận tiên, ô tô 7 chỗ vào nhà, lô góc, ngõ trước nhà 4m, 30m ra mặt phố Hồ Tùng Mậu, ga tàu điện cách nhà 40m. + Phố Hồ Tùng Mậu kinh doanh sầm uất tất cả các loại hình, khu phố đã được quy hoạch ổn định. + Tiện ích gì cũng có như: Chợ, siêu thị, trường mầm non, TH, THCS, THPT, CĐ, ĐH. + Giao thông thuận tiện, đi các ngả đường,  thông thương với các tuyến phố: Lê Đức Thọ, Lê Quang Đạo, Nguyễn Đổng Chi, Hàm Nghi, Xuân Thủy, Cầu Giấy. + Khu vực dân trí cao, an ninh cực kỳ tốt.  phí. + Khách mua xây ở hoặc xây CCMN đều đẹp + Chủ nhà thiện chí, khách thích là CHỐT. + Sổ đỏ chính chủ, đẹp long lanh, nở hậu vài phân, pháp lý sạch, chủ để két chờ ngày trao tay.  + Sổ 56m, thực tế 61m. Mặt tiền 4.3m thực tế 4.8m.    Lh: 0979158185 Hoàng Anh (zalo,facebook..) em tư vấn và dẫn xem miễn",26/07/2022,Tin thường,batdongsan_so_com_vn_1673812393.0966992,,
"6,6 tỷ VNĐ","ĐÌNH THÔN, MỸ ĐÌNH, NAM TỪ LIÊM", 66m2,,,,"CON PHỐ KINH DOANH SẦM UẤT, ĐÌNH THÔN, MỸ ĐÌNH, NAM TỪ LIÊM. NHÀ 66M2, 4 TẦNG, MT5M, GIÁ 6.6 TỶ. + Nhà dân xây, ô tô vào, 2 mặt thoáng. Chủ cần bán gấp, thanh khoản nhanh gọn nên giá hàng tuyển. + Vị trí đắc địa trung tâm Nam Từ Liêm, giao thông cực kì thuận tiện, an sinh ngập tràn tiện ích. + Ngõ 154 giáp ranh 2 kđt sudico Mỹ Đình và Fivestar Đình Thôn. Đường thông ngõ thông, ô tô đỗ, kinh doanh đẹp. + Nhà mới hoàn thiện, 66m2 thiết kế 4 tầng, phòng khách, bếp, phòng thờ, sân phơi, 4 ngủ, 3 wc. Chuẩn công năng cho đại gia đình. +Sổ đỏ chính chủ, vuông đẹp, pháp lý sạch, sẵn sàng giao dịch có nhà ở ngay. Lh: 0979158185 Hoàng Anh (zalo,facebook...) em tư vấn và dẫn xem đất miễn phí.",26/07/2022,Tin thường,batdongsan_so_com_vn_1673812395.2731502,,
"8,2 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Gia Thụy, 60m2, 8, 4, 4,"+ Vị trí trung tâm khu phân lô Ngọc Lâm đường trước nhà siêu rộng vỉa hè 2 bên có thể kinh doanh online hoặc làm văn phòng đều đỉnh, nhà lô góc 3 mặt thoáng, vài bước chân ra mặt phố kinh doanh và khu ăn chơi xa hoa, tráng lệ  + Diện tích nhà 60m2 4T gara ô tô full nội thất + Giá: 8.2 tỷ + LH: E Việt",26/07/2022,Tin thường,batdongsan_so_com_vn_1673812396.5495784, 4, 4
"22,8 tỷ VNĐ",Đường Ngô Gia Tự phường Thượng Thanh, 95m2, 8, 5, 6,+Chủ thuê kiến trúc thiêt kế rất bắt mắt  ,26/07/2022,Tin thường,batdongsan_so_com_vn_1673812398.1074476, 5, 8
"3,5 tỷ VNĐ",Tứ Hiệp, 46m2,,,,"🏡Bán nhà Cổ Điển A, Tứ Hiệp, Thanh Trì, Hà Nội⚡️Công năng đầy đủ, gần TT huyện, các dự án mọc lên như nấm, khu vực phát triển mạnh trong tương lai gần. ⚡️Gần các toà nhà CC IEC Residences Tứ Hiệp tọa lạc tại xã Tứ Hiệp, huyện Thanh Trì, TP Hà Nội. Thanh Trì đang chuyển mình thay đổi với sự ra đời của một khu đô thị mới mang tầm nhìn hướng tới tương lai.⚡️Gần đường Trần Thủ Độ nối thẳng từ khu đô thị Pháp Vân đến Ngũ Hiệp, kết nối ra quốc lộ 1A do đó có thể dễ dàng di chuyển vào trung tâm thành phố. 📕Sổ đỏ vuông vắnCám ơn ACE đã đọc tin. Miễn TG",26/07/2022,Tin thường,batdongsan_so_com_vn_1673812399.6204493,,
"1,9 tỷ VNĐ",Đường Đường 131 phường Mai Đình, 97m2,,,,,26/07/2022,Tin thường,batdongsan_so_com_vn_1673812401.1054275,, 5
"5,45 tỷ VNĐ",Vạn Phúc, 40m2,, 3, 3,"Diện tích: 45m. Thiết kế: 2 tầng 1 tum- Tầng 1: phòng khách, bếp, wc- Tầng 2: 2 phòng ngủ, WC- Tầng 3: phòng thờ, sân phơiĐường trước nhà 3mTiện ích: gần khu vui chơi Vạn Phúc, chợ Vạn Phúc, nhà văn hóa, trường học, các khu chung cư cao cấp, khu đô thị, làng nghề truyền thống,....Giao thông thuận tiện, đường rộng rãi, thông thoáng, gần các trục đường lớn Vạn Phúc, Hà Đông,....Sổ đỏ chính chủ, pháp lý chuẩn",26/07/2022,Tin thường,batdongsan_so_com_vn_1673812402.4990747,, 4
7 tỷ VNĐ,quang trung, 50m2,, 5, 6,"Bán Nhà, Văn La, Hà Đông. Ô Tô Kinh Doanh 50m2 x 5 tầng. Mặt Tiền 4.3m Giá 7 Tỷ.       KINH DOANH, VĂN PHÒNG – TIỆN ÍCH NGẬP TRÀN – NHÀ MỚI Ở NGAY  + Nhà mặt phố Văn La cách đường Quang Trung vài chục mét, ngả đi các đường đường Ngã Tư Văn Phú, Trần Phú,Ngã Tư Sở, Vành Đai 3, quốc lộ 21B, Bến Xe Yên Nghĩa, Hoà Bình, đi nội thành và các tỉnh lân cận rất thuận tiện. + Nhà gần các trường Nguyễn Huệ, Gần Bệnh Viện Đa Khoa Hà Đông, Nhà Thi Đấu Hà Đông, siêu thị Meetro Hà Đông, Trung Tâm Thương Mại AON.Thiên Đường Bảo Sơn, Gần Tuyến Xe Buýt Nhanh và Ga Tàu Điện Trên Cao. Giao thông thuận tiện, an ninh an toàn, đầy đủ tiện ích xung quanh. + Nhà mặt phố kinh doanh, văn phòng siêu thuận lợi, khu vực hiếm nhà bán.  + Nhà thiết kế 5 tầng:                                                                                                          - - - Tầng 1: Phòng khách, bếp, wc, - Tầng 2,3,4: Mỗi tầng 2 phòng ngủ và wc - Tầng 5 : Phòng thờ, sân phơi. + Nhà khung cột bê tông chắc chắn. Chủ bán để đầu tư kinh doanh.  Sổ đỏ chính chủ, sẵn sàng giao dịch.   LH: E KHÁNH: 0984568179 ",26/07/2022,Tin thường,batdongsan_so_com_vn_1673812403.8823726, 4, 4
"5,8 tỷ VNĐ","Hoàng Văn Thái, Khương TRung", 45m2,,,,"
    


Bán nhà Hoàng Văn Thái, Phân Lô, ô tô tránh, 45m, 4 tầng, mặt tiền thoáng, nhỉnh 5 tỷ. Lh 0975124520+ Bán nhà hoàng văn thái, vị trí cực đẹp, phân khúc cực hiếm, bạt ngàn tiên ích, gần chợ, trường học các cấp, bệnh viện…+ An ninh tuyệt vời, dân trí cao, chủ nhà rất thân thiện.+ Nhà phân lô cán bộ cấp cao, rất thoáng, chủ nhà tự xây lên vô cùng chắc chẵn, có thể lên thêm mấy tầng nữa.+ Ngõ thông, thoáng, rộng, ba gác phi ầm ầm+Sổ đỏ chính chủ sẵn sàng giao dịch.



+ Liên hệ: Phùng Trang  0975 124 520.",26/07/2022,Tin thường,batdongsan_so_com_vn_1673812405.6077573,,
,"Khương Thượng, Đống Đa", 40m2,,,,"Mặt phố Khương Thượng, ngõ ô tô tránh diện tích 40m2, 4 tầng, mặt tiền rộng thoáng, chỉ 6.2 tỷ. Lh 0975124520.+ Nhà chủ muốn về ở cùng con cháu rất thiện chí bán, thông số vàng, khách thật sự cần mua là sẵn sàng khớp giá. + Phố Khương Thượng tiện ích bạt ngàn, giao thông thuận lợi, thông các tuyến đường Tôn Thất Tùng, gần các trục đường chính như Ngã Tư Sở, Trường Chinh, Chùa Bộc, Phạm Ngọc Thạch, Đông Tác, gần bệnh viện Đại học y Hà Nội, Đại học Thủy Lợi, Đại học Công Đoàn, Vincom Phạm Ngọc Thạch,+Nhà khung cột chắc chắn, hàng xóm thân thiện, môi trường sống đẳng cấp tuyệt vời.+ Sổ đỏ cất két, sẵn sàng giao dịch.+ Liên hệ: Phùng Trang  0975 124 520.(MTG)",26/07/2022,Tin thường,batdongsan_so_com_vn_1673812406.9960434,,
14 tỷ VNĐ,"Núi Trúc, Ba Đình, Hà Nội", 39m2,, 3, 3,"CẦN BÁN MẶT PHỐ NÚI TRÚC - NHÀ ĐẸP, VỊ TRÍ ĐẸP - LÔ GÓC -39M2, 3 TẦNG, VỈA HÈ 5M6 - TIỆN ÍCH NGẬP TRÀN. + Nhà xây 4 tầng, đang kinh doanh. + Sổ đỏ chính chủ. Giao dịch luôn. Vân Anh 0356551091 (Zalo) – 0944 185 354 LH xem nhà: 0️⃣3️⃣5️⃣6️⃣5️⃣5️⃣1️⃣0️⃣9️⃣1️⃣    === 0️⃣9️⃣4️⃣4️⃣1️⃣8️⃣5️⃣3️⃣5️⃣4️⃣   Chuyên nhà thổ cư Đống Đa (Nhận ký gửi nhà Hà Nội). Hỗ trợ vay vốn Ngân hàng lên tới 70% giá trị căn nhà.",26/07/2022,Tin thường,batdongsan_so_com_vn_1673812410.4319563, 2, 3
