price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Số phòng ngủ,Số toilet
23 tỷ VNĐ,MẶT PHỐ NGUYỄN VĂN CỪ, 98m2, 4,"Nhà mặt tiền đường Nguyễn Văn Cừ, đất rộng , xây 4 tầng, trong sổ là 98m2 nhưng diện tích thực sử dụng lên tới 120m2 rất rộng và thoáng , vừa ở vừa kinh doanh cả ngày lẫn đêm tại khu phố sầm uất nhất Quận Long Biên, vỉa hè 3m thoải mái chỗ để xe ra vào. ",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826600.972313,,,,
30 tỷ VNĐ,"Thôn Kim Quan, Xã Yên Viên, Huyện Gia Lâm, Hà Nội", 517m2,,"Chính chủ bán đất tại Thôn Kim Quan, Xã Yên Viên, Huyện Gia Lâm, Hà NộiDiện tích: 517m2 - Mặt tiền: 11m - Dài: 47m -  Hướng Đông Nam- Vị trí đất mặt tiền đường nhựa thoáng rộng, đỗ được xe Container- Giao thông các hướng thuận tiện, an ninh rất tốt- Cách Hồ Gươm 6kmGiá bán: 30 Tỷ - Sổ đỏ chính chủLiên hệ chính chủ: 0913203595  Nguồn:  http://nhadathanoi.net.vn",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826602.358605, Đông nam, 11,,
,"ngõ 77 đường Nhuệ Giang, Quận Nam Từ Liêm", 98m2,,"Chính chủ cần bán nhà cấp 4 ngõ 77 đường Nhuệ Giang, Quận Nam Từ LiêmDiện tích: 98m2, mặt tiền 6,8m, ngõ rộng 2 ôtô tránh nhau.- Vị tri đẹp, thuận tiện giao thông, an ninh rất tốt. Dân cư văn minh, thân thiệnGiá bán:  Thỏa thuận.Chính chủ: 0976827188    Nguồn:  http://nhadathanoi.net.vn/",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826604.0361164,, 6,,
"4,38 tỷ VNĐ",Khương Trung, 35m2,,"- Diện tích 35m2, măt tiền 3.6, giá 4.38 tỷ.- Nhà vị trí cực đẹp, cách mặt ngõ Khương Trung ô tô phóng chỉ 10m.- Ngõ thông ra hồ Đầm Hồng, Hoàng Văn Thái.- Thiết kế 5 tầng, cầu thang cuối.  Mô tả: Tầng 1: Khách, bếp, 1WC.Tầng 2,3,4: Mỗi tầng 1 ngủ 1 WC khép kín. Tầng 5: Phòng thờ, sân phơi. Liên hệ em Đạt để được tư vấn và dẫn đi xem nhà miễn phí! LH: 0973838798.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826605.4553206,,,,
7 tỷ VNĐ,Tản Đà- Hà Đông, 59m2, 6,"Anh tôi bán nhà mặt phố Tản Đà, Hà Đông, 59mx6T, vỉa hè rộng, kinh doanh Bán gấp nhà mặt phố Tản Đà, Hà Đông, vỉa hè thênh thang, nhà thoáng sáng rất hiếm. Trục chính sang Lê Lợi nối với Bà Triệu và phố Tô Hiệu, giáp với Hà Cầu, ra chợ lớn Hà Đông rất gần, thông với trục chính Quang Trung. Vị trí đẹp ngay cạnh chợ lúc nào cũng đông đúc, sầm uất. Nhà tự xây rất đẹp chắc chắn phù hợp các loại hình kinh doanh: Spa, nail, tóc, quán ăn, cafe, hiệu thuốc, phòng khám. Chủ nhà là doanh nhân thành đạt, cần bán để đầu tư máy móc, nhà rất có lộc, mặt phố đẹp hiếm nhà bán chỉ 7 tỷ. Sổ đỏ vuông vắn, sẵn sàng giao dịch. Giá: 7 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826606.7738686,,,,
"8,5 tỷ VNĐ",Lê Hồng Phong- Hà Đông, 50m2, 5,"Cần bán mặt phố Lê Hồng Phong, Hà Đông, 50m, 5 tầng, vỉa hè kinh doanh Tôi cần bán nhà mặt phố cổ Lê Hồng Phong ngay cạnh chợ Hà Đông. Giao thông thuận lợi di chuyển các con phố cổ giáp Bà Triệu, cắt ngang phố Lê Lợi, thông ra Tản Đà và Hoàng Diệu, cách khu đô thị Văn Quán chỉ 100m. Nhà có vị trí đẹp gần trường học các cấp, chợ dân sinh, siêu thị Metro, ngân hàng,.... Vỉa hè kinh doanh, đường trước nhà 3 ô tô tránh. Phù hợp làm siêu thị mini, cafe, spa, quán ăn, phòng khám,thời trang, nail, tóc.... Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 8.5 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826607.9909658,,,,
"8,5 tỷ VNĐ",Lê Hồng Phong- Hà Đông, 50m2, 5,"Cần bán mặt phố Lê Hồng Phong, Hà Đông, 50m, 5 tầng, vỉa hè kinh doanh Tôi cần bán nhà mặt phố cổ Lê Hồng Phong ngay cạnh chợ Hà Đông. Giao thông thuận lợi di chuyển các con phố cổ giáp Bà Triệu, cắt ngang phố Lê Lợi, thông ra Tản Đà và Hoàng Diệu, cách khu đô thị Văn Quán chỉ 100m. Nhà có vị trí đẹp gần trường học các cấp, chợ dân sinh, siêu thị Metro, ngân hàng,.... Vỉa hè kinh doanh, đường trước nhà 3 ô tô tránh. Phù hợp làm siêu thị mini, cafe, spa, quán ăn, phòng khám,thời trang, nail, tóc.... Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 8.5 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826608.984308,,,,
7 tỷ VNĐ,Tản Đà- Hà Đông, 59m2, 6,"Anh tôi bán nhà mặt phố Tản Đà, Hà Đông, 59mx6T, vỉa hè rộng, kinh doanh Bán gấp nhà mặt phố Tản Đà, Hà Đông, vỉa hè thênh thang, nhà thoáng sáng rất hiếm. Trục chính sang Lê Lợi nối với Bà Triệu và phố Tô Hiệu, giáp với Hà Cầu, ra chợ lớn Hà Đông rất gần, thông với trục chính Quang Trung. Vị trí đẹp ngay cạnh chợ lúc nào cũng đông đúc, sầm uất. Nhà tự xây rất đẹp chắc chắn phù hợp các loại hình kinh doanh: Spa, nail, tóc, quán ăn, cafe, hiệu thuốc, phòng khám. Chủ nhà là doanh nhân thành đạt, cần bán để đầu tư máy móc, nhà rất có lộc, mặt phố đẹp hiếm nhà bán chỉ 7 tỷ. Sổ đỏ vuông vắn, sẵn sàng giao dịch. Giá: 7 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826610.390546,,,,
4 tỷ VNĐ,"Hồ Tùng Mậu, Nam Từ liêm", 34m2,,"+ Vỡ nợ bán gấp nhà đường Hồ Tùng Mậu, Nam Từ liêm, 34m2 X 5 tầng, 1 tum, MT: 3.6m, ngõ thông.+ Nhà phân lô kiên cố chắc chắn đầy đủ công năng sử dụng, phòng khách, 6 phòng ngủ to, sân phơi. Chủ đang cho thuê, đi lại thuận tiện.+ Ngõ thông, đi bộ 2 phút ra Hồ Tùng Mậu, gần nhiều trường học, Đại học, siêu thị, tiện ích xung quanh không thiếu gì.+ Liên hệ Đức Anh để được xem nhà: 0975517689.",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826611.5444903,, 3,,
200 triệu VNĐ/m2,Phường Cổ Nhuế, 40m2,,"Hót..Bán nhà MT Hoàng Quốc Việt 3 ô tô tránh nhau, 40m2, 4 tầng. Giá nhỉnh 200tr/m2.+ Nhà mặt tiền Hoàng Quốc Việt 3 ô tô tránh nhau, kinh doanh hoặc cho thuê làm văn phòng, gần ngay khu đô thị cao cấp nhiều tiện ích công viên cây xanh mát lành.. + Gần trường học các cấp, cửa hàng buôn bán san sát tấp nập. .Dân cư đông đúc tập trung qua lại mua bán.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7. ",27/04/2022,Tin thường,batdongsan_so_com_vn_1673826612.566761,,,,
