price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
"2,35 tỷ VNĐ","Đông Ngạc, Bắc Từ Liêm, Hà Nội", 35m2, 5, 3, 4,"
    


  Chính chủ bán nhà phố Đông Ngạc , Bắc Từ Liêm , Thành Phố Hà Nội- Dt 35m2, Xây 5 tầng, Vị trí nhà ô tô đậu cổng, nhà được thiết kế khung bê tông cốt thép kiên cố, kiến trúc hiện đại cực đẹp. Nhà vuông vắn, phong thủy tốt, công năng hợp lý:+ Tầng 1: Phòng khách, bếp ăn.+ Tầng 2,3,4: phòng ngủ rộng, vệ sinh khép kín.+ Tầng 5: Phòng thờ và sân phơi rộng* Nội thất được đầu tư kỹ lưỡng, toàn bộ là đồ xịn như: Cửa gỗ lim nam phi, Cầu thang ốp đá,  thiết bị vệ sinh cao cấp nhập ngoại, sàn gỗ, tủ bếp gỗ thịt cao cấp. Nóng lạnh 30 lit Picenza, nhôm kính Xingfa, dây điện Trần Phú, mành rèm đầy đủ.* Vị trí đắc địa - Ngõ thông thoáng,  Gần chợ Kẻ Vẽ, gần Cầu Thăng Long, An Dương Vương, Phạm Văn Đồng,...+ Sổ đỏ chính chủ, Giá bán : 2.35 Tỷ. ( Có thương lượng và bao sang tên )- Liên hệ xem nhà miễn phí  : Em Thực : 0979875522









",10/07/2021,Tin thường,batdongsan_so_com_vn_1673808187.6640556,,,
"4,7 tỷ VNĐ",Đường Tiên Hùng phường Nguyên Khê, 168m2,,,,"Tiềm năng tăng giá cực cao, phân 2 lô cực đẹp, lô góc 2 mặt tiền, đường thông xe tải vào đất, đất sát đường QL3 thuận tiện di chuyển, tiện ích bạt ngàn, ở cực sướng, xứng đáng đầu tư đảm bảo sinh lời 100% Thông Tin Lô Đất - Diện tích: 168m2 - 2 Mặt tiền lên đến gần 30m - Đường trước đất ô tô tải vào, cách QL3 100m, dân cư đông đúc, dân trí cao, an ninh tốt, chia 2 lô cực đẹp lợi nhuận ngay khi mua - Sẵn sổ sang tên trong ngày - Lh: em Quảng 0966262696 xem và tư vấn MIỄN PHÍ",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808189.2777398, 7,,
6 tỷ VNĐ,phố hoàng văn thái, 37m2, 4, 4,,"GẤP! GẤP! SIÊU VÍP BÁN NHÀ HOÀNG VĂN THÁI 37m2 x 4 T 5,9 TỶ Ô TÔ KD  +  Vị trí siêu đỉnh, 37 m2 x 4 tầng giá 5,9 tỷ, ô tô đỗ cổng, ngõ ô tô tránh, nhà phân lô quân đội, giao thông thuận tiện, khu vực an sinh đỉnh, dân trí cao. Ngõ thông tứ phía. + Nhà cách đường ô tô tránh 15m, buôn bán, kinh doanh sầm uất, tiện ích quanh nhà. + Nhà thiết kế hiện đại, mỗi tầng 2 phòng, cầu thang giữa. - Tầng 1: Khách, bếp, vệ sinh - Tầng 2,3: Mỗi tầng 2 phòng ngủ + vệ sinh - Tầng 4: 2 phòng + sân phơi. + Phòng nào cũng có cửa sổ thoáng sáng. +Sổ đỏ chính chủ, nở hậu, sẵn sàng giao dịch. +LH: Hoàng Bắc, ĐT: 0377610275- 0913319643, chuyên nhà đất Hà Nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808190.5652938, 5, 3,
"9,2 tỷ VNĐ",Đường Phan Kế Bính phường Cống Vị, 7m2, 7, 4, 4,"
    Bán nhà Phan Kế Bính  Ba Đình 7T Thang máy- Nhỉnh 9 tỷ- Thông sànVỊ TRÍ CỰC PHẨM - Ở HAY LÀM VĂN PHÒNG ĐỀU ĐƯỢC.Thiết kế : Thang máy cuốiTầng 1,2,3,4 : Thông phòng kinh doanh hoặc làm pnTầng 5 : BếpTầng 6 : KháchTầng 7 : Phòng thờ sân phơi.Lh 0975477668
",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808191.8807752, 4, 4,
"3,65 tỷ VNĐ",Đường Trần Khát Chân phường Bách Khoa, 36m2, 5, 3,,"+ Bán nhà phố Trần Khát Chân, Hai Bà Trưng. Gần phố, trung tâm, hiếm nhà bán. + Tiện ích dân sinh đầy đủ không thiếu gì. + Sổ đẹp chính chủ, giao dịch nhanh chóng. + Lh xem nhà 0973222992 Mr.Tâm chuyên nhà đẹp Hà Nội (Nhận ký gửi nhà).",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808193.6036305, 4, 3,
"5,28 tỷ VNĐ","Hoàng Diệu, Tô Hiệu, Hà Đông", 44m2, 4, 4, 3,"Bán Nhà Chính Chủ Hoàng Diệu-Hà Đông,Phân Lô Cán Bộ, Ở Luôn, DT 44m2 x 4T, Chỉ 5.28 Tỷ. Vị Trí: Nhà khu phân lô cán bộ, an ninh tốt dân trí cao, gần trường tiểu học Lê Qúy Đôn, gần sân bóng Cầu Đơ, đi bộ ra  Chợ Hà Đông, khu kinh doanh buôn bán sầm uất, gần bệnh viện Đa Khoa Hà Đông, YHCT Hà Đông, Cao Đẳng Y Tế Hà Đông. Tiện ích xung quanh không thiếu thứ gì. Thiết kế: Nhà thiết kế 4 tầng khung cột bê tông chắc chắn. + Tầng 1: Để xe phòng khách, bếp + WC. + Tầng 2,3 mỗi tầng 2 phòng ngủ + WC. + Tầng 4 sân phơi. Pháp lý: Sổ đỏ chính chủ giao dịch ngay. Liên hệ: Mr Luyện thổ cư 0911779569 xem nhà miễn phí 24/7.",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808194.8089166, 3, 3, Đông nam
"4,7 tỷ VNĐ",Đường Cổ Linh phường Thạch Bàn, 47m2, 4, 4, 4," đẹp, vị trí Kim Cương phố Cổ Linh, Ngọc Trì. m2- Nhà xây: - Mặt tiền: + Giá4,7Đạo (Chuyên nhà - Mô tả: Nhà mặtrộng  trung tâm gần Trường Học : Đạo (Chuyên nhà ",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808196.0565784, 4, 5,
"5,8 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 1, 50m2, 4, 4, 4,"Mô tả : DT 50M *4T* MT 5M -căn nhà được chủ xây dựng vô cùng tâm huyết ,chắc chắc hiện đại ,chủ nhà là kỹ sư xây dựng ,nhiều nhà bán bớt +ngõ rộng gần 3m vô cùng thông thoáng ,thêm lô góc của căn nhà nên phòng nào cũng ngập tràn ánh sang tự nhiên  +gần các tiện ích như trường học ,chợ siêu thị … -giao thông thuận tiện vài phút là ran gay bến xe mỹ đình đi đâu cũng quá dễ dàng  Lh:0935777266",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808197.3301706, 5, 2,
,Nội đồng- Đại thịnh- Mê Linh- hà Nội, 250m2,,,,"—————Hud mê linh central    🍀Đất trung tâm—Nâng tầm sống 🍀——————————————————————✅ Chính chủ gửi bán BT02-39 Lô áp góc gần cây xanh, gần trường học, gần trung tâm dự án, gần bãi đỗ xe….✅ Diện tích 250m2 - DTXD: 381Giá Gốc 9.741✅ Chênh so giá gốc cực nhẹBán: 10,X tỷ ( có x là bán)Giá đã bao gồm xây dựng.Hud mê linh, vành đai 4, trung tâm hành chính huyện, trục chính mê linh, đường 48.LH: 0989-726-892 Em PhượngBDS hud me linhThổ cư mê linhĐất đấu giá mê linh....",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808198.4970493, 10, 13, Bắc
"17,3 tỷ VNĐ",Lạc Long Quân, 200m2, 4, 6, 6,"- Diện tích 200m2, nhà xây 4 tầng khung cột chắc chắn, có sân vườn, gara ô tô.Thiết kế:Tầng 4: Phòng thờ, sân trồng cây, phòng bếp, kho, chỗ để máy giặt.- Giá chào 17,3 tỷ - Liên hệ xem nhà: Mr Hùng 0902298826",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808200.4492054, 10, 3,
"5,8 tỷ VNĐ",Đường Xuân Đỉnh phường Xuân Đỉnh, 55m2, 5, 6, 4,"-cănnhà chủ mới xây dựng thiết kế 5 tầng  +T1: PK + BẾP  +T2.3..6PN +T5: 1PN -ngõ thông thoáng ô tô qua lại vô tư,vài bước chân là ô tô tránh nhau  +vị trí gần công viên hòa bình ,ngoại giao đoàn .. +giao thông đi lại thuận tiện vài phút di chuyển ra ,phạm văn đồng ,võ chí công  Tiện ích vô vàn chợ ,siêu thị trung tâm thương mại bán kính 500m Lh : 0935777266 ( để được xem nhà)",17/08/2022,Tin thường,batdongsan_so_com_vn_1673808201.6500375, 4, 2,
