price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng,Mặt tiền
4 tỷ VNĐ,Bùi Ngọc Dương, 40m2,"Tự tin khắp Hà Nội không có căn thứ 2 vừa ở vừa kinh doanh cực đỉnhDịch bệnh căng thẳng chủ nhà đã  mua nhà mới trên phố cần tiền muốn thanh khoản nhanh căn này để xoay vốn. Tầm tài chính này mà có nhà Mặt Phố quả là không tìm đâu ra căn thứ 2 cơ hội chỉ có 1+ Vị trí không thể đẹp hơn MẬT PHỐ Bùi Ngọc DƯơng khu trung tâm quận Hai Bà TrưngNhà nằm ở vị trí trung tâm có vỉa hè, trước cửa nhà ô tô tránh nhau phi vèo vèo, khu vực nhiều cơ quan hành chính đông đúc tấp nập, gần các trường cấp 1,2,3 đủ cả sát sườn Bách Khoa, Xây Dựn , Kinh Tế Quốc Dân ,….. vài phút là ra các Bệnh Viện lớn như Bạch Mai , Thanh Nhà , Lưu lượng người qua nhà tấp nập kinh doanh đỉnh của đỉnh chả đâu bằng Giá chỉ 4 tỷ chủ nhà cực kỳ thiện trí, có gia lộc cho khách mua hữu duyên. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",28/06/2022,Tin thường,batdongsan_so_com_vn_1673817558.5165377,,,,,,
"1,6 tỷ VNĐ",Đường Trung Oai phường Tiên Dương, 50m2,"
    Chính chủ gửi bán 50m2 tặng nhà 2 tầng đầy đủ tiện nghi . chỉ việc sách vali đến ở tại thôn Trung Oai xã Tiên Dương, giá công khai nhỉnh 1.6 tỷ  lh 0377236666 gặp Mrs Diễm bao giá rẻ nhất thị trường Khách thiện chí mua chủ tặng full nội thất
",27/06/2022,Tin thường,batdongsan_so_com_vn_1673817560.232944,,,,,,
"2,25 tỷ VNĐ",nguyễn chí thanh, 75m2,"Chủ nhà cần tiền bán gấp nhà TT Nguyễn Chí Thanh, Đống Đa 75m x 3 ngủ nhỉnh 2 tỷ+ Nhà mới sửa sang rất đẹp và hiện đại , khách chỉ việc xách vali về ở+ Vị trí trung tâm sầm uất , cách Vincom Nguyễn Chí Thanh 300m , tiện ích vô vàn+ Chủ đang cần tiền giá nào cũng bán , sổ đẹp , pháp lý rõ ràng , sẵn sàng lên đườngXem nhà và tư vấn hỗ trợ miễn phí .Trung 0896695659",27/06/2022,Tin thường,batdongsan_so_com_vn_1673817561.3479617,,,,,,
16 tỷ VNĐ,"Nguyễn Khuyến, Bạch Thái Bưởi, Văn Quán, Hà Đông", 77m2,"Bán nhà 5 tầng Bạch Thái Bưởi,Văn Quán- Hà Đông, DT 77 m2, MT 5 m, Ô Tô Tránh, Kinh Doanh Đỉnh. Vị trí: Nhà khu trung tâm Quận Hà Đông, khu phân lô nhiều cây xanh mát mẻ, kinh doanh buôn bán tấp nập, kinh doanh hoặc làm văn phòng đều rất tuyệt, nhà  mặt phố rộng kinh doanh này đêm ngay cạnh  bệnh viện Quân Y 103, Viện bỏng Lê Hữu Trác, gần trường mầm non Văn Quán, Tiểu học Nguyễn Du, trường liên cấp Ban Mai Hà Đông tiện ích ngập tràn cái gì cũng có vài bước chân ra công viên hồ Văn Quán. Thiết kế: Nhà xây tầng 1 thông sàn kinh doanh, ga ra ô tô+ bếp + WC Tầng 2,3,4 mỗi tầng có 2 phòng ngủ, 04 phòng vệ sinh Tầng 5 thiết kế phòng thờ + sân phơi Gía chỉ 16 tỷ có ngay nhà rộng mặt phố lớn kinh doanh ngày đêm Pháp lý: Sổ đỏ vuông đẹp sẵn sàng giao dịch Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.                                                                                                                                                                                 - Mr Luyện thổ cư: 0911779569 - Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ.  “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",27/06/2022,Tin thường,batdongsan_so_com_vn_1673817562.7671647, 15, 5, 6, 4,,
5 ngàn VNĐ,Đường Đặng Tiến Đông phường Trung Liệt, 42m2,"+ Bán nhà Đặng Tiến Đông, Đống Đa, ô tô qua cửa, khu công chức, an ninh tốt, Dân trí Cao, kinh doanh nhỏ. + Thuận Tiên Giao thông, Sinh Hoạt thường ngày của gia đình, Trường Học Các Cấp, Chợ, Siêu Thị, Bệnh viện,Khu vui chơi giải trí..., + Quý Khách Quan Tâm, Để được tư vấn, xem nhà hoàn toàn miễn phí.  + Liên hệ: Anh Vượng - 0912949598. Bất Động Sản Đống đaSổ Đỏ Chính Chủ Sẵn sàng giao dịch, Hỗ trợ tư vấn Pháp lý, Đàm Phán.",27/06/2022,Tin thường,batdongsan_so_com_vn_1673817564.7911198, 1, 1, 1, 1,,
"8,9 tỷ VNĐ","phố Vũ Tông Phan, phường Khương Đình", 58m2,"Cần bán căn nhà 4 tầng, 58m2, mặt tiền 5m tại đường Vũ Tông Phan, phường Khương Đình, quận Thanh Xuân. KHU TRUNG TÂM CÁN BỘ CAO CẤP - Ô TÔ ĐỖ CỬA - NHÀ TỰ THIẾT KẾ - TẶNG NỘI THẤT - Ở LUÔN Ngay đầu ngõ, ngõ lại THÔNG các phố Khương Hạ, Khương Trung, Ô tô 7 chỗ đỗ cửa, khu SÂN CHƠI RỘNG siêu hiếm. Cách phố 20m, cách Ngã tư Sở 3 phút đi xe, giao thông đi các hướng cực kì thuận tiện. Nhà ở khu toàn quan chức AN NINH TRẬT TỰ tốt, tiện ích xung quanh đầy đủ. Thiết kế hiện đại, nội thất cao cấp, nhà đẹp TẶNG NỘI THẤT về ở luôn. + Tầng 1: Khách + Bếp + WC; + Tầng 2,3: mỗi tầng 2 phòng + 1 WC; + Tầng 4: phòng thờ + sân phơi. Chủ mới về ở luôn, ko phải sửa sang gì. Sổ đỏ vuông đét. Giá: 8,9 tỷ VNĐ. Chủ hiểu chuyện tôn trọng khách mua. Thanh Xuân giờ giá lên vù vù, anh chị em cô chú đi mua cứ mạnh dạn, nhanh chân là được! Liên hệ: Mr. Ngọc – 0344.978.570 (chuyên khu vực Vũ Tông Phan). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",27/06/2022,Tin thường,batdongsan_so_com_vn_1673817568.6266606,, 4, 4,,,
1 tỷ VNĐ,"Thịnh Quang, Thái Thịnh", 35m2,"bán đất tặng Nhà 3 tầng, SIÊU VIP, 35M2 PHỐ THÁI THỊNH, MẶT THOÁNG Vĩnh viễn, nhỉnh 1 tỷ. + Bán Nhà thái thịnh, đống đa, Đường thông với đường láng, tây sơn,láng hạ, Khu vực dân trí cao, an ninh an toàn. + Thuận Tiên Giao thông, Sinh Hoạt thường ngày của gia đình, Trường Học Các Cấp, Chợ, Siêu Thị, Bệnh viện,  Khu vui chơi giải trí..., + Quý Khách Quan Tâm, Để được tư vấn, xem nhà hoàn toàn miễn phí. + Liên hệ: Anh Vượng - 0912949598. Bất Động Sản Đống đa  Sổ Đỏ Chính Chủ Sẵn sàng giao dịch, Hỗ trợ tư vấn Pháp lý, Đàm Phán.",27/06/2022,Tin thường,batdongsan_so_com_vn_1673817569.7895503,,,,,,
4 tỷ VNĐ,Khương Trung, 37m2,"Bán nhà trung tâm Phố Khương Trung - Thanh Xuân,- Diện tích: 37m2, 5 Tầng xây mới.- Nhà Lô Góc 2 mặt thoáng sáng, Ô TÔ đỗ gần.Ngõ nông rộng thông thoáng, ba gác tránh nhau. Nhà cách mặt phố 70m. Thông sang Vũ Tông Phan, Tô Vĩnh Diện. Thiết kế nhà hiện đại, sang trọng, đầy đủ công năng sử dụng.Sổ đỏ vuông đẹp, sang tên nhanh.LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội với nguồn nhà hơn 13 000 căn nhà, tại Hà Nội, miễn phí xem nhà 24/7.",27/06/2022,Tin thường,batdongsan_so_com_vn_1673817570.9155712,, 5, 5,,,
4 tỷ VNĐ,Thượng Đình, 35m2,"Bán nhà Phố Thượng Đình - Thanh Xuân,- Diện tích: 35m2, 5 Tầng xây mới.- Nhà Lô Góc thoáng sáng, Ô TÔ đỗ gần.Vị trí nhà đẹp, đi bộ vài phút ra Royal City, gần chợ, trường học các cấp. Ngõ nông rộng đường trước nhà rộng thoáng thông tứ phía.Sổ đỏ vuông đẹp, sang tên nhanh.LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội với nguồn nhà hơn 13 000 căn nhà, tại Hà Nội, miễn phí xem nhà 24/7.",27/06/2022,Tin thường,batdongsan_so_com_vn_1673817572.0495362,, 5, 4,,,
6 tỷ VNĐ,mỗ lao, 45m2,"Bán Nhà, Ngô Thì Sỹ, Hà Đông. Ô Tô Kinh Doanh 45m2 x 5 tầng. Mặt Tiền 3.8m Giá 6 Tỷ.  PHÂN LÔ 2 ĐẦU – Ô TÔ VÀO NHÀ – CHỦ NHÀ LÀ KIẾN TRÚC SƯ – NHÀ ĐẸP LONG LANH  + Vị trí cách mặt phố Ngô Thì Sỹ 10m, đườnh ô tô tránh, ngõ thẳng tắp, ô tô đỗ ngày đêm.. Cách đường Vạn Phúc vài trăm mét ngả đi các hướng Quang Trung, Tố Hữu, Đại Mỗ, giao thông rất thuận tiện. Trước nhà là trường THCS Vạn Phúc, + Xung quanh rất nhiều tiện ích như: Trường Đại Học Kiến Trúc, Học Viện Bưu Chính Viễn Thông, Siêu Thị Bigc Hồ Gươm, siêu Thị Coopmax, TTTM Roal anl City, chợ đầu mối và rất nhiều tiện ích xung quanh. + Nhà 5 tầng, mặt tiền rộng, thoáng. Tầng 1: Phòng Khách, bếp, vs. Tầng 2,3,4: Mỗi tầng 2 ngủ, vs giữa. Tầng 5: Phòng thờ, sân phơi. -Chủ nhà tâm huyết tự tay thiết kế nên rất đẹp và k có lỗi.  + Sổ siêu đẹp, sẵn sàng giao dịch.  - Sổ đỏ chính chủ, sẵn sàng giao dịch.    LH: E KHÁNH: 0984568179  ",27/06/2022,Tin thường,batdongsan_so_com_vn_1673817573.5607045,, 5, 6, 4,,
