price,address,Diện tích,Hướng,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Lộ giới
"9,477 tỷ VNĐ","25 lê văn lương, thanh xuân, hà nội", 160m2, Đông nam, 8, 3,"
    Dự án BRG Dimond Residence 25 Lê Văn Lương hiện tại đã có căn hộ mẫu.
Quý khách đăng ký thăm quan căn hộ mẫu liên hệ ngay.
- Thanh toán sớm 95% CK 6%.
- Hỗ trợ vay 65% lãi suất 0% 12 tháng.
- Tặng gói miễn phí dịch vụ quản lý 12 tháng.
- Tặng 1 năm phí đỗ xe ô tô.
- Thời điểm bàn giao: Quý 2/2022.
* Chủ đầu tư: Công ty Cổ phần Dịch vụ và Kinh doanh bất động sản Hà Nội.
- Đơn vị phát triển dự án: Tập đoàn BRG.
- Đơn vị thi công: Tập đoàn Xây dựng Hòa Bình.
- Hành lang 2,1m trần cao 3,6m 4,5m.
- Dịch vụ quản lý khách sạn 5 sao (Savills quản lý).
- Vị trí dự án: 25 Lê Văn Lương, phường Nhân Chính, Thanh Xuân, HN (ngã tư Lê Văn Lương giao với Hoàng Đạo Thúy).
- Quy mô khu cao tầng: 2 tòa D01 và D02 chung 1 khối đế cao 35 tầng.
Diện tích căn hộ bao gồm:
- Căn hộ 2PN: 61m2 giá từ 4.2 tỷ (chưa tính chiết khấu).
- Căn hộ 3PN: 103m2 - 120m2 - 144m2 giá từ 6,8 - 8,4 tỷ (chưa tính chiết khấu).
- Căn hộ 4PN: 160m2 giá từ 10 tỷ - 10,7 tỷ (chưa tính chiết khấu).
* Tiện ích căn hộ BRG 25 Lê Văn Lương:
- Khối đế trung tâm thương mại 5 tầng với nhiều thương hiệu thời trang và ẩm thực quốc tế, sảnh coffe Starbucks với diện tích 5002m2.
- Bể bơi, vườn dạo bộ, sky bar, BBQ, khu vui chơi trẻ em, gym, spa tại tầng 5M.
- Vườn thiền, khu đá massage, khu tâm linh, vườn yoga, sky coffe tại tầng mái.
Quý khách hàng liên hệ để nhận được báo giá chi tiết và đăng ký lịch tham quan căn hộ thực tế: Thanh Huy 0865992501
",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830920.4475522,,,
,NGUYỄN HỮU THỌ HOÀNG MAI HA NOI, 50m2,,,,"+Khu nhà p/lô liền kề VIP ,có vỉa hè ô tô tránh dừng đỗ ngày đêm. +2 Thoáng.Ở sướng, kinh doanh văn phòng đẳng cấp. +Tặng lại nội thất xịn toàn đồ gỗ lim cao cấp.Rất đẹp ạ. +Nhà xây5 tầng.Thiết kế hiện đại ! Rất đẹp.Mục đích để ở,tổng 6 ngủ +Tiện ích VIP: chợ,trường học các cấp,y tế,siêu thị đầy đủ trong bán kính 3km. +Khu an ninh cực tốt, hàng xóm công chức nhà nước. +Vị trí đẹp : gần KĐT Đại Kim,AEON HOÀNG MAI,KĐT Linh Đàm,hồ Linh Đàm. +Giao thông kết nối : gần bến xe Giáp Bát,Nước Ngầm,vành đai 3, cao tốc Pháp Vân. +Di chuyển vào TTTP thuận tiện với nhiều ngả đường. +Sổ đỏ siêu đẹp,giao dịch ngay. +Gía 9.7 tỷ có thương lượng ạ. +LH Mr Phúc 0978.895.889zalo-0912.338.038. ",07/03/2022,Tin thường,batdongsan_so_com_vn_1673830921.9355726,,,
"3,35 tỷ VNĐ","Đê Trần Khát Trân, Thanh Lương, Hai Bà Trưng, Hà Nội", 38m2,, 3, 2,"- Nhà nằm trên đường Đê Trần Khát Chân, cực nhiều tiện ích, chợ dân sinh ngay sát, trường cấp 1, cấp 2 ngay cạnh. Nhà có 2 mặt thoáng, xây vuông vắn. Nếu lên thêm 1 tầng nhà đẹp hết ý.- Thiết kế:     + Tầng 1: phòng khách, bếp, WC, để xe    + Tầng 2: phòng ngủ rộng + WC + Sân phơi    + Tầng 3: phòng ngủ + phòng thờ- Sổ đỏ chính chủ, pháp lý rõ ràng, liên hệ anh Tùng 0904854658 (sđt dùng cho facebook, zalo, viber, whatsapp.. whatever!)",13/02/2022,Tin thường,batdongsan_so_com_vn_1673830923.717883, 6, 2,
"2,8 tỷ VNĐ","Ngõ Vân Đồn, Bạch Đằng", 38m2,, 3, 3,"+ Vị trí cực đẹp để ở, ôtô dừng đầu ngõ, qua một nhà vào tới sân riêng.+ Thiết kế :- Tầng 1: Sân để xe, phòng ngủ, bếp, wc.- Tầng 2, 3 : Mỗi tầng một phòng ngủ, bếp, wc.+ Sổ đỏ chính chủ, pháp lý rõ ràng, liên hệ anh Tùng 0904854658 (sđt dùng cho facebook, zalo, viber, whatsapp.. whatever!)",21/02/2022,Tin thường,batdongsan_so_com_vn_1673830925.448254, 3, 3, 6
"2,62 tỷ VNĐ",Xa La- Hà Đông, 35m2,, 5,,"Nhỉnh 2 tỷ, Xa La, Hà Đông, 35mx5 tầng, ô tô gần, ngõ thoáng Hàng xóm gửi bán gấp nhà đẹp, giáp Khu đô thị Xa La- Hà Đông, ngõ thoáng , ô tô gần, xung quanh đầy đủ tiện ích: trường học các cấp, ngân hàng, siêu thị, chợ, bệnh viện,... không thiếu thứ gì.Gần chợ đầu mối phía Nam. Nhà được xây rất tâm huyết phong cách hiện đại, đầy đủ công năng sử dụng , chỉ việc xách vali đến ở. Giao thông vô cùng thuận lợi di chuyển các phố: Mậu Lương, Đa Sỹ, Yên Xá, Phùng Hưng,.... Hàng xóm thân thiện,văn minh, nơi ở rất tĩnh, chủ nhà doanh nhân giàu có, nhà rất có lộc. Giá: 2.62 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830926.760739,,,
"2,62 tỷ VNĐ",Xa La- Hà Đông, 35m2,, 5,,"Nhỉnh 2 tỷ, Xa La, Hà Đông, 35mx5 tầng, ô tô gần, ngõ thoáng Hàng xóm gửi bán gấp nhà đẹp, giáp Khu đô thị Xa La- Hà Đông, ngõ thoáng , ô tô gần, xung quanh đầy đủ tiện ích: trường học các cấp, ngân hàng, siêu thị, chợ, bệnh viện,... không thiếu thứ gì.Gần chợ đầu mối phía Nam. Nhà được xây rất tâm huyết phong cách hiện đại, đầy đủ công năng sử dụng , chỉ việc xách vali đến ở. Giao thông vô cùng thuận lợi di chuyển các phố: Mậu Lương, Đa Sỹ, Yên Xá, Phùng Hưng,.... Hàng xóm thân thiện,văn minh, nơi ở rất tĩnh, chủ nhà doanh nhân giàu có, nhà rất có lộc. Giá: 2.62 tỷ ( có thương lượng). Sổ đỏ vuông, sẵn sàng giao dịch. Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830928.7902749,,,
"5,3 tỷ VNĐ","phố Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm", 54m2, Tây,,,"Chính chủ bán đất phố Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ LiêmDiện tích: 54m2 - Mặt tiền: 4,5m - dài 12m. Đất hướng Tây- Đất vuông vắn, mặt ngõ Ô tô vào được- Vị trí gần chợ đầu mối, trường cấp 123, gần công viên Hòa Bình, Ngoại Giao Đoàn, thuận tiện cho việc đi chuyển lên Tây Hồ, sân bay Nội Bài- Giao thông vô cùng thuận tiện. An ninh rất tốt, dân cư văn minh, thân thiệnGiá bán: 5,3 tỷ - Có thương lượngLiên hệ chính chủ: 0986713869   Nguồn:  http://nhadathanoi.net.vn/dat-tho-cu/chinh-chu-ban-dat-pho-xuan-dinh-phuong-xuan-dinh-quan-bac-tu-liem-3537.html",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830930.5331814, 4,,
5 tỷ VNĐ,TRUNG PHỤNG - ĐỐNG ĐA, 36m2, Tây bắc, 5, 3,"- Vị trí:+ Ngõ nông thoáng, cách phố vài bước chân , xe máy 2 phút ra Hồ Đắc Di , 3 phút ra Hồ Văn Chương + Trung tâm Đống Đa, giao thông thuận tiện, gần các tuyến phố Xã Đàn, Tôn Đức Thắng, Phạm Ngọc Thạch , Khâm Thiên ...- Nhà thiết kế 5 tầng đẹp, chắc chắn, hiện đại, tổng 3 phòng ngủ khép kín.+ Sổ đỏ đẹp chính chủ, sẵn sàng giao dịch",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830931.849659, 3, 3,
"6,9 tỷ VNĐ",Bạch Mai Hai Bà Trưng Hà Nội, 60m2,, 5, 5,"+ Cần bán nhà Phố Bạch Mai, quận Hai Bà Trưng, ô tô cách nhà 30m, vị trí gần mặt phố, nhà đẹp khách về ở luôn. + Mặt tiền rộng 5 mét, rộng rãi thoáng mát, DT 60m2 xây 5 tầng, đầy đủ công năng cho 1 gia đình đông người. + Thiết kế - Tầng 1: Phòng khách, bếp và vệ sinh. - Tầng 2: 1 phòng ngủ to và 1 phòng ngủ nhỏ. - Tầng 3: 1 phòng ngủ to, và phòng tắm xông hơi. - Tầng 4: 2 phòng ngủ và vệ sinh. - Tầng 5: 1 phòng master và sân phơi. + Giá : 6 tỷ 900 triệu. + Ai thiện trí vui lòng LH trực tiếp: Minh Quang 0327085656 ( để biết thêm thông tin chi tiết )",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830932.934756, 5,,
"6,2 tỷ VNĐ",Bạch Mai Hai Bà Trưng Hà Nội, 52m2,, 4, 4,"+ Cần bán nhà Phố Bạch Mai, quận Hai Bà Trưng, ô tô cách nhà 20m, vị trí gần mặt phố, nhà đẹp khách về ở luôn. + DT 52m2 xây 4 tầng, thiết kế mỗi tầng 2 phòng ngủ. + Vị trí đẹp, khu trung âm hiếm nhà bán, hơn 6 tỷ có nhà trung tâm gần ô tô. + Giá : 6 tỷ 200 triệu. + Ai thiện trí vui lòng LH trực tiếp: Minh Quang 0327085656 ( để biết thêm thông tin chi tiết )",06/03/2022,Tin thường,batdongsan_so_com_vn_1673830934.2570174,,,
