price,address,Diện tích,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Hướng
"7,5 tỷ VNĐ",Dương Quảng Hàm, 52m2, 5, 5,"Cần bán gấp nhà Dương Quảng Hàm 5 tầng 52m2 7.5 tỷ Nhà lô góc kinh doanh , ô tô vào nhà Ngõ thông sang 132 Cầu Giấy, 58 Nguyễn Khánh Toàn Nhà còn tương đối mới mỗi tầng 2 phòng , tổng 5 pn ,1 khách, tầng 1 kinh doanh Sổ nở hậu. LH:0962370591-Nguyễn Phúc Lộc ",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826515.1352568,,,
"4,7 tỷ VNĐ","Kim Hoa, Đống Đa", 35m2,,,"NHÀ ĐẸP Ở NGAY KIM HOA, DT 35M2, MT 5M, FULL NỘI THẤT SANG TRỌNG, NGÕ BA GÁC, ĐẲNG CẤP. + Nhà nằm trên một ngõ rộng thông nhau, dân trí cao, nhộn nhịp, có thể kết hợp vừa ở vừa kinh doanh. + Nhà 5 tầng chắc chắn móng lên tầng, thiết kế nội thất cực đẹp đẳng cấp. + Sổ đỏ vuông vắn chủ để trong két sắt sẵn sàng giao dịch ngay. + Liên hệ em Thái để biết thông tin chi tiết về ngôi nhà.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826516.574407,,,
"9,5 tỷ VNĐ",Văn Khê- Hà Đông, 70m2, 5,,"Bán nhà Liền kề Văn Khê, Hà Đông, 70m, 5 tầng, nhỉnh 9 tỷ, vỉa hè, kinh doanh Cần tiền bán gấp nhà đẹp thuộc khu đô thị Văn Khê, Hà Đông, một trong những nơi sống lý tưởng, dân cư đông đúc, đường thông hè thoáng, kinh doanh đa dạng, sầm uất ngày đêm. Giáp với các khu đô thị xa hoa bậc nhất Dương Nội, ngay cạnh Khu đô thị An Hưng, thông sang Tố Hữu và Nguyễn Thanh Bình, xuôi về phía Lê Trọng Tấn đi ra Ngô quyền đến trục chính Quang Trung rất thuận tiện. Xung quanh đầy đủ tiện ích từ bệnh viện, trường học, ngân hàng, công viên,... Nhà có vị trí đẹp, mặt tiền rất rộng, nhà tự xây chắc chắc phù hợp ở kết hợp kinh doanh hoặc làm văn phòng, duy nhất có 2 mặt tiền rất thoáng. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 9.5 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826517.8150883,,,
"8,6 tỷ VNĐ",Văn Phú- Hà Đông, 50m2, 5,,"Bác tôi cần bán nhà Văn Phú, Hà Đông, phân lô, vỉa hè, ô tô tránh, 50m, nhỉnh 8 tỷ Cần bán gấp nhà đẹp ngay cạnh Victoria Văn Phú, đường trước nhà 3 ô tô tránh, vỉa hè rộng thênh thang, khu vực nhiều người săn tìm vừa ở kết hợp kinh doanh cho thuê. Nhà có vị trí đẹp nhất phố Văn Phú, bác tôi tự xây tâm huyết, cần bán để chia tài sản cho các con, thiết kế nhà 5 tầng rộng đẹp, nội thất gỗ Lim xịn chỉ việc đến ở. Giao thông đi lại thuận tiện nối các phố đối diện với Lê Trọng Tấn đi qua Quang Trung, thông sang Văn La, chạy dọc sang Lý Thường Kiệt, cắt ngang với Trần Đăng Ninh,...hưởng trọn lợi ích của Khu đô thị Văn Phú. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 8.6 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826519.4517083,,,
"8,6 tỷ VNĐ",Văn Phú- Hà Đông, 50m2, 5,,"Bác tôi cần bán nhà Văn Phú, Hà Đông, phân lô, vỉa hè, ô tô tránh, 50m, nhỉnh 8 tỷ Cần bán gấp nhà đẹp ngay cạnh Victoria Văn Phú, đường trước nhà 3 ô tô tránh, vỉa hè rộng thênh thang, khu vực nhiều người săn tìm vừa ở kết hợp kinh doanh cho thuê. Nhà có vị trí đẹp nhất phố Văn Phú, bác tôi tự xây tâm huyết, cần bán để chia tài sản cho các con, thiết kế nhà 5 tầng rộng đẹp, nội thất gỗ Lim xịn chỉ việc đến ở. Giao thông đi lại thuận tiện nối các phố đối diện với Lê Trọng Tấn đi qua Quang Trung, thông sang Văn La, chạy dọc sang Lý Thường Kiệt, cắt ngang với Trần Đăng Ninh,...hưởng trọn lợi ích của Khu đô thị Văn Phú. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 8.6 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826523.4294097,,,
"9,5 tỷ VNĐ",Văn Khê- Hà Đông, 70m2, 5,,"Bán nhà Liền kề Văn Khê, Hà Đông, 70m, 5 tầng, nhỉnh 9 tỷ, vỉa hè, kinh doanh Cần tiền bán gấp nhà đẹp thuộc khu đô thị Văn Khê, Hà Đông, một trong những nơi sống lý tưởng, dân cư đông đúc, đường thông hè thoáng, kinh doanh đa dạng, sầm uất ngày đêm. Giáp với các khu đô thị xa hoa bậc nhất Dương Nội, ngay cạnh Khu đô thị An Hưng, thông sang Tố Hữu và Nguyễn Thanh Bình, xuôi về phía Lê Trọng Tấn đi ra Ngô quyền đến trục chính Quang Trung rất thuận tiện. Xung quanh đầy đủ tiện ích từ bệnh viện, trường học, ngân hàng, công viên,... Nhà có vị trí đẹp, mặt tiền rất rộng, nhà tự xây chắc chắc phù hợp ở kết hợp kinh doanh hoặc làm văn phòng, duy nhất có 2 mặt tiền rất thoáng. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 9.5 tỷ ( có thương lượng). Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM GẦN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826524.4876437,,,
"4,15 tỷ VNĐ",hoàng mai, 41m2, 4, 4,"Bán nhà ở Hoàng Văn Thụ, Hoàng Mai 41m2 x 4 tầng x 3.6m mt.+ Nhà đẹp, gần ô tô, ngõ cực đẹp thông tứ tung, ô tô cách nhà 50m, ngõ thoáng, xung quanh trường, chợ, tiện ích nhiều.+ Nhà 4 tầng còn mới đẹp, thiết kế hiện đại, nội thất sang trọng, cao cấp, thoáng trước sau, chủ để lại toàn bộ nội thất.+ Sổ đỏ CC vuông đẹp.+ Giá 4.15 tỷ.+ Thiết kế:- Tầng 1: Khách + Bếp + Wc- Tầng 2.3: Mỗi tầng 2 phòng + Wc- Tầng 4: Phòng 1 + sân phơi.Liên hệ 0365176087 Đoàn",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826525.7961972, 3, 4,
"1,73 tỷ VNĐ","Sở hữu Căn hộ view cực phẩm Safari, mát mùa hè, ấm mùa đông tại KĐT Vinhomes Ocean Park 1,73 tỷ, 0981215788", 56m2,,,"Sở hữu Căn hộ view cực phẩm Safari, mát mùa hè, ấm mùa đông tại KĐT Vinhomes Ocean Park 1,73 tỷ, 0981215788  Do thay đổi nhu cầu sử dụng nên chuyển nhượng lại căn S2.05.15.08 tầng trung tại KĐT Vinhomes Ocean Park.  - Tổng diện tích: 55.6m2  - Nhà mới, chưa qua sử dụng  - SỔ ĐỎ CẦM TAY  - Thiết kế: 2 phòng ngủ vuông vắn đón sáng tự nhiên, 1 phòng vệ sinh, phòng khách và phòng bếp liên thông tạo không gian thoáng và rộng.  - Thuộc tòa S2.05, tầng trung cực thoáng đẹp, hướng BC TN.  - Tầm view: TMDV kết hợp nhà để xe 5 tầng, sân chơi thể thao, sông San hô lung linh,...  - Hưởng trọn tiện ích cư dân Vinhomes.  - Pháp lý: Đã có sổ đỏ chính chủ, không vay NH.   - Giá bán: 1.730.000.000 (1 tỷ 730 triệu).  - Liên hệ : 0981215788      http://www.sanbatdongsanviet.com.vn",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826526.8533678,,,
,Thanh Xuân, 30m2, 5,,"Chưa đến 4 tỷ sở hữu nhà mặt phố, ô tô, siêu kinh doanh tại Nguyễn Trãi Thanh Xuân – lh: 0376247299. + Nhầ 5 tầng, trước cửa xe bus tránh, kinh doanh mỏi tay. + Khu vực Thanh Xuân nhiều tiện ích, đường thông thoáng di chuyển nhanh đến Nguyễn Trãi, Nguyễn Xiển, Khuất Duy Tiến, Đường Vành Đai 3, … + Giấy tờ, pháp lý đầy đủ rõ ràng. + GIá có thương lượng.  Liên hệ: Em Việt Anh Thổ cư 0376247299 để được tìm hiểu và xem chi tiết căn nhà miễn phí.  ",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826527.897616,,,
30 triệu VNĐ/m2,ngõ 48 ngọc hồi hoàng mai hà nội, 56m2,, 2,"
    Chính chủ cần bán căn hộ 56m2 2 ngủ 2 vệ sinh chung cư Osaka Linh Đàm.
-Căn hộ mới 100% đã có sàn gỗ thiết bị vệ sinh thiết bị chiếu sáng.
-Ban công đông nam vô cùng thoáng mát.
-Căn hộ đã có sổ và có hỗ trợ vay ngân hàng.
-sổ hồng lâu dài, pháp lí rõ ràng
-Nhận nhà nhận sổ sau khi kí hợp đồng.
Lh em Đức Anh : 0969392318
",28/04/2022,Tin thường,batdongsan_so_com_vn_1673826529.0155911,, 2, Đông nam
