price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
"5,72 tỷ VNĐ",Đường Giang Biên phường Giang Biên, 40m2, 4,"Bán đất khu tái định cư - P. Giang Biên - Long Biên - Hà Nội. Diện tích : 40.0m2, vuông vắn, đẹp. Đường bàn cờ rộng 8m , vỉa hè 3m, 2 ô tô tải tránh nhau thông các ngả, kinh doanh tốt Vị trí mảnh đất rất đẹp , gần khu đô thị Vinhomes Riverside , hệ thống quy hoạch đồng bộ , giao thông đi lại rất thuận tiện . 20 phút sang hồ Hoàn Kiếm trung tâm thủ đô.  Tiện ích đầy đủ không thiếu thứ gì , chợ , trường học các cấp , TTTM Vincom , bệnh viện ngay gần. Trước mặt đang là khu ruộng rộng, có quy hoạch làm công viên cây xanh, hồ nước cực đẹp của quận. Tiềm năng phát triển tốt Sổ đỏ chính chủ, sẵn sàng giao dịch Giá bán : 5 tỷ 720  triệu ( có thương lượng cho khách hàng thiện chí ) Liên hệ : Sơn : 0373.968.926 ( Miễn trng gian ).",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817770.9452772,,,,
"1,847 tỷ VNĐ",0847728899, 61m2,,"Cần nhượng căn hộ 2PN 2VS CC Thăng Long Capital có diện tích 61.7m2 (dt thông thủy) chính chủ, bàn giao nội thất cơ bản cao cấp với giá chủ đầu tư bán ra 1,847 tỷ. * Căn góc, Ban công Đông & Nam - Liên hệ: 0847728899 Mr Nghị, để xem trực tiếp căn hộ thực tế. * Địa điểm: Dự án Thăng Long Capital Premium, Lô đất HH1, khu đô thị An Khánh, HN. - Được gì khi chọn mua căn hộ Thăng Long Capital: + Tòa nhà 35 tầng, trong đó có 5 tầng thương mại, 3 tầng hầm để xe rộng rãi, bố trí 6 Thang máy tốc độ cao. + Đầy đủ bể bơi ngoài trời, khu vui chơi trẻ em, phòng sinh hoạt cộng đồng. + Vị trí ngay mặt đường đại lộ Thăng Long, kết nối trực tiếp với đường: Vành đai 3.5, Cạnh Vinhomes Smart City, chỉ mất 7 - 10 phút để di chuyển đến Mỹ Đình, Cầu Giấy. + Là căn hộ có giá và chính sách tốt nhất khu vực phía Tây Hà Nội. + Bên cạnh những tiện ích thiết thực ngay trong nội khu, cư dân Thăng Long Capital còn được thừa hưởng chuỗi tiện ích đẳng cấp: Vincom Mega Mall, đại siêu thị Aeon Mall Hà Đông, tổ hợp giải trí Thiên Đường Bảo Sơn. - Liên hệ or zalo 0847728899 Mr Nghị.",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817772.5689654,,,,
"2,68 tỷ VNĐ",kiến hưng, 38m2, 4,"Bán Nhà, Mâu Lương, Hà Đông. Ô Tô Kinh Doanh 38m2 x 5 tầng. Mặt Tiền 4.8m Giá 2.68 Tỷ.    TRUNG TÂM HÀ ĐÔNG  - KHU VỰC KINH DOANH SẦM UẤT  +Trung tâm hà Đông, Nhà gần phố. Nhà gần trường học các cấp. gần đường CenCo 5 Giao với đường Phùng Hưng. Nhà gần viện 103, viện K Tân Triều, Viện Bỏng. + Nhà Gần Siêu Thị MeTro Hà Đông,  Các chợ đầu mối. Tiện ích xung quanh ngập tràn, giao thông thuận tiện, an ninh an toàn. Thiết kế 5 tầng: + Tầng 1: phòng khách, bếp, WC. + Tầng 2,3,4: Mỗi tầng 1 phòng, WC. + Tầng 5: Phòng thờ, sân phơi.  - Sổ đỏ chính chủ, sẵn sàng giao dịch.    LH: E KHÁNH: 0984568179  ",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817773.912422, 5, 3, 3,
3 tỷ VNĐ,Đường Tây Tựu phường Tây Tựu, 37m2, 6,-----        Nhấc máy lên – Gọi ngay cho em Đại – Chuyên NhàĐất Thổ Cư Hà nội – Tự tin giải quyết mọi vấn đề của anh/chị.,26/06/2022,Tin thường,batdongsan_so_com_vn_1673817775.022485, 5, 3, 4, 3
2 tỷ VNĐ,"Tả Thanh Oai, Thanh Trì, Hà Nội", 35m2, 3,"Nhà 4 tầng mới xây diện tích 35m2 tại đường Tả Thanh Oai giá 2 Tỷ. Nhà mới xây đầy đủ tiện nghi chỉ cần mang quần áo đến ở Nhà thiết kế 4 tầng hiện đại với tầng lửng, mỗi tầng 2 phòng ngủ và được 4 phòng ngủ, phòng khách, phòng bếp, phòng thờ sân phơi, với đầy đủ nội thất cao cấp... Gần đường trục chính Tả Thanh Oai 50m, gần trường Cao đẳng Kinh tế, trường Câp 3 ngô thị Nhậm. Nhà giá hợp lý nhất khu vực với vị trí và diện tích đất phù hợp. Giá bán 2 Tỷ có bớt chút và bao sang tên. Có hỗ trợ vay ngân hàng cho khách có nhu cầu Liên hệ : Anh KHoa đi xem nhà miễn phí. Miễn trung gian",17/05/2020,Tin thường,batdongsan_so_com_vn_1673817776.2821167, 4, 4, 4,
"2,4 tỷ VNĐ","Tả Thanh Oai, Thanh Trì, Hà Nội", 30m2, 4,"Nhà 5Tx30m2 sổ mặt ngõ Tả Thanh Oai 2.4 TỷTả Thanh Oai (Thanh Trì) - 5 TẦNG mặt ngõ chính cách KĐT Đại Thanh 1km 💥💥💥 Mô tả:- Diện tích 30m2 mặt tiền 4m, nở hậu- Nhà đang hoàn thiện ace Chốt Sớm để được giá tốt. Sau hoàn thiện xong giá sẽ cao hơn. - Vị trí: Trung tâm sầm uất nhất xã Tả Thanh Oai. Ngõ thông khắp ngả. cách đường trục chính Yar Thanh Oai 100m, An sinh đỉnh cao.- Thiết kế: 5 Tầng. 4 phòng ngủ, 3wc. Chủ nhà xây mới siêu đẹp thiết kế chuẩn Châu Âu văn phòng.- Giá bán : 2.4 tỷ hỗ trợ bank",25/03/2022,Tin thường,batdongsan_so_com_vn_1673817777.476933, 5, 4, 3, 2
140 triệu VNĐ,"Tả Thanh Oai, thanh trì, hn", 33m2, 3,"Bán nhà 3 tầng dân tự xây trong khu dân cư đông đúc, văn minh Tại đường Tả Thanh Oai, Thanh Trì, Hà Nội. Diện tích 33m2 mặt tiền 3,7m nở hậu rất đẹp. Nhà chủ ở rất được lộc, xây chắc chắn riêng biệt đầy đủ tiện nghi cho 1 gia đình ở sinh lộc. Nằm trong khu vực đang phát triển từng ngày. Nhà thiết kế được 3 phòng ngủ, phòng khách, bếp, sân phơi thoáng...Ngõ vào rộng 2m có sân chơi cho trẻ em trong xóm. Hàng xóm toàn đôi vợ chồng trẻ nên rất thân thiện, hòa đồng. Giá bán 1.4 Tỷ SIÊU RẺ so với khu vực Đầu xã Tả Thanh Oai. Giao thông cực kì thuận lợi đi 5 phút ra tới khu đô thị Đại Thanh, gần trường, gần chợ chiều dân sinh. Liên hệ a khoa đi xem nhà ngay kẻo lỡ cơ hội mua nhà ưng ý và hợp lý.",19/06/2020,Tin thường,batdongsan_so_com_vn_1673817778.6532817, 3, 3, 2, 2
"12,3 tỷ VNĐ",Văn Quán- Hà Đông, 90m2,,"Siêu phẩm Liền kề Văn Quán, vỉa hè KD sầm uất, 90mx5T nhỉnh 12 tỷ Cần bán nhà đẹp có vị trí hiếm đắc địa Văn Quán, Hà Đông, khu vực trung tâm sầm uất, đầy đủ tiện nghi với thông số tuyệt vời: + Diện tích: 90m2. + Thiết kế: 5 tầng hiện đại + Vỉa hè rộng, ô tô tránh. + Mặt tiền siêu khủng. Nhà gần hồ, gần chợ xanh Văn Quán, thiết kế chuẩn công năng, nội thất xịn, vừa ở vừa kinh doanh hoặc làm văn phòng quá đỉnh. Khu duy nhất có 1 căn bán rất đẹp. Nhà bán giáp đường đôi Nguyễn Khuyến, thông sang Phố yên Bình, cạnh Yên Phúc, song song các phố Bạch Thái Bưởi, vài bước ra Phùng Hưng,… Sổ phân lô vuông, sẵn sàng giao dịch. Giá: 12.3 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817779.835168, 5,,,
"3,15 tỷ VNĐ",hà nội, 24m2, 6,"
    


NHÀ ĐẸP - GẦN TRUNG TÂM


Nhà nằm cách mặt đường Phạm Văn Đồng khoảng 150m, cách đường ô tô tránh (đường Nguyễn Khả Trạc) 35m, cách bãi gửi xe ô tô 50m.


Có ngõ riêng để được 10xe máy mà k ảnh hưởng đến ai. Nhà có view nhìn sang biệt thự nên hưởng chọn sự yên tĩnh, thoáng mát, không khí trong lành.


Khu vực xung quanh rất nhiều trường Đại học như Đại học Ngoại Ngữ ĐHQG HN, ĐH Thương Mại, ĐH Sư phạm HN, Trường múa,... Tiện ích ko thiếu gì.


 


Thiết kế 6 tầng. Từ tầng 2 trở lên diện tích là 30m2. Chủ mới chỉ việc xách vali vào ở:


- Tầng 1: gara để xe máy, bếp, vệ sinh.


- Tầng 2: phòng khách.


- Tầng 3+4+5: 1ngủ+1WC.


- Tầng 6: phòng thờ, phòng giặt, sân phơi.


Sổ đỏ đẹp - vuông vắn - Sẵn sàng giao dịch.LH:0903446991để được tư vấn trực tiếp nha.



",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817780.997059,,,, 6
"12,2 tỷ VNĐ",Mỗ Lao- Hà Đông, 90m2, 5,"Cực Hot Liền kề Mỗ Lao, Hà Đông, KD sầm uất, 90m, MT 5m hơn 12 tỷ Siêu phẩm nhà đẹp giáp Làng Việt Kiều Châu Âu, Mỗ Lao- Hà Đông. Nhà có vị trí tuyệt đẹp gần siêu thị, trường học, dân cư đông đúc, kinh doanh quá lý tưởng đủ các loại hình: Spa, nhà hàng, siêu thị,nail, tóc, …vừa ở kinh doanh hay làm văn phòng quá hợp lý với thông số hoa hậu: + Diện tích  90m2. + Mặt tiền khủng 5m. + Thiết kế sang trọng , nội thất Châu Âu nhập khẩu. Vị trí hiếm nhà bán ngàn năm có một, nhà đẹp lung linh không tỳ vết gần nhiều trường đại học, khu vực quanh năm dân cư đông đúc, sầm uất ngày đêm, xem là chốt. Chủ nhà chuẩn bị định cư nước ngoài cùng gia đình nên cần bán gấp trong tháng, nhà cực kỳ có lộc, mua về phất lên như diều gặp gió như gia chủ nhà vậy. Sổ phân lô vuông, sẵn sàng giao dịch. Giá: 12.2 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",26/06/2022,Tin thường,batdongsan_so_com_vn_1673817782.2167976,,,,
