price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id
"3,98 tỷ VNĐ","420 Khương Đình, Thanh Xuân, Hà Nội", 30m2, 3, 3, 4, 4, 3," NHÀ ĐẸP TẦM TIỀN 3 TỶ  – GẦN PHỐ - NGÕ THẲNG TẮP – THÔNG HỘ GIA ĐÌNH  CƠ HỘI ĐẦU TƯ NHÀ THỔ CƯ GIÁ VÔ CÙNG HẤP DẪN!!! Tọa lạc trong ngõ 420 Khương Đình, cách mặt phố chỉ vài chục mét. Khu vực trung tâm gần đường Nguyễn Trãi, Royal City. An ninh tốt, dân trí cao, gần đầm Hạ Đình, đầy đủ tiện ích, khu vực trong xanh đáng sống. Gần trường tiểu học Hạ Đình, trung học cơ sở Khương Đình,.. Nhà mới xây, thiết kế hiện đại: + Diện tích 30m2, nhà cao 4 tầng, mặt tiền 3m. + Tầng 1: để xe, phòng khách, bếp, nhà vệ sinh. + Tầng 2,3: mỗi tầng 2 phòng ngủ, nhà vệ sinh. + Tầng 4: phòng thờ, sân phơi. Sổ đỏ chính chủ sẵn sàng giao dịch, nở hậu phong thủy. Giá chỉ 3,98 tỷ.",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818056.7014546
"7,3 tỷ VNĐ",Đường Vũ Trọng Phụng phường Thanh Xuân Trung, 55m2, 4, 1, 5, 5, 4,"Siêu Hót – Vũ Trọng Phụng – Thanh Xuân – Ô Tô Đỗ Vào Nhà – DT: 55m2 – MT: 4.8m – Giá: 7.3 tỷ -Chính chủ gửi bán căn nhà Vũ Trọng Phụng – Thanh Xuân với diện tích 55m2 x 5 tầng, 5 phòng ngủ, mặt tiền 4.8m. Giá: 7,3 tỷ (có thương lượng) - Trước sân rộng rộng thênh thang ô tô để được mấy cái, xe 7 chỗ vào nhà. - Nhà ngay Trung Tâm quận nên tiện ích đầy đủ, giao thông thuận lợi ra bến xe buýt,gần các trường học các cấp như 1, 2, 3. - Giao thông thuận lợi với các tuyến phố như Nguyễn Trãi, Ngã Tư sở, Láng, Lê Văn Lương… - Nhà được thiết kế theo kiểu hiện đại nội thất sang trọng, công năng đầy đủ cho một gia đình ở. -Nhà chủ xây để ở nên rất tâm huyết và chắc chắn. -Khu vực hạ tầng ổn định dân trí cao, an ninh tốt phù hợp định cư lâu dài. - Sổ đỏ chính chủ sẵn sang giao dịch. - Giá: 7.3tỷ ( có thương lượng) - Anh chịđang quan tâm mua nhà ở khu vực Đống Đa, Thanh Xuân hãy liên hệ em Thùy (24/24) hỗ trợ miễn phí.",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818058.474712
105 tỷ VNĐ,Đường Liễu Giai phường Liễu Giai, 200m2, 7, 20, 9, 20, 25,"Bán nhà 9 tầng Thang Máy mặt phố quận Ba Đình, MT 7.5 m, giá 105 tỷ. Căn nhà có vị trí đẹp trung tâm quận Ba Đình, khu vực dân trí cao, an ninh tốt. Đường trước nhà rộng, vỉa hè 5m, ô tô dừng đỗ thoải mái. Nhà thiết kế theo mô hình vừa ở vừa kinh doanh căn hộ cho người nước ngoài thuê. Nhà hiện vừa ở vừa cho thuê với doanh thu gần 300 tr/ tháng. Thiết kế:  Tầng 1 : tầng hầm để được nhiều ô tô và xe máy. Tầng 2-6 thiết kế căn hộ cho thuê. Tầng 7,8,9: gia đình ở. Trang bị đầy đủ nội thất hiện đại, giấy phép xây dựng, PCCC. Sổ đỏ chính chủ sẵn sàng giao dịch. Giá bán 105 tỷ. Không chín bốn ba. 313. Sáu tám sáu. Liên hệ: call, zalo. ",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818059.7979522
12 tỷ VNĐ,"Nguyễn Trãi, Thanh Xuân, Hà Nội.", 50m2, 4, 8, 4, 4,," * Tuyệt đẹp nhà Nguyễn Xiển quận Thanh Xuân. phân lô, 3 ô tô tránh, căn góc, nhà thiết kế đẹp, tự xây chắc, đầy đủ nội thất, về ở ngay, văn phòng, cho thuê, kinh doanh đỉnh. DT 50/60mT1, 4T, mt 4.6m, giá 12 tỷ. + Vị Trí: đắc địa, thoáng mát, phù hợp ở, cho thuê, kinh doanh sầm uất nhiều ngành nghề. + Khu vực xung quanh đông đúc, nhộn nhịp, nhiều bến, bãi gửi xe, gửi hàng, Công Ty, Ngân Hàng, Trường, Chợ ở gần... trung tâm phố tiện ích, giao thông thuận lợi. + Sổ vuông đỏ đẹp chính chủ, sẵn sàng sang tên. * Nhanh tay LH: 0906113879 Tình nhà phố ( chuyên mua, bán, nhận ký gửi, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818061.0795238
"2,2 tỷ VNĐ",Đường Chính Kinh phường Nhân Chính, 35m2, 4, 3, 4, 3, 3,"-nối thông từ Đường Nguyễn Trãi sang Phố Quan Nhân, đi lại rất thuận tiện.- Gần ngay chợ, trường học các cấp. Tiện ích xung quanh nhiều. Hàng xóm Royal City.- Ngõ vào nhà ba gác phi, nông và rộng. Khu dân cư ổn định, dân trí cao. Không quy hoạch.- + Tầng 2, 3:  phòng ngủ + WC.+ Tầng 4: Phòng thờ + phòng ngủ nhỏ + WC + Tầng tum: Sân phơi + vườn thượng uyển - Lô góc, 2 thoáng vĩnh viễn. Cầu thang đều có khe thoáng thông khí từ tầng 1 đến tầng 4 - Sổ đỏ đẹp.sãn sàng giao dịch ",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818062.239826
"3,4 tỷ VNĐ",Đường Trần Phú phường Biên Giang, 40m2, 5, 5, 5, 5, 5,"+ Nhà 5 tầng phố Trần Phú- Quận Hà Đông, Ô tô đỗ cửa, trung tâm tiện ích quận Hà Đông. + Khu vực tiềm năng nhất quận Hà Đông. + Nhà chủ tự xây, full nội thất. + Sổ đỏ vuông đẹp, sẵn sàng giao dịch.  Liên hệ: Em Thanh để được xem nhà 091227284",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818063.565268
"4,9 tỷ VNĐ","Ngọc Thụy, Long Biên, Hà Nội", 31m2,,,,,,"- Đầm Nấm- Ngọc Thụy 31m2, Mặt tiền 10m - 4.9 tỷ - Mảnh đất siêu hiếm, 3 mặt đường: Đường chính 12m, Ngách 6m và 2m khoảng cánh 2 nhà, 3 góc thoáng. Vỉa hè rộng thênh thang, kinh doanh thôi rồi. -Thửa đất cam kết không có lô thứ hai. - Tiện ích, công viên, hồ điều hòa ( Khai Sơn chuẩn bị đào), trường học các cấp gần kề. - Sổ chính chủ sẵn sàng sang tên trong ngày.",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818064.7331471
"8,3 tỷ VNĐ","Lê Trọng Tấn, Thanh Xuân, Hà Nội", 50m2,,,,,,"Mô tả Nhà cần bán Lê Trọng Tấn, Thanh Xuân, là nhà cấp 4 của cán bộ bộ đội được phân trong khu tập thể quân đội 50m2. + Khu nhà phân lô, ngõ thông tứ phía, oto 7 chỗ vào tận nhà. + An ninh tốt, dân trí cao toàn cán bộ Quân đội,tiện ích đầy nhà. + Không bao giờ bị ngập. + Hiện trạng nhà cấp 4, mua về xây theo ý mình thì quá đẹp. + Sổ đỏ đẹp, cất két chờ giao dịch. + Giá 8.3 tỷ. Liên hệ: Nghĩa – Để gặp trực tiếp chủ nhà thương lượng.",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818065.9519043
160 tỷ VNĐ,Đường Đội cấn phường Đội Cấn, 600m2, 25, 30, 7, 20, 25,"Bán nhà 7 tầng Quận Ba Đình, MT 25 m, giá 160 tỷ. Tòa nhà văn phòng xây mới, vị trí trung tâm quận Ba Đình, cho thuê 700 tr/ tháng. Đường trước nhà rộng, ô tô chạy 2 chiều. Vỉa hè rộng ô tô đỗ thoải mái. Thích hợp mua làm văn phòng công ty, mua giữ tiền cho thuê, … Thiết kế: 7 tầng 1 hầm, 1 tum. Các tầng thiết kế thông sàn kinh doanh. Thiết kế 2 thang máy, thang bộ, hệ thông thiết bị ngoại nhập. Tòa nhà văn phòng 7 tầng thang máy, mặt tiền 25 m. Sổ đỏ chính chủ. Không chín bốn ba. 313.sáu tám sáu. Liên hệ: call, zalo.",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818067.473834
"3,5 tỷ VNĐ",Trần Phú- Hà Đông, 38m2,,, 5,,,"Nhỉnh 3 tỷ nhà đẹp Trần Phú, Hà Đông,gần ô tô, ngõ thoáng, 38mx5T + Chủ nhà sang tháng cùng gia đình định cư nước ngoài nên cần bán gấp nhà đẹp xây dựng vô cùng tâm huyết với 5 tầng ánh sáng ngập tràn, ngõ rộng thoáng đẹp, rất gần ô tô vài bước ra phố ô tô tránh. + Bán kính xung quanh đầy đủ tiện ích gần chợ, giáp làng Việt Kiều Châu Âu, cạnh siêu thị Big C, các trường đại học, ngân hàng, khu vui chơi, bệnh viện, dân cư văn minh đông đúc.  + Khu vực trung tâm đi lại các phố chính sang Văn Quán, lên Thanh Xuân, gần siêu thị Big C, hàng xóm Nguyễn văn Lộc,  cắt ngang Nguyễn Khuyến, di chuyển lên Chiến Thắng, khu vực hiếm nhà bán. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 3.5 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",24/06/2022,Tin thường,batdongsan_so_com_vn_1673818068.6786172
