price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
"10,2 tỷ VNĐ",văn Phú- Hà Đông, 60m2, 5,"Nhà mặt phố Văn Phú, Hà Đông, 60m, 5 T, vỉa hè kinh doanh sầm uất Cần bán gấp nhà mặt phố Văn Phú, Hà Đông, nhà tự xây đẹp chắc chắn đầy đủ công năng sử dụng, có vỉa hè rộng đá bóng, đường 3 ô tránh, vị trí đắc địa đông dân cư gần chung cư, trường học, ngân hàng, siêu thị tiện ích đầy đủ. Nhà vừa ở vừa kinh doanh cho dòng tiền siêu lợi nhuận, phù hợp với tất cả các loại hình kinh doanh. Giao thông trục chính di chuyển thuận lợi các phố Lê Trọng Tấn, vài bước ra Quang Trung, song song Phan Đình Giót, hàng xóm Hoàng Đôn Hoà, giáp Lý Thường Kiệt, gần Trần Đăng Ninh,… Nhà đẹp gia chủ thịnh vượng cần tiền mua thêm máy móc kinh doanh nên cần bán gấp. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 10.2 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819073.617099,,,,
"10,3 tỷ VNĐ",Bà Triệu- Hà Đông, 60m2, 5,"Bán nhà mặt phố Bà Triệu, Hà Đông, 60mx5 T, vỉa hè  kinh doanh đỉnh cao Siêu phầm hiếm mặt phố cổ Bà Triệu, Hà Đông. Vị trí đoạn đẹp nhất phố, xung quanh dân cư đông đúc, kinh doanh đa dạng sầm uất, khu cực hiếm nhà bán. Nhà thiết kế hiện đại chuẩn công năng sử dụng, mua về khai thác kinh doanh cho dòng tiền lớn ngay. Diện tích rộng với 5 tầng thoáng sáng, có vỉa hè, đường ô tô tránh. Xung quanh nhà đầy đủ tiện ích, giao thông thuận lợi đi các phố cổ hàng xóm Lê Lợi, cắt ngang Tô Hiệu, vài bước ra Văn Quán gần các bệnh viện lớn Phúc La, giáp với Hà Cầu ngay cạnh chợ lớn Hà Đông và phố mua sắm Lê Hồng Phong. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 10.3 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819075.1839435,,,,
"10,3 tỷ VNĐ",Bà Triệu- Hà Đông, 60m2, 5,"Bán nhà mặt phố Bà Triệu, Hà Đông, 60mx5 T, vỉa hè  kinh doanh đỉnh cao Siêu phầm hiếm mặt phố cổ Bà Triệu, Hà Đông. Vị trí đoạn đẹp nhất phố, xung quanh dân cư đông đúc, kinh doanh đa dạng sầm uất, khu cực hiếm nhà bán. Nhà thiết kế hiện đại chuẩn công năng sử dụng, mua về khai thác kinh doanh cho dòng tiền lớn ngay. Diện tích rộng với 5 tầng thoáng sáng, có vỉa hè, đường ô tô tránh. Xung quanh nhà đầy đủ tiện ích, giao thông thuận lợi đi các phố cổ hàng xóm Lê Lợi, cắt ngang Tô Hiệu, vài bước ra Văn Quán gần các bệnh viện lớn Phúc La, giáp với Hà Cầu ngay cạnh chợ lớn Hà Đông và phố mua sắm Lê Hồng Phong. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 10.3 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn. ",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819076.4096296,,,,
"10,2 tỷ VNĐ",Văn Phú- Hà Đông, 60m2, 5,"Nhà mặt phố Văn Phú, Hà Đông, 60m, 5 T, vỉa hè kinh doanh sầm uất Cần bán gấp nhà mặt phố Văn Phú, Hà Đông, nhà tự xây đẹp chắc chắn đầy đủ công năng sử dụng, có vỉa hè rộng đá bóng, đường 3 ô tránh, vị trí đắc địa đông dân cư gần chung cư, trường học, ngân hàng, siêu thị tiện ích đầy đủ. Nhà vừa ở vừa kinh doanh cho dòng tiền siêu lợi nhuận, phù hợp với tất cả các loại hình kinh doanh. Giao thông trục chính di chuyển thuận lợi các phố Lê Trọng Tấn, vài bước ra Quang Trung, song song Phan Đình Giót, hàng xóm Hoàng Đôn Hoà, giáp Lý Thường Kiệt, gần Trần Đăng Ninh,… Nhà đẹp gia chủ thịnh vượng cần tiền mua thêm máy móc kinh doanh nên cần bán gấp. Sổ đỏ vuông, sẵn sàng giao dịch. Giá: 10.2 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819077.673253,,,,
"5,6 tỷ VNĐ",Đường Nguyễn Văn Hưởng phường Giang Biên, 35m2, 5,"
    + Nhà phù hợp mở văn phòng, hiệu thuốc, hiệu tóc, nail, siêu thị.- Tầng 1: Văn phòng công ty + phụ.- Tầng 5: Sân phơi, phòng thờ.
",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819079.0589705, 3, 10, 4, 4
"5,6 tỷ VNĐ",Đường Ngô Gia Tự phường Long Biên, 60m2, 1,"
    + Thích hợp: xây nhà ở, đầu tư xây bán, cất tiền,..
",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819080.4572272, 4, 1, 1, 1
"4,55 tỷ VNĐ",Phố Vũ Trọng Phụng, 42m2, 5,"+ Bán nhà Phố Vũ Trọng Phụng - Thanh xuân,42m2, 5 Tầng, LÔ GÓC, 4.55 Tỷ.+ Trung tâm Quận Thanh Xuân, rất gần phố; gần chợ, trường học các cấp, bện viện, siêu thị, TTTM.+ Ngõ nông rộng, đường trước nhà rộng thoáng thông tứ tung.+ Nhà LÔ GÓC 2 mặt thoáng sáng nên phòng nào cũng có cửa sổ.+ Nhà xây dựng chắc chắn, nội thất cao cấp, đầy đủ công năng sử dụng, khách mua về ở ngay. LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội với nguồn nhà hơn 13 000 căn nhà tại Hà Nội, miễn phí xem nhà 24/7.",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819081.5339808,,,,
"5,68 tỷ VNĐ",Đường Khương Hạ phường Khương Hạ, 47m2, 4,"+ Xây dựng thực tế từ tầng 1 là 47m2. Thiết kế mới 4 tầng 1 tum, cầu thang và WC ở giữa.  - Tầng 4: Phòng ngủ, phòng thờ và sân phơi.  Liên hệ : Mr Hùng 0983 99 66 29để được tư vấn và xem nhà. ",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819082.6868968, 4, 4, 4, 4
"3,1 tỷ VNĐ","Thanh Trì, Hà Nội", 52m2,,"BÁN NHÀ TỨ HIỆP - HƯỞNG TRỌN TIỆN ÍCH - 52M - 3.1 TỶ Bán nhà Tứ Hiệp, Thanh Trì, Hà Nội Nhà nằm ngay sát KĐT Hồng Hà Eco, Bệnh Viện Nội Tiết TW, 50m ra đường Nguyễn Bặc, vài bước là trường học các cấp…Full tiện ích Chủ nhà là kỹ sư lập trình FPT, vui tính, xởi lởi. Bán nhà về Cầu Giấy để tiện công tác Giá 3.1 tỷ Miễn tiếp trung gian và môi giới 0869458183 Liên Thanh Trì để đi xem nhà",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819083.8627517,,,,
"5,8 tỷ VNĐ",Đường Nam Đồng phường Nam Đồng, 30m2, 5,"Bán nhà xây mới quận Đống Đa ô tô chạy thông giá 5.8 tỷ. Nhà bán thuộc khu vực kinh doanh tốt của quận đống đa. Ngõ thông ô tô chạy vòng quanh, nhà cách mặt phố chính khoảng 20 m. Nhà mới xây 5 tầng, mặt tiền gần 4 m rất đẹp. Sổ đỏ chính chủ giao dịch ngay. Giá bán 5.8 tỷ  Không chín bốn ba, 313, sáu tám sáu. Liên hệ: call, zalo.",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819085.067528, 4, 4, 3, 4
"4,9 tỷ VNĐ",Đường Nguyễn Khuyến phường Văn Quán, 52m2, 5,"
    
Bán nhà đẹp Nguyễn Khuyến, Văn Quán ở rộng rãi 52m2, 5 tầng, mặt tiền 5m, giá 4.9 tỷ.
 
S: 52m2; 5 tầng; MT 5m; Giá 4.9 tỷ.
Vị trí:
+ Nhà nằm ở vị trí đẹp, thông thương tứ phía, giao thông thuận lợi.  
+ Nhà chủ tự tay xây dựng, tâm huyết chắc chắn. Các tầng đều có cửa sổ, phía sau nhà có giếng trời, không khí lưu thông, vượng khí. 
+ Thiết kế: 5 Tầng, Diện tích 52M2. T1: Sân để 5 xe máy, Khách, Bếp, Wc. T2, T3: 2 phòng vệ sinh giữa. T4: Phòng đa năng, Kho, Phòng Thờ. T5: Khu giặt giũ, Sân phơi, Khu trồng cây.

 
- Sổ đỏ chính chủ vuông vắn nở hậu, giao dịch luôn.
-Liên hệ: Tôi Công 0981795728 để xem nhà.
",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819087.520218, 5, 3, 4, 5
4 tỷ VNĐ,Minh Khai - Hà Nội, 80m2,,"Vị trí đặc địa nhất nhì khu Hai Bà Trưng ngõ thông hè thoáng, an sinh đỉnh của đỉnh. Ngôi nhà tọa lạc ở ngay đầu phố Dương Văn Bé vài ba bước chân là qua Time City tận dụng hết thẩy tiện ích cao cấp của các khu đô thi xung quanh…. ba bước sang Time City, vài phút ra bờ hồ , thuận tiện di chuyển  ra các bệnh  viện lớn như  Thanh Nhàn , Ung  bướu  , Bạch Mai ,… cũng  như các trường  đại học  lớn như  Kinh Tế Kỹ Thuật – Công Nghiệp, Kinh Doanh và Công Nghệ,  Bách Khoa , Xây Dựng , Kinh Tế  Quốc  Dân…. Hơn thế nữa khu vực này hiện nay đã quy hoạch ổn định giá đất trong khu vực chỉ có lên chứ không có xuống ,..ngõ nhà thông , xung quanh điện đường , trường , trạm đủ cả, sắp tới Vĩnh Tuy 2 được hoàn thành giá đất khu vực dự kiến còn lên theo chiều thẳng đứng. Nhà ở rất lộc gia chủ  làm ăn cực kỳ phát đạt bất chấp mùa dịch đã cọc tiền mua được căn to hơn trên  phố  để làm ăn nên cực kỳ thiện trí có gia lộc cho khách hữu duyên giá chào 4  tỷ. Chi tiết LH: Nhật Nhà Đất  0977194820 (Chuyên Nhà đất Thổ cư với nguồn hàng Hơn 6000 Căn Nhà  Lớn nhỏ Từ 1 – 100 Tỷ trên khắp địa bàn Hà Nội sẵn sàng giúp Khách hàng tìm được những căn nhà ưng ý nhất).Lưu ý:-Tận Tâm, Uy tín , Chuyên nghiệp cái Tâm và cái Tầm đặt lên hàng đầu- Không kênh giá chủ nhà- Miễn phí toàn bộ dịch vụ: Dẫn khách xem nhà, tư vấn pháp lý ",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819088.6840622,,,,
"1,95 tỷ VNĐ",trần đại nghĩa, 60m2,,"Chỉ 1 tỷ95 sở hữu nhà phố Trần Đại Nghĩa 60m, oto đỗ cổng, LH 0373729889 - Chủ nhà chuyển công tác nên cần bán nhà. Khu Trần Đại Nghĩa là khu hiến có nhà bán. - Kinh doanh sầm uất ngày đêm, dân cư đông đúc, - Gần 3 trường đại học Bách - Kinh - Xây, gần bệnh viện Bạch Mai - Việt Pháp, vô cùng thuận lợi trong kinh doanh với đa dạng mọi thể loại. + Sổ đỏ riêng, chính chủ, pháp lý rõ ràng, sẵn sàng giao dịch.Giá chỉ 1 tỷ 95(có thương lượng)Liên hệ: 03737329889 - Minh thổ cư hỗ trợ khách hàng xem nhà miễn phí đến tận lúc hoàn thành thủ tục mua nhà. Đàm phàn trực tiếp với chủ nhà.",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819089.9426973,,,,
"5,4 tỷ VNĐ","Bà Triệu, Nguyễn Trãi, Hà Đông, Hà Nội.", 50m2, 6," # Chủ cần bán nhà đường Bà Triệu, Hà Đông. Nhà mới, Full nội thất, tổng 12 phòng khép kín, đầy đủ công năng, phù hợp ở, gia đình nhiều thế hệ, hoặc vừa ở vừa cho thuê thu dòng tiền khủng / tháng. DT 50m2, 6T giá 5.4 tỷ.   + Vị trí: 5m ra mặt phố Bà Triệu, gần sân Vận Động, chợ lớn Hà Đông, giao thông thuận tiện, trung tâm phố tiện ích. + Sổ vuông đỏ đẹp chính chủ pháp lý chuẩn. * Giá 5.4 tỷ. LH xem trực tiếp, thương lượng miễn trung gian. # HotLine: 0983858722 Tình nhà phố ( chuyên mua, bán, nhận ký gửi Nhà, Đất, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819091.1255314, 4, 3,,
28 tỷ VNĐ,Phường Bưởi Quận Tây Hồ, 55m2,,"Cực Hiếm.Mặt phố Trích Sài View Hồ Tây 55M2. Kinh Doanh.bất chấp. Nhỉnh Triệu đô.+ Vị trí 5* Cực hiếm trung tâm Quận Tây Hồ, mặt phố View Hồ Tây ô tô vào nhà. Tiện ích miễn bàn.+ Mảnh Đất cực hiếm  Kinh doanh bất chấp, .+Khu trung tâm vị trí đẹp, an ninh dân trí cao, tiện ích miễn bàn. + Đường phố Trích Sài ôm trọn ven Hồ Tây -  Xây tòa nhà văn phòng, kinh doanh dịch vụ, hàng ăn, café …+ Sổ đỏ vuông vức chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, thủ tục sang tên nhanh gọn. + Tư vấn 24/7. ",19/06/2022,Tin thường,batdongsan_so_com_vn_1673819092.169739,,,,
