price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Hướng,Số phòng ngủ,Số toilet,Lộ giới,Số tầng
"5,9 tỷ VNĐ",Trần Khát Chân, 66m2, 6," NHỈNH 5 TỶ CÓ NGAY NHÀ 66M2 MT6M-NGÕ NÔNG-Ô TÔ-ĐẦU TƯ-DÒNG TIỀN- TRUNG TÂM QUẬN HAI BÀ TRƯNG.+ Đất đã xây 2 nhà, 2 mặt ngõ chủ đang cho thuê dòng tiền đều.+ Khách mua ở hoặc đầu tư cho thuê quá đỉnh.+ Vị trí nhà cực đẹp, ngõ nông, ô tô, gần Bà Triệu, Lò Đúc, Bạch Mai, Thanh Nhàn,Hồ Gươm, giao thông đi lại thuận tiện vô cùng.+ Khu vực dân cư đông, an sinh đỉnh, giá đất đang tăng nhanh.+ Chủ nhà cần bán gấp, nên thiện chí bán cho khách nhiệt tình.+ Tiềm năng tăng giá cao.+ Sổ đỏ ngon lành, khuôn đất vuông vắn.+ Liên hệ: Mrs.Thanh Nguyễn: 0916600189 - gặp là có LỢI - Chuyên Gia tư vấn Thổ cư Hà Nội. ",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818289.0745661,,,,,
,nguyễn khuyến văn quán hà đông, 90m2,,"- Sẽ ra toà 50 trước: Chia làm 2 giai đoạn bán hàng + Đợt 1 ra tổng 200 căn ( 100 căn lâu dài + 100 căn 50 năm) + Đợt 2 ra 100 căn dòng 50 năm - Giá rumor giai đoạn 1 : loại 50 năm 36tr, lâu dài 44 bao gồm VAT",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818290.7720246, Đông nam, 2, 2,,
,"thôn 7, Tân Xã, Thạch Thất, Hà Nội", 77.8m2, 4,"
    




Lô đất trục chính thôn 7 Tân Xã, 77,8m2 full TC cần bán nhanh nên giá nhỉnh tỷ.
- Xung quanh tiện ích đầy đủ: Trường học, chợ, cửa hàng tiện ích, uỷ ban...dân cư hiện hữu đông đúc.
- Cách hồ Tân Xã 5' lái xe, ĐH FPT 2km, khu CNC 2km...
- Nằm sát tỉnh lộ 419
-Đường to trục chính liên thôn liên xã
- Cách trung tâm HN 30km theo hướng Đại lộ Thăng Long.
- BĐS này có xây ở, xây trọ, kinh doanh được luôn vì lượng dân cư qua lại rất đông.
LH: 0978862329 Mr Hoàng để xem đất

















 

 






 

 






 

 






 

 






 


+2

 







 







",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818292.1533313,,,, 5,
"6,5 tỷ VNĐ",Hà nội, 43m2, 4,"
    Bán nhà Xuân Đỉnh Ô TÔ đỗ cửa, dt 43m2 xây mới 5 tg mt 4m giá nhỉnh 6 tỷ.
 NHÀ MỚI, CHẤT, NỘI THẤT NGON, NGÕ TO SÂN RỘNG, Ô TÔ ĐỖ CỬA, 40M RA PHỐ XUÂN ĐỈNH 
Tổng thể cả 3 căn nhà cạnh nhau, diện tích gần 45 m2, xây 5 tầng, cầu thang và wc giữa. Chủ xây có tâm, như xây nhà mình ở luôn!
(Hiện tại căn trong cùng đã bán, còn 2 căn ngoài)
 Khuôn viên xung quanh rộng thoáng, có thể để 3 xe ô tô i10 và nhiều xe máy.
+ Tầng 1: Phòng khách, bếp, wc nhỏ.
+ Tầng 2-4: 6 phòng ngủ, khe thoáng sau nhà.
+ Tầng 5: Phòng thờ và sân.
 Nội thất chất lượng cao:
 Gỗ đã qua tẩm sấy, chống cong vênh mối mọt: Cửa gỗ Lim Nam Phi, tủ bếp gỗ Hương, ván sàn Malaysia.
 Sứ vệ sinh American Standard, thiết bị điện, gạch ốp lát cao cấp…
 Thiết kế chỗ để điều hòa trên sân thượng (đã có ống dẫn).
LH: 0903446991 để được tư vấn trực tiếp nha.
",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818293.322905,, 9, 5, 4, 5
6 tỷ VNĐ,"Thái Hà Đống Đa,", 52m2,,"+ Bán Nhà Thái Hà Đống Đa, Vị trí đẹp trung tâm Đống Đa, ngõ rộng, cách mặt phố chỉ vài ngôi nhà. Nhà có thể làm văn phòng, kinh doanh, dân trí cao. + Vị Trí thuận tiện giao thông, giao phố Thái Thịnh, láng Hạ, yên lãng…, Trường học các cấp, bệnh viên,siêu thi, vui chơi giải trí, thể thao. + Quý Khách Quan Tâm, Đmể được tư vấn, xem nhà hoàn toàn miễn phí Liên hệ: Anh Vượng - 0912949598. Bất Động Sản Đống đa Sổ Đỏ Chính Chủ Sẵn sàng giao dịch, Hỗ trợ tư vấn Pháp lý, Đàm Phán.",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818294.4558752,,,,,
6 tỷ VNĐ,Đường Cầu Giấy phường Quan Hoa, 50m2, 3,"-CHỦ CẦN BÁN NHÀ  - Nhà Xây Mới , Xây CCMN dòng tiền cho thuê 45tr/1thang , 500tr/1 năm  - Nằm tại TT Quận Cầu giấy có nhiều sinh viên thuê đông đúc , gần nhiều trường đại học lớn , giao thông thuận tiện , 5p ra đường lớn - 
",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818295.795291,, 9, 9, 4, 5
374 triệu VNĐ/m2,h7.2, 353m2,,* Biệt thự ba mặt thoáng  nằm giữa khu đô thị đầy đủ các tiện ích * An ninh tốt và đảm bảo 24/24 * xe cộ đỗ luôn trước cửa nhà  * Mật độ xây dựng 42% có sân vườn và hồ cá koi * Gia đình có con nhỏ đi học thì ba bước chân sang trường dewey,23/06/2022,Tin thường,batdongsan_so_com_vn_1673818297.1402502, Bắc, 4,,, 3
"1,35 tỷ VNĐ",Đường 19 tháng 5 phường Biên Giang, 30m2, 8,"NHÀ 3 TẦNG 1 TỶ 350 TRIỆU GẦN BẾN XE YÊN NGHĨA - HÀ ĐÔNG - RẺ NHẤT HÀ NỘIVị trí:Cách bến xe Yên Nghĩa 3km.Cách cầu Mai Lĩnh của Phường Biên Giang - Hà Đông 1km.Cạnh ngay đại học Thể dục Thể Thao.Ô tô Morning đỗ cửa, xe 7 chỗ cách 5m, bãi đỗ xe của nhà văn hoá cách 10m (để được 20 xe ô tô).Nhà xây 3 tầng có 3 ngủ và 2wc.Diện tích đất 30m2.Hoàn thiện nội thất đẹp như hình, chỉ mang đồ về ở.Nội thất:1. Cầu thang gỗ lim.2. Cửa thông phòng gỗ. Tủ bếp hiện đại.3. Cửa nhôm chất lượng, cửa chính gỗ Lim cực sang trọng.4. Thiết bị vệ sinh cao cấp, trần thạch cao sáng đẹp.5. Sơn cao cấp. Bồn nước Sơn Hà. Máy bơm nước tiện lợi.6. Dây điện Trần Phú, ống nhựa Tiền Phong bền bỉ chất lượng.7. Đá ốp cầu thang hoa cương tự nhiên.Sổ đầy đủ, phap lý minh bạch rõ ràng.Hỗ trợ ngân hàng tối đa 80% giá trị cho khách có nhu cầu vay vốn. Chỉ cần có từ 400 - 500tr có thể mua được nhà, tiền lãi bằng tiền thuê nhà, sau 10 năm có nhà để ở. Sổ chính chủ, bao sang tên sổ. Nhà xây như hình ảnh đính kèm. Ngân hàng hỗ trợ cho vay 60 - 70%. Liên hệ :0964889819",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818298.4307475,, 3, 3, 3, 3
"3,5 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 30m2, 3,"HOT Nhà đẹp Ngọc Thụy Long Biên Thông Gia Thượng Ôtô đỗ cổng trước nhà 3m + Vị trí gần trường Khai Sơn Hill,Quốc tế Pháp, Ngõ thẳng tắp + Cách đường Lớn Gia Thượng chỉ 20M Ngõ rộng 3M Ôtô đỗ cổng. Giá  rẻ siêu hiếm + Bán kính 100m là trường Mầm Non Gia Thượng, Trường Tiểu Học Ngọc Thụy, THCS Lý Thường Kiệt. không cần đưa đón con đi học. (Mua xa trường học đưa đón con cực mất thời gian). + An ninh cực tốt, hàng xóm hiền hòa, yên tĩnh, nơi ở tuyệt vời. 
Hoàn đang quản lý gần 300 căn nhà phân khúc 3-10 sẽ rất tiết kiệm thời gian A/C khi đi xem nhà ",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818302.1498084,, 4, 5, 3, 5
"4,6 tỷ VNĐ",Xuân Thủy - Dịch Vọng Hậu - Cầu Giấy - Hà Nội, 38m2,,"TRUNG TÂM - GẦN PHỐ - NGÕ TO - NHÀ ĐẸP - TIỆN ÍCH NGẬP TRÀN - GẦN CÁC TRƯỜNG ĐẠI HỌC- Vị trí tuyệt vời, gần chợ, gần trung tâm thương mại, gần các trường đại học như Ngoại Ngữ, Greenwich, Sư Phạm, Quốc Gia, Học Viện Báo Chí,...tiện ích xung quanh không thiếu thứ gì.- Thiết kế 5 tầng đẹp nét, khung dầm chắc chắn, chủ xây để ở nên rất yên tâm.* Mô tả : + Ngõ 3 gác rộng sạch sẽ, 3 bước ra mặt phố, giao thông vô cùng thuật tiện kết nối các phố Cầu Giấy, Trần Thái Tông,... + Nhà thoáng trước sau nên phòng nào cũng ngập tràn ánh sáng, nhà đầy đủ công năng sử dụng, khách mua chỉ việc về ở ngay, - Tầng 1 : Phòng khách, bếp ăn, WC.- Tầng 2 :  2 phòng ngủ + WC.- Tầng 3 :  2 phòng ngủ + WC.- Tầng 4 :  2 Phòng ngủ + WC.- Tầng 5 : Phòng thờ + sân phơi.- Xung quanh rất nhiều nhà cho sinh viên thuê phòng, nhà mình chuyển đổi mục đích sử sụng vừa ở vừa cho thuê là tuyệt vời.* Liên hệ : - Nguyễn Tiến Hoàng - 0976817296 - Chuyên nhà đất thổ cư Hà Nội - tư vấn nhiệt tình vui vẻ 24/24.",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818303.7768335,,,,,
"3,39 tỷ VNĐ",Đường Nguyễn Văn Linh phường Thạch Bàn, 40m2,,"
    Nhà xây 4 tầng bê tông, móng chắc chắn,xây thêm tầng thoải máiTổng có 3 phòng ngủ, phòng khách, bếp, sân phơi rộng rãiXung quanh tiện ích ngập tràn, gần Big C Long biên,Aeonmall Long biên,cầu Vĩnh tuy, gần trường tiểu học, THCS,THPT, trạm y tế.Nhà xây hiện đại, khách chỉ việc xách valy ở ngay.Chủ tặng toàn bộ nội thất xịn đẹp cho khách.Sổ đỏ vuông đẹp, sẵn sàng giao dịch.Liên hệ Ánh thổ cư:
",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818304.9983516,, 4, 4, 3, 5
"4,8 tỷ VNĐ",Đường Thịnh Quang phường Thịnh Quang, 45m2, 4," Chủ nhà đang nhờ bán nhà Ngã Tư Sở- Thanh Xuân   4 tầng, phong cách thiết kế hiện đại , phòng khách  view đẹp, cách mặt phố một bước, đáp ứng nhu cầu sống hiện đại, đẳng cấp.   -Diện tích :45 *5 tầng -Mặt tiền 4m  -Nhà bán có thông số hoàn hảo, đầy đủ công năng,  -Vị trí đắc địa tại quận Thanh Xuân, giao thông thuận tiện đi lại và di chuyển đến các trường đại học Y , hàng xóm Vincom mega mall, Ngã Tư Sở….. -Dân cư xung quanh có dân trí cao.  -Giá 4. 5 tỷ -Sổ đỏ nở hậu ,giao dịch ngay HÃY GỌI NGAY CHO TÔI 0964398692",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818306.1842158,, 5, 4, 3, 5
"4,3 tỷ VNĐ","Định Công Hạ, Hoàng Mai, HN", 37m2,,"+ Nhà 50m ra hồ, trước nhà ngõ to rộng, quy hoạch mở thành ngõ ô tô. + Tự xây dựng, các bước từ móng đều có quay phim chụp ảnh. + Nhà vị trí đẹp, Sáng chiều ra hồ tập thể dục. + Thiết kế: - Tầng 1: Để xe, bếp, wc. - Tầng 2: Phòng khách, wc. - Tầng 3,4: Mỗi tầng 2 ngủ. - Tầng 5: Phòng thờ, sân phơi. + Sổ đỏ đẹp sẵn sàng giao dịch.",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818307.4173634,,,,,
"3,35 tỷ VNĐ",Xuân Thủy Cầu Giấy Hà nội, 42m2, 3," Mô tả:+ Ngõ to rộng rãi, ô tô chạy thoải mái, nhà cách ô tô khoảng 40m, 3 gác vào tận cửa, giao thông thuận tiện, công năng tiện ích ngập tràn.+ Nhà 4 tầng khung cốt rất chắc chắn, tầng chia 2 phòng, vệ sinh đầy đủ công năng+ Khu vực yên tĩnh, dân trí tốt, gần các trường cấp 1,2, Trường ĐH Ngoại ngữ, ĐH Sư Phạm Hà Nội, ĐH Báo Chí Tuyên Truyền, ĐH Điện Lực, ĐH Thương Mại, ĐH Sân Khấu điện ảnh, gần chợ, an sinh đỉnh. xung quanh bạt ngàn siêu thị, các trung tâm mua sắm thời trang không thiếu thứ gì , tiện ích ngập tràn .+ Giao thông đi lại thuận tiện giao các phố Cầu Giấy, Phạm Văn Đồng, Hồ Tùng Mậu, Phạm Hùng, Nguyễn Phong Sắc .... + Thiết kế:+ T1: Phòng khách + Bếp.+ T2,3: Mỗi tầng 2 phòng ngủ + WC, + T4: Phòng thờ + Sân phơi.+ Liên hệ xem nhà Ms Lan Phương",23/06/2022,Tin thường,batdongsan_so_com_vn_1673818308.582294,, 4, 4,, 4
