price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
62 triệu VNĐ,Đường Nguyên Khê phường Nguyên Khê, 88m2, 8,"Bán đất đấu giá X3 Khê Nữ Nguyên Khê Đông Anh năm 2022 Diện tích: 88m2. Lô góc 2 mặt tiền rất rộng, sau này KINH DOANH rất đẹp. 2 mặt đường Quy hoạch, 1 đường 20m, 1 đường 15m, sau này là ngã 4 sầm uất. Vị trí khu đất X3 đấu giá Khê Nữ Nguyên Khê: Cách đường Lê Hữu Tựu chỉ 100m. Cách 200m là đầy đủ: Trung tâm hành chính xã + trường học các cấp + Chợ Lắp Ghép… Gần khu đô thị Nguyên Khê vô cùng phát triển, nhiều tiện ích kéo theo. Cách đường Võ Nguyên Giáp và Công viên phần mềm Vintech 1km. Cách trung tâm HN và Sân bay Nội Bài 10p chạy xe. Em Linh 0919841234 để xẻm đất thực tế và làm việc với chủ đất Ngoài ra bên em còn nhiều lô đất khác tại khu đấu giá này có nhu cầu bán quý khách liên hệ để biết thêm chi tiết –           Tư vấn nhà đất Đông Anh miễn phí. –           Kiểm tra quy hoạch mới nhất giá rẻ.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800609.7305346,,,,,
"1,95 tỷ VNĐ","Chính chủ bán gấp ki-ốt 12C tầng 1 chung cư Phương Đông Green Park, số 1 Trần Thủ Độ, KĐT Pháp Vân, Hoàng Mai, 1,95 tỷ;", 38m2,,"Chính chủ bán gấp ki-ốt 12C tầng 1 chung cư Phương Đông Green Park, số 1 Trần Thủ Độ, KĐT Pháp Vân, Hoàng Mai, 1,95 tỷ; 0976258557 Diện tích: 38,2m2, mặt tiền 8mTòa nhà nằm trung tâm quận Hoàng Mai, giáp với bến xe Nước Ngầm, công viên Yên Sở, các tuyến đường trọng điểm. Dân cư đông đúc, vị trí kinh doanh vàng, kết nối vùng đa dạng,... Giá bán: 1 tỷ 950 triệu, có thương lượng nhẹLiên hệ chính chủ: 0976258557       http://www.sanbatdongsanviet.com.vn",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800611.2524638,,,,,
"5,9 tỷ VNĐ","Đa Sỹ, Hà Đông, Hà Nội", 70m2, 7," # Bán nhà C4 quận Hà Đông phường Kiến Hưng đường Đa Sỹ, LH: Tình Nhà Đất 0983858722. * Cực hiếm thửa đất đẹp, mặt tiền rộng, đường ô tô tải qua, khu buôn bán sầm uất, hàng xóm thân thiện, tiện chợ, gần trường, Bệnh viện, trung tâm mua sắm, nay đang rất cần bán gấp. - DT 70m, mặt tiền 7m, phù hợp ở, đầu tư ngắn hạn và dài hạn. - Giá bán: 5.9 tỷ ( Có Thương Lượng ). + Giao thông Quang Trung, Bà Triệu, Hà Trì, Mậu Lương, xa la...vô cùng thuân lợi. + Bán kính gần Chợ Lớn Hà Đông, Sân Vận Động Hà Đông, Siêu Thị Melinh Plaza, Viện 103..phố đầy đủ tiện ích. === Pháp lý chuẩn, giao dịch nhanh. # HotLine: 0983858722 trực tiếp thỏa thuận.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800613.4426043, 5, 1, 2,,
"3,4 tỷ VNĐ",Ngõ Gốc Đề Hoàng Mai Hà Nội, 38m2, 4,"+ Tôi cần bán gấp nhà ở Gốc Đề, Minh Khai, diện tích 38m2, nhà 4 tầng, mặt tiền 4m, chủ rất cần bán, vị trí đẹp, mặt ngõ cách mặt phố vài mét, sổ đỏ chính chủ, pháp lý sạch, giao dịch phút mốt. Liên hệ: Minh Quang 0327085656 + Nhà mặt ngõ sát phố, chỉ cách vài mét, vị trí đẹp nhất, thoáng mát, hiếm và rẻ. + Nhà mới đẹp khách về ở ngay, chủ rất cần bán, giá có thương lượng. + Giá: 3.4 tỷ Liên hệ: Minh Quang 0327085656, chuyên nhà đất thổ cư Hà Nội từ 1 – 200 tỷ. Tôi làm việc luôn tận tâm, chữ tín lên hàng đầu, giúp khách hàng tìm mua được nhà ưng ý. ( Miễn phí 100% tới khi giao dịch thành công )",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800614.7311575,, 4, 5,,
"6,85 tỷ VNĐ",Vũ Tông Phan Khương ĐÌnh Thanh Xuân Hà Nội, 38m2,,"ĐẬP HỘP nhà mới thang máy mặt ngõ kinh doanh, gara  Phố Vũ Tông Phan, TX 38m3 6T chỉ 6.65 tỷNhà từ mặt phố vỉa hè vào ngõ đến nhà mình có 10m, ngõ ô tô tránh, kinh doanh siêu đỉnh. Tiện ích xung quanh không thiếu gì.Thiết kế theo kiểu hiện đại, thang máy chạy vù vù phù hợp đặc biệt cho gia đình có người già, trẻ nhỏ.- Tầng 1: Thông sàn Kinh doanh. - Tầng 2, 3, 4, 5: Thông sàn, wc, (Phòng ngủ rộng)- Tầng 6: Phòng thờ, sân phơi, ăn BBQ ngoài trời thì tuyệt vời không còn gì bằng. + Sổ đỏ chính chủ phân lô vuông đét trước sau như một, sẵn sàng giao dịch.Liên hệ: Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800616.8644502,, 6, 4,,
"29,5 tỷ VNĐ",Quận Cầu Giấy, 70m2,,"PHÂN LÔ TRUNG KÍNH - GARA VỈA HÈ 3 Ô TÔ TRÁNH THANG MÁY NHẬP  KINH DOANH ĐỈNH. NHỈNH 29 TỶ 0962745289+VỊ TRÍ ĐẸP NHẤT KHU PHÂN LÔ, DT. 70M2, 8 tầng MT 5,2M, 20M ra phố, khu vực hiếm nhà bán.Trung tâm Quận Cầu Giấy. Tiện ích nhất khu vực.+ Giao thông thuận tiện thông nhiều tuyến phố chính nội đô. Cầu Giấy- Dương Đình Nghệ- Phạm Hàm- Trung Yên….+Nhà xây tầng thông sàn KINH DOANH, 4 ngủ đầy đủ công năng sử dụng, dân trí cao, an ninh tốt, tiện ích vây quanh, quy hoạch ổn định.+ Sổ đỏ vuông đét chính chủ sẵn sàng giao dịch.+ GIÁ THƯƠNG LƯỢNG + Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn  pháp lý, sang tên thủ tục nhanh gọn.+ Tư vấn 24/7. ",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800618.2268062,,,,,
"4,6 tỷ VNĐ",đường Lê Đức Thọ, 55m2, 4,"Giá đầu tư, dòng tiền 20tr/ tháng, có thể lên thêm tầng S = 55m2, 4 tầng, mặt tiền 4m, giá 4.6 tỷ ĐC: Đường Lê Đức Thọ, quận Nam Từ Liêm. + Nhà thuộc ngõ 63 Lê Đức Thọ, tức đường Phú Mỹ - là đường ô tô tránh, trung tâm kinh doanh, ăn uống, giải trí sầm uất nhất khu Mỹ Đình. + Vị trí vượng khí, an sinh tốt, gần trường học các cấp, gần các trường đại học lớn: Đại học Thương mại, Học viện Múa, Đại học Hòa bình, Cao đẳng Y, Cao đẳng Công nghệ Bách khoa,… + Giao thông các tuyến: Bến xe Mỹ Đình, sân vận động Mỹ Đình, Lê Đức Thọ, Hồ Tùng Mậu, Trần Hữu Dực, Mai Dịch,… * Nhà thiết kế khung cột chắc chắn, hiện trạng 6 phòng cho thuê 20tr/ tháng, có thể lên thêm tầng. + Sổ đỏ chính chủ, chủ nhà thiện chí. * Liên hệ em Bình để xem nhà, không tiếp môi giới.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800619.318891, 2, 4, 6,,
13 tỷ VNĐ,Đường Phố Nguyễn Sơn phường Gia Thụy, 100m2, 7,"PHÂN LÔ HÀNG KHÔNG - LÔ GÓC - NHÀ DÂN XÂY - NGÕ THÔNG Ô TÔ VÀO NHÀ - HÌNH THỬA SIÊU ĐẸP - CHIA 2 LÔ - ĐẦU TƯ TỐT - AN SINH ĐỈNH  100m, 5 Ngủ. MT rộng 7.2m Vỉa hè 2 ô tô tránh nhỉnh 13 Tỷ  - Ngõ 117 đẹp nhất khu phân lô hàng không, khu vực toàn cán bộ ngành hàng không và phi công ở.  - Chủ nhà hiện đang làm trong ngành hàng không, Con cái thành đạt các con đi du học nước ngoài, nay bán nhà để vào ở Vinhomes riverside.  - trí lô góc, ngõ thông chia ô bàn cờ, ô tô vào nhà. 100m, 5 Ngủ. vị trí thông đi lại thuận lợi.  Thông ra Hoàng Minh Đạo, Lâm Hạ, Nguyễn văn Cừ.  + Sổ đỏ cất két sẵn sàng giao dịch. Quý khách vui lòng liên hệ Em Thu để xem vị trí , pháp lý và đàm phán giá.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800620.5247102, 15, 3, 5, 5,
"5,2 tỷ VNĐ",đường Xuân Đỉnh, 55m2, 8,"Vị trí vàng, 2 mặt ngõ, ô tô đỗ cổng. S = 55m2, 3 tầng, giá 5.2 tỷ ĐC: Đường Xuân Đỉnh, Bắc Từ Liêm. + Nhà sát trường học các cấp, gần nhiều trường đại học lớn ( Đại học Mỏ địa chất, Đại học Nội vụ, Đại học Tài chính Ngân hàng, Đại học Tài nguyên Môi trường, Đại học Tài chính Ngân hàng,…) + Giao thông các tuyến: Phạm Văn Đồng, Nguyễn Hoàng Tôn, Võ Chí Công, khu đô thị Ciputra, Ngoại Giao Đoàn,… + Nhà 3 tầng, móng kiên cố lên 5 tầng thoải mái. + Sổ đỏ chính chủ, chủ nhà thiện chí. * Liên hệ em Bình để xem nhà, không tiếp môi giới.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800621.7304397,, 3, 2,,
20 tỷ VNĐ,Đường Láng Hạ phường Thành Công, 75m2, 5,"NHÀ LÁNG HẠ BA ĐÌNH PHÂN LÔ VỈA HÈ OTO TRÁNH KINH DOANH DIỆN TÍCH 75M, 5T MẶT TIỀN 5.5M CHỈ 20 TỶ, CHỦ NHỜ BÁN GẤP.  + Nhà ở khu víp của quận Ba Đình, 2 mặt thoáng, thang máy, vỉa hè 5m. Đường 3 oto tránh nhau + Tiện ích khu vực cực tốt, trường học bệnh viện khu vui chơi chỉ cách vài trăm m. + Nhà vẫn rất mới, chỉ việc sách vali về ở. + Thiết kế 5 tầng 4 ngủ, đầy đủ công năng.  + Sổ đỏ đẹp, chờ giao dịch. + Gía bán thương lượng. + Liên hệ để xem nhà, alo Ms Phương.",20/09/2022,Tin thường,batdongsan_so_com_vn_1673800623.6353436, 15, 5, 4, 4,
