price,address,Diện tích,Mặt tiền,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số tầng,Lộ giới,Số toilet
3 tỷ VNĐ,Khương Trung - Thanh Xuân, 36m2, 4, 5,"+Cần bán nhà Khương Trung - Thanh Xuân, 36m2, 5 Tầng, MT 4m, Nhỉnh 3 Tỷ.+Vị trí đắc địa, gần Ngã Tư Sở, cách đường lớn 50m, tiện ích bạt ngàn.+Nhà chủ xây để ở, ngõ rộng thoáng thông tứ tung, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822067.3630307,,,
"23,6 tỷ VNĐ","đường Lương Thế Vinh, phường Trung Văn", 100m2,,,"Cần bán căn nhà 7 tầng đường Lương Thế Vinh, phường Trung Văn, quận Nam Từ Liêm. CHUNG CƯ MINI - DÒNG TIỀN - 7 TẦNG THANG MÁY - Ô TÔ ĐỖ CỬA - 28 PHÒNG KHÉP KÍN Nội thất bàn giao full đồ bao gồm: tủ bếp, điều hòa, nóng lạnh, tủ lạnh, tủ quần áo… Ngay KHU NHÀ Ở CÁN BỘ QUỐC HỘI nên an ninh và an sinh khỏi bàn; cạnh vườn hoa, gần các trường học lớn, lại ở vị trí trung tâm của các khu vực: Thanh Xuân, Hà Đông và Nam Từ Liêm. Diện tích 100m2, mặt tiền 6m, xây 7 tầng, 28 phòng vệ sinh khép kín, có thang máy, ô tô đỗ thoải mái. Sổ đỏ vuông đẹp, sang tên nốt nhạc. Giá: 23,6 tỷ VNĐ. Liên hệ: ĐC Ngọc (0344.978.570) để được thông tin chi tiết.",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822068.7293756, 7,,
2 tỷ VNĐ,"Ô Cách, Long Biên", 33m2, 3,,"+ Vị trí rất đẹp, mặt ngõ rộng, cách ô tô tránh chỉ 17m , Cách mặt phố 35m + Thông số đẹp, rất phù hợp để thiết kế và xây dựng lên căn nhà 5 tầng hiện đại và sang trọng. + Khu vực hạ tầng phát triển đồng bộ, dân cư đông đúc, ngay chợ, gần trường, đi bộ ra bệnh viện, tiện ích quanh chân. + Sổ đỏ cất két, sẵn sang giao dịch - Lh em Trác: 0965492571(xem nhà và tư vấn miễn phí)  ",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822069.8394182, 1,,
"8,1 tỷ VNĐ",Đường Phạm Văn Đồng phường Mai Dịch, 50m2, 3, 7,"Chính chủ cần bán gấp nhà Phạm Văn Đồng Cầu Giấy kinh doanh sầm uất ô tô vào nhà thoải mái giá 8.1 tỷ. Gia đình tôi chuyển công tác nên cần bán gấp ai có nhu cầu liên hệ để xem nhà. Nhà gần rất nhiều các trường ĐH danh tiếng như ĐH Quốc Gia, Đh Sư Phạm, Báo Chí, Thương Mại. SKĐA.... nhà phù hợp vừa ở vừa cho thuê và kinh doanh tầng 1,  Gia đình tôi tự xây nên rất chắc chắn ép cọc và khung cột bê tông, Gia đình tặng lại toàn bộ nội thất. Ai có nhu cầu LH trực tiếp chủ nhà Phương: 0379591234, 0968876878 Miễn trung gian môi giới.",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822070.803826, 5, 3, 7
3 tỷ VNĐ,Khương Đình, 36m2, 5, 5,"+Cần bán nhà Khương Đình - Thanh Xuân, 36m2, 5 Tầng, MT 4m, Nhỉnh 3 Tỷ.+Vị trí đắc địa, gần Ngã Tư Sở, cách đường lớn 80m, tiện ích bạt ngàn.+Nhà chủ xây tâm huyết để ở, tặng toàn bộ nội thất cho khách, khách mua về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng dao dịch. LH: Mr Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822072.0973642, 5,,
"8,7 tỷ VNĐ",Đường Bờ Sông phường Quan Hoa, 59m2, 3, 6,"  Nghĩa Đô.khu vực đắc địa tập chung nhiều trường đại học danh tiếng + Phù hợp ở, kinh doanh nhỏ, làm văn phòng công ty...  ",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822073.1714945, 4, 3, 4
"6,7 tỷ VNĐ",vạn phúc, 40m2,, 3,"+ Bán nhà. Vạn Phúc, Hà Đông. Ô tô Kinh Doanh 40m2 x 4 tầng. Mặt tiền 8m. Giá 6.7 tỷ.  LÔ GÓC 2 MẶT NGÕ - CÁCH 1 NHÀ RA MẶT PHỐ - OTO ĐỖ CỬA - KINH DOANH  +Nhà mặt ngõ, ô tô đỗ cửa cách 1 nhà ra mặt phố Vạn Phúc. Đường giao với Tố Hửu, Quang Trung, Trần Phú giao thông rất thuận tiện. + Nhà gần các trường đại học như: Đại Học Kiến Trúc, Học Viện An Ninh. Gần viên. 103, viện Đa Khoa Hà Đông và các trung tâm thương mại lớn, xung quanh tiện ích ngập tràn. Thiết kế 4 tầng: T1: kinh doanh, bếp và wc T2: 2 phòng ngủ + wc T3: 1phòng  ngủ + 1 phòng thờ + wc T4: sân phơi.  + Sổ đỏ vuông đẹp, sẵn sàng giao dịch,  LH: E KHÁNH: 0984568179  ",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822074.2256706, 4,, 3
"36,5 tỷ VNĐ","xuân đỉnh, bắc từ liêm, Há Nội", 180m2, 10, 10,"*** TÒA LÂU ĐÀI NGUY NGA NGAY GIỮA LÒNG THỦ ĐÔ*** đẳng cấp của giới thượng lưu khi sở hữu được tòa nhà danh gía này*** thiết kế theo phong cách tân cổ điển, mang đậm phong cách châu âu*** toàn bộ nội ngoại thất, bồn, bệt, vòi sen, vòi rửa, hệ thống ánh sáng đều được nhập khẩu từ TÂY BAN NHA*** hệ thống cổng, tường rào, lan can, cầu thang đều được làm bằng nhôm đúc nguyên khối*** mặt bậc cầu thang + các cửa bên ngoài đều được làm bằng gỗ lim lào, lớp cưa bên trong được làm bằng hệ thống cửa eurowindaw sang trọng và dẳng cấp *** hệ thống cách âm và cách nhiệt của tường xây 350 và của 2 lớp tuyệt đối*** tường nhà được đắp vẽ thủ công đẳng cấp và tỉ mỉ từng chi tiết nhỏ nhất *** T1; gara oto để được 5 chiếc + khoảng 20 xe máy + 1 phòng cho người giúp việc + wc*** T2; phòng khách rộng 70m2 + phòng bếp rộng 40m2 + phòng tắm 8m2 + massage rộng rãi vô cùng*** T3; 3 phòng ngủ được thiết kế đẳng cấp nội thất thì siêu sịn sò, tỉ mỉ từng chi tiết nhỏ*** T4; 1 phòng thờ + 2 phòng ngủ + wc + sân phơi*** T5; phòng tập gym đầy đủ dụng cụ đẳng cấp để tập luyện + wc** sổ đỏ chính chủ, pháp lý rõ ràng sẵn sàng chào đón các thượng đế*** ; 36.5 TỶ*** AC QT : ALO cho em nhé ; 0845790555 em đỗ hạnh < thanks AC đã quan tâm >",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822075.357643, 5,, 9
"4,2 tỷ VNĐ","Kim Giang, Thanh Xuân, Hà Nội", 35m2, 4, 3,"+ Bán nhà trung tâm quận Thanh Xuân, ngay gần ngã Tư Sở, Nguyễn Trãi, Lê Văn Lương…. +Nhà mới xây 6 tầng cực kì chắc chắn. +Ở, kinh doanh đều tốt. +Đi bộ vài bước ra phố lớn, khu mua sắm tiện ích như Royal City, Điện máy xanh…. +Gần ga tàu điện, trường cấp 1,2,3 bao quanh. +Gần ĐH Quốc Gia, ĐH Hà Nội, HV An Ninh Nhân Dân…. LH: Mr Quý: 0986560636 ( Zalo) Xem nhà miễn phí 24/7. Hỗ trợ thủ tục pháp lý, ngân hàng….",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822076.4178073, 6,, 4
30 tỷ VNĐ,"Hoàng Như Tiếp, Bồ Đề, Long Biên, Hà Nội.", 102m2, 8, 5,"
    + Bán nhà phố Hoàng Như Tiếp, DT 102m2, 5 tầng, mặt tiền khủng 8m, thang máy, vỉa hè, ô tô tránh, phù hợp ở kết hợp kinh doanh hoặc làm văn phòng.
+ Vị trí gần bệnh viện Tâm Anh, chung cư HC Golden, gần cầu Chương Dương, 10p sang Hoàn Kiếm.
"" + Thiết kế:
Tầng 1 : Gara ô tô rộng rãi, sân để xe, thang máy.
Tầng 2 : phòng khách, phòng bếp và wc.
Tầng 3 : 02 phòng ngủ vip.
Tầng 4 : 03 phòng ngủ vip.
Tầng 5 : phòng thờ, sân phơi và kho. ""
+ Sổ đỏ vuông vắn, sẵn sàng giao dịch.
+ L/H xem nhà miễn phí 24/7: Dũng chuyên BDS thổ cư Hà Nội 0948677782.
",01/06/2022,Tin thường,batdongsan_so_com_vn_1673822077.6415322, 5,,
