price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng
"6,38 tỷ VNĐ","Ngõ Phố Kim Mã Thượng, Ba Đình, Hà Nội", 48m2, 4, 3, 5, 5, 4,"✅  Bán nhà thiết kế cực đẹp, công năng tiện nghi, thoáng mát. Sân để xe trước nhà siêu rộng 25m2. Vị trí dân trí cao, an ninh rất tốt, tiện nghi đi lại và sinh hoạt. Khu đất được mệnh danh là đất Tài Lộc để gia chủ An Cư. Diện tích 48m2 x 5 tầng. --------------------------------------------------------- ✔️  Thiết kế, công năng: Kiến trúc Tân cổ điển.  - Diện tích 48m2, 5 tầng mới rất đẹp, 5 phòng ngủ. - Tầng 1: Phòng khách VIP + Phòng bếp và ăn. - Tầng 2, 3: 2 Phòng ngủ + Vệ sinh. - Tầng 4: Phòng làm việc, Phòng ngủ + Vệ sinh. - Tầng 5: Phòng thờ.Tiểu cảnh ngoài trời, kho, sân phơi. ✔️  Vị trí: - Nhà ở vị trí dân trí cao, an ninh cực tốt, khu vực có nhiều người nước ngoài sinh sống. Nằm trên đất Tài Lộc Kim Mã Thượng. - Nhà gần các khu trung tâm thương mại, trường học THCS, THPT. Cơ quan Quận Ba Đình. Ngần bệnh viện Quân Y, ngân hàng. - Một vị trí đáng an cư lập nghiệm cho sự thịnh vượng của gia đình. ✔️  Nội thất: - Được làm tỉ mỉ với chủ đạo là gỗ: Các cửa, cầu thang, tủ bếp. Sàn gỗ Malaysia chống trơn trượt nên rất sang trọng và đẳng cấp. - Thiết bị điện cao cấp, dây Trần Phú đi GEN cẩn thận.Đèn LED. Thiết bị vệ sinh TOTO nhập khẩu, vách tắm đứng. ✔️  Cam kết sổ đỏ chính chủ, Giấy phép xây dựng. ✔️  Giá chỉ: 6.38 tỷ (có thương lượng, bao sang tên). ✔️  Liên hệ xem nhà trực tiếp Mr.Tuấn: 0964 357 352 (miễn TG, MG)",24/03/2022,Tin thường,batdongsan_so_com_vn_1673829314.027605,
"6,45 tỷ VNĐ",Cầu Đơ- Hà Đông, 60m2,,, 5,,,"Tài chính nhỉnh 6 tỷ sở hữu nhà 60m,5 tầng, ô tô, kinh doanh trung tâm Quận Hà Đông Cần bán nhà đẹp trung tâm Quận Hà Đông trước nhà ô tô tránh, dân cư công chức nhà nước, khu văn minh, môi trường trong lành đáng sống, ở kết hợp kinh doanh hoặc làm văn phòng quá đỉnh. Căn nhà nằm vị trí trung tâm ngõ rộng thông, tầm tiền hiếm nhà bán không có căn thứ 2 để so sánh, khu vực sầm uất dông đúc cả ngày lẫn đêm. Giao thông di chuyển các phố: Quang Trung, Lê Hồng Phong, Hoàng Hoa Thám, Nguyễn Viết Xuân, Hà Cầu,..., Xung quanh bệnh viện lớn, ngân hàng, siêu thị,trung tâm mua sắm... nằm trục chính di chuyển thuận lợi các phố lớn. Giá: 6.45 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",24/03/2022,Tin thường,batdongsan_so_com_vn_1673829315.344084,
"6,5 tỷ VNĐ",Văn Quán- Hà Đông, 59m2,,, 5,,,"Cần tiền bán gấp nhà kinh doanh, ô tô tránh, ngõ thông, 59m, 5 tầng Cần tiền bán nhà đẹp nằm vị trí đắc địa trung tâm Quận Hà Đông phường Văn Quán, gần vườn hoa Nguyễn Trãi, khu vực lõi sầm uất đáng sống bậc nhất. Nhà được thiết kế tiện nghi vừa ở kết hợp kinh doanh hoặc cho thuê văn phòng quá đỉnh. Các tầng thoáng sáng đầy đủ công năng sử dụng, phong cách hiện đại thiết kế lệch tầng, khu vực không có căn thứ 2, ngõ thông muôn nơi, đường trước nhà ô tô tránh. Hàng xóm văn minh đông đúc, xung quanh nhiều trường Đại học lớn, nhiều sinh viên, nhiều văn phòng lớn nhỏ, tiềm năng kinh doanh đa dạng các loại hình, khu hiếm nhà bán. Trục chính giao thông đi các phố: Yết Kiêu, Vạn Phúc, Quang Trung, Nhuệ Giang,Phúc La, Trần Phú, Nguyễn Văn Trỗi, Ao Sen, Nguyễn văn Lộc... Giá: 6.5 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian.",24/03/2022,Tin thường,batdongsan_so_com_vn_1673829316.6047108,
"6,5 tỷ VNĐ",Văn Quán- Hà Đông, 59m2,,, 5,,,"Cần tiền bán gấp nhà kinh doanh, ô tô tránh, ngõ thông, 59m, 5 tầng Cần tiền bán nhà đẹp nằm vị trí đắc địa trung tâm Quận Hà Đông phường Văn Quán, gần vườn hoa Nguyễn Trãi, khu vực lõi sầm uất đáng sống bậc nhất. Nhà được thiết kế tiện nghi vừa ở kết hợp kinh doanh hoặc cho thuê văn phòng quá đỉnh. Các tầng thoáng sáng đầy đủ công năng sử dụng, phong cách hiện đại thiết kế lệch tầng, khu vực không có căn thứ 2, ngõ thông muôn nơi, đường trước nhà ô tô tránh. Hàng xóm văn minh đông đúc, xung quanh nhiều trường Đại học lớn, nhiều sinh viên, nhiều văn phòng lớn nhỏ, tiềm năng kinh doanh đa dạng các loại hình, khu hiếm nhà bán. Trục chính giao thông đi các phố: Yết Kiêu, Vạn Phúc, Quang Trung, Nhuệ Giang,Phúc La, Trần Phú, Nguyễn Văn Trỗi, Ao Sen, Nguyễn văn Lộc... Giá: 6.5 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian.",24/03/2022,Tin thường,batdongsan_so_com_vn_1673829317.6060314,
"6,45 tỷ VNĐ",Cầu Đơ- Hà Đông, 60m2,,, 5,,,"Tài chính nhỉnh 6 tỷ sở hữu nhà 60m,5 tầng, ô tô, kinh doanh trung tâm Quận Hà Đông Cần bán nhà đẹp trung tâm Quận Hà Đông trước nhà ô tô tránh, dân cư công chức nhà nước, khu văn minh, môi trường trong lành đáng sống, ở kết hợp kinh doanh hoặc làm văn phòng quá đỉnh. Căn nhà nằm vị trí trung tâm ngõ rộng thông, tầm tiền hiếm nhà bán không có căn thứ 2 để so sánh, khu vực sầm uất dông đúc cả ngày lẫn đêm. Giao thông di chuyển các phố: Quang Trung, Lê Hồng Phong, Hoàng Hoa Thám, Nguyễn Viết Xuân, Hà Cầu,..., Xung quanh bệnh viện lớn, ngân hàng, siêu thị,trung tâm mua sắm... nằm trục chính di chuyển thuận lợi các phố lớn. Giá: 6.45 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",24/03/2022,Tin thường,batdongsan_so_com_vn_1673829318.9045587,
"4,3 tỷ VNĐ",ngõ 176 Trương Định HBT hà Nội, 40m2, 3, 3, 5, 6, 3,"Chuyển đổi tôi cần bán nhà  mới xây được 2 năm ngõ 104 Nguyễn An Ninh đi thông sang 176 Trương Định, Hai Bà Trưng,Hà Nội.DT 40m2 x 5 tầng, giá 4.3 tỷ.Nhà xây dựng 40m2 x 5 tầng,  nhà đẹp không lỗi phong thủy. Thiết kế có giếng trời lấy ánh sáng và không khí vào phòng. để lại toàn bộ nội thất.-Thiết kế bao gồm - Tầng 1: Phòng khách, bếp ăn riêng biệt, WC.- Tầng :2,3: Mỗi tầng 2 phòng rộng, 1 WC.- Tầng 4:1 phòng ngủ, phòng thờ-Tần 5: sân phơi và vườn trồng cây.Khu dân trí cao, an ninh tốt, hàng xóm thân thiện, tiện chợ gần trường học bệnh viện, cách ĐH Kinh Tế, Bách Khoa, Xây Dựng 1km, ngõ trước nhà 2 xe tránh nhau thoải mái.Sổ đỏ chính chủ. Giá 4.3 tỷ (có thương lượng) Liên hệ chị Yến ĐT:0702138238",24/03/2022,Tin thường,batdongsan_so_com_vn_1673829320.1195083, Tây
"6,1 tỷ VNĐ",25, 52m2, 4, 20, 5, 4, 3," Dt 45  4tầng 4.3mt  6.8 tỷ  Mô tả:Hướng đông nam  + Nhà nằm ở vị trí trung tâm Quận Long Biên, ngõ thông đi các ngả, vài bước ra phố Nguyễn Sơn.  + Nhà cũ xây chắc chắc, thoáng trước sau, khách mua về ở tạm hay xây mới thì quá đẹp.  + Tầng 1: Gara, bếp, wc.  + Tầng 2, 3: Mỗi tầng 2 phòng ngủ, wc.  + Tầng 4 : Ngủ, thờ, sân phơi.  + Sổ đỏ riêng đẹp, vuông đét, đang cất trong két, sẵn sàng chờ giao dịch.",24/03/2022,Tin thường,batdongsan_so_com_vn_1673829321.2722886, Đông nam
17 tỷ VNĐ,Vạn Phúc - Ba Đình - Hà Nội, 47m2, 5,, 8, 4, 4,"Vị Trí : DT 40/46M2 X 8 TẦNG . THANG MÁY, GARA, AN NINH TỐT YÊN TĨNH . Trung tâm quận Ba Đình tiếp giáp nhiều trục đường lớn Kim Mã , Đào Tấn , Liễu Giai , Nguyễn Chí Thanh, dẫn vào khu phố cổ và các quận lân cận . Là tuyến phố nhiều nhà hàng , khách sạn , sân chơi đáp ứng mọi nhu cầu . Gần 1 số địa điểm vui chơi , thăm quan như Lăng Chủ Tịch , Công Viên Thủ Lệ , Hồ Tây ..- Thiết kế: + Tầng 1 : Gara xe  + Tầng 2: Phòng khách, wc. + Tầng 3: Phòng ngủ Master + Tầng 4,5,6: Mỗi tầng 1 ngủ, wc. + Tầng 7: Bếp, phòng ăn, wc, ban công rộng. + Tầng 8: Phòng thờ, sân phơi, khu vực Party.- Sổ đỏ chính chủ, vuông đẹp, nét căng . Không lỗi phong thủy.  ",24/03/2022,Tin thường,batdongsan_so_com_vn_1673829322.3564594, Đông
"1,2 ngàn VNĐ/m2","Yên mỹ,Bình Yên,Thạch Thất", 70m2, 7, 8, 1, 2, 1,"12 lô yên mỹ-Cạnh vành đai CNC 1,5km-Vào đại học Đại Học FPT chỉ 2km-chỉ cách vinsmảt,hanwai,nidec,nissan,Trường Việt Hàn,Việt Nhật,Việt Pháp,Đại học Khoa Học và Công Nghệ bán kính 2,5km-Cách trung tâm Huyện,Bệnh Viện,Trường học,Chợ...chỉ 1km",24/03/2022,Tin thường,batdongsan_so_com_vn_1673829323.6350405,
"7,5 tỷ VNĐ","Tình lộ 422, Sơn Đồng, Hoài Đức, Hà Nội", 92m2, 6,, 5,,,"✅ Cần bán nhanh lô đất mặt đường Sơn Đồng - Song Phương, ngã tư Trịnh Văn Bô kéo dài,✔️giá đầu tư đón sóng mở đường,✔️Hoài Đức lên quận.✔️ Thửa đất 84,05 m2, lô góc✔️ Mặt tiền 6,28m và 11,8m✔️ Hai mặt đường. Cả hai mặt đều có vỉa hè. Nhận nhà kinh doanh luôn.✔️ Xây theo quy hoạch 4 tầng, 1 tum, thông sàn kinh doanh.✔️ Pháp lý đã có sổ đỏ từng lô✔️ Giá đất chưa bao gồm xây dựng 5,5tr/m2.✔️ Sẵn sàng giao dịch, ngân hàng hỗ trợ 70%, miễn lãi 1 năm✔️ Liện hệ lấy bảng giá : 0779273787",24/03/2022,Tin thường,batdongsan_so_com_vn_1673829324.9036446, Đông nam
