price,address,Diện tích,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet
"3,45 tỷ VNĐ",Đường 1 phường Giang Biên, 48m2, 1, 3,"CHỦ NHÀ CẦN BÁN CĂN NHÀ3 TẦNG TẶNG FULL NỘI THẤT. THOÁNG TRƯỚC SAU NHIỀU CÂY XANH. GẦN BỆNH VIỆN, TRƯỜNG HỌC CÁC CẤP SỔ ĐỎ CHÍNH CHỦ, THIỆN CHÍ THƯƠNG LƯỢNG LIÊN HỆ CHI TIẾT THEO SỐ: 0856316294 (miễn trung gian, quảng cáo)",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811561.5792353,,,
"4,2 tỷ VNĐ",đường Trịnh Văn Bô, 58m2,, 4,"SIÊU PHẨM HIẾM, NGÕ RỘNG, 15 MÉT RA ĐƯỜNG 3 Ô TÔ TRÁNH, NHÀ ĐẸP Ở NGAY, BÃI GỬI Ô TÔ GẦN NHÀ S = 58m2, 4 tầng, mặt tiền 4.5m, giá 4.2 tỷ + Nhà cách mặt đường 3 ô tô tránh chỉ 15m, ngõ thẳng tắp, bãi ô tô cách mấy bước chân. + Gần nhà là trường học các cấp, đầy đủ tiện ích chợ, siêu thị, trung tâm thương mại,… +  Nhà đẹp ở luôn không cần sơn sửa. + Thiết kế:  T1 : Sân để xe 10m2, khách, bếp, wc.T2 ,3 : 4 phòng ngủ, wc.T4: Phòng thờ, sân phơi. + Giao thông: Bến xe Mỹ Đình, Trịnh Văn Bô, Trần Hữu Dực, Phương Canh, Phúc Diễn, Cao đẳng FPT, Cao đẳng Quốc tế Hà Nội, Học viện Kĩ thuật Quân Sự, Đại học Công nghệ Đông Á,… + Sổ đỏ chính chủ. * Liên hệ em Bình để xem nhà, không tiếp môi giới.",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811563.3903906, 4, 4,
"2,4 tỷ VNĐ",Đường Tôn Đức Thắng phường Hàng Bột, 60m2, 1,,#bannhadongda# #bannhaxadan# #bannhathaithinh# #bannhatonducthang# #bannhahaonam#,31/07/2022,Tin thường,batdongsan_so_com_vn_1673811564.748757,,,
"11,5 tỷ VNĐ",Đường Doãn Kế Thiện phường Mai Dịch, 60m2, 7, 6,"Cần bán nhà phố Doãn Kế Thiện 60m2* 6 tầng, kinh doanh, ô tô tránh, giá 11.5 tỷ. Vị trí nhà tuyệt đẹp trung tâm phố, trước nhà ô tô tránh, kinh doanh sầm uất ngày đêm, phù hợp làm văn phòng, nhiều loại hình kinh doanh, dân cư đông đúc, rất nhiều sinh viên, tiềm năng sáng ngời, mua ở, đầu tư giữ tiền quá ổn. Nhà thiết kế kiến trúc hiện đại, cuối nhà có ô chờ thang máy có thể lắp theo nhu cầu, tổng 6 phòng ngủ, công năng đầy đủ. Tiện ích xung quanh ngập tràn, khu vực xây dựng phát triển chóng mặt, gần các trường Đại học lớn như, Đại học Thương Mại, Đại học Sân Khấu Điện Ảnh, Đại học Ngoại Ngữ, Đại học Quốc Gia… Sổ đỏ hoa hậu pháp lý rõ ràng, sẵn sàng giao dịch. Liên hệ tôi Dự: 0982789984 để được xem nhà và tư vấn pháp lý.",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811566.3465295, 4, 6, 5
"9,79 tỷ VNĐ",Đường A phường Trâu Quỳ, 288m2,,,"
    Chính chủ cần bán gấp 2 lô đất hai mặt thoáng nằm tại mặt đường chính An Đào E, Trâu Qùy, Gia Lâm.
+ Diện tích 288m, mặt tiền hậu rộng 11.5m
+ Hướng Đông Bắc, đường trước đất rộng 8m.
+ Giá bán : 34tr/m (mua bán có thương lượng và ra lộc).
+ Bán gấp mảnh đất nằm tại mặt đường chính An Đào E, nằm cạnh Vinhomes Ocean Park gần ngay TTTM Vincom, chợ dân sinh, trường học các cấp, 
+ phù hợp xây nhà hàng, văn phòng, cafe, 
+ gần trung tâm hành chính các cấp, 
+ cách đường Lý thánh tông 20m 
+ đường thông các ngả giao thông di chuyển quanh khu vực rất thuận tiện dễ dàng,..
+ Sổ đỏ chính chủ - Sẵn sàng công chứng.
+ Cam kết đúng giá Không thu phí người mua.
 - Đặng Lương
",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811568.803794, 115,,
8 tỷ VNĐ,"Phố Thành Công, Thành Công, Ba Đình, Hà Nội.", 71m2,,,"BA ĐÌNH - NHÀ ĐẸP Ở NGAY -  7T - 3 THOÁNG – 10 NGỦ - DÒNG TIỀN 50TR/THÁNG. + Nhà phố Thành Công 71m2, 7 tầng, giá 8 tỷ. + Nhà đẹp, vị trí đẹp. Hiện đang cho thuê. Tầng 1: Khu để xe. Tầng 2,3,4,5.6 : mỗi tầng 2 phòng ngủ + wc khép kín. + Thiết kế hiện đại, 3 mặt thoáng đều có cửa sổ. + Sổ đỏ cất két, sẵn sàng giao dịch. 0️⃣3️⃣5️⃣6️⃣5️⃣5️⃣1️⃣0️⃣9️⃣1️⃣   = 0️⃣9️⃣4️⃣4️⃣1️⃣8️⃣5️⃣3️⃣5️⃣4️⃣ ☎️ Liên hệ 0356551091 – 0944185354. Em Vân Anh - xem nhà miễn phí.",31/07/2022,Tin thường,batdongsan_so_com_vn_1673811572.4716976,,,
"13,9 tỷ VNĐ",Đường Kim Đồng phường Giáp Bát, 47m2, 6, 6,"Giá 13 Tỷ 900 triệu VNĐ . 47m2. 6 tầng . MT 4.1 + Nhà đã hoàn thiện long lanh sang xịn mịn đẹp ở luôn, tháng máy ngoại nhập phóng ầm, vỉa hè đỗ xe trước nhà + Nhà thuộc khu phân lô vip phố Kim Đồng thông các ngả, vỉa hè nhỏ để xe , kinh doanh nhộn nhịp tấp lập đủ loại hình như: Văn Phòng, Cafe, Ẩm Thực… + Nhà gần bến xe Giáp Bát, bến xe Nước Ngầm, trục vành đai 3 của thành phố nên rất tiện di chuyển đi các tỉnh lân cận. Gần nhiều trường học mần non, cấp 1, 2, 3… khu vui chơi giải trí, trung tâm thương mại. + Nhà 6 tầng khung cột bê tông chắc chắn thang máy xịn sò, nhà lô góc 2 mặt thoáng ánh sáng ngập tràn. - Tầng 1: gara ô tô, wc. - Tầng Lửng: Phòng khách và wc - Tầng 3, 4, 5: mỗi tầng 1 phòng ngủ và wc - Tầng 6: phòng bếp và sân phơi. ? Sổ đỏ vuông đẹp như hoa khôi 18+, pháp lý sạch sẵn sàng giao dịch ngay. Đàm phán trực tiếp với chủ nhà không qua trung gian",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811573.8440254, 4, 6, 5
"1,56 tỷ VNĐ",Đường  phường Lệ Chi, 40m2, 7,,"CHÍNH CHỦ CẦN BÁN GẤP ĐẤT SEN HỒ - LỆ CHI - GIA LÂM. +DT 40m2 full thổ cư  , MT 4,5m. +Đất nhà mình 2 mặt tiền , đường trước nhà 7m , ngõ bên cạnh 3m , ô tô tránh nhau thoải mái. + Gia Lâm lên quận nên giá đất tăng chóng mặt , ACE nhanh tay mua ngay mảnh đất này đi ạ .  Đất nằm ngay gần Học Viện Tòa án , khu vực có rất nhiều khu đô thị mới phát triển từng ngày + ACE mua đầu tư giữ tiền hoặc xây ở , kinh doanh đều tốt. + Giá : 1,56 tỷ ( có thương lượng )  + LH : Hoàng Giang 0989918887",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811575.1825058, 5,,
"4,7 tỷ VNĐ","Hàng Bồ, Hoàn Kiếm Hà Nội", 28m2,,,"4.7 TỶ CÓ NGAY HOMESTAY 5 SAO PHỐ CỔ HÀNG BỒ+ Nhà khu phố cổ, sổ vuông riêng biệt, cách phố 20m, đặc biệt có 2 mặt thoáng vĩnh viễn, view rất đẹp. Khu phố với nhiều tiện ích và ẩm thực nổi tiếng chỉ cách Hồ Gươm 5 phút đi bộ.+ Ngôi nhà được đánh giá 5 sao trên Anb cho dòng tiền 1 năm khoảng 400 triệu.+ Căn nhà hiếm có ở phố cổ khi có móng riêng tường riêng khung cột chắc chắn. XD 4 tầng DTSD 125m2 thoáng vĩnh viễn 2 mặt view đẹp ngắm được pháo hoa. Đang có sẵn 2 phòng kinh doanh khép kín, tầng thượng có sân rộng cà phê rất đẹp.+ Chủ nhà tặng lại toàn bộ nội thất cao cấp (như ảnh)Liên hệ Mrs Phượng 0974352054 - Tư vấn tận tâm, miễn phí 24/24h (zalo, Fb) , hỗ trợ tư vấn Pháp lý, vay vốn.",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811576.6056979,,,
"2,6 tỷ VNĐ",xã Ngọc Hồi, 41m2,,,"+ Bán nhà Ngọc Hồi, Thanh Trì, Hà Nội+ MT : 4.1m+ Vị trí: Cách ô tô 50m, Cách TTTM, Trường Tiểu Học Thị Trấn Văn Điển, Chợ Văn Điển 200m, gần Trường PTTH Việt Nam - Ba Lan,  nhiều tiện ích trường chợ bệnh viện.+ Sổ vuông đẹp phân lô.+ Chủ nhà cần bán gấp xây nhà to trên Định Công nên bán, thân thiện. + Miễn TG",30/07/2022,Tin thường,batdongsan_so_com_vn_1673811577.835426,,,
