price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền
50 ngàn VNĐ,Đường Phạm Hùng phường Mỹ Đình 2, 107m2, 1, 14, 3, 2,"
    Quy mô: Tòa tháp 36 tầng (bao gồm 4 tầng hầm).+ Bãi đỗ xe: 11.926,56m2.+ Khu căn hộ chung cư: 42.670,72m2.- Khu trung tâm thương mại cao cấp, nhà hàng với các thương hiệu nổi tiếng.- Phòng khám đa khoa hiện đại cung cấp dịch vụ chăm sóc sức khoẻ theo tiêu chuẩn quốc tế cho mọi lứa tuổi.Tiện ích ngoại khu.- Các cơ quan hành chính sự nghiệp và ngân hàng thuộc phố Duy Tân và Trần Thái Tông.Tiện ích nội khu:- Vườn hoa công viên giải trí dành cho cư dân.Là một trong những dự án căn hộ cao cấp tiêu chuẩn 5 sao + còn hàng bán trực tiếp từ chủ đầu tư nằm ở ngay mặt đường Phạm Hùng tuyến đường tuyệt đẹp của những công trình nổi tiếng như: Keangnam Landmark Hanoi 72, Indochina Plaza Hanoi, Khu đô thị Mễ Trì Hạ, các công viên lớn như công viên cầu giấy, hồ điều hoà cầu giấy, đại sứ quán Mỹ,...
",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824078.423521,,
"1,4 tỷ VNĐ","QL3 Đồng Chầm, Tiên Dược, Sóc Sơn", 85m2,,,,,"Bán 85m2 đất QL3 Đồng Chầm, Tiên Dược, Sóc Sơn, đường 2 ô tô tránh giá 1,4 tỷ (CTL) 0977774287 85m2, mặt tiền 5m, hậu 5m. Đường 2 ô tô tránh vào tận khu. Địa chỉ: khu tập thể quân đội V30 Đồng Chầm, Tiên Dược, Sóc Sơn. Nằm sát trung tâm huyện, gần trường, gần chợ, đất vuông vắn ko lỗi phong thuỷ. Cách Quốc lộ 3 gần 2km, cách trung tâm huyện Sóc Sơn 1km. Sổ đỏ chính chủ. Giá 1.4 tỷ (Có TL) Liên hệ: 0977774287",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824079.666719, Đông nam, 5
7 tỷ VNĐ,Đường Khương Trung phường Khương Trung, 56m2, 3, 5, 6, 6,"+ Nhà đẹp, Chủ làm ăn có lộc muốn đổi sang ở biệt thư.  + Liên hệ xem nhà miễn phí : Mr Lâm (Thổ Địa HN) 0865400586 “Miễn Môi giới, trung gian”",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824080.6590655,, 6
"1,2 tỷ VNĐ","Đồi Sen, Bình Yên, Thạch Thất", 65m2, 8,,,,"Lô đất cực đẹp vuông văn full thổ cư nằm trên trục giao thông chính - Vị trí: Đồi Sen - Bình Yên - Thạch Thất - Hà Nội - Diện tích: 65m2 - Nằm trên mặt đường trục chính liên Xã - Cách đường TL 420 chỉ 200m - Xung quanh có UBND xã, trường THCS, Y tế , chợ dân sinh và đặc biệt là dân cư cực kì đông đúc. - Gần khu Công Nghệ Cao, đại học FPT và hồ Tân Xã - Sẵn sổ, full thổ cư, pháp lý rõ ràng. Gọi ngay : 0978862329 để được hỗ trợ đi xem đất",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824082.1520693,, 5
"32,8 triệu VNĐ/m2","Đường Võ Chí Công, phường Phú Thượng, quận Tây Hồ, Hà Nội", 168.1m2,,, 3, 2,"Thanh toán trước 1,66tỷ (30%) ký hợp đồng mua bán căn hộ 3 ngủ 168,1m tại Hồ Tây, view cầu Nhật Tân siêu đẹp. Chiết khấu 4%GTCH, quà tặng 30 triệu, nhận nhà ở ngay, sổ đỏ lâu dài. Hotline VPBH: 0977 568 223Vị trí: Mặt đường Võ Chí Công (Ciputra) - Đối diện Lotte Mall, quận Tây Hồ, Hà Nội ƯU ĐÃI LỚN CHƯA TỪNG CÓ CSBH:- Chiết khấu lên tới 4%GTCH- Quà tân gia lên tới 30 triệu- Miễn 2 năm phí dịch vụ- Hỗ trợ vay thương mại 70%  Thiết kế căn hộ- Diện tích thông thủy: 168,1m2- Gồm 3 phòng ngủ, 1 phòng khách, 2 wc, 2 ban công, 1 logia- Phòng khách siêu rộng: 72m2- View cầu Nhật Tân + nội khu- Bàn giao nội thất cơ bản: Điều hòa, nóng lạnh, tủ bếp, hút mùi, sàn gỗ, trần thạch cao, gạch caramic, cửa gỗ chống cháy, khóa điện tử, hệ thóng nước, hệ thống đèn điện,...  Cam kết với khách hàng- Cam.kết bảo mật thông tin khách hàng!- Đảm bảo chất lượng căn hộ, chất lượng dịch vụ!- Thủ tục mua bán căn hộ đơn giản, nhanh gọn!- Thanh toán tiện lợi dễ dàng!- Đỗ xe rộng rãi và kín đáo!- Mật độ dân cư siêu thấp!- Đầy đủ pháp lý - Bàn giao sổ - Nhận nhà ở ngay! Call/Sms/Fb/Zalo: Em Vân Anh: 0977 568 223 Udic Westlake  Đẳng Cấp Không Phô Trương",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824083.63315, Tây nam,
50 ngàn VNĐ,Đường Phạm Hùng phường Mỹ Đình 2, 131m2, 1, 15, 4, 2,"- Diện tích thông thủy: 131.2m2.- 3 logia. - Chiết khấu 6% khi thanh toán sớm 95% giá trị căn hộ.
",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824084.7950435,,
,lacasta văn phú hà đông, 102m2,, 5, 5, 5,"* 1 căn lô góc với mặt tiền siêu khủng , nằm trên mặt tiền lacasta được mệnh danh là khu đô thị hồng công thu nhở của thủ đô , mặt đường 6 làn xe chạy , vỉa hè 6m 3 mặt , khu đô thị cao cấp , kinh doanh đỉnh cao , hội tụ đầy đủ mọi tiêu chí an sinh , tiện ích , cao cấp bậc nhất ** vị trí lô góc được hiết kế 5 tầng thông sàn ** sổ đỏ pháp lý nét như sony chờ chủ mới kết duyên** ac quan tâm 0845790555 zalo đỗ hạnh** giá 21.6 tỷ",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824085.9389806,, 18
"5,29 tỷ VNĐ",Đường Cầu Giấy, 40m2,, 5, 3, 5,"    Chủ nhà muốn bán nhà Cầu Giấy  do nhu cầu , thành viên trong gia đình tăng , nên  anh quyết định bán để chuyển sang nhà mới ở nên cần sang nhượng . + Vị trí trung tâm Cầu Giấy, ngõ 79 Cầu Giấy thông tứ phía + Gần nhiều trường học các cấp, tiện ích xung quanh bạt ngàn không thiếu thứ gì, khu vực dân trí cao, an sinh tốt, giao thông đi lại vô cùng thuận tiện. Nhà được anh chủ nhà thiết kế hiện đại , với thiết kế 5 tầng như sau + Tầng 1: Phòng khách, bếp, vệ sinh +Tầng 2, 3, 4: Mỗi tầng 1 phòng rộng , vệ sinh. + Tầng 5: Phòng thờ, sân phơi rộng. + Chủ nhà trẻ tuổi làm bên bộ tư lệnh, rất hiểu chuyện, nếu khách có thiện trí chủ nhà sẵn sàng gia lộc. + Sổ đỏ vuông vắn luôn sẵn sàng giao dịch trong  ngày . Để biết thêm thông tin chi tiết liên hệ Mr Chính 079.212.2918 ",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824087.1776679,, 4
,Đường Phú Diễn phường Phú Diễn, 60m2, 10, 5, 8, 6,"
    - Lô M - 06 diện tích 60m2 xây 4,5 tầng nhìn ra vườn hoa. Đường trước nhà sau nhà rộng 10m.- Liên hệ chính chủ Chị Hà Anh 0983 92 93 59- 0962 639 186",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824088.4761934,,
"7,6 tỷ VNĐ",Đường Cầu Bươu phường Kiến Hưng quận Hà Đông, 56.3m2, 7, 5, 5, 5,"Chính chủ cần bán căn nhà 5 tầng liền kề  tại Tổ Hợp chung cư và thương mại bemes Tân Triều, phường kiến hưng Hà Đông. Nhà mình xây để ở nên rất chắc chắn móng bè, nội thất toàn gỗ lim. Đường trước và sau 7m chạy xung quanh, khu dân trí cao, an ninh cực tốt ra vào đều có bảo vệ. tiện ích trường trạm đầy đủ gần chợ và bệnh viện 300m, nay đang cần giải quyết một số việc nên mình muốn bán. - Diện tích : 56,3m - Mặt tiền  : 3,75m  - Giá nhỉnh 7 tỷ có thương lượng - Sổ đỏ chuẩn không cần chỉnh - Liên hệ : Mr Dũng 0825237636 zalo : 0996839398",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824089.733829,, 3
"4,55 tỷ VNĐ",Trần Phú Văn Quán, 36m2, 9, 4, 4, 3,"Nhà Trần Phú - Văn Quán Hà Đông 36m 4 tầng mặt tiền 3.8m ô tô qua Mô tả:- Nhà nằm trong khu dân trí cao, an ninh cực tốt, hàng xóm thân thiện, view trước nhà cực kỳ thoáng mát, tiện ích xung quanh ko thiếu gì.- Ngõ trước nhà 4m, thông từ ngõ 217 Trần Phú sang đường 19/5, ô tô qua nhà, ô tô con vào nhà, cách phố Trần Phú 100m, giao thông đi lại rất tiện ích.- Nhà được thiết kế 4 tầng với đày đủ công năng sử dụng.+ Tầng 1: Phòng khách, bếp, vệ sinh.+ Tầng 2,3: Tổng 4 ngủ, 2 vệ sinh.+ Tầng 4: Phòng thờ sân phơi.- Giá: 4.6 tỷ( còn thương lượng).- Sổ đỏ vuông như A4, pháp lý chuẩn.- Liên hệ trực tiếp cho Nguyên Anh: 0819508701 để được tư vấn xem nhà và tiêt kiệm thời gian.",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824091.0213845,, 3
"5,5 tỷ VNĐ",la khê, 55m2,, 4, 4, 3,"+ Bán nhà. Phan Đình Giót, Hà Đông. Ô tô Kinh Doanh 55m2 x 4 tầng, Mặt tiền 5m. Giá 5.5 tỷ.  CHỈ 20M RA CHỢ BÔNG ĐỎ, KĐT NGÔ THÌ NHẬM - Ô TÔ NHỎ QUA CỬA - NHÀ DÂN XÂY CHẮC CHẮN VỀ Ở NGAY. Ngõ Phan Đình Giót thông sang KĐT Ngô Thị Nhậm..., + Chỉ 20m ra chợ Bông Đỏ - KĐT Ngô Thì Nhậm tiện ích ngập tràn. + Ngõ trước nhà thông rộng Ô tô nhỏ qua cửa. + Nhà gần trường học, chợ, bệnh viện, siêu thị và các trung tâm thương mại lớn. + Nhà 4 tầng khung cột bê tông cốt thép rất chắc chắn. Mặt tiền rộng thoáng mát. + Thiết kế: - Tầng 1: phòng khách, bếp, wc. - Tầng 2, 3: mỗi tầng 2 phòng ngủ, wc, ban công thoáng mát. - Tum để téc nước.   + Sổ đỏ chính chủ, sẵn sàng giao dịch.  LH: E KHÁNH: 0984568179 ",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824092.2361343,, 5
"14,5 tỷ VNĐ",ngõ 48 Tạ Quang Bửu, 65m2, 3, 7, 10, 10,"Cần bán  Tòa  nhà cách mặt phố Bạch Mai, HBT, Hà Nội 30m .ngõ to rộng DT 65mx7 tầng thang máy. MT rộng 6.5m .Có 12 phòng  khép kín full nội thất. cho thuê dòng tiền ổn định.Thiết kế hiện đại bao gồm:Tầng 1 khu để xe và máy giặt, máy sấyTầng 2,3,4,5,6 mỗi tầng 2 phòng ngủ và vệ sinh khép kín full nội thất Tầng 7 :2 phòng ngủ vệ sinh khép kín,  full nội thất.Tổng có 12 phòng cho thuê ngủ khếp kín vừa ở vừa cho thuê dòng tiền ổn định. Nhà hoàn thiện đẹp thiết bị vệ sinh  cao cấp, của chính 2 lớp, cửa thông phòng và tay vị cầu thang làm bằng gỗ Lim, sàn gỗ nhập khẩu, đèn Led tiết kiệm điện . Các phòng đã trang bị đầy đủ giường tủ, điều hòa, quạt điện, Bình nóng Lạnh , bếp , có công tơ điện nước riêng. Khách mua về ko phải đầu tư gì thêm nữa.Vị trí cực đẹp cách mặt phố Bạch Mai 30m ngõ to rộng gần nhiều trường cấp 1, cấp 2, cấp 3, cách 3 trường Đại Học lớn như Bách Khoa, Kinh Tế, Xây Dựng không quá 1km. rất thuận tiện cho việc đầu tư giữ tiền.Sổ đỏ chính chủ giá 14,5 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824093.3521488, Bắc, 6
"4,5 tỷ VNĐ",ngõ 155 Bạch Mai, 35m2, 3, 5, 3, 4,"Tôi chính chủ cần bán nhà ngã lê Thanh Nghị, Bạch Mai, Hai Bà Trưng.Hà Nội.DT 35mx5T xây mới đẹp long lanh, vuông vắn, thông thoáng, rộng rãi, gia đình ở hoặc cho thuê cực tốt vì gần nhiều trường Đại Học: Bách Khoa, Kinh Tế, Xây Dựng- Thiết kế Châu Âu hiện đại, tối ưu mọi công năng sử dụng+ Tầng 1: Phòng khách, bếp ăn, vệ sinh+ Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng, vệ sinh khép kín+ Tầng 5: Phòng thờ, sân phơi- Nội thất mới 100% cao cấp: Hệ thống cửa từ trên xuống dưới + cầu thang + sàn nhà các tầng + tủ bếp tất cả đều được làm bằng gỗ tự nhiên cao cấp, được chính tay chủ nhà là dân trong nghề nội thất thiết kế và sản xuất.- Vị trí: Nhà nằm trong ngách yên tĩnh, cách mặt phố Bạch Mai 1 phút đi bộ. Khu vực xung quanh ngay sát nhiều trường đại học, công sở, bênh viện, buôn bán sầm uất, thuận lợi cả sinh hoạt và làm ăn kinh doanh.- Pháp lý: Sổ đỏ chính chủ.- Giá bán: 4.5 tỷ (có thương lượng) liên hệ chị Yến ĐT:0702138238",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824103.129991, Nam, 6
50 ngàn VNĐ,Đường Phạm Hùng phường Mỹ Đình 2, 107m2, 1, 14, 3, 2,"
    Quy mô: Tòa tháp 36 tầng (bao gồm 4 tầng hầm).+ Bãi đỗ xe: 11.926,56m2.+ Khu căn hộ chung cư: 42.670,72m2.- Khu trung tâm thương mại cao cấp, nhà hàng với các thương hiệu nổi tiếng.- Phòng khám đa khoa hiện đại cung cấp dịch vụ chăm sóc sức khoẻ theo tiêu chuẩn quốc tế cho mọi lứa tuổi.Tiện ích ngoại khu.- Các cơ quan hành chính sự nghiệp và ngân hàng thuộc phố Duy Tân và Trần Thái Tông.Tiện ích nội khu:- Vườn hoa công viên giải trí dành cho cư dân.Là một trong những dự án căn hộ cao cấp tiêu chuẩn 5 sao + còn hàng bán trực tiếp từ chủ đầu tư nằm ở ngay mặt đường Phạm Hùng tuyến đường tuyệt đẹp của những công trình nổi tiếng như: Keangnam Landmark Hanoi 72, Indochina Plaza Hanoi, Khu đô thị Mễ Trì Hạ, các công viên lớn như công viên cầu giấy, hồ điều hoà cầu giấy, đại sứ quán Mỹ,...
",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824104.2400234,,
"6,2 tỷ VNĐ",Đường Trần Quang Diệu phường Quang Trung, 46m2, 1, 3, 3, 1,"
    BÁN NHÀ TRẦN QUANG DIỆU 46m2 6,2 TỶ Ô TÔ ĐỖ CỬA - KINH DOANH CỰC ĐỈNH - SIÊU HIẾM NHÀ BÁNMô tả:3 TẦNG x46m2 chỉ 6,2 TỶToạ lạc tại khu VIP của Quận Đống Đa, khu vực tiện ích, an sinh đỉnh cao, nhà gần ô tô, ô tô đỗ cửa. Giao thông đi lại cực thuận tiện.Nhà xây cực chắc chắn thiết kế chuẩn công năng sử dụng, nội thất sang xịn mịn, thiết bị vệ sinh TOTO, bếp nhập khẩu Đức…+ Sổ Đỏ chính chủ, có thương lượng, pháp lý chuẩn sẵn sàng giao dịch ngay.LH: Mr.Tiến - Thành thật tận tâm - Dẫn nhà thật - Tiết kiệm thời gianBên cạnh đó, còn vài chục căn nhà trên địa bàn quận và các tuyến phố lân cận với đa dạng phân khúc phù hợp với mong muốn của quý anh/chịChúc Quý anh/chị bình an và thật nhiều sức khoẻ!
",20/05/2022,Tin thường,batdongsan_so_com_vn_1673824105.2403562,, 4
