price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Số tầng,Hướng,Mặt tiền
"3,8 tỷ VNĐ","Tứ hiệp, Thanh Trì HN", 56m2," + Vị trí nhà rất đẹp, sát Trung tâm thương mại, bệnh viện đa khoa Thanh Trì, gần đường Ngọc Hồi, gần mặt phố, tiện ích đầy đủ. + Nhà khung cột còn chắc chắn, mỗi tầng 1 phòng rộng, đang có sẵn 3 ngủ, trước sau đều mở cửa. + Sân to rộng. + Sổ vuông đẹp, giao dịch ngay. ",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805875.628024,,,,,,
"1,55 tỷ VNĐ",Đường Lê Trọng Tấn phường An Khánh, 66m2,"Bán căn hộ chung cư The Golden An Khánh tòa 18T căn góc 2 ngủ 2VS 66m2 nội thất đẹp về ở ngay. THÔNG TIN CĂN HỘ - 2 Phòng ngủ, 2 VS, 1 bếp, 1 phòng khách, 1 ban công, 1 lô gia, - Cửa Đông Bắc, ban công Tây Nam NỘI THẤT- Trần thạch cao, sàn gỗ- Tủ bếp, bếp từ , hút mùi, tủ đồ, Mang quần áo về ở ngay. Giá bán : 1,5x tỷPháp lý : Hợp đồng mua bán chủ đầu tư ( Thanh toán hết với chủ đầu tư chờ làm sổ ) Xem nhà liên hệ : Mr Tính : 090.152.1658 Xem thêm danh sách căn hộ chung cư The Golden An Khánh đang bán tại : http://tayhanoiland.com/can-ho-chung-cu/ban-chung-cu-the-golden-an-khanh/  ",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805878.0774782, 25, 2, 2,,,
"35,5 tỷ VNĐ",viẹt Hưng long biên, 80m2,"+Mảnh đất nằm vị trí đẹp nhất phố Việt Hưng, đường rộng , vỉa hè     rông +Lô góc , 3 mặt thoáng vĩnh viễn rất đẹp +Khu vực phát triển mạnh, xung quanh toàn biệt thự , nhà hàng,   đường thông tứ tung +Phù hợp xây VP, nhà Hàng, khách sạn,cửa hàng …. Liên hệ Tuấn Dũng để làm việc chính chủ đất ĐT, zalo 0988521921",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805880.6575756,,,,,,
"5,1 tỷ VNĐ",Tô Hiệu- Hà Đông, 48m2,"Bán nhà Tô Hiệu, Hà Đông 48mx4T lô góc ô tô gần phố hơn 5 tỷ Hiếm quá bán nhà riêng Tô Hiệu, Hà Đông với 48m thiết kế 4 tầng phong cách Châu Âu hiện đại, gia chủ thành đạt bán đi đổi nhà to hơn, lô góc ánh sáng ngập tràn, gần phố ngõ thông ô tô. Nhà đẹp trung tâm nhiều tiện ích các trường học, ngân hàng, bệnh viện, siêu thị lớn. Hàng xóm văn minh, an ninh tuyệt đối ở sướng. Con phố Cổ ngày đêm tấp nập người qua lại ở cực sướng. Giao thông thuận lợi hàng xóm Bà Triệu thông sang Lê Lợi giáp Lê Hồng Phong xuống Hà Trì cắt Nhuệ Giang quan Văn Quán sang Phúc La. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 5.1 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805882.107797,,,, 4,,
"5,05 tỷ VNĐ",Quang Trung- Hà Đông, 49m2,"Bán nhà Quang Trung, Hà Đông 49mx4T ô tô gần phố lô góc chỉ 5 tỷ Người thân gửi bán nhà đẹp phố Quang Trung, Hà Đông, thiết kế 4 tầng hiện đại, nội thất nhập khẩu chỉ việc đến ở, diện tích rộng 49m lô góc vô cùng thoáng sáng ngõ nông ô tô gần phố. Nhà gần với trục chính ngã tư Lê Trọng Tấn và Văn Phú giáp Phan Đình Giót gần Ngô Thì Nhậm thông sang Hoàng Đôn Hoà. Xung quanh nhà trường học các cấp, siêu thị Metro, Quận Uỷ, nhà thi đấu, ngân hàng, bệnh viện không thiếu. Sổ đỏ vuông, sẵn sàng giao dịch. Giá 5.05 tỷ ( có gia lộc). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ Cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805883.888028,,,, 4,,
"3,9 tỷ VNĐ","Tứ Hiệp, Thanh Trì HN", 45m2,"+ Vị trí nhà rất đẹp, ngõ ngay sát Trung tâm thương mại và bệnh viện đa khoa Thanh Trì, 2 mặt ngõ trước sau nhà ô tô ra vào thoải mái, gần mặt phố, mặt chợ, tiện ích đầy đủ. 10m ra đường ô tô tránh. + Nhà khung cột chắc chắn, mỗi tầng 2 phòng rộng, đang có sẵn 4 ngủ ở luôn, trước sau đều mở cửa thoáng. + Sổ vuông đẹp, giao dịch nhanh. ",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805885.3172054,,,,,,
,Hà Đông Ha Nội, 80m2,"📣📣 Chuẩn bị mở bán đất dự án giá rẻ khu dân cư mới tự xây Tân Phúc ven khu công nghiệp Hà Nội _Hưng Yên ,sát nút giao cao tốc 5b ,giá chỉ từ 866 triệu/ lô 🌏 Diện tích giao động từ 70-80 m2🗺 Đường nội bộ vào đất đổ afphan nhựa từ 5_7m 💎 Vị trí giao thông thuận tiện , nằm cạnh nút giao cao tốc Hà Nội - Hải Phòng 🌐 Là trung tâm cầu nối giao thông ,vận chuyển hàng hóa của cao tốc 5b từ Hà Nội _Hưng Yên_Hải Dương _Hải Phòng và Quảng Ninh ..💎 Là vị trí giao thoa quốc lộ 38 với cao tốc 5b , kết nối từ Ân Thi tiếp giáp với thị trấn Kẻ Sặt _ đi Hải Dương_Bắc Ninh. 💎 Nằm sát đường tỉnh Tân Phúc _Võng Phan,giao với tỉnh lộ 387 nối liền các khu công nghiệp từ Ân Thi, Hưng Yên _đi Thái Bình /-flag Cách chợ mua sắp , ủy ban nhân dân xã chỉ 1km💜 Cách trường học cấp 1 cấp 2 chỉ 1,5 km💎 Nằm trong vùng quy hoạch khu công nghiệp Bắc Sơn - Bãi Sậy , Tân Phúc- Hoàng Hoa Thám, Quang Vinh.🎯 Nằm giáp tuyến đường lưu thông hàng hóa qua các khu công nghiệp Tân Phúc -Quang Vinh _ Hoàng Hoa Thám - Văn Nhuệ 🌏 Vị trí nằm ở trung tâm khu công nghiêp huyện Ân Thi , với quy mô hơn 10000 công nhân.🏗 Vị trí giáp ranh 6 huyện quy hoạch tương lai sẽ thành nơi giao thương sầm uất tấp nập ..💎 Mốc giới dõ ràng , hạ tầng đồng bộ , sổ hồng trao tay.. 💎 Cơ hội cho các nhà đầu tư kiếm 💸💸💸.💓 Đảm bảo sinh lời , với giá trị nhân 2,nhân 3 cho khách hàng..🔥Quy trình mua bán:💎Bước 1: Đặt cọc 100 triệu trong thời hạn 15 ngày.💎Bước 2: Thanh toán 95% ngay khi ký hợp đồng chuyển nhượng.💎 Bước 3: Nhận sổ thanh toán 5% giá trị còn lại.",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805887.3048882, 61,,, 1, Đông, 5
866 triệu VNĐ,"Tân Phúc, Ân Thi, Hưng Yên", 75m2,"
    Chuẩn bị mở bán đất dự án khu dân cư mới tự xây Tân Phúc , sát nút giao cao tốc 5b. giá chỉ 866 triệu/ lô
 Diện tích giao động từ 70 mét
 Đường dải nhựa 6-7 mét.
 Vị trí giao thông thuận tiện , nằm cạnh nút giao cao tốc Hà Nội - Hải Phòng
Trung tâm cầu nối giao thông ,vận chuyển hàng hóa của cao tốc 5b từ Hà Nội - Hưng Yên - Hải Dương - Hải Phòng - Quảng Ninh. Nơi kết nối vùng kinh tế trọng điểm 4 tỉnh.
 Vị trí giao giữa quốc lộ 38 với đường cao tốc 5 bê
 Nằm sát đường tỉnh Tân Phúc - Võng Phan quy hoạch 66 mét. đi Phù Cừ - Tiên Lữ sang Thái Bình.
 Cách trường học cấp 1, 2 ,3 trong phạm vi 1,5 cây
 Nằm trong vùng quy hoạch hàng nghìn ha. khu công nghiệp Bắc Sơn, Bãi Sậy ,Tân Phúc, Hoàng Hoa Thám ,Quang Vinh, Văn Nhuệ
 Nằm giáp tuyến đường lưu thông hàng hóa qua các khu công nghiệp Tân Phúc - Quang Vinh, Hoàng Hoa Thám - Văn nhuệ
 Vị trí nằm ở giữa trung tâm khu công nghiệp huyện Ân thi , với quy mô hơn 10.000 công nhân.
",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805889.285592, 7,,,,, 4
62 tỷ VNĐ,Đường Chu Huy Mân phường Phúc Đồng, 220m2,"Bán biệt thự đơn lập VIP Vinhomes Riverside: Căn góc, gần sông, công viên, Club - hàng hiếm+ Biệt thự nằm trung tâm Khu Anh Đào - khu trung tâm, tập trung nhiều tiện ích nhất của dự án Vinhomes Riverside: Công viên, Club, trung tâm thương mại...+ Biệt thự đơn lập lô góc với mặt tiền rộng, diện tích 200m, hiện trạng thô, chủ mới về có thể thoải mái thiết kế lại theo mong muốn của mình.+ Chủ nhà làm ăn phát đạt, chuẩn bị ra nước ngoài sinh sống không ở nên bán đi.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Giá rao bán 62 tỷ có gia lộc. Chi tiết xin liên hệ: Vũ Tuấn - chuyên bđs thổ cư, biệt thự, nhà phố Long Biên...theo số..   0399.o.27.o.11.o.14.o",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805891.382985, 21, 4, 4, 4,, 10
"11,9 tỷ VNĐ","Đàm Quang Trung, Long Biên", 80m2,"Thông số: Diện tích 80 m2, mặt tiền 4,1 m , vỉa hè 6m Vị trí- Mặt phố , đường ôtô tránh, vỉa hè 6 m.         - kinh doanh bất chấp các mặt hàng         - cho thuê làm văn phòng , nhà hàng, karaoke…          - Sát TTTM  Aeon, sát cầu Vĩnh Tuy         - 5 phút sang Time city         - Hàng xóm VINHOME - hưởng trọn mọi tiện ích Thiết kế: - Tầng 1: gara + Kinh Doanh - Tầng 2+3+4: Tổng 5PN  + BẾP + WC - tầng 5 : Phòng thờ + Sân Phơi Liên hệ Tuấn Dũng để làm việc chính chủ Đt, zalo 0988521921",28/08/2022,Tin thường,batdongsan_so_com_vn_1673805892.9787095,,,,,,
