price,address,Diện tích,Mặt tiền,Details,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
"2,85 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 55m2, 5,""",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-bidi-font-size:="""" 10.5pt;="""" mso-ansi-language:="""" vi'bÁn="""" gẤp="""" mẢnh="""" ĐẤt="""" spanspan="""" 10.5pt'="""" vi'="""">NGỌC THUỴ "",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-bidi-font-size:="""" 10.5pt;="""" mso-ansi-language:="""" vi'-="""" 55m2-="""" 2,85="""" tỉ="""" span="""" p="""" class=""MsoNormalSPAN"" spanspan="""" 10.5pt'=""""> "",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-bidi-font-size:="""" 10.5pt;="""" mso-ansi-language:="""" vi'g="""" spanspantimes="""" 10.5pt'ần="""" chợ,="""" spanspan="""" vi'="""">gần Khai Sơn Hill...  "",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-bidi-font-size:="""" 10.5pt;="""" mso-ansi-language:="""" vi'-="""" spanspantimes="""" 10.5pt'vị="""" trí="""" đất="""" ngay="""" chợ="""" ngọc="""" thụy="""" nên="""" kinh="""" doanh="""" buôn="""" bán="""" đa="""" dạng,="""" nhộn="""" nhịp="""" ngày="""" đêm.="""" span="""" p="""" class=""MsoNormalSPAN"" vi'="""">- giá thương lượng"",serif;="""" background:="""" white;="""" color:="""" black;="""" line-height:="""" 107%;="""" mso-bidi-font-size:="""" 10.5pt;="""" mso-ansi-language:="""" vi')="""" span="""" p="""" class=""MsoNormalSPANTimes"" 10.5pt'-="""" lh="""" spanspan="""" vi'="""">hot line/ zalo: 0345345969 Mr Thành ",08/07/2022,Tin thường,batdongsan_so_com_vn_1673815640.09872,,,,
6 tỷ VNĐ,Khương trung, 48m2, 5,"+Trung tâm Phố Khương Trung -  Thanh Xuân, thông sang Tô Vĩnh Diện, Vũ Tông Phan, Vương Thừa Vũ.+Vị trí nhà cách đường lớn 30m, đường trước nhà rộng thoáng, gần trường học các cấp, bãi xe Ô TÔ cách 40m, gần chợ Khương Trung.+Thiết kế nhà hiện đại, nội thất cao cấp, dân trí cao.+ Giá: 6.5 Tỷ( Thương lượng sâu).+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch.LH: Em Hoan, 0879785710, chuyên thổ cư Hà Nội, nhiệt tình, vui vẻ dẫn khách, miễn phí xem nhà 24/7.",08/07/2022,Tin thường,batdongsan_so_com_vn_1673815641.9557507, 5, 6,,
"6,9 tỷ VNĐ",Phường Mỹ Đình, 60m2,,"Cực hiếm. Bán nhà Đình Thôn,60m2, 4Tầng, MT 4,5m.5m ra ô tô tránh. Nhỉnh 6 tỷ.+Nhà nằm ở vị trí trung tâm Đình Thôn. Khu tập tring nhiều cư dân Hàn Quốc. Tiện ích miễn bàn.+ Nhà siêu đẹp mới, 10m ra đường lớn. Chủ xây mới từ móng chắc chắn, nhà đẹp long lanh sẵn ở.+ Đường thông ra Phạm Hùng, Thiên Hiền và các tuyến phố trung tâm nội đô. khu an ninh cao, công năng đầy đủ tiện ích. Dân cư đông kinh doanh buôn bán tấp nập,+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá:Thỏa thuận.Liên hệ: Anh Đoàn - 0962745289.+ Chuyên nhà đất – Đất thổ cư Hà Nội.+ Nhiệt tình vui vẻ, dẫn khách xem nhà miễn phí. Tư vấn pháp lý, thủ tục sang tên nhanh gọn.+ Tư vấn 24/7.",08/07/2022,Tin thường,batdongsan_so_com_vn_1673815643.259264,,,,
"6,6 tỷ VNĐ",phố Lạc Trung - HBT-HN, 40m2,,"+ Nhà năm tại phố Lạc Trung, gần các tuyến phố kinh doanh lõi quận HBT như : Minh Khai, Kim Ngưu, Vĩnh Tuy.. + Nhiều tiện ích : Bệnh Viện Thanh Nhàn,Time City, Siêu Thị , mầm non gần nhà.. + Nhà trong khu phân lô, dân trí cao, an ninh tuyệt đối + Ngõ to, ô tô đỗ cửa ngày đêm. + Diện tích sổ đổ 40 x 5 tầng. + Nhà mới xây, thiết kế hiện đại, Chủ xây cực kỳ tâm huyết. + Sổ đỏ chính chủ, đảm bảo pháp lý, sẵn sàng giao dịch. + Giá 6,6 Tỷ  Liên hệ: em Dũng- 094 567 6597",08/07/2022,Tin thường,batdongsan_so_com_vn_1673815644.6744773,,,,
"4,55 tỷ VNĐ","QL6 TT Xuân Mai, Chương Mỹ, Hà Nội", 92m2, 4,"Siêu Hiếm, Trung Tâm Xuân Mai, Gần Chợ, Vỉa Hè Rộng, Kinh Doanh Cực Đỉnh 91.5m2  Chỉ 4.55 Tỷ.Vị Trí: -Nhà gần trường THCS Thủy Xuân Tiên,tuyến phố vỉa hè rộng như sân cầu lông,Xây 3 tầng kiên cố cực chắc chắn. Có thể nâng tầng nếu chủ nhà muốn. - Công năng sử dụng tầng 1 Thông sàn cho thuê kinh doanh. Tầng 2-3 để ở với mỗi tầng 2 phòng ngủ. - Nếu cho thuê cả nhà thì quá được giá luôn. - Tuyến phố kinh doanh xe cộ đông đúc ngày đêm mọi mặt hàng. Vỉa hè rộng đánh cầu lông. Sắp tới mở rộng QL 6 giá trị BĐS lại càng tăng  Pháp Lý: Sổ đẹp vuông đét chờ giao dịch.Liên hệ trực tiếp 24/7 để đi xem nhà miễn phí.    - Mr Luyện thổ cư: 0911779569- Chuyên Nhà đất Thổ cư các phân khúc từ 1 tỷ đến trên 100 tỷ. “TRAO GỬI NIỀM TIN_ NHẬN LẠI YÊU THƯƠNG”",06/07/2022,Tin thường,batdongsan_so_com_vn_1673815646.0986679, 3, 4, 30, 3
"5,5 tỷ VNĐ","Phố Ngọc Trì, Phường Thạch Bàn, Quận Long Biên, Hà Nội", 63m2, 4,"Bán Nhà (ngõ ô tô) Ngọc Trì, Thạch Bàn, Long Biên 63m2, 3T chỉ 5,5 tỷ  - Tầng 1: Gara để xe + Phòng khách + bếp + wc + Giếng trời. - Tầng 2: Sân chơi tiểu cảnh, khu đặt bàn bàn trà thư giãn + 2 phòng ngủ + wc. - Tầng 3: 2 phòng ngủ, wc. Cầu thang giữa + mỗi tầng 2PN + giếng trời sau nhà  * Mô tả: - Nhà dân xây, thiết kế hợp lý, khung cột bê tông cốt thép chắc chắn.. - Ô tô trước cửa, vào nhà nếu muốn, 30m ra ô tô tránh. - Full nội thất mới 100% như đèn chùm PK + bếp, điều hoà, bếp từ, bình nước nóng, giường tủ kệ giá, tủ bếp. - Vị trí đẹp, khu vực phát triển với đầy đủ mọi tiện ích, bán kính 200M là hệ thống trường học các cấp, bán kính không xa là TTTM Aeon Mall Long Biên, đường Cổ Linh, Khu đô thị Garden City, chợ Đồng Dinh, Công an phường Thạch Bàn, trung tâm y tế.. - Nhà đẹp pháp lý rõ ràng.",08/07/2022,Tin thường,batdongsan_so_com_vn_1673815647.5457962, 3, 4,,
"2,1 tỷ VNĐ",Đường yên nghĩa phường Yên Nghĩa, 35m2, 4,"SIÊU PHẨM YÊN NGHĨA-LÔ GÓC-Ô TÔ ĐỖ-KINH DOANH-2 THOÁNG-35M2-GIÁ 2.1 TỶ +Vị trí đẹp nhất khu vực Yên Nghĩa, dường rộng thông tứ tung, ô tô đỗ cửa, khu vực đang phát triển mạnh, tiềm năng. +Gần Trường học các cấp, chợ, bệnh viện +Nhà xây 4 tầng chịu lực BTCT x 35m2. 3 phòng ngủ, đầy đủ công năng tiện nghi sử dụng, nhà 2 thoáng trước sau đầy đủ ánh sáng sinh khí cho ngôi nhà +Chủ nhà thành dạt có gia lộc cho khách thiện trí Liên hệ em Đạt ngay để xem nhà gặp chủ nhà 0961547806",08/07/2022,Tin thường,batdongsan_so_com_vn_1673815652.3186686, 4, 3, 7, 3
"17,7 tỷ VNĐ",Xuân Thủy, 60m2, 5,"- Bán nhà khu vực phân lô Quân Đội, an ninh tốt, dân trí cao.  Vị trí cách mặt phố Cầu Giấy 50m, ô tô tránh vỉa hè 2 bên rộng gần 3m - Nhà 5 tầng có ô chờ thang máy. Từ tầng 2 đua 68m, đằng sau có khe thoáng, bên trong nội thất cao cấp toàn đồ gỗ đắt tiền, vào nhà sẽ cảm nhận được nhà rất ấm và có lộc - Thiết kế & Diện tích: Nhà 60m2, mặt tiền 5m, 5 tầng. - Tầng 1: Phòng khách, bếp + vệ sinh - Tầng 2.3.4: Mỗi tầng 1 phòng+ vệ sinh - Tầng 5: Phòng thờ, sân phơi -  Nhà phù hợp an sinh, kết hợp kinh doanh, giữ tiền... Sổ đỏ vuông vắn, sẵn sàng giao dịch. Liên hệ Mr Chính 079 212 2918 xem + đặt cọc + mua  nhà",08/07/2022,Tin thường,batdongsan_so_com_vn_1673815653.531307, 5, 3,, 5
"1,64 tỷ VNĐ","Đa Tốn , Gia Lâm ,Hà Nội", 40m2, 4,"Hàng hiếm đất Ngọc Động Đa Tốn 40m chỉ 1ty64 . Lh : 0981752669 + 40m , mặt tiền hậu 4m + Ngay gần trục đường chính , dân cư đông đúc , an ninh đảm bảo + Bán kính 500m là trường học , chợ , nhà văn hóa mọi tiện ích ngay gần+ Nằm cạnh dự án Vinperal Gia Lâm , tiềm năng tương lai tăng giá tốt + Sổ đỏ chính chủ , giao dịch được luôn Liên hệ : 0981752669 em Vĩ - xem đất miễn phí , giá cả hợp lí .",08/07/2022,Tin thường,batdongsan_so_com_vn_1673815654.6843612,,, 2,
"7,9 tỷ VNĐ",Đường Pháo Đài Láng phường Láng Thượng, 70m2, 4,"Bán CCMN quận Đống Đa, DT 70 m2, giá 7,9 tỷ. Khu vực nhiều sinh viên thuê, lên phòng luôn kín. Gần trường ĐH Giao Thông Vận Tải, ĐH Ngoại Thương, ĐH Luật. Gần các bệnh viện lớn như: BV Phụ Sản, BV Nhi, BV Giao THông Vận Tải.. Nhà còn rất đẹp khách mua về cho thuê ngay, hiện đang cho thuê 55 tr/tháng. Nội thất cơ bản gồm: điều hòa, nóng lạnh, giường tủ, bếp, máy giặt, máy sấy, khóa vân tay, … Thiết kế 9 Phòng khép kín đầy đủ đồ cơ bản. Diện tích 70 m2, nhà 5 tầng 1 tum. Sổ đỏ chính chủ. Không chin bốn ba. 313. Sáu tám sáu. Liên hệ: call, zalo. Nhưng căn CCMN trong quận đống đa: CCMN Diện tích 50 m2, nhà 7 tầng , mặt tiền 5 m, giá 7.9 tỷ. (17 phòng khép kín) CCMN diện tích 80 m2, nhà 7 tầng, mặt tiền4,2 m, giá 11,9 tỷ ( 20 phòng khép kín) CCMN diện tích 77 m2, nhà 8 tầng, mặt tiền 5,6 m, giá 12,8 tỷ, (20 phòng khép kín) CCMN diện tích76 m2, nhà 7 tầng, mặt tiền 5,1 m, giá 12,2 tỷ ( 17 phòng khép kín) CCMN diện tích 97 m2, nhà 7 tầng, mặt tiền 7 m, giá 16 tỷ ( 22 phòng khép kín)  CCMN diện tích 100 m2, nhà 6 tầng, mặt tiền 6,8 m, giá 11tỷ ( 18 phòng khép kín) CCMN Diện tích 150 m2, nhà 9 tầng,mặt tiền 7 m, giá 22 tỷ ( 30 phòng khép kín)  ",08/07/2022,Tin thường,batdongsan_so_com_vn_1673815655.9439876, 6, 9, 3, 9
