price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"15,5 tỷ VNĐ",Hà Nội, 77m2,"Bán nhà phố Lê Thanh Nghị quận Hai Bà Trưng - LH: 0856 968 656.Diện tích 77 m2, 6 tầng thang máy, mặt tiền 5mVị trí nhà nằm trong khu phân lô, ngõ ô tô tránh, đường nhựa, kinh doanh tốt.Thửa đất đẹp, khu vực dân trí cao, thông thương các tuyến phố vô cùng tiện lợi.Thiết kế đẹp tuyệt vời, trang bị toàn bộ nội thất cao cấp.Tầng 1: Gara ô tô, phòng khách, bếp, vệ sinh.Tầng 2, 3, 4, 5: Các phòng, vệ sinh.Tầng 6: Phòng thờ, sân phơi.Sổ đỏ chính chủ.Giá chào 15.5 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ ngay 24/7 em Bình 0856 968 656.",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827445.336232,,,,,,
25 triệu VNĐ/m2,"chung cư ở 137 Nguyễn Ngọc Vũ, Phường Trung Hòa, Quận Cầu Giấy, TP Hà Nội", 140m2,"Tôi chính chủ có căn nhà chung cư ở 137 Nguyễn Ngọc Vũ, Phường Trung Hòa, Quận Cầu Giấy, TP Hà Nội cần bán, thông tin cụ thể như sau: - Diện tích: 140m2 là căn góc, tầng đẹp view thoáng mát. - Thiết kế ban đầu: 3 phòng ngủ, 2WC. - Hiện tại tôi đang chia căn nhà thành 2 căn hộ: Căn hộ diện tích 80m2 có 2 phòng ngủ, 1 phòng khách, 1 bếp, 1 vệ sinh và căn hộ diện tích 60m2 có 1 phòng ngủ, 1 phòng khách, 1 bếp, 1 vệ sinh. Anh chị mua nhà về có thể chia thành căn hộ 4 ngủ đều được. - Nội thất: Để lại như hình, đã đầy đủ chỉ việc xách vali về ở. - Hiện tại, tôi đang cho thuê giá 15tr/tháng. - Sổ đỏ: Sở hữu lâu dài, đã có sổ đỏ, có thể vay ngân hàng. Giá bán: 25 tr/m2.",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827446.5629508,,,,,,
"7,6 tỷ VNĐ","Sơn Đồng, Hoài Đức, Hà Nội", 85m2,"✅Sơn Đồng Center thổi bùng ngọn lửa Bđs Phía Tây Hà Nội.- Sở hữu ưu thế về mặt vị trí, kết nối, hạ tầng, pháp lý,... - Sơn Đồng Center đang là điểm nóng thu hút khách hàng và giới đầu tư.- Dự án tọa lạc tại toạ độ chiến lược trung tâm làng nghề hơn 800 năm tuổi Sơn Đồng, nằm khu vực quy hoạch hạ tầng giao thông đón Hoài Đức lên Quận. - Với 150 căn Shophouse duy nhất, Sơn Đồng Center sẽ dự án kiểu mẫu tại Hoài Đức không chỉ bảo tồn nguyên vẹn mà còn góp phần quảng bá giá trị, nét đẹp truyền thống của làng nghề nghìn năm:- Hệ thống các khu cây xanh.- Công viên vui chơi giải trí.- Trung tâm thương mại.- Phòng tập thể dục, thể thao như: Gym, Yoga,..- Trường mầm non.- - Công trình sinh hoạt công cộng.- Hệ thống an ninh 24/7.- Tiềm năng tăng giá trong tương lai nhờ hưởng trọn lợi thế về hệ thống giao thông và cơ sở hạ tầng được đầu tư bài bản, đồng bộ:- Đường vành đai 3.5, Hoàng Quốc Việt kéo dài, tuyến tỉnh lộ 422...- Các trục đường lớn nối từ Nhổn tới Đại lộ Thăng Long chạy qua huyện Hoài Đức mở rộng lên tới 4 làn xe.- Tuyến metro Nhổn ga Hà Nội sắp vận hành.- Đặc biệt khi tuyến đường Trịnh Văn Bô đi vào hoạt động thì việc di chuyển đến Mỹ Đình và nội đô nhanh chóng hơn.- Sơn Đồng Center Nghìn năm tinh hoa khơi nguồn thịnh vượng.———-------------------------------- ✔️ Liên hệ Hotline: : 0779273787",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827447.7467904,,,,,,
75 triệu VNĐ/m2,"Đường Đình Thôn, Phường mỹ Đình", 90m2,"Bán Nhà  tại Nam Từ Liêm. 90m2, 4Tầng, MT6m. Phù hợp xây trung cư Mini hoặc phân lô.+ Vị Trí:Đường to ô tô đỗ cửa. Ngõ thông đi ra đường Phạm Hùng, Bến xe Mỹ Đình,  + Gần khu Đô thị, Doanh trại Quân đội, An ninh cao, dân cư đông đúc tập trung nhiều sinh viên, kinh doanh buôn bán nhộn nhịp.+ Sổ đỏ chính chủ sẵn sang giao dịch.+ Giá thỏa thuận.Liên hệ: Anh Đoàn:0962745289.+ Chuyên nhà đất – Đất thổ cư.+ Tư vấn 24/7 miễn phí. ",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827453.268189,,,,,,
"7,25 tỷ VNĐ",ngõ 68 Nguyễn An Ninh, 55m2,"Bán nhà phân lô cán bộ Nguyễn An Ninh, Tương Mai, Hoàng Mai, Hà Nội.Diện tích 55m2, 5 tầng mới đẹp, 2 mặt thoáng trước sau xây dựng khung cột bê tông, móng bè chắc chắn. Nội thất cao cấp, chính hãng, trang trí ấm cúng bắt mắt, trần thạch cao, chỉ nẹp gỗ, đèn Led trang trí hiện đại, tiết kiệm điện.- Tầng 1: Phòng Khách, vệ sinh, bếp ăn.- Tầng 2,3,4: Mỗi tầng 2 phòng ngủ rộng có điều hòa, vệ sinh các tầng đã lắp bình nóng lạnh.- Tầng 5: Phòng thờ, sân phơi trước sau.Vị trí đắc địa mặt ngõ rộng ô tô gần nhà, cách phố Nguyễn an Ninh 15m, gần đường Trần Đại Nghĩa kéo dài.Giao thông thuận tiện, thông các ngả.Xung quanh có đầy đủ mọi tiện ích: Gần nhiều trường mầm non, cấp 1, cấp 2. Cách trường Bách Khoa, Xây Dựng, Kinh Tế 500m, gần nhiều bệnh viện lớn như Bạch Mai, Việt Pháp-Sổ đỏ chính chủ, pháp lý rõ ràng-Giá bán 7,25 tỷ ( Có thương lương) liên hệ chị Yến ĐT:0702138238",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827455.3242006, Đông nam, 3, 4, 5, 6, 4
"11,8 tỷ VNĐ",ngõ 120 Mai Anh Tuấn, 80m2,"Bán nhà view hồ Hoàng Cầu, Phố Nguyễn Phúc Lai, Đống Đa. Ngõ thông ô tô tránh nhau trước nhà. DT 80m2x6T nở hậu cực đẹp, thoáng trước sau, ô tô vào nhà, kinh doanh tốt giá 11,8 tỷDiện tích 80m2 nhà xây dựng 6 tầng khung bê tông chắc chắnĐường vào nhà phân lô ô bàn cờ, mặt đường đổ nhựa, ngõ thông, view hồ, cho thuê cực kỳ thuận lợiNhà thiết kế hiện đại, cực kì công năng Tầng 1 : Chỗ để xe, khách và bếp, 1wcTầng 2,3,4 : Mỗi tầng 2 phòng ngủ, vệ sinh khép kín từng phòngTầng 5: 1 phòng ngủ vệ sinh khép kín, 1 phòng thờ và sân nướng BBQ hoặc nơi thưởng tràTầng 6: tum phơi quần áoHiện tại gia đình đang kinh doanh rất đông kháchVị trí giao thông cực kỳ thuận lợi, khu phân lô ô tô tránh nhau thoải mái trước nhà ngõ thông từ Nguyễn Phúc Lai sang Mai Anh Tuấn, Hoàng Cầu, view hồ Hoàng Cầu, cách hồ Hoàng Cầu 5m nên không khí trong lành, không gian cực kỳ thoáng mátSổ đỏ chính chủ, pháp lý rõ ràngGiá bán 11.8 tỷ (có thương lượng) liên hệ chị yến ĐT;0702138238",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827456.4870913, Đông nam, 3, 5, 6, 7, 7
"7,5 tỷ VNĐ",ngõ 104 Nguyễn An Ninh, 55m2,"Bán nhà ngõ 104 Nguyễn An Ninh thông 176 Trương Định diện tích 55m2x5 tầng thang máy kinh doanh, ô tô, giá 7.5 tỷ.Nhà do gia đình tâm huyết xây dựng 5 tầng thoáng đẹp. Kiến trúc độc đáo, hiện đại và kiên cố, không gian trong nhà luôn thoáng và nhiều sánh sáng. Bao gồm:- Tầng 1: Thông sàn kinh doanh.- Tầng 2: Thiết kế phòng khách và phòng bếp rộng thông nhau như 1 sàn chung cư-Tầng 3,4: Mỗi tầng 2 phòng ngủ rộng, vệ sinh giữa- Tầng 5: Phòng thờ, phòng kho cùng sân phơi thoáng rộngNhà được gia đình tự hoàn thiện nội thất hoàn hảo, tỉ mỉ đến từng chi tiết nhỏ, tất cả các tầng đều sử dụng trần thạch cao, hệ thống sàn gỗ Malaysia, buồng tắm kính, thiết bị vệ sinh nhập ngoại...Ngõ trước nhà thoáng, ô tô 7 chỗ đỗ cửa, có thể kinh doanh mọi loại mặt hàng... ngay gần sân Bóng đá Minh Kiệt, nhà Thi đấu Hai Bà Trưng, gần trường học, chợ. Thuận tiện giao thông, cách Bách Khoa, Bạch Mai, Tân Mai, Giải Phóng chỉ 1km. Sổ đỏ chính chủ. Giá 7.5 tỷ (có thương lượng) liên hệ chị Yến ĐT:0702138238",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827457.5096118, Đông bắc, 4, 4, 5, 5, 5
"7,6 tỷ VNĐ",89 lạc Long Quân - Cầu Giấy, 40m2,"🎯 MÔ TẢ: + Vị trí nhà lô góc 2 mặt ngõ, mặt ngõ thông, đường rộng 2 ô tô tránh nhau, kinh doanh buôn bán sầm uất + Gần chợ Bưởi, Hồ Tây kết nối với các tuyến đường Võ Chí Công, Hoàng Quốc Việt, Hoàng Hoa Thám. 💒Thiết kế: - Tầng 1: Gara ô tô, WC - Tầng lửng: Bếp và phòng khách - Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng, WC + Tầng 5: Phòng thờ và sân phơi. ⭐Sổ đỏ chính chủ sẵn sàng giao dịch.",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827458.5927615,, 4,, 5, 4, 4
"4,35 tỷ VNĐ",Xuân Đỉnh - Từ Liêm, 42m2,"* Mô tả:+ Nhà xây chắc chắn, thiết kế , đầy đủ công năng . Khách mua chỉ việc xách vali về ở. + Nhà trung tâm đẹp , gần phố , ngõ rộng BA GÁC , ngõ đẹp. Khu dân trí cao, an ninh đảm bảo , gần chợ , phường, Trường học , An sinh đỉnh cao💥 NHÀ chủ bán đi mua đất nghỉ dưỡng  , , sổ đỏ vuông đẹp  , giao dịch luôn  , Nhà có khe thoáng trước sau cực kỳ thoáng mát. Cửa sổ mở thoáng + Thiết kế: - Tầng 1: Bếp, phòng khách, , wc. - Tầng 2-3: Mỗi tầng 2Pn và wc. - Tầng 4: 2Phòng ngủ- Tầng 5 : Sân phơi , khu thờ + Sổ đẹp, vuông vắn, sẵn sàng giao dịch. ",18/04/2022,Tin thường,batdongsan_so_com_vn_1673827459.756602,, 5,, 5, 6,
"2,7 tỷ VNĐ","HỒ TÙNG MẬU, NAM TỪ LIÊM, HÀ NỘI", 32m2,"+ Mình cần bán nhà khu Cầu Diễn giá hiếm, 4 tầng, ô tô đỗ cổng, 100m ra Hồ Tùng Mậu.+ Nhà trong khu dân cư yên tĩnh, ô tô đỗ cổng.+ Chỉ hơn 2 tỷ có nhà đẹp ở ngay, thiết kế hiện đại, chủ tự xây tâm huyết, chắc chắn.+ Ngõ nông, vài bước ra đường lớn, xung quanh không thiếu gì.+ Vài trăm mét ra Đại Học Thương Mại, Vinhomes Gardenia..+ Sổ đỏ, pháp lý minh bạch, chủ thiện chí.Liên hệ em Đức Anh để xem nhà- 0975517689",17/04/2022,Tin thường,batdongsan_so_com_vn_1673827461.0142362,, 3,, 4,,
