price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ
"2,83 tỷ VNĐ",Quang Trung- Hà Đông, 42m2, 4,"Bán nhà gần tàu điện Cát Linh, Hà Đông, ngõ thoáng, gần ô tô, 42mx4 tầng Nhà bán nằm vị trí đẹp giao thông vô cùng thuận lợi trục chính Quang Trung, di chuyển các hướng Phan Đình Giót, Yên Nghĩa, Ba La, Văn Phú, Văn La, Trần Đăng Ninh, Lý Thường Kiệt,Hà Cầu, Tố Hữu...cạnh các phố chính kinh doanh sầm uất, nhiều tiện ích. Xung quanh: siêu thị, các bệnh viện lớn, ngân hàng, chợ, trung tâm thương mại, công viên... Nhà được thiết kế khung cột chắc chắn, các phòng thoáng sáng đầy đủ công năng, chỉ việc ở ngay. Cạnh park city. Sổ đỏ vuông, pháp lý chuẩn. Giá: 2.83 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.       - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835464.0875282,,
"3,3 tỷ VNĐ","mỹ đình ,nam từ liêm", 34m2,,"Nhà mới 34m2 xây 5 tầng, vị trí lô góc giúp căn nhà thông thoáng vô cùng. Thiết kế hiện đại, hợp lý với các phòng ngủ rộng rãi, trang thiết đầy đủ đáp ứng mọi sinh hoạt, mua về ở ngay. Nhà cách mặt đường ô tô chỉ hơn chục mét, di chuyển đi Lê Quang Đạo, Lê Đức Thọ, Mễ Trì, Phạm Hùng.... chỉ mất mấy phút xe. Cạnh nhà là KĐT Mỹ Đình Sông Đà, SVĐ Quốc Gia, đường đua F1, còn trường học các cấp và chợ dân sinh thì chỉ cần đi bộ nên xung quanh đầy đủ tiện ích lớn nhỏ. Hàng xóm là dân văn phòng trẻ tuổi nên dân trí cao và an ninh tuyệt đối. Giá chào 3 tỷ 300 triệu (khách đàm phán trực tiếp với chủ). Sổ nở hậu sẵn giao dịch ngay. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các thủ tục liên quan đến ngân hàng). Anh chị liên hệ em Sơn (thổ cư) để xem nhà và làm chủ ngay. Còn rất nhiều căn ở khu vực để anh chị xem miễn phí hoàn toàn 0932382236",19/12/2021,Tin thường,batdongsan_so_com_vn_1673835465.9837384,,
"4,1 tỷ VNĐ",Hà Nội, 44m2,,"Bán nhà Đống Đa giá chỉ 4 tỷ 1, 44m2 x 4 tầng. + Vị trí nhà cực đẹp ngõ thông, 3 bước ra phố, nhà tiện ích xung quanh, nhà kinh doanh online thì tuyệt vời. + Mặt ngõ rộng, kinh doanh tốt, cách Mặt Phố chỉ 25m. - Giá chỉ 4.1 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. Chủ nhà thiện chí bán gấp.  - Sổ đỏ chính chủ.Liên hệ miễn phí: 0856 968 656 - Thanh Bình Giáo sư Thổ cư.",19/12/2021,Tin thường,batdongsan_so_com_vn_1673835467.8955061,,
80 triệu VNĐ/m2,DV 6.9HA VÂN CANH, 42.8m2,,"ĐẤT DV 6.9HA VÂN CANH ĐẤT VUÔNG VẮN- THÔNG SỐ ĐẸP DT: 42.8m2, MT: 4.28m TIỆN ÍCH ĐẦY ĐỦ CÁCH SVĐ MỸ ĐÌNH 2km ",19/12/2021,Tin thường,batdongsan_so_com_vn_1673835469.6337833, 4,
"13,2 tỷ VNĐ",Vũ Ngọc Phan, 76m2,,"+Vị trí siêu đẹp, thiết kế vô cùng hợp lí, thang máy chạy vù vù +Nhà 3 mặt thoáng sáng, vỉa hè rộng, Có thể vừa ở vừa kinh doanh đều được +Khu phố kinh doanh cực sầm uất +Tiện ích ngập tràn gần trung tâm thương mại, trường học, bệnh viện, sân thể thao.. + Tầng 1: gara, phòng khách. + Tầng 2,3,: 2 phòng ngủ, wc.  + Tầng 4: phòng khách, bếp rộng + Tầng 5: phòng thờ, sân phơi.  +Sổ đỏ net như sony – sẵn sàng giao dịch +Nhỉnh 13 tỷ -  Có thương lượng. +Để được dẫn xem nhà các B Liên hệ : Ms Dung 0989558620 - Chuyên môi giới nhà đất thổ cư - nhà mặt phố Hà Nội hỗ trợ thủ tục pháp lý mua bán - chuyển nhượng miễn phí. ",13/12/2021,Tin thường,batdongsan_so_com_vn_1673835471.6969557,,
4 tỷ VNĐ,Hà Nội, 45m2,,"Bán nhà Ngõ Thịnh Hào – Ngõ thông khắp ngả – Đống Đa Nhỏ tiền, nhà 45m2, 5 tầng mới, chỉ việc ở.Vị trí nhà đẹp, dễ thấy, dễ tìm, xung quanh nhà rất nhiều tiện ích, chợ, trường học, siêu thị…. + Giá 4 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn + Từ phố Tôn Đức Thắng lên trung tâm rất gần, giao thông tiện lợi. Chủ nhà kinh doanh online rất lộc, nay chuyển ở nhà to. + Sổ đỏ chính chủ.Liên hệ miễn phí: 0856 968 656 - Thanh Bình Giáo sư Thổ cư.",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835473.759472,,
"7,5 tỷ VNĐ",Phố Nguyễn Ngọc Nại Phường Khương Mai Quận Thanh Xuân Hà Nội, 67m2,,"+ Vị trí cực đẹp trung tâm quận Thanh Xuân, tiện ích ngập tràn bao quanh bởi các Trường đại học Y, Ngân Hàng, Thủy lợi, Công đoàn...nhà thoáng mát, ánh sáng ngập tràn. Nhà thuộc khu phân lô dân trí cao, hàng xóm thân thiện, ngõ thẳng tắp, cách phố 30m, ô tô đỗ cửa. + DT 67m x 4T x MT 4m x 7.5 tỷ. + Nhà hiện trạng 4 tầng, chủ mới sửa lại đẹp long lanh, lộng lẫy, nội thất hiện đại. + Thiết kế:  Tầng 1: Để xe, phòng khách, bếp, wc. Tầng 2, 3 : mỗi tầng 2 phòng ngủ, wc. Tầng 4: Phòng thờ, sân phơi. + Sổ đỏ nở hậu sẵn sàng giao dịch. Liên hệ Mr Khanh 0989075515",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835475.8989913,,
"3,9 tỷ VNĐ",Hà Nội, 45m2,," - Cần bán nhà quận Đống Đa, mới đẹp ở luôn. - Tọa lạc ở vị trí trung tâm quận Đống Đa, nằm trong khu phố kinh doanh sầm uất, cùng nhiều tiện ích công cộng, xung quanh có đầy đủ trung tâm thương mại và trường học. - Nhà thiết kế gồm 5 tầng, kiến trúc và nội thất được thiết kế rất độc đáo, ngõ thoáng đẹp. - Giá bán gấp chỉ 3.9 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn. - Sổ đỏ chính chủ.Liên hệ miễn phí: 0856 968 656 - Thanh Bình Giáo sư Thổ cư.",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835477.9233677,,
"2,83 tỷ VNĐ",La Khê- Hà Đông, 41m2,,"Nhà đẹp gần ga La Khê, Hà Đông, ngõ thoáng, ô tô gần, 41m2, 4 ngủ rộng Chủ tín nhiệm gửi bán gấp nhà trong tháng, được xây khung cột chắc chắn với 4 phòng ngủ rộng, phòng nào cũng hiện đại nội thất sang đẹp, nhà mới chỉ việc ở ngay, khu dân cư văn minh yên tĩnh, đường vào nhà trải nhựa khang trang, ngõ thông thoáng, vài bước chân ra phố ô tô tránh. Giao thông vô cùng thuận tiện di chuyển các phố: Văn Phú, Quang Trung, Lê Trọng Tấn, Ngô Thì Nhậm, Tố Hữu, Ngô Quyền, Văn La.... Tiện ích xung quanh ngút ngàn: trường học, bệnh viện, ngân hàng, siêu thị, trung tâm mua sắm, vườn hoa, bể bơi, sân bóng...mua gì cũng có. Vị trí đẹp tiếp giáp liền kề Ngô Thì Nhậm, khu đô thị Văn Khê. Chủ nhà rất thành đạt nhiều nhà bán bớt, gia lộc cho khách thiện chí mua. Sổ đỏ chính chủ , sẵn sàng giao dịch. Giá: 2.83 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.       - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835480.0665402,, 4
"2,83 tỷ VNĐ",La Khê- Hà Đông, 41m2,,"Nhà đẹp gần ga La Khê, Hà Đông, ngõ thoáng, ô tô gần, 41m2, 4 ngủ rộng Chủ tín nhiệm gửi bán gấp nhà trong tháng, được xây khung cột chắc chắn với 4 phòng ngủ rộng, phòng nào cũng hiện đại nội thất sang đẹp, nhà mới chỉ việc ở ngay, khu dân cư văn minh yên tĩnh, đường vào nhà trải nhựa khang trang, ngõ thông thoáng, vài bước chân ra phố ô tô tránh. Giao thông vô cùng thuận tiện di chuyển các phố: Văn Phú, Quang Trung, Lê Trọng Tấn, Ngô Thì Nhậm, Tố Hữu, Ngô Quyền, Văn La.... Tiện ích xung quanh ngút ngàn: trường học, bệnh viện, ngân hàng, siêu thị, trung tâm mua sắm, vườn hoa, bể bơi, sân bóng...mua gì cũng có. Vị trí đẹp tiếp giáp liền kề Ngô Thì Nhậm, khu đô thị Văn Khê. Chủ nhà rất thành đạt nhiều nhà bán bớt, gia lộc cho khách thiện chí mua. Sổ đỏ chính chủ , sẵn sàng giao dịch. Giá: 2.83 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.       - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",18/12/2021,Tin thường,batdongsan_so_com_vn_1673835482.197551,, 4
