price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Hướng,Mặt tiền
"11,4 tỷ VNĐ",Thanh Bình- Hà Đông, 54m2, 8,"Bán nhà mặt phố Thanh Bình, Hà Đông, 54m, 8 tầng thang máy, mặt tiền khủng, vỉa hè KD Chủ nhà gửi bán nhà đẹp mặt phố Vip tại Quận Hà Đông giáp với Khu đô thị Mỗ Lao và Khu đô thị lớn Văn Phú, mặt tiền khủng hiếm, vỉa hè rộng đá bóng kinh doanh đỉnh cao. Nhà xây 8 tầng thang máy vô cùng chắc chắn, phù hợp với mọi loại hình kinh doanh. Bán kính quanh nhà dân cư đông đúc, kinh doanh sầm uất ngày đêm, gần các trường học, gần chợ, ngân hàng,…khu vực văn minh đáng sống. Chủ nhà là doanh nhân thành đạt, nhà rất có lộc. Sổ đỏ chính chủ, pháp lý sạch. Giá: 11.4 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823248.2794392,,,,,
"11,4 tỷ VNĐ",Thanh Bình- Hà Đông, 54m2, 8,"Bán nhà mặt phố Thanh Bình, Hà Đông, 54m, 8 tầng thang máy, mặt tiền khủng, vỉa hè KD Chủ nhà gửi bán nhà đẹp mặt phố Vip tại Quận Hà Đông giáp với Khu đô thị Mỗ Lao và Khu đô thị lớn Văn Phú, mặt tiền khủng hiếm, vỉa hè rộng đá bóng kinh doanh đỉnh cao. Nhà xây 8 tầng thang máy vô cùng chắc chắn, phù hợp với mọi loại hình kinh doanh. Bán kính quanh nhà dân cư đông đúc, kinh doanh sầm uất ngày đêm, gần các trường học, gần chợ, ngân hàng,…khu vực văn minh đáng sống. Chủ nhà là doanh nhân thành đạt, nhà rất có lộc. Sổ đỏ chính chủ, pháp lý sạch. Giá: 11.4 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823249.3445895,,,,,
"11,3 tỷ VNĐ",An Hoà- Hà Đông, 52m2, 8,"Bán nhà mặt phố An Hoà, Hà Đông, 52m, 8 tầng thang máy, vỉa hè KD, mặt tiền khủng Anh trai gửi bán nhà mặt phố An Hoà đẹp nhất Hà Đông, vỉa hè kinh doanh kinh doanh đỉnh cao, mặt tiền rất rộng hiếm, nhà xây 8 tầng thang máy cực hiếm phù hợp kinh doanh đủ loại hình: siêu thị, ngân hàng, văn phòng, spa, tóc, nail, … Nhà gần các trường đại học lớn, bệnh viện, siêu thị,…đi đâu cũng thuận tiện thông ra làng Việt Kiều Châu Âu, sang Nam Từ Liêm hay di chuyển lên Thanh Xuân rất thuận tiện. Anh tôi là doanh nhân thành đạt, nhà rất có lộc, nay cần bán gấp trong 1 tháng để mua thêm máy móc Sổ đỏ chính chủ, pháp lý sạch. Giá: 11.3 tỷ ( có thương lượng). Liên hệ : Huyền Hà Đông ( 0363703491- 0965472910)- Chuyên gia nhà Thổ cư tư vấn hàng nghìn ngôi nhà tiết kiệm THỜI GIAN- CÔNG SỨC- TIỀN BẠC. Hỗ trợ 24/7 và tư vấn pháp lý, vay vốn.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823250.3329468,,,,,
"6,8 tỷ VNĐ","Quang Trung, Hà Đông, Hà Nội.", 62m2, 4," # Cực Hiếm nhà bán, cách 1 nhà ra mặt đường Quang Trung, Hà Đông, Hà Nội. Full trang thiết bị + nội thất, khu vực tiềm năng giá phi mã, ô tô đỗ cửa, kết hợp kinh doanh,  DT 52/62m, 4T giá chỉ dưới 7 tỷ. + Vị Trí: đắc địa tiềm năng, sát trục đường chính QL6 mặt phố Quang Trung quận Hà Đông. + Tiện ích: Huyết mạch trục chính trung tâm quận Hà Đông nhiều tiện ích. + Giao thông: 2 bước chân ra mặt đường chính Quang Trung di chuyển QL21, về phía Tây Bắc, Lê Trọng Tấn, Tố Hữu, Lê Văn Lương, Trần Phú, Nguyễn Trãi quận Thanh Xuân vô cùng thuận lợi. + Nhà chủ tự xây vô cùng chắc, thiết kế hợp lý, có khe thoáng, các phòng thoáng sáng, công năng đầy đủ, Chủ mới mua ở luôn hoặc xây thêm tầng vô tư. + Giá chỉ 6.8 tỷ ( Có Thương Lượng ). + Sổ đỏ chính chủ pháp lý chuẩn, sẵn sàng giao dịch. # HotLine: 0983858722 Tình nhà phố ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông – Hà Nội ).",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823251.5117917, 3, 4,,,
"5,4 tỷ VNĐ","Khương Trung, Thanh Xuân", 45m2,,"LÔ GÓC! Cực hiếm phố Khương Trung, 45m, 6T, MT 4m, ô tô đỗ, kd, nhỉnh 5 tỷ. LH 0975124520. + Bán nhà phố Khương Trung, Thanh Xuân, trung tâm Ngã Tư Sở, 10m ô tô đỗ, kinh doanh, diện tích 45m2, 6 tầng. Khu vực dân trí cao, an sinh cực tốt. + Nhà mới đẹp lung linh, thiết kế hiện đại, nội thất sang trọng, phòng nào cũng có ban công thoáng sáng, khách chỉ việc sách vali đến ở. + Vị trí đẹp, ngõ nông, thông thoáng, cách mặt phố chỉ vài bước chân,  giao thông vô cùng thuận tiện. Tiện ích đầy đủ gần trường cấp 1,2, Nguyễn Trãi, chỉ vài phút ra Royal City, Nguyễn Trãi, Láng, Trường Chinh, Tây Sơn. * Liên hệ xem nhà: Em Trang 0975124 520.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823252.5968893,,,,,
"3,2 tỷ VNĐ","di trạch,hoài đức", 33m2,,"Ngõ vào nhà là ngõ thông rộng rãi, sạch sẽ, ô tô đỗ tận cửa. Ngõ thông sang và cách vành đai 3.5 chỉ mấy bước chân, giao thông thuận tiện các hướng đường 422B, Trịnh Văn Bô, Xuân Phương, Nhổn, Phương Canh, Tây Mỗ, Mỹ Đình… Nhà 5 tầng xây dựng theo phong cách hiện đại, đầy đủ công năng với 3 phòng ngủ rộng rãi. Nhà lô góc nổi bật là sự thoáng sáng, full nội thất cao cấp, khách mua chỉ việc xách vali về ở ngay. Xung quanh là các KĐT Vân Canh, An Lạc, Vườn Cam… nên hưởng trọn tiện ích và có tiềm năng cực lớn trong tương lai gần. Chỉ thời gian ngắn nữa Hoài Đức sẽ lên quận, hứa hẹn sẽ bước đột phá của giá nhà đất ở khu vực. Giá chào thiện chí 3 tỷ 200 triệu (khách gặp chủ thương lượng trực tiếp). Sổ đỏ cất két, sẵn giao dịch ngay (hỗ trợ pháp lý và các thủ tục liên quan đến ngân hàng).    Anh chị liên hệ em Sơn (thổ cư) ngay để xem nhà và rất nhiều căn nhà khác hoàn toàn miễn phí: 0932382236",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823253.9083793,,,,,
"3,65 tỷ VNĐ","Đường Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội", 52m2, 1,"Bán Đất Tặng Nhà Phố Đức Giang, Long Biên 52m2, giá 3,65 tỷ (ngõ ô tô vào) + Bán đất tặng nhà cấp 4 hiện là 1 dãy trọ, khách mua có thể tận dụng cho thuê lại hoặc phá dỡ xây căn nhà mới. + Đường trước nhà rộng thoáng, ngõ ô tô vào. + Bán kính xung quanh chung cư Bình Minh Garden,tiện ích ngập tràn. Thuận tiện đi ra đường Lý Sơn, Cầu Đông Trù, Ngô Gia Tự hay Thượng Thanh.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823254.8907533,,,,,
"4,9 tỷ VNĐ","Xuân Đỉnh, Bắc Từ Liêm, Hà Nội", 58m2,,"-    Nhà gần đường Phạm Văn Đồng, Khu Ngoại Giao Đoàn, đường Nguyễn Hoàng Tôn.  -    Trước nhà quy hoạch mở đường 13m, tầm nhìn 2020-2022. -    Nhà chủ tự xây nên rất tâm huyết, chủ muốn bán để ở chung cư. -    Thiết kế tầng 2 phòng, đầy đủ công năng. -    Sổ đỏ chính chủ sẵn sàng giao dịch. -    Giá 4.9 tỷ (có thương lượng). -    Liên hệ : A Vũ - 0347676600 (để gặp chính chủ và xem nhà miễn phí.Miễn các bạn trung gian).",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823256.0087626,,,,,
"6,8 tỷ VNĐ","Tô Vĩnh Diện, Hà Nội", 80m2, 4,"BÁN NHÀ NGÕ PHỐ TÔ VĨNH DIỆN, 81M2, 4 TẦNG, GIÁ CỰC TỐT 6,8 TỶ Diện tích đất 80m2, 4 tầng, mặt tiền lớn 5,5m. Tầng 1: Sân + Phòng khách + bếp + WC Tầng 2,3: mỗi tầng đều có 2PN + WC Tầng 4: Phòng thờ + Sân phơi đồ + Cây cảnh Giá chỉ 6,8 tỷ, sổ đổ sẵn sàng giao dịch. Nhà xây mới thiết kế đẹp, có sân, ban công đón thiên nhiên. Nội thất toàn gỗ tự nhiên ca cấp. Ngõ xe máy tránh, chỉ cách điểm đỗ ô tô chỉ 50m nên rất tiện lợi. Giá quá rẻ so với khu vực. Quý khách vui lòng liên hệ: Mr Tiến Lucky – chuyên BĐS Thổ cư -  ĐT: 0979.160085 BÁN NHÀ NGÕ PHỐ TÔ VĨNH DIỆN, 81M2, 4 TẦNG, GIÁ CỰC TỐT 6,8 TỶ Diện tích đất 80m2, 4 tầng, mặt tiền lớn 5,5m. Tầng 1: Sân + Phòng khách + bếp + WC Tầng 2,3: mỗi tầng đều có 2PN + WC Tầng 4: Phòng thờ + Sân phơi đồ + Cây cảnh Giá chỉ 6,8 tỷ, sổ đổ sẵn sàng giao dịch. Nhà xây mới thiết kế đẹp, có sân, ban công đón thiên nhiên. Nội thất toàn gỗ tự nhiên ca cấp. Ngõ xe máy tránh, chỉ cách điểm đỗ ô tô chỉ 50m nên rất tiện lợi. Giá quá rẻ so với khu vực. Quý khách vui lòng liên hệ: Mr Tiến Lucky – chuyên BĐS Thổ cư -  ĐT: 0979.160085",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823257.2235115,, 4, 3,,
5 tỷ VNĐ,"NGUYỄN TRÃI, THANH XUÂN", 40m2,,"SIÊU PHẨM: NHÀ PHỐ NGUYỄN TRÃI, THANH XUÂN, DT40M2, MT 4M, NGÕ THÔNG PHỐ, KINH DOANH, NHÀ MỚI KÍNH KOONG. + Vị trí mặt ngõ rộng, cách mấy nhà ra mặt phố Nguyễn Trãi, ngõ thông tứ tung. + Nhà xây mới 5 tầng hiện đại, sàn gỗ các tầng. + Sổ đỏ nở hậu, sẵn sàng giao dịch. + Liên hệ em Thái để được đi xem nhà ngay và luôn.",25/05/2022,Tin thường,batdongsan_so_com_vn_1673823258.2308204,,,,,
