price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Số toilet
"3,8 tỷ VNĐ",đường Xuân Thủy, 34m2, 7, 3, 5, 4,"Nhà đẹp mới nhất Xuân Thủy, Cầu Giấy, 34m2, 5 tầng, 4 ngủ, chỉ 3.8 tỷ. LH: 0345752279 + ĐC: Đường Xuân Thủy, Cầu Giấy. + S = 34m2, 5 tầng, 4 phòng ngủ, mặt tiền 7m, giá 3.8 tỷ. Đầy đủ tiện ích, khu vực đông dân cư, nhộn nhịp sầm uất, dân trí cao, gần nhiều trường đại học: Đại học Ngoại ngữ, Đại học Sư phạm, Học viện Báo chí Tuyên truyền,… Giao thông: Bến xe Mỹ Đình, Xuân Thủy, Cầu Giấy, Mai dịch, Trần Thái Tông, Nguyễn Phong Sắc, Phạm Văn Đồng, Hồ Tùng Mậu,… * Sổ đỏ chính chủ, chủ nhà thiện chí. * Gọi ngay em Bình, 0345752279 để xem nhà miễn phí, không tiếp môi giới.",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793119.792995,
"2,15 tỷ VNĐ",Đường Uy Nỗ phường Đông Anh, 38m2, 6,,,,"
    Đường thông ô tô chạy vòng quanh, đỗ trước nhà, vị trí cực thoáng, an sinh cực tốt, an ninh đảm bảo, tiềm năng tăng giá tốt.- Mặt tiền = hậu: 6,25m.- Sẵn sổ cất két, sang tên trong ngày.
",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793121.2455025,
5 tỷ VNĐ,1 Hà Nôi, 66m2, 6,, 4, 4,"- Âu Cơ, Nghi Tàm hiếm nhà bán, sau 1 nhà ramặt phốđang kinh doanh, cho thuê giá chỉ hơn 5 tỷ. - Ngõ rộng 3m, to đẹp, đâm thẳng sang Yên Phụ, Từ Hoa, Xuân Diệu, Tô Ngọc Vân. Tiếp giáp với An Dương hướng đi Hoàn Kiếm, Long Biên ,rất thuận tiện đi Cầu Giấy, Đống Đa. - Nhà tự xây đầy đủ công năng, khung cột cực chắc chắn. - Không vướng quy hoạch, sổ đỏ sang tên ngaytrong ngày. - Cam kết thông tin thật. - Vui lòng gọi : Tôi: Nhung (0963401959) để biết thêm chi tiết. ",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793122.5420754, 3
800 triệu VNĐ,hoàn kiếm hà nội, 80m2, 5, 6,,,"🎉🎉 Chỉ từ 148tr bạn đã sở hữu cho mình lô đất nằm kẹp giữa Khu Đô Thị và Các KCN lớn ở Hưng Yên , đường 6m trải asphanlt. 🎊 Ưu đãi lớn dành cho khách hàng lên đến 6% khi mua từ sản phẩm thứ 2 tiền vào theo tiến độ linh hoạt trả góp 0% lãi xuất .🎊 Diện tích từ 70-80m2 phù hợp với thiết kế nhà hiện đại .✨ Đường nội bộ 6m trải asphanlt , đủ hướng cho các nhà đầu tư.🌿 Nằm trên trục đường huyết mạch Tân Phúc Võng Phan chạy qua các KCN như Ân Thi- Phù Cừ - Tiên Lữ - Bình Giang - và các KCN lân cận .🌿 Xung quanh là các KCN lớn ở Hưng Yên quy mô rộng gần 400 ha, đối diện là khu quy hoạch Khu Dân Cư Mới Tân Phúc 300 ha. 🌿 Nằm trong khu dân cư đông đúc đầy đủ tiện ích bán kính ko quá 1km 🌿Hạ tần đồng bộ , mốc giới rõ ràng , hệ thống cấp thoát nc đầy đủ 🍃Mua bán chính chủ không qua trung gian .💥Quy trình mua bán :✨ Đặt cọc 100tr giữ lô ngay khi chọn được vị trí ưng ý .1.  Thanh toán 20% giá trị sau 7 ngày đặt cọc .2. Thanh toán 30% giá trị sau 30 ngày tiếp theo từ lần 1 . 3. Thanh toán 20% giá trị sau 60 ngày tiếp theo từ lần 1 .4. Thanh toán 15% giá trị sau 90 ngày tiếp theo từ lần 1. 5. Thanh toán 10% giá trị sau 120 ngày tiếp theo từ lần 1. Và ký công chứng sang tên tại văn phòng công chứng . 6. Thanh toán 5-% và nhận sổ sau 15 ngày ký công chứng .☎️ Liên hệ chủ đầu tư :  để được tư vấn và đặt mua vị trí thích hợp nhất .",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793123.5234966,
"3,85 tỷ VNĐ",TRẦN PHÚ, 40m2,,, 5, 4,"  ✅ Thông số: DT 40m2 x 5 tầng x MT 3.5m giá hơn 3 tỷ. Nhà xây mới 100% chỉ chờ khách đến ở. ✅ Vị trí nằm trong trung tâm lõi Hà Đông, giao thông thuận lợi, tiện ích ngập tràn. Điện – Đường _ Trường – Trạm không phải nghĩ ngợi! ✅ Sổ đỏ chính chủ cất két, giao dịch ngay.Chủ cực thiện chí bán.  ☎️ LH NGỌC SƠN 0812316789 ( Thổ Cư HÀ ĐÔNG ).  + Miễn phí xem nhà, hỗ trợ vay vốn ngân hàng, hỗ trợ pháp lý 24/7, thủ tục nhanh gọn… Xin cám ơn quý khách đã xem bài đăng!",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793124.7402756, 4
"2,5 tỷ VNĐ",Đường Phạm Văn Đồng phường Cổ Nhuế 1, 77m2, 7, 1, 1, 2,"Mô tả:  +Tòa nhà CT1A nằm ngay sau đại siêu thị Metro cũ, hưởng trọn tích ích của khu đô thị Thành phố Giao Lưu - Phạm Văn Đồng. Tại Thành phố Giao lưu còn có đầy đủ các dịch vụ, tiện ích như: sân bóng, khuôn viên cây xanh, công viên cho trẻ em, thư viện, siêu thị, hệ thống nhà hàng, khu vực văn phòng... nhằm đáp ứng tối đa nhu cầu cộng đồng dân cư trong việc chăm sóc sức khỏe và hưởng thụ cuộc sống trong lành.  + Tổng diện tích sàn 77m, thiết kế 2 phòng ngủ, 2wc, lô góc, view hồ, thoáng mát quanh năm.  + Nhà đã có full nội thất y hình, mới đẹp, ở ngay.  + Sổ đỏ lâu dài.  + Giá CHỈ gia lộc. + Liên hệ Mr Yên để biết thêm thông tin. Nguồn hàng phong phú, nhiệt tình, tận tâm.",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793130.4443095, 2
"6,15 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 50m2, 5, 4, 4, 4,"+ Vị trí ĐỈNH CỦA CHÓP cách mặt phố Ngọc Lâm chỉ 40m, cách Mipec Long Biên chỉ 150m. + Tiện ích bạt ngàn, khỏi phải bàn rồi.+ Nhà lô góc thoáng sáng phòng nào cũng có cửa sổ, đã sơn sạch đẹp chỉ việc xách vali về ở ngay.+ Sổ đỏ cất két, giá 6,15 tỷ có thương lượng.+ Liên hệ: 0979057536 - 0878827488 Trung Kiên để được tư vấn và xem nhà miễn phí.+ CAM KẾT THÔNG TIN NHÀ và ẢNH THẬT 100%",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793131.4068196, 4
"4,2 tỷ VNĐ",Đường Ngô Quyền phường Quang Trung, 38m2, 4, 3, 4, 4,"
    + Bán nhà Ngô Quyền 38m2 4T chỉ hơn 4tỷ lô góc ô tô nhà đẹp+ Vị trí cách mặt phố Ngô Quyền vài bước chân, Nhà cách ô tô dừng đỗ chỉ 5m.Mặt phố Ngô Quyền đang quy hoạch mở rộng  bờ sông Nhuệ sắp hoàn thiện giá trị tăng nhanh.-Ngõ được rải nhựa, đẹp mê li, nhà  gần trục vạn Phúc, Cầu Am, Phố Chu Văn An, thông Trần Phú, Nguyễn Trãi, Quang Trung , Lê Văn Lương Tố Hữu , Thông khắp ngả.Nhà chủ tự xây cực kì hợp lý, khoa học. Lô góc, phía sau có khe thoáng, phòng nào cũng có cửa sổ. 4 phòng ngủ, đầy đủ công năng sử dụng + sổ đỏ phân lô chính chủ + giá chào 4,2tỷ(có thương lượng)+ Gọi ngay Mrs Hương Chuyên thổ cư Hà Đông, hỗ trợ pháp lý và hỗ trợ vay vốn ngân hàng.
",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793132.6143327, 4
"5,6 tỷ VNĐ",Đường Cầu Giấy phường Quan Hoa, 35m2, 4, 3, 5, 4,"Cầu Giấy tiếp giáp quận Ba Đình. Giao thông thuận tiện. Thông sang nhiều tuyến phố chính Nguyễn Khánh Toàn, Quan Hoa… Vị trí: Khu dân trí tốt, dân cư sầm uất, cạnh chợ, ở, văn phòng, kinh doanh sầm uất.   - Tầng 2,3,4: mỗi tầng 1 phòng ngủ, vs khép kín. Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7
",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793133.9792125,
"3,4 tỷ VNĐ","Nguyễn Lam, Phúc Đồng", 46m2,,, 4, 4,"+ Nhà tự xây rất đẹp và chắc chắn, ô tô đỗ cửa, mặt tiền siêu rộng, ánh sáng ngập tràn. + Nhà nằm ngay cạnh khu Vinhomes, tiện ích vô biên, an sinh tuyệt vời. - Vị trí : cách mặt phố Nguyễn Lam vài bước chân, Vinhomes Harmony 50-100m ngay bên cạnh, Vincom Long Biên, Big C Long Biên 500m. Tiện ích không thiếu thứ gì. - Đường trước nhà ô tô 7 chỗ vào nhà, chạy vòng quanh. - Xung quanh rất nhiều dự án đang lên, mặt phố Nguyễn Lam đã mở rộng rất đẹp. + Thiết kế: - Tầng 1: Phòng khách + Bếp - Tầng 2: 02 Phòng ngủ - Tầng 3: 02 Phòng ngủ - Tầng 4: Phòng thờ + Sân phơi + Sổ đỏ chính chủ sẵn sàng giao dịch. - Lh em Trác: 0965492571( chuyên thiết kế, xây dựng và tư vấn nhà ở miễn phí)   ",23/10/2022,Tin thường,batdongsan_so_com_vn_1673793135.4195523,
