price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet,Mặt tiền,Hướng,Số tầng,Lộ giới
"2,8 tỷ VNĐ","van canh ,hoài đức", 37m2,"Đường vào nhà rộng rãi, ô tô đỗ cửa. Nhà rất gần UBND Vân Canh và hồ Kim Hoàng. Giao thông thuận tiện khắp ngả Phương Canh, Xuân Phương, Trịnh Văn Bô, Mỹ Đình. Xung quanh tiện ích phong phú khi gần KĐT Vân Canh, trụ sở chính quyền, trường học các cấp, chợ dân sinh. Nhà 37m2 lô góc được thiết kế theo phong cách hiện đại. Bố trí công năng hợp lý tạo sự thoải mái cho mọi sinh hoạt sống với 4 phòng ngủ rộng. Là khu vực dân cư đông đúc, dân trí cao, tiềm năng lớn khi Hoài Đức sắp lên quận, Giá chào chỉ 2 tỷ 800 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn từ A->Z và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834158.4817357,,,,,,
"3,8 tỷ VNĐ","279 đường Hoàng Mai, phường Hoàng Văn Thụ, quận Hoàng Mai, Hà Nội", 108m2," Sở hữu nhà ở trên đất vàng trung tâm quận Hoàng Mai
 Tiện ích resort tại sự án
 Diện tích phòng ngủ xứng đáng với giá trị căn hộ
 5 phút tới hồ Đền Lừ, hồ Vĩnh Hoàng
 10 phút tới bến xe Giáp Bát, công viên Yên Sở
 Hotline hỗ trợ tư vấn: 0396 447 955
",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834161.0484812, 3, 2,,,,
"2,7 tỷ VNĐ","279 Hoàng Mai, p. Hoàng Văn Thụ, q. Hoàng Mai, tp. Hà Nội", 76m2,"Tìm đâu căn hộ trung tâm Hà Nội mặt phố view hồ, đầy đủ tiện ích? Chỉ có thể là Feliz Homes Hoàng Mai- cách hồ Đền Lừ 200m.  📌Chiết khấu 2% giá trị căn hộ tương đương khoảng 50 triệu đồng  👉Hỗ trợ vay 75% giá hợp đồng với lãi suất 0% tới 18 tháng  👉 Căn hộ 2 PN giá còn từ 2,7 tỷ 👉 Căn hộ 3 PN giá còn lại từ 3,35 tỷ  💥 TỔ HỢP ĐẲNG CẤP – SHOP HOUSE - CHUNG CƯ - TRUNG TÂM THƯƠNG MẠI  ✅ Dự án rất phù hợp để ở với pháp lý sở hữu LÂU DÀI, vị trí dễ dàng di chuyển tới các quận Trung Tâm  ✅ Rất thích hợp để đầu tư bởi VỊ TRÍ và CHẤT LƯỢNG công trình.  🔷TIỆN ÍCH DỰ ÁN  ✔️TTTM, nhà trẻ, khu sinh hoạt cộng đồng, phòng Gym,  ✔️ Spa, café, Khu cho thuê văn phòng, nhà hàng,…  ✔️ Bể bơi bốn mùa tầng 4, khu vui chơi trong nhà, đường dạo bộ Tiện ích ngoại khu:  ✔️Cạnh hồ điều hòa và công viên khu đô thị Đền Lừ  ✔️Cạnh quần thể liền kề, biệt thự hồ điều hòa KĐT Vinhomes Times City  ✔️Sở hữu 4 mặt view thoáng, view hồ Hồ Đền Lừ, view Hồ Vĩnh Hoàng",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834163.2392077,,,,,,
35 triệu VNĐ/m2,279 Hoàng Mai, 76m2,"💥Sự Thật 900 triệu vốn tự có chìa khóa trao tay 2022 nhận căn 2PN giá 2,8 tỷ #FELIZ_HOMES_HOANG_MAI 𝐂𝐡𝐢́𝐧𝐡 𝐬𝐚́𝐜𝐡 𝐛𝐚́𝐧 𝐡𝐚̀𝐧𝐠 𝐚́𝐩 𝐝𝐮̣𝐧𝐠:👉Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ👉Hỗ trợ lãi suất 0% 18 tháng, Ân hạn nợ gốc 👉Vay 75% thời gian 25 nămBáo giá các căn hộ đẹp nhất dự án:Căn hộ 3PN diện tích 97m2 giá từ 3.25 tỷCăn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền giá từ 3.6 tỷCăn hộ 2PN diện tích 76m2 giá từ 2.8 tỷ TIỆN ÍCH PHỤC VỤ ĐỜI SỐNG:+ Bệnh viện Bạch Mai: 5Km+ Hồ Hoàn Kiếm: 6Km+ Đại học Bách Khoa – KT Quốc Dân: 3Km+ Trường TH, THCS Mai động+ Công viên Thống Nhất: 4Km+ Bến xe Giáp Bát: 3Km+ TTTM Metro Hoàng Mai: 2Km️🍀Dự án xanh: Một dự án hiếm hoi giữa lòng thủ đô mang đến không gian thanh khiết với bạt ngàn cây xanh và mặt nước. Bước vào Feliz Homes, cư dân không chỉ có cảm giác như đang lạc bước trong một khu vườn nhiệt đới mà còn cảm thấy như đang bước chân vào một thành phố xanh thu nhỏ. Ở đó, tiếng còi xe inh ỏi được thay thế bởi những thanh âm tuyệt diệu: Tiếng nước chảy róc rách, tiếng chim kêu ríu rít, tiếng gió đuổi nhau xào xạc trong những tán cây. Mọi lo toan, mỏi mệt nhường chỗ cho sự an nhiên với hương hoa thoang thoảng, mùi cỏ non quyện trong vị nắng.  -----------------------------------------------------------------------------------------☎️Hotline Phòng BH trực tiếp CĐT: 0983.223.911 – 0818.978.979#FelizHomes#Felizhomes279hoangmai#Felizhomes92maidong ",30/12/2021,Tin thường,batdongsan_so_com_vn_1673834165.4917092,,,,,,
31 tỷ VNĐ,Tây Hồ, 140m2,"Đẳng cấp Hoàng Gia – Tinh Hoa Kiến trúc – BT Lâu đài Vimefulland Tây Hồ Hà Nội khẳng định vị thế độc tônBT lâu đài Vimefulland Tây Hồ là biệt thự nằm trên thế đất địa linh, giao thông thuận lợi. Là mảnh đất cuối cùng, mảnh đất đẹp nhất, VIP nhất KĐT Ciputra Tây Hồ, ở thế nhất cận thị, nhị cận giang, tam cận lộ, vậy mà chỉ từ 11 tỷ (30% GTBT) Quý khách hàng có thể nhận nhà về ở ngay, sổ đỏ trao tay, với chính sách chưa bao giờ tốt hơn bây giờ. + Thanh toán theo tiến độ thông thường chiết khấu 3% giá trị biệt thự+ Thanh toán sớm 50% chiết khấu 3.5% giá trị biệt thự.+ Thanh toán sớm 70% chiết khấu 4% giá trị biệt thự + Thanh toán sớm 95% chiết khấu 5% giá trị biệt thự + Hỗ trợ lãi suất 0% trong 12 tháng.+ Khách hàng chỉ cần có 30% giá trị biệt thự sở hữu ngay lô biệt thự lâu đài tại The Lotus Center phân khu BT05+ Miễn phí quản lý dịch vụ trong vòng 2 năm đầu tiên.+ Tặng gói khám chữa bệnh và thuốc bổ trị giá 87tr.- Không gian sống thoải mái, trong lành, đẳng cấp, với diện tích từ 140m2 - 225m2 - 270m2 – 275m2 - 390m2 – 318,5m2 – 419m2 được thiết kế với lối kiến trúc cổ điển sang trọng, phong cách hoàng gia cùng đặc quyền vừa ở vừa kinh doanh.Đến với BT lâu đài Vimefulland Tây Hồ là đến với một kiệt tác trường tồn với thời gian.Hãy liên hệ ngay hotline văn phòng bán hàng của CĐT để đến chiêm ngưỡng sản phẩm này, chắc chắn sẽ làm Quý khách hàng hài lòng. 👉 Liên hệ 𝟬𝟵𝟯𝟱.𝟭𝟭𝟲.𝟭𝟯𝟯 ngay hôm nay để được tư vấn MIỄN PHÍ về dự án!------------️️🔶🔹🔶------------🍀 𝐓𝐇𝐄 𝐋𝐎𝐓𝐔𝐒 𝐂𝐄𝐍𝐓𝐄𝐑 - GIÁ TRỊ Ở SỰ KHÁC BIỆT🍀📌 Vị trí: mặt đường Võ Chí Công, quận Tây Hồ, Hà Nội🏣 Chủ đầu tư: Tập đoàn Vimedimex📈 Đơn vị phát triển kinh doanh: Vimefulland🌈 Đơn vị quản lý vận hành: Savills Việt Nam.",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834167.8500073,,,,,,
"6,9 tỷ VNĐ","Khương Hạ, phường Khương Đình, quận Thanh Xuân, Hà Nội.", 50m2,"BÁN NHÀ KHƯƠNG HẠ, NHÀ ĐẸP ĐÓN TẾT, 1 NHÀ RA PHỐ, CHỦ TỰ XÂY TÂM HUYẾT. 50M2, GIÁ 6.9 TỶ.- Diện tích:  50m2 x 5 tầng, mặt tiền 5.8, tổng 3 phòng ngủ, giá 6.9 tỷ.- Nhà có vị trí đẹp, vài bước chân ra mặt phố Khương Hạ, bãi gửi xe xung quanh nhiều vô kể.- Nhà chủ tự xây vô cùng tâm huyết. Nội thất cực xịn xò, hệ thống điều hòa âm trần, hệ thống điện tử toàn đồ xịn.- Sổ đỏ đẹp, sẵn sàng giao dịch, (có thương lượng).- Chi tiết liên hệ chị Yến ĐT, Zalo.",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834170.9681227,,,,,,
"2,4 tỷ VNĐ","Xuân Phương, Nam Từ Liêm, Hà Nội", 44m2,"Bán mảnh đất Xuân Phương, Nam từ Liêm, Lô góc 3 mặt ngõ, Đẹp không TảMô tả:- Diện tích 44m2 - Mt 5 m,- Vị trí cực đẹp lô góc 3 mặt ngõ rộng.- Bán đất tặng nhà C4 vẫn ở tốt.- Nhà mở được cửa cả 2 hướng ĐTT và TTT.- Gần chợ, trường, tiện ích xung quanh không thiếu gì.- Khu vực đang phát triển chung cư mọc lên nhiều, giá tăng từng ngày.- Sổ đỏ chính chủ.- Giá 2.4 tỷ có thương lượng Liên hệ trực tiếp: 0327530838 Ms Hiền.",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834173.330123, 2,, 5,,,
"2,75 tỷ VNĐ","cầu diễn ,nam từ liêm", 32m2,"Đường vào rộng rãi, ô tô đỗ cổng, nhà cách bãi gửi xe chỉ 15m. Khu vực dân cư đông đúc, an sinh tuyệt vời khi xung quanh tiện ích phong phú không thiếu thứ gì. Giao thông thuận tiện đi Cầu Diễn, Nhổn, Trịnh Văn Bô, Xuân Phương, Mỹ Đình… Nhà xây 5 tầng cực đẹp với thiết kế hiện đại, đầy đủ trang thiết bị xịn xò. Các phòng ngủ rộng rãi, thoáng sáng với mặt tiền rộng và ban công vô cùng tiện lợi. Giá chỉ 2 tỷ 750 triệu (khách gặp chủ thương lượng trực tiếp). Sổ nở hậuđẹp, sẵn sang tên ngay. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị quan tâm gọi em Sơn (thổ cư) để xem nhà và làm chủ ngay. Anh chị sẽ được tiếp cận miễn phí hàng nghìn căn trên địa bàn Hà Nội 0932382236",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834175.9942331,,,,,,
"9,5 tỷ VNĐ","KĐT mới Định Công, Hoàng Mai, Hà Nội", 48m2,"Chính Chủ Cần Bán nhà liền kề Định Công DT 48m x 5t, giá 9.5 tỷ.+ Nhà chủ tự thiết kế, nên tỉ mỉ từng chi tiết.+ Thiết kế: Mỗi tầng 2 phòng, cầu thang và wc ở giữa, phòng phía ngoài rộng hơn phòng phía trong.+ Sàn gỗ hương, cửa gỗ lim.+ Khu vực dân trí cao, an ninh tốt, nhiều cây xanh.+ Nhà gần sát đường vành đai 2.5, tiện cho thuê văn phòng.+ Khu phân lô bàn cờ, đường rộng 2 ô tô tránh.+ Giao thông thuận tiện, tiện cho việc đi lại, cạnh vành đai 2.5 sắp thông, phố Lê Trọng Tấn sầm uất.+ Liên hệ: Anh Thành 0912525146",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834180.0349138,,,,,,
7 tỷ VNĐ,"Đường Cầu Diễn, Phường Minh Khai, Bắc Từ Liêm", 680m2,"Bán Gấp lô đất Mặt phố Văn Trì, Đường Cầu Diễn Rẻ nhất khu vực không có mảnh thứ 2 Mô tả:-Vị trí nhà đẹp, gần chợ, trường học, TTTM ( 3 phút ra trường tiểu học Minh Khai, mầm non Minh Khai, 5p tới trường đại học CNHN, 10 phút tới ĐH Thành Đô, …4 phút ra mặt đường Quốc lộ, gần Đường Văn Tiến Dũng.-Diện tích 680m2-Mặt tiền 27m-Đường trước nhà 2 ô tô tránh nhauGiá thương lượngQuan tâm liên hệ Ms. Hiền 0327530838. Miễn trung gian.Cám ơn bạn!",15/12/2021,Tin thường,batdongsan_so_com_vn_1673834181.8155863,,, 27,,,
"1,15 tỷ VNĐ","Thôn Đông Phượng, Xã Cẩm Lĩnh, huyện Ba Vì, TP Hà Nội", 75m2,"Bán mảnh đất Mặt Đường Siêu đẹp 75m2, Xã Cẩm Lĩnh, huyện Ba Vì, Hà NộiDiện tích 75m2Mặt tiền 5mMảnh đất đẹp, vuông vắn trước sau, vị trí cũng đẹp không chỗ nào chê.Gần trường học ( Cấp 1, Cấp 2, …); chợ; trung tâm y tế xã, ..Mặt đường đang trải nhựa, khu vực ngày càng phát triển, xung quanh không thiếu thứ gì.Giá 1.15 tỷ có thương lượng(chưa tới15tr/m2)Liên hệ chính chủ: Ms Hiền",28/12/2021,Tin thường,batdongsan_so_com_vn_1673834184.0503213,,, 5,,,
"4,59 tỷ VNĐ","Trường Chinh, quận Đống Đa, Hà Nội", 38m2,"Bán nhà 4 tầng Trường Chinh, cực đẹp, full tiện ích, ngay ngã tư sở, giá 4.59 tỷ.Mô tả:+ Vị trí: Gần Ngã tư sở, gần trường chợ và nhiều trường Đại học. + Diện tích: 38m2, Mặt tiền 6.1m+ Nhà cực kỳ thoáng. + Thiết kế cơ bản.- Tầng 1: Phòng khách, để xe , WC.- Tầng 2: 1 Phòng ngủ lớn + WC.- Tầng 3: 1 Phòng ngủ lớn + WC.- Tầng 4: 1 Phòng ngủ + Phòng thờ + 1WC + chỗ phơi đồ. + Sổ vuông nở hậu xinh. Liên hệ xem nhà: Ms Hiền ( MTG)",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834185.6167288, 3, 4, 6, Tây bắc, 4,
"1,95 tỷ VNĐ","Khương Trung, Khương Trung", 33m2,"Cần bán nhà phố Khương Trung, phường Khương Trung, quận Thanh Xuân. CHƯA ĐẾN 2 TỶ CÓ NHÀ 3 TẦNG Ở LUÔN – NGÕ THOÁNG, GẦN Ô TÔ. Trung tâm Thanh Xuân, gần chợ Khương Đình, gần trường học các cấp, gần hồ Đầm Hồng, gần các cơ sở y tế lớn… Thông các tuyến phố: Bùi Xương Trạch, Hoàng Văn Thái, đi Ngã tư Sở hay Trường Chinh cũng rất gần. Ngõ thoáng rộng ô tô vào, khu dân cư yên tĩnh, an ninh tốt. Nhà 33m2 xây 3 tầng chắc chắn, hiện đang cho thuê, vài thùng sơn là đẹp long lanh. - Tầng 1: phòng khách, bếp, vệ sinh - Tầng 2,3: phòng ngủ, sân phơi Nhà đã tiến hành làm sổ theo khu vực, đã nộp hồ sơ đầy đủ, đợi ngày UBND Phường cộp mộc đỏ là ok. Giá: 1,95 tỷ VNĐ. Liên hệ: Mr. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834188.3180904, 3, 3,,, 3,
32 tỷ VNĐ,"Nguyễn Trâi, Khương Đình, Thanh Xuân, Hà Nội", 120m2,"Chính chủ bán nhà mặt phố Nguyễn Trãi DT 120m2*5 tầng, giá 32 tỷ.+ Mặt phố Nguyễn Trãi đã quy hoạch ổn định, là tuyến phố huyết mạch nối giữa lòng thủ đô, đang được rất nhiều người đầu tư cho tương lai.+ Vị trí rất đẹp, kinh doanh đắc địa, khu vực tập trung nhiều trường đại học, kinh doanh buôn bán lúc nào cũng sầm uất...+ Tầng 1: Thiết kế thông sàn, từ tầng 2 trở lên chia 2 phòng rộng khép kín.+ Hiện đang cho thuê kinh doanh.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Liên hệ: A Thành 0912525146",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834189.9251158,,,,,,
"3,5 tỷ VNĐ","Tô Hiệu, Nguyễn Trãi", 38m2,"Chủ nhà cần tiền bán bớt nhà gom hàng tết (sau tết tăng giá 30% hoặc không bán). Vị trí lô góc, 2 mặt thoáng vĩnh viễn, ngõ ôtô thông 2 phố Tô Hiệu, Lê Lai, ở, kinh doanh, cho thuê, văn phòng đều đỉnh. - Nhà cũ 3 tầng kết cấu chắc chắn (Chủ xác định bán vị trí tặng nhà), tổng 3 ngủ công năng đầy đủ, sử dụng lâu dài, không thích đập đi xây tòa 5 tầng tráng lệ. - Nhà nằm vị trí đắc địa khu vực trung tâm quận Hà Đông, cách sân vận động 100m, chợ Hà Đông 200m, hàng xóm KĐT Hillstate Huyndai, gần trường học, bệnh viện, TTTM, tiện ích 5 sao. - Sổ đỏ hoa hậu, sẵn sàng giao dịch. - Liên hệ: 0866485199. Mr Hiển.",29/12/2021,Tin thường,batdongsan_so_com_vn_1673834192.230565, 3, 3, 5,, 3, 6
