price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Details,Ngày đăng,Loại tin,id,Hướng,Lộ giới,Số toilet
5 tỷ VNĐ,Vũ Tông Phan - Thanh Xuân, 57m2, 5, 4, 6,"+Trung tâm quận Thanh Xuân, thông sang nhiều đường lớn: Nguyễn Trãi, Trường Chinh, Tây Sơn.+Vị trí đắc địa, 5 Phút ra Ngã Tư Sở, gần bện viện, trường học các cấp và chợ Khương Trung.+Nhà mới đẹp, đường trước nhà rộng 2.5m thông các ngõ.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824307.6517613,,,
9 tỷ VNĐ,"Khương Trung, Thanh Xuân", 50m2,,,,"+ Bán nhà Phố Khương Trung, diện tích 50m, mặt tiền 4m, 5 tầng, nhà mặt phố, khu phân lô, ô tô tránh. + Nhà mặt phố thông thoáng trước sau, trước nhà ô tô tránh, kinh doanh sầm uất, tiện ích trường chợ xung quanh không thiếu gì.+ Nhà ở vị trí cực đẹp, giao thông thuận tiện, cách ngã Tư Sở, Royal City chỉ vài phút, thích hợp vừa ở vừa làm văn phòng, kinh doanh, siêu thị, hiệu thuốc, phòng khám, spa...+ Liên hệ: Phùng Trang  0975124520.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824308.9981604,,,
,"Quan Nhân,Thanh Xuân,Hà Nội.", 50m2,,,," Vị trí trung tâm quận Thanh Xuân, gần Ngã Tư Sở, giao thông kết nối đi lại thuận tiện. Xung quanh vô vàn tiện ích không thiếu thứ gì. + Nhà thiết kế xây 4 tầng mới đẹp, 3 mặt thoáng vĩnh viễn nên phòng nào cũng đón ánh sáng tự nhiên, tổng 4 phòng. + Sổ đỏ đẹp, sẵn sàng giao dịch. + Giá: 4.95 tỷ (thương lượng). + Liên hệ: Ms. Tuệ Lâm - 0989376996 (Miễn TG và QC) - hỗ trợ tư vấn xem nhà miễn phí 24/7.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824310.182989,,,
"5,8 tỷ VNĐ",Khương Trung Thanh Xuân, 52m2,,,,"+ Bán nhà phố Khương Trung, Thanh Xuân, diện tích 52m, mặt tiền 4m, 5 tầng, ô tô đỗ cửa. + Gần trung tâm Ngã Tư Sở, cạnh trường cấp 1,2 Nguyễn Trãi, chỉ vài phút ra Royal City, Nguyễn Trãi, Láng, Trường Chinh, Tây Sơn… + Ngõ ô tô, khu dân cư đông đúc, dân chí cao, an ninh tốt, tiện ích xung quanh bạt ngàn. + Nhà khung cột bê tông chắc chắn, nội thất gỗ sang trọng, đầy đủ tiện nghi,  ban công thoáng sáng. * Liên hệ: Phùng Trang 0975124 520.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824311.2930202,,,
"6,5 tỷ VNĐ",Nguyễn Văn Cừ, 53m2, 4, 4, 3,"Tôi cần bán nhà phố Nguyễn Văn Cừ, gần đoạn cầu Chương Dương Ngõ thẳng ô tô vào nhà, hơn 10m ra mặt đường Nguyễn Cừ Nhà 4 tầng bê tông khung cột chắc chắn, ở được ngay Mặt tiền 4.55m Hướng Đông Giá bán 6.5 tỷ",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824312.5027833, Đông, 4, 3
10 tỷ VNĐ,"Nguyễn Sơn, Gia Thụy, Long Biên", 105m2,,,,"-Vị trí trung tâm phố Nguyễn Sơn, phân lô hàng không. Giao thông thuận tiện, giao lộ Nguyễn Văn Cừ đi các hướng. -Đa dạng tiện ích không thiếu thứ gì, gần bệnh viện Tâm Anh, trường học các cấp. -Khu tập trung dân trí thức cao, hàng xóm ăn nói dịu dàng. -Nhà thiết kế 3 thoáng, phòng nào cũng có cửa sổ. Không khí trong lành. -Sổ đỏ nở hậu, sẵn sàng giao dịch ngay với khách mua có thiện chí.. -Lh: Hữu Thuận, 0976683183. Hỗ trợ xem nhà miễn phí, hướng dẫn tận tình.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824313.5539722,,,
"6,5 tỷ VNĐ","40 Tô vĩnh Diện, Khương Trung, Thanh Xuân, HÀ Nội", 80m2, 5, 4, 5,"Mô Tả: Bán nhà phố Tô Vĩnh Diện, quận Thanh Xuân, diện tích 80m2. + Ngõ rộng, ba gác tránh, khu quân đội dân trí cao + Nhà xây 62m2 4 tầng, Mặt tiền 5.5m  2 mặt thoáng trước sau, sau nhà là sân Nhà hát múa rối Việt Nam. + Nhà thiết kế hợp lý, tận dụng hết công năng căn nhà, nhà còn như mới, khách về chỉ xách đồ ở. Tầng 1: sân để xe, bếp, phòng khách. Tầng 2,3:  mỗi tầng 2 ngủ, WC. Tầng 4: Phòng thờ, sân phơi. + Sổ đỏ nở hậu sẵn sàng giao dịch. + Bán nhà gấp giá 6.5 tỷ. Gọi ngay cho tôi 24h/7 Mr. Hồng Hải – 0961771396",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824314.9734104,,,
5 tỷ VNĐ,Nhân Chính - Thanh Xuân, 60m2, 5, 5, 6,"+Trung tâm quận Thanh Xuân, thông sang nhiều đường lớn: Nguyễn Trãi, Đường Láng, Tây Sơn.+Vị trí đắc địa, 5 Phút ra Ngã Tư Sở, gần bện viện, trường học các cấp và chợ.+Nhà mới đẹp, nội thất cao cấp, khách mua xách vali về ở ngay.+Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sằng dao dịch.LH: Em Hoan, 0925088355, chuyên thổ cư Hà Nội, miễn phí xem nhà 24/7.",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824315.9677513,,,
"3,95 tỷ VNĐ",NGÔ GIA TỰ HÀ NỘI, 30m2,,,,"BÁN NHÀ MẶT PHỐ NGÔ GIA TỰ ĐƯỜNG 40M. KINH DOANH SẦM UẤT. HÀNG HIẾM KHÓ TÌM Mặt đường Ngô Gia Tự 4 Tầng Giá hấp dẫn nhỉnh 3 Tỷ. + Nhà mặt phố Ngô Gia Tự, trung tâm nhất Q. Long Biên, Gần chợ Việt Hưng. Vị trí rất đẹp, Vỉa hè đá bóng, thả diều. + 4 Tầng mỗi tầng 2 phòng đẹp. + Sổ đỏ: Trao tay + Nhà đang kinh doanh làm đẹp. LH: Giang 0934035888",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824317.1237102,,,
"6,4 tỷ VNĐ",Vũ Tông Phan, 45m2,,,,"BÁN NHÀ VŨ TÔNG PHAN - PHÂN LÔ - Ô TÔ 45M – CHỈ 6,4 TỶ Ngõ thông, to rộng, 2 ô tô tải tránh nhau, chạy vòng quanh. + Nhà thiết kế thoáng 2 mặt trước sau. + Nhà nằm trong khu phân lô, khu vực an sinh tốt, dân trí cao. + Nhà xây 4 tầng, cầu thang giữa, tầng 2 phòng. + Sổ phân lô siêu đẹp. + Diện tích: 45m + Giá: 6,4 tỷ có thương lượng. + Liên hệ: Em Phượng 0362368485",18/05/2022,Tin thường,batdongsan_so_com_vn_1673824318.236733,,,
