price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Hướng,Mặt tiền,Số toilet
15 tỷ VNĐ,Hà Nội, 61m2,"Chính chủ gửi bán gấp nhà phân lô ô tô tránh phố Hồ Đắc Di, quận Đống Đa - LH: 0856 968 656. - Diện tích: 61 m2, 6 tầng, mặt tiền 5.2 m.Mô tả: + Nhà 6 tầng chủ tự xây 2019, trang bị toàn bộ nội thất cao cấp và thang máy nhập khẩu. + Vị trí đắc địa, trung tâm quận Đống Đa, ngõ phân lô, ô tô tránh vào nhà, kinh doanh tốt. + Khu vực trung tâm, dân trí cao, an ninh tốt nhiều quan chức, an sinh đỉnh, nhiều tiện ích. + Sổ đỏ chính chủ.Giá chào chỉ 15 tỷ thương lượng sâu, bao sang tên, tặng full nội thất xịn.Liên hệ: Thanh Bình nhà đẹp, chuyên BĐS dòng tiền, mặt phố - 0856 968 656.",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830321.288991,,,,,,
"4,1 tỷ VNĐ","Ngô Quyền, Hà Đông, Hà Nội.", 46m2," # Bán nhà mặt ngõ đường Ngô Quyền, Hà Đông, gần đường chính,10m ra ô tô tránh, nhà mới đẹp về ở ngây. DT 46m, 3T, Giá chỉ 4.1 tỷ. + Vị trí thoáng, đẹp khu phân lô tập thể Chùa Ngòi đường Ngô Quyền quận Hà Đông. + Vài mét ra đường ô tô tránh, ngõ rộng, đường thông, giao thông thuận tiện, trung tâm phố tiện ích. + Nhà 3 tầng khung cột chắc, thiết kế hiện đại, gồm PK, Bếp, WC, tổng 3 phòng ngủ to rộng, các phòng thoáng sáng, tràn ngập ánh sáng tự nhiên. + Full đồ trang thiết bị nội thất cao cấp, chủ mới mua về chỉ việc đén ở. + Giá chỉ 4.1 tỷ. + Sổ vuông đỏ đẹp, chính chủ pháp lý chuẩn. + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 # LH SĐT: Tình nhà phố 0906113879 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830322.811882, 2, 3, 3,,,
"1,2 tỷ VNĐ","Tân Xã, Thạch Thất, Hà Nội", 70m2,"- Sổ hồng có sẵn, pháp lý rõ ràng, sẵn sàng công chứng trong ngày - Full thổ cư, xây nhà vô tư, đầu tư chắc chắn - Đường thông tỉnh lộ 419, nội khu 2 ô tô tránh nhau, đi lại thuận tiện - Thế đất vuông vắn, khu dân cư đông đúc - Xung quanh đầy đủ tiện nghi : điện nước, trường học, chợ,.... - Sát khu công nghệ cao, cách đại học FPT 1,5km tiềm năng khai thác khổng lồ LIÊN HỆ NGAY em Hoàng qua zalo/ số điện thoại để được tư vấn miễn phí và được tặng vàng khi mua đất!!",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830324.2221413, 5,,, Đông nam, 5,
3 tỷ VNĐ,đường Vĩnh Hưng- Hoàng Mai, 38m2,"*Cần bán gấp nhà riêng phố Vĩnh Hưng ngõ ô tô, nội thất cao cấp, giá cực tốt. 0345752279 +Diện tích: 38m2 +Thiết kế: 5 tầng , 4 phòng ngủ ,1 phòng thờ, sân phơi. +Giá chào bán : 3 tỷ +Sổ đỏ vuông đẹp sẵn sàng giao dịch. *Gọi ngay em Bình để được tư vấn và xem nhà miễn phí mọi khung giờ! *Lưu ý: Không tiếp môi giới",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830325.3999588, 3, 5, 4,, 4, 5
"3,1 tỷ VNĐ",đường Lĩnh Nam- Hoàng Mai, 36m2,"*Cần bán gấp nhà riêng ngõ 255 Lĩnh Nam. 36m2 X 5 tầng. Tặng nội thất cao cấp. Lh 0345752279 *Mô tả: +Ngõ ô tô, 3 bước ra chợ đêm Lĩnh Nam. Thông sang Vĩnh Hưng, Tân Khai,… giao thông thuận tiện. +Nhà mới xây chắc chắn hiện đại. Thiết kế 5 tầng, 4 ngủ, sân phơi phòng thờ đầy đủ. công năng sử dụng tuyệt vời. +Giá chào 3.1 tỷ có thương lượng mạnh. +Sổ đỏ vuông đẹp nở hậu sẵn sàng giao dịch. *Gọi ngay em Bình để được tư vấn và xem nhà miễn phí mọi khung giờ! *Lưu ý: Không tiếp môi giới.",13/03/2022,Tin thường,batdongsan_so_com_vn_1673830327.0696027, 3, 5, 4,, 4, 5
5 tỷ VNĐ,Nguyễn Thái Học- Hà Đông, 53m2,"Bán nhà Nguyễn Thái Học, Hà Đông, 53m, 4 tầng, ngõ thông, ô tô chỉ 5 tỷ. Chủ nhà nhờ bán nhà đẹp vị trí đắc địa trung tâm sầm uất nhất Quận Hà Đông, khu vực văn minh, dân trí cao, xung quanh là các bệnh viện lớn, ngân hàng, trường chợ, khu mua sắm,..không thiếu thứ gì, các cơ quan hành chính trụ sở quanh nhà. Nhà được thiết kế đẹp, chuẩn công năng sử dụng, các tầng thoáng sáng, ngõ rộng thông, khu hiếm nhà bán, chỉ việc xách vali đến ở. Giao thông quá thuận lợi di chuyển các phố: Quang Trung, Bế Văn Đàn, Cù Chính Lan, Cầu Đơ, Hoàng Hoa Thám, Vạn Phúc, Văn Quán,... Chủ nhà là doanh nhân thành đạt bán đi chuyển sang ở biệt thự, cần bán gấp, nhà rất có lộc. Sổ đỏ vuông, sẵn sàng giao dịch. Giá : 5 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830328.1955898,, 4,,,,
"4,9 tỷ VNĐ",Cầu Đơ- Hà Đông, 54m2,"Nhỉnh 4 tỷ, 54m, 4 tầng, ngõ thông thoáng, Cầu Đơ, Hà Đông Bán gấp nhà đẹp vị trí trung tâm Hà Đông gần các con phố cổ, vài bước ra siêu thị Metro, trường chợ rất gần, khu văn minh, hàng xóm thân thiện, rất hiếm nhà bán. Tiện ích xung quanh ngập tràn không thiếu Nhà khung cột bê tông chắc chắn, các tầng thoáng sáng, chủ tâm huyết xây, nội thất sang xịn, ngõ rộng thoáng, chỉ việc xách vali đến ở. Giao thông thuộc trục chính đi muôn nơi: Lý Thường Kiệt, Quang Trung, Vạn Phúc, Nguyễn Viết Xuân, Ngô Thì Nhậm, Hoàng Hoa Thám, Hoàng Diệu, Tô Hiệu, Lê Hồng Phòng. Sổ đỏ vuông, sẵn sàng giao dịch. Giá : 4.9 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830329.3694506,, 4,,,,
"4,9 tỷ VNĐ",Cầu Đơ- Hà Đông, 54m2,"Nhỉnh 4 tỷ, 54m, 4 tầng, ngõ thông thoáng, Cầu Đơ, Hà Đông Bán gấp nhà đẹp vị trí trung tâm Hà Đông gần các con phố cổ, vài bước ra siêu thị Metro, trường chợ rất gần, khu văn minh, hàng xóm thân thiện, rất hiếm nhà bán. Tiện ích xung quanh ngập tràn không thiếu Nhà khung cột bê tông chắc chắn, các tầng thoáng sáng, chủ tâm huyết xây, nội thất sang xịn, ngõ rộng thoáng, chỉ việc xách vali đến ở. Giao thông thuộc trục chính đi muôn nơi: Lý Thường Kiệt, Quang Trung, Vạn Phúc, Nguyễn Viết Xuân, Ngô Thì Nhậm, Hoàng Hoa Thám, Hoàng Diệu, Tô Hiệu, Lê Hồng Phòng. Sổ đỏ vuông, sẵn sàng giao dịch. Giá : 4.9 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830330.4724994,, 4,,,,
5 tỷ VNĐ,Nguyễn Thái Học- Hà Đông, 53m2,"Bán nhà Nguyễn Thái Học, Hà Đông, 53m, 4 tầng, ngõ thông, ô tô chỉ 5 tỷ. Chủ nhà nhờ bán nhà đẹp vị trí đắc địa trung tâm sầm uất nhất Quận Hà Đông, khu vực văn minh, dân trí cao, xung quanh là các bệnh viện lớn, ngân hàng, trường chợ, khu mua sắm,..không thiếu thứ gì, các cơ quan hành chính trụ sở quanh nhà. Nhà được thiết kế đẹp, chuẩn công năng sử dụng, các tầng thoáng sáng, ngõ rộng thông, khu hiếm nhà bán, chỉ việc xách vali đến ở. Giao thông quá thuận lợi di chuyển các phố: Quang Trung, Bế Văn Đàn, Cù Chính Lan, Cầu Đơ, Hoàng Hoa Thám, Vạn Phúc, Văn Quán,... Chủ nhà là doanh nhân thành đạt bán đi chuyển sang ở biệt thự, cần bán gấp, nhà rất có lộc. Sổ đỏ vuông, sẵn sàng giao dịch. Giá : 5 tỷ ( có thương lượng). Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn. ",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830331.6443648,, 4,,,,
"4,4 tỷ VNĐ","Phan Chu Trinh, Yết Kiêu, Hà Đông, Hà Nội.", 45m2," # Bán nhà mặt phố Phan Chu Trinh, Hà Đông, Lô góc, vỉa hè, kinh doanh, ô tô đỗ cửa, DT 45m, 3T, MT 13m. Giá chỉ 4.4 tỷ. + Vị trí thoáng, tiện ích, thuận tiện, kinh doanh tại phố Phan Chu Trinh, Yết Kiêu, Hà Đông. + Vài bước chân ra chợ Vổ phố Phan Đình Phùng thông ô bàn cở với Huỳnh Thúc Kháng, Trần Văn Chuông, Trương Công Định... giao thông thuận tiện, trung tâm phố tiện ích. + Nhà 3 tầng chủ tự xây khung cột chắc, thiết kế cơ bản, chủ mới mua về cải tạo lại chút phù hợp ở kết hợp kinh doanh như: Nail tóc, Spa, Văn Phòng... + Giá chỉ 4.4 tỷ. + Sổ vuông đỏ đẹp, chính chủ pháp lý chuẩn. + Để tham khảo thêm hàng 100 ngôi nhà mặt phố, vị trí kinh doanh, lô góc, đẹp độc lạ, những khu đất vượng khí đón tài lộc giá từ 3 đến 40 # LH SĐT: Tình nhà phố 0906113879 ( chuyên nhà đẹp, nhà phố, nhà tiềm năng, dòng tiền, có uy tín trong giới nhà đất quận Hà Đông, Hà Nội ).",12/03/2022,Tin thường,batdongsan_so_com_vn_1673830332.7972806, 5, 3, 3,, 13,
